Date,Close,High,Low,Open,Volume
2010-09-09,54.05,58,52,56.1,109546200
2010-09-13,55.85,56.35,54,54,15915982
2010-09-14,54.45,56.3,54.15,56,7142409
2010-09-15,53.9,54.95,53.55,54.85,3470627
2010-09-16,53.85,54.5,53.4,53.75,2908802
2010-09-17,54,54.4,53.4,53.8,3447401
2010-09-20,54.85,55.85,54,54.8,2553146
2010-09-21,54.25,55.2,53.55,55,1392910
2010-09-22,54.6,55.5,53.6,54,2051594
2010-09-23,54.25,54.9,53.65,54.75,998060
2010-09-24,54.5,54.9,53.9,54,755400
2010-09-27,54.7,55.5,54.1,54.7,1183721
2010-09-28,60.3,61.15,54.2,54.5,16821640
2010-09-29,61,64.1,59.6,60.5,14031923
2010-09-30,60.55,61.5,58.5,61.5,2755568
2010-10-01,59.55,61.65,59,61,1489435
2010-10-04,57.75,60.1,57.5,59.9,1855860
2010-10-05,59.15,60.7,57,58,2719162
2010-10-06,59.4,59.9,58.8,59.15,1497550
2010-10-07,59.75,62.25,58.9,59.65,4391457
2010-10-08,59.35,61.2,57.95,59.9,1878500
2010-10-11,58,60,57.7,60,1986243
2010-10-12,58,59.35,57.5,58.1,2637422
2010-10-13,60.4,61.15,58.05,58.45,2397104
2010-10-14,63.15,64.1,59.4,60.8,3958473
2010-10-15,61.3,63.45,60.15,63.45,1055500
2010-10-18,60,62.35,59.5,60.4,1138554
2010-10-19,61.15,62.2,60.25,60.7,2739253
2010-10-20,63.8,65.8,61.45,61.5,3867840
2010-10-21,65.5,66,62,63.95,3966864
2010-10-22,66.4,67.2,64.2,65.5,2150234
2010-10-25,64.85,67.65,64.4,66.5,2218606
2010-10-26,62.6,65.25,61.6,65.1,2783237
2010-10-27,62.95,63.75,61.5,63.5,1627727
2010-10-28,61.7,63.5,61.05,63.1,566789
2010-10-29,60.1,62.9,59.1,61.9,2497412
2010-11-01,61.85,62,60.1,60.5,1619428
2010-11-02,61.45,62.45,60.9,62.05,441400
2010-11-03,60.8,62.4,60.4,61.1,468504
2010-11-04,62.4,64,61.2,61.75,1563355
2010-11-05,63.3,64,62.6,64,400442
2010-11-08,63.45,64,61.55,63.75,520839
2010-11-09,65.7,66,62.8,63.6,1572751
2010-11-10,64.1,65.95,63.7,65.7,442823
2010-11-11,63.6,65.35,63.1,64.2,716758
2010-11-12,61,63.5,60.7,63.1,925916
2010-11-15,60.75,61.6,59.8,60.15,319780
2010-11-16,58,61.45,57.2,61.25,1793026
2010-11-18,58,59.15,53.65,58.55,923078
2010-11-19,57.35,58.65,56.6,58.15,794556
2010-11-22,59.85,60.1,57.65,58,465998
2010-11-23,58.15,59.45,57.35,59.05,731919
2010-11-24,58.05,59.35,57.8,58.6,223580
2010-11-25,58.2,58.95,57.4,58.45,250636
2010-11-26,58,59,54.05,58.95,1346170
2010-11-29,58.05,60.1,57.1,60,400379
2010-11-30,59.05,59.5,57.15,57.15,288689
2010-12-01,60,60.5,58.2,59,358333
2010-12-02,60.85,61.3,59.5,60.95,512359
2010-12-03,58,60.5,57.75,60,212926
2010-12-06,58.65,59.4,58.1,58.5,179481
2010-12-07,58.3,58.9,56.95,58.15,1393709
2010-12-08,57.5,58.25,57,57.3,621157
2010-12-09,55.9,58.2,55.1,57.05,628767
2010-12-10,57.2,57.95,55.15,55.5,238245
2010-12-13,58,58.5,57,57.45,260059
2010-12-14,58.3,58.75,57.4,58,279432
2010-12-15,58.25,58.85,57.3,58.3,383693
2010-12-16,58.7,59.75,57.3,57.35,89878
2010-12-20,59.55,59.8,58.5,58.5,135276
2010-12-21,63.3,64.2,58.7,58.7,598767
2010-12-22,62.15,65,61.85,63.35,883566
2010-12-23,59.6,63.1,59.35,62.1,752372
2010-12-24,59.9,60.5,59.2,59.2,84310
2010-12-27,59.1,60.9,58.5,60,93413
2010-12-28,61,62.4,58.25,59.75,217501
2010-12-29,60.8,62.4,60.5,61.55,142382
2010-12-30,60.45,61.7,60.1,61.7,81443
2010-12-31,61.75,61.95,60.6,61.05,152540
2011-01-03,61,62.4,60.8,61.25,75234
2011-01-04,59.8,61.7,59.5,61.15,162572
2011-01-05,60.85,61.4,60.1,60.1,135406
2011-01-06,60,61.25,59.55,61.25,140703
2011-01-07,58.3,60.3,58,60.25,291988
2011-01-10,57.65,58.8,57.2,58.8,142417
2011-01-11,57.3,58.65,56.8,58.4,62429
2011-01-12,59.4,59.7,57.7,58.45,107215
2011-01-13,58.7,59.85,58,59.85,83374
2011-01-14,58.3,60.9,58,60.6,314595
2011-01-17,58.15,59.2,57.2,59.2,72436
2011-01-18,58.25,59.1,57.75,58.95,2428730
2011-01-19,58,58.95,57.45,58.5,100977
2011-01-20,58,58.6,57.35,58,50262
2011-01-21,58.05,58.6,57.05,58.4,99677
2011-01-24,57.95,59,57.5,58.45,38782
2011-01-25,57.55,58.45,57.3,58.45,33715
2011-01-27,57.1,58,56.5,58,297156
2011-01-28,56.8,57.7,55.9,57.65,340169
2011-01-31,54.75,55.8,54.4,55.8,157912
2011-02-01,52.05,56,52,55.9,177388
2011-02-02,52.5,53.45,52.05,52.5,105748
2011-02-03,52.95,53.15,52.25,52.5,49135
2011-02-04,52.45,53.5,52.05,52.5,80106
2011-02-07,54.1,54.4,52.75,53,98454
2011-02-08,53.25,55,53,54.9,589069
2011-02-09,49.55,53.25,48,53.25,342818
2011-02-10,51.75,53,49.15,50.2,1669675
2011-02-11,53.85,54.7,51.2,51.75,102699
2011-02-14,56.1,56.25,53.65,54,97837
2011-02-15,55.75,57.9,53.2,55.1,113228
2011-02-16,53.7,56.35,53.15,56.05,60422
2011-02-17,54.95,55.5,53.15,53.15,62684
2011-02-18,56.05,56.25,54.6,54.6,121757
2011-02-21,59.3,60,56.55,56.7,273097
2011-02-22,60.5,61.35,58.55,60,599302
2011-02-23,58.75,62.4,56.55,61.1,1060159
2011-02-24,57.05,59.9,56.65,58.75,332224
2011-02-25,58.05,58.45,57.6,57.8,190567
2011-02-28,58.05,58.5,57.3,58.5,191408
2011-03-01,58.5,58.8,57.65,58.75,53362
2011-03-03,60.1,60.6,58.1,58.1,248814
2011-03-04,60.65,61.5,60.2,60.9,147005
2011-03-07,60.65,61,59.35,60.7,155475
2011-03-08,60.35,61.5,59.45,60.95,115174
2011-03-09,60.75,61.35,60.25,60.25,62640
2011-03-10,60.25,61.05,59.9,61.05,62079
2011-03-11,59.9,60.25,59.6,60,49672
2011-03-14,59.6,60.5,59.15,59.15,23335
2011-03-15,58.05,59.45,57.9,58.1,117119
2011-03-16,59.9,61.3,58.35,59,211417
2011-03-17,59.25,60,59.1,59.15,15332
2011-03-18,59.95,60.95,58,58.7,46238
2011-03-21,61.15,62.45,59.3,59.3,173142
2011-03-22,62.3,62.8,60.95,61.5,239963
2011-03-23,61.95,62.4,60.1,62.3,169453
2011-03-24,60.45,62.5,60.1,62.5,29048
2011-03-25,63,63.35,58.35,61.25,134870
2011-03-28,61,63.55,60.6,62,143577
2011-03-29,61.45,62.9,60.25,61,85450
2011-03-30,63.65,64.9,61.05,61.85,171516
2011-03-31,64.05,64.9,62.5,63.9,312230
2011-04-01,64,65,63.45,65,122939
2011-04-04,64.15,64.8,63.1,64.75,200860
2011-04-05,65.55,66,64,64.15,179073
2011-04-06,65.2,66,64.25,65.5,98052
2011-04-07,64.25,65.4,63.65,65.1,87850
2011-04-08,64.3,66,63.1,64,222452
2011-04-11,62.9,64.45,62.8,63.2,40062
2011-04-13,62.45,63.3,62.25,62.25,545435
2011-04-15,62.2,63.95,62.1,63.95,30913
2011-04-18,61.95,62.75,61.5,62.75,66759
