Date,Close,High,Low,Open,Volume
1995-11-27,11.5,11.5,11.5,11.5,100
1995-12-15,10.8,10.8,10.8,10.8,100
1995-12-22,10.4,10.4,10.4,10.4,200
1995-12-29,10.6,10.6,10.6,10.6,50
1996-01-05,10,10,10,10,50
1996-02-13,9.2,9.2,9.2,9.2,100
1996-02-14,9.2,9.2,9.2,9.2,100
1996-02-16,10.1,10.1,10.1,10.1,150
1996-02-19,11.1,11.1,11,11,300
1996-02-20,11.6,11.6,11.4,11.4,2200
1996-02-22,12,12,11.4,11.4,4150
1996-02-23,11.6,11.6,11.4,11.4,200
1996-02-26,12,12,11.6,11.6,800
1996-02-27,11,11,11,11,100
1996-02-28,11.3,11.5,11,11,1200
1996-02-29,10.98,10.98,10.98,10.98,100
1996-03-01,10.6,10.6,10.6,10.6,350
1996-03-04,10.8,10.8,10.8,10.8,100
1996-03-08,11.5,11.5,11.5,11.5,50
1996-03-11,11,11,11,11,100
1996-03-12,10.9,10.9,10.9,10.9,50
1996-03-18,10.8,10.81,10.8,10.81,100
1996-03-21,10.8,11.3,10.8,11.3,1650
1996-03-22,10.8,10.8,10.4,10.6,2200
1996-03-25,10.4,10.4,10.4,10.4,550
1996-03-26,11,11,10.81,10.81,400
1996-03-27,10.8,11.2,10.8,11,500
1996-03-29,11.9,11.9,10.8,10.8,200
1996-04-01,12.91,13,12.4,11.9,5750
1996-04-02,12.7,13.2,11.8,12.91,700
1996-04-03,11.41,11.6,11.4,12.7,500
1996-04-04,11.8,11.8,11.1,11.2,1100
1996-04-08,11.14,11.15,10.57,11.8,1800
1996-04-09,11,11.15,10.81,11,1900
1996-04-10,11,11,10.6,10.6,2350
1996-04-11,11,11.1,10.8,10.85,1500
1996-04-12,11.21,11.4,10.6,11,1200
1996-04-15,10.8,11.2,10.8,11.21,1650
1996-04-16,10.81,11,10.8,10.8,950
1996-04-17,11.1,11.1,11.1,10.81,500
1996-04-18,10.85,11,10.85,11,750
1996-04-19,11,11.2,10.85,10.85,800
1996-04-22,11,11.2,10.95,11,2050
1996-04-23,11,11,10.8,11,450
1996-04-24,10.8,10.9,10.8,10.9,450
1996-04-29,9.8,10,9.8,10.8,400
1996-04-30,9.2,9.8,9.2,9.8,400
