Date,Close,High,Low,Open,Volume
2010-11-16,41.94,50.64,40.22,40.22,39539056
2010-11-18,44.16,45.7,41.7,42.4,10171439
2010-11-19,44.95,47.9,42.86,44.78,7769574
2010-11-22,50.79,53,45.21,45.6,10194049
2010-11-23,52.22,54.34,49.8,51.4,10051637
2010-11-24,52.66,53.4,51.41,52.5,3484536
2010-11-25,51.49,54.36,50.6,53.2,1971825
2010-11-26,47.04,52.35,45.62,52,1692738
2010-11-29,54.39,56,45,46.8,2993498
2010-11-30,57.92,60.28,52.22,55,7564448
2010-12-01,55.73,59.56,53.66,58,4409977
2010-12-02,53.72,56.7,53.2,55.6,1966748
2010-12-03,51.89,54.16,51,53.4,1543359
2010-12-06,51.22,52.58,49.65,50.02,1697695
2010-12-07,52.46,54.2,49.27,51.6,2186629
2010-12-08,51.72,53.74,51.02,52,1485088
2010-12-09,41.38,52.29,41.38,51.6,1594974
2010-12-10,38.77,41.78,33.11,33.11,3037238
2010-12-13,41.95,43.56,39,39,2710408
2010-12-14,44.02,45.06,40.32,42.12,2168731
2010-12-15,47.08,47.76,41.64,43.88,2828076
2010-12-16,46.1,48.8,45.71,48.8,1102814
2010-12-20,51.82,52.96,45.07,45.8,3353832
2010-12-21,47.68,53.58,47.11,52.18,3950903
2010-12-22,46.8,48.77,45.78,47.6,1393431
2010-12-23,46.26,49.3,46,47.2,1204883
2010-12-24,45.22,46.95,44.86,46.77,788773
2010-12-27,46.91,47.48,43.99,44.02,929173
2010-12-28,47.18,48.7,47,47.26,616153
2010-12-29,46.98,47.8,46.48,47.56,324684
2010-12-30,49.1,49.46,47,47.02,656482
2010-12-31,50.65,51.19,48.81,49.48,580800
2011-01-03,52.73,54.52,51.02,51.16,1562947
2011-01-04,53.19,54.51,52.62,53.08,906747
2011-01-05,52.94,53.88,52.22,53.25,451213
2011-01-06,51.32,53.76,51,53.2,594419
2011-01-07,48.88,51.64,47.6,51.64,642915
2011-01-10,45.57,48.4,45.23,48.2,412368
2011-01-11,46.11,47.73,43.62,45.96,578135
2011-01-12,45.91,47.74,45.13,46.42,231761
2011-01-13,45.09,47.28,44.22,46.07,285165
2011-01-14,44.81,46.16,43.88,45.4,441700
2011-01-17,46.93,47.78,44.44,44.44,675758
2011-01-18,46.49,47.76,46.1,47.22,194897
2011-01-19,45.52,47.4,44.74,46.62,220920
2011-01-20,44.71,45.33,44.33,45.18,100284
2011-01-21,46.05,47.16,43.01,43.01,356782
2011-01-24,48.7,49.49,46.4,46.4,357764
2011-01-25,48.65,50.28,48.06,49,259388
2011-01-27,46.55,49.02,45,49.02,124218
2011-01-28,45.47,47.2,44.6,46.6,145239
2011-01-31,45.42,46.8,44,44.4,83169
2011-02-01,46.58,47.58,45.94,45.98,143670
2011-02-02,46.69,47.5,46.45,46.94,128596
2011-02-03,46.33,47.49,46,46.94,74705
2011-02-04,45.12,47,44.6,46.08,54742
2011-02-07,44.09,45.85,43.26,45,44871
2011-02-08,42.94,44.55,42.21,44.28,202183
2011-02-09,41.95,43.4,41.04,42.8,138246
2011-02-10,39.88,42.07,39.4,42.07,145461
2011-02-11,41.82,42.16,39.4,40.02,203462
2011-02-14,45.15,46.4,42.16,42.56,227631
2011-02-15,45.51,46.08,44.88,45.5,108410
2011-02-16,46.05,46.4,45.1,45.7,66764
2011-02-17,48.95,49.58,46,46.22,335646
2011-02-18,46.06,49.6,45.2,49,141980
2011-02-21,47.72,48,45.04,45.6,229837
2011-02-22,50.22,50.8,46.02,47.13,403411
2011-02-23,49.44,52.28,49.12,50.5,346363
2011-02-24,46.38,50.47,44.6,49.78,120704
2011-02-25,47.75,51.76,46,46.88,568844
2011-02-28,50.67,51.94,46.81,48.16,210951
2011-03-01,52.5,52.94,51.2,52.1,292717
2011-03-03,51.7,52.92,51.13,52.34,321408
2011-03-04,54.54,56.33,52,52.29,1035573
2011-03-07,57.49,58.51,54.6,55,956962
2011-03-08,57.87,59.14,56.52,57.85,503141
2011-03-09,59.95,60.6,58.02,58.32,717559
2011-03-10,59.12,60.2,58.66,59.8,136240
2011-03-11,56.92,58.53,56.39,58.53,212439
2011-03-14,57.55,59.5,46.6,53,197676
2011-03-15,55.33,56.76,54.02,56.53,140003
2011-03-16,59.56,61.38,55.91,56.2,633274
2011-03-17,58.91,61.15,58.25,58.94,209165
2011-03-18,58.55,60.4,57.84,59.3,173136
2011-03-21,56.57,59.38,56.02,58.88,181375
2011-03-22,60.82,64.36,56.63,56.94,2213845
2011-03-23,58.87,61.42,57.64,61.42,615713
2011-03-24,64.4,64.88,59.01,59.06,1199272
2011-03-25,64.41,65.62,63.11,65.16,485213
