Date,Close,High,Low,Open,Volume
2025-11-12,131.33,134.4,112,112,523838464
2025-11-13,137.69,153.5,129.55,131,535192256
2025-11-14,148.53,149.99,140.03,142.7,250139104
2025-11-17,174.45,178.23,152.25,154.15,466421760
2025-11-18,188.77,193.8,179.5,185,463399296
2025-11-19,169.89,187.99,169.89,187.99,142472512
2025-11-20,156.71,162.27,153.1,157.55,121442960
2025-11-21,157.84,168.39,155.6,156.02,182611280
2025-11-24,151.8,163.38,150,159.26,91853112
2025-11-25,161.12,163.2,152.55,152.55,91511872
2025-11-26,162.89,165.45,158.88,161.99,67776512
2025-11-27,160.24,164.48,159.15,164.2,29835924
2025-11-28,158.88,163.25,158.1,160.29,23324296
2025-12-01,157.33,161.95,155.8,160,26373072
2025-12-02,157.84,160.45,156.89,157.47,17154364
2025-12-03,154.79,159.7,153.51,158.8,17349564
2025-12-04,145.36,154.9,142.91,154.6,44380852
2025-12-05,151.18,152.95,146.21,146.24,53444344
2025-12-08,151.64,157.5,149.04,151.6,80209992
2025-12-09,149.45,152.29,144.2,152,50413776
2025-12-10,145.96,148.3,142.11,147.6,63196248
2025-12-11,145.45,149.6,144.15,145.75,27015806
2025-12-12,145.13,146.83,143.96,146,23318948
2025-12-15,145.86,147.25,144,144.99,14822676
2025-12-16,144.25,146.67,143.2,146,15200310
2025-12-17,142.92,144.5,142.4,144.25,11779051
2025-12-18,144.11,146.75,142.9,142.92,16804524
2025-12-19,160.87,163.5,143.52,145.3,197195936
2025-12-22,166.13,172.5,162.15,164.71,160580576
2025-12-23,160.82,167.1,160.03,163.26,62417288
2025-12-24,163.63,175.5,160.31,161.6,156138192
2025-12-26,165.23,167.7,163.9,164.89,53750536
2025-12-29,162.11,166.84,160.2,165.6,25285816
2025-12-30,159.95,164.11,158.5,162.2,17524476
2025-12-31,156.17,160.2,154.8,160,22229028
2026-01-01,155.3,157.1,153.92,156.23,10837426
2026-01-02,155.19,157.05,153.45,155.6,18307846
2026-01-05,155.53,156.98,152.62,155,16313291
2026-01-06,155.31,159.7,154.56,157,21986084
2026-01-07,162.05,165.15,154.5,155.16,88637840
2026-01-08,160.51,167.2,159,162.05,62064100
2026-01-09,158.97,163.7,156.65,160.7,26323010
2026-01-12,162.8,163.5,158.32,160,30930100
2026-01-13,162.69,165.9,160.9,164,25148304
2026-01-14,164.34,169.4,157.7,163.5,112099416
2026-01-16,173.23,179.78,166.65,167,190164176
2026-01-19,161.27,174.68,160.1,173.2,58873380
2026-01-20,156.98,164.3,156,161.99,32143964
2026-01-21,161.27,162.3,155.76,156.8,44370488
2026-01-22,166.23,166.87,163.52,164.5,27810488
2026-01-23,167.51,173.99,165.26,166.9,48985788
2026-01-27,168.91,171.81,161.8,168.9,30796636
2026-01-28,172.08,173.5,168.12,169.65,27375334
2026-01-29,173.28,176,169.68,172.8,32571452
2026-01-30,177.04,184.5,170.3,171,64988392
2026-02-02,164.16,167.05,157,167,63309888
2026-02-03,172.93,175,168.72,173,44567196
2026-02-04,168.84,172.8,167.3,171,24280602
2026-02-05,170.09,171.35,165.5,168.01,19160476
2026-02-06,169.22,171.8,168.1,171,18979582
2026-02-09,166.18,170.43,164.55,170,35922872
2026-02-10,168.62,169.6,164.06,166.6,27460952
2026-02-11,172.02,179.28,169.26,170,91221080
2026-02-12,179.66,181.25,171.5,172.05,69450776
2026-02-13,172.92,184,170.5,180.1,62551184
2026-02-16,170.24,173.38,164.5,167,49939364
2026-02-17,167.31,170.75,166.1,170.1,18910600
2026-02-18,171.36,172.69,167.4,167.7,30321272
2026-02-19,169.44,174.89,168.2,171.7,26064624
2026-02-20,169.16,172.45,168.5,170.01,12382057
2026-02-23,167.36,171.5,166.56,170.14,15826043
2026-02-24,163.11,167,161.6,167,20897408
2026-02-25,164.44,165.11,161.22,164.5,15327735
2026-02-26,164.94,165.2,161.5,165,14639709
2026-02-27,163.49,164.73,162.26,163,11936171
2026-03-02,161.04,163.1,155.02,155.49,26167950
2026-03-04,157.02,161,155.81,160,21217548
2026-03-05,156.33,158.95,155.5,158.95,16370234
2026-03-06,152.97,159.4,152,156.3,17041008
2026-03-09,149.22,150.78,146,149,20399462
2026-03-10,157.09,159.39,151.3,152,23808764
2026-03-11,155.06,161.9,154.02,157.6,16082745
2026-03-12,158.23,159.58,151.2,153.89,16448339
2026-03-13,155.83,157.38,152.2,157.01,14102684
2026-03-16,158.08,159,153.81,155,14794371
2026-03-17,161.07,161.5,157.2,159.4,17500630
2026-03-18,163.35,163.73,160.7,161.2,18435660
2026-03-19,158.4,160.87,156.2,159.98,13919416
2026-03-20,161.46,162,157.16,159.25,12200814
2026-03-23,162.15,162.9,156.05,158.93,16946944
2026-03-24,161.32,165.7,159.76,165,16261582
2026-03-25,161.51,166.56,160.76,163,30533536
2026-03-27,162.28,163.95,160.5,161.05,20652530
2026-03-30,150.12,160,149.05,160,34564424
2026-04-01,161.55,162.5,154.15,158,21307136
2026-04-02,164.82,165.4,156.5,157.48,24459456
2026-04-06,168.68,169.76,162.14,164.56,19545522
2026-04-07,166.61,169.84,166.01,167.3,8818966
2026-04-08,181.01,182,171.13,172,58158704
2026-04-09,186.66,189.49,180.19,182,61394952
2026-04-10,193.7,198.5,188.7,188.7,72629256
2026-04-13,194.71,198.85,187.05,188,45037960
2026-04-15,208.44,212.9,201.01,201.01,131089256
2026-04-16,202.99,214.36,201.5,212,57647956
2026-04-17,198.34,208.8,197,205,67873360
2026-04-20,196.11,205.55,193.52,201,80087904
2026-04-21,214.01,216.75,194,201,288824832
2026-04-22,217.9,222.88,212.4,214.82,122276328
2026-04-23,217.73,222.8,214.7,217.7,69738656
2026-04-24,218.02,223.7,214.6,218,62095252
2026-04-27,214.69,222.75,204,220,33819228
2026-04-28,219.85,221.4,215.61,215.61,29367376
2026-04-29,213.47,227.2,212,222.5,43953536
2026-04-30,214.99,216,210.62,213.2,24035610
2026-05-04,220.05,222.8,215.53,217.1,26267816
2026-05-05,221.56,223.7,219,220.05,18095068
2026-05-06,210.82,224.4,209,223.8,35618440
2026-05-07,208.03,213.36,203.31,212,34959272
2026-05-08,204.59,210.2,204,208.1,16913948
2026-05-11,193.52,201.97,192.3,201.97,37789548
2026-05-12,183.09,187.5,180,184,542126336
2026-05-13,188.41,194.61,184.56,185,102264544
2026-05-14,189.91,190.7,182.75,189.6,66969928
2026-05-15,187.67,191.7,186.61,190,26912924
2026-05-18,183.82,188.25,182.55,186,48750784
2026-05-19,186.46,188.7,183.85,184.6,36370668
2026-05-20,188.5,189.56,183.6,185.71,27391806
2026-05-21,188.37,193.38,186.8,190.51,34865684
2026-05-22,187.79,189.99,186.69,189,14581540
2026-05-25,189.47,191.95,188.71,190,17326454
