Date,Close,High,Low,Open,Volume
2022-02-03,848.75,889,841,884.8,16398
2022-02-04,860.6,872,840.05,850,37106
2022-02-07,840.85,878.8,831,878.8,15824
2022-02-08,829.8,858.8,823.25,854.8,13059
2022-02-09,833,852.1,820.5,835,16019
2022-02-10,797.5,864.7,777.55,832.95,29207
2022-02-11,765.55,797,738.45,796.95,52028
2022-02-14,723.75,769.55,718,739,24110
2022-02-15,739.8,775,717.25,775,28406
2022-02-16,735.9,759.95,725,749.75,10309
2022-02-17,714.15,744.1,706.15,735.9,14852
2022-02-18,690.1,725,685,706,24488
2022-02-21,662.55,680,655.35,666,14496
2022-02-22,613.45,653.8,606.05,650,47446
2022-02-23,680.35,695.95,615.15,615.15,95788
2022-02-24,714.9,784.75,625,625,234329
2022-02-25,810.25,818,730.55,739.8,158749
2022-02-28,798,824,795,805,44545
2022-03-02,760.55,800,756.95,799.8,28813
2022-03-03,771.4,815,752,773.95,27324
2022-03-04,772.85,799,758.15,758.15,17275
2022-03-07,750.65,773.8,716.35,770,18330
2022-03-08,757.2,769.75,750,761.9,10915
2022-03-09,737.3,799.8,731,768.55,31449
2022-03-10,743.45,766.8,733.2,766,14827
2022-03-11,742.65,759.45,736,753,12995
2022-03-14,719.35,747.45,704,739.6,25112
2022-03-15,723.3,740.05,716.9,722.9,14532
2022-03-16,720.7,738,712,734.7,10041
2022-03-17,721.45,738.65,715,729.8,16043
2022-03-21,741.55,756.25,730,734.4,34132
2022-03-22,725.6,752.8,715.5,748.45,17997
2022-03-23,736.15,744.75,722.5,734.8,23327
2022-03-24,749.05,799.7,727.9,739.4,84550
2022-03-25,743.45,783,734,759.8,40885
2022-03-28,715.75,743,707.45,743,33826
2022-03-29,704.5,727.2,699.2,717.9,35642
2022-03-30,691.7,731,682,711,38266
2022-03-31,698.3,716.5,683.25,692,42147
2022-04-01,723.4,734.8,697.65,710,15330
2022-04-04,749.8,751.5,726.85,737,18105
2022-04-05,752.7,787,745.95,760,30234
2022-04-06,738.85,753.7,735,752.7,13238
2022-04-07,742.05,747.85,733.55,744.9,8076
2022-04-08,746.25,760.2,740,745,8935
2022-04-11,760.5,769.8,746.25,746.25,20908
2022-04-12,740.2,764.85,735,760.5,11212
2022-04-13,772.25,780.75,740,741.5,21674
2022-04-18,743.2,775,702.7,772.25,17593
2022-04-19,725.25,754.25,716.65,754.25,13004
2022-04-20,724.5,738.7,720,720.1,6193
2022-04-21,746.65,758.05,731.15,735.35,20323
2022-04-22,753.4,774.75,735,742,16188
2022-04-25,744.15,770,737.2,770,37683
2022-04-26,731.85,768.3,730.3,768.3,18247
2022-04-27,722.05,739,717.95,739,14164
2022-04-28,721.5,729.95,711,729.95,17050
2022-04-29,713.95,731.55,712,727.95,8966
2022-05-02,698.1,719.15,692.7,713.95,10271
2022-05-04,665.95,725.6,661,720,22972
2022-05-05,671.55,685,669,675.85,11809
2022-05-06,668.85,685,645.05,656.25,24265
2022-05-09,652,666,643.55,665.9,13035
2022-05-10,630.65,661.95,620,654.2,13831
2022-05-11,610.35,631.7,599,630,25144
2022-05-12,600.55,619.9,583.25,610.35,23065
2022-05-13,612.2,633,601,619.5,8945
2022-05-16,632.3,640,612,619.75,8789
2022-05-17,654.05,658,635.05,640.2,5925
2022-05-18,650.55,676.05,640,663.85,8949
2022-05-19,628.6,641,621.1,635.1,12885
2022-05-20,651.65,658.7,632.65,640,6612
2022-05-23,656.6,690.25,641,651.65,9987
2022-05-24,634.45,669,630.05,669,6594
2022-05-25,625,640.9,620.45,634.95,8981
2022-05-26,675.25,709.8,593.7,634.35,70047
2022-05-27,682.45,700,673.25,685,22651
2022-05-30,674.75,698.55,662,689,11650
2022-05-31,664.85,684.75,660.65,684.75,7392
2022-06-01,673.65,680,668.85,674.75,4709
2022-06-02,680.6,690,665,678.5,19033
2022-06-03,666.9,701,661.95,690,12395
2022-06-06,669.25,677,650.05,673.55,7395
2022-06-07,689.45,710,668.05,670.95,34122
2022-06-08,693.5,699.45,688,699.45,13176
2022-06-09,690.45,698.25,685.35,695.25,4917
2022-06-10,692.85,695.25,682.55,687,4505
