Date,Close,High,Low,Open,Volume
2016-03-30,171,211.9,169.1,210.2,11075297
2016-03-31,178.55,182.6,167.45,169.7,3889314
2016-04-01,175.1,178.35,174.55,178.1,654755
2016-04-04,181.1,181.75,175.35,175.35,684713
2016-04-05,181.3,182.45,178.4,180,551824
2016-04-06,181.9,184.8,178.2,181.4,363208
2016-04-07,179.4,184.05,178.3,183,197891
2016-04-08,182.15,183.75,178.4,179,210583
2016-04-11,183,183.8,179.55,182.55,236005
2016-04-12,192,193.1,181.55,183.2,532476
2016-04-13,190.35,196.4,190,193,210892
2016-04-18,193.5,195.45,189.35,191.25,131270
2016-04-20,187.15,193.9,186.05,189,71199
2016-04-21,192.3,194.9,187.5,187.7,212188
2016-04-22,191.4,192.3,189.4,191.75,228351
2016-04-25,187.3,194.9,185.65,192.95,51234
2016-04-26,181.8,188.8,181.05,187,100722
2016-04-27,184,186.35,181,182,93991
2016-04-28,184.6,186.8,182.1,182.1,154547
2016-04-29,183.3,185.9,182,183.5,40000
2016-05-02,181.2,184.55,180,180,134855
2016-05-03,184.9,186.7,181,181.45,65876
2016-05-04,181.9,185.9,181,184,44016
2016-05-05,180.55,184.1,180.1,182,22564
2016-05-06,181.65,182.8,180,180,44170
2016-05-09,180.7,183.95,180.1,181,27833
2016-05-10,179.8,182,178.95,180.3,41021
2016-05-11,176.25,180.8,175.25,178,41255
2016-05-12,178.6,179.25,176.05,177.7,33100
2016-05-13,195,207,176,177.5,464376
2016-05-16,190.5,201.7,186.8,199.9,145253
2016-05-17,189.45,194,188,190.8,44264
2016-05-18,187.45,190.9,186.6,187.8,20961
2016-05-19,184.05,189,183,187,20343
2016-05-20,180.8,185.5,180.1,185.05,17715
2016-05-23,180.05,182.9,178.1,181.9,15249
2016-05-24,180.15,181.45,173.55,180.75,18674
2016-05-25,183.5,185,180.1,181.2,21102
2016-05-26,183.55,188.5,182,183.9,28788
2016-05-27,182.25,188.55,181.6,186,39284
2016-05-30,184.7,185.6,180.2,180.2,20455
2016-05-31,181.25,184.7,180.5,183.25,12844
2016-06-01,180.35,182.5,180,181.4,21405
2016-06-02,179.6,181.1,179,179.85,10150
2016-06-03,180.05,184.85,177.05,180,33768
2016-06-06,178,182,177.2,179.85,14764
2016-06-07,180.75,185,177.3,179.15,43800
2016-06-08,181.5,184.8,180.5,180.7,51182
2016-06-09,180.85,182.65,179,181.5,20146
2016-06-10,182.85,185.5,179.2,179.35,82083
2016-06-13,182,184,179.2,180.8,59766
2016-06-14,182.1,183.6,180.3,181.45,52192
2016-06-15,182.5,183,180.55,182.6,21930
2016-06-16,180.75,183.4,180.3,182,16269
2016-06-17,179.7,181.95,179.1,180,19322
2016-06-20,180.05,183,177.95,178.4,15418
2016-06-21,179.35,181.9,178.95,180.45,12918
2016-06-22,179,183,178.55,179.75,9375
2016-06-23,178.3,180.45,178,179.15,10297
2016-06-24,171.35,176.95,167,176,86961
2016-06-27,174.45,175,170,170.1,12370
2016-06-28,180,181,173.55,174.35,29902
2016-06-29,181.15,183,179,180.5,20704
2016-06-30,183.65,185,180,181.45,221320
2016-07-01,183.15,184.9,182,183.8,23013
2016-07-04,188.4,190.85,180.1,180.1,61041
2016-07-05,190.05,194.8,186.1,189.5,49203
2016-07-07,190.35,192,186,188.5,29565
2016-07-08,189.85,192.25,187.5,190,23203
2016-07-11,190.3,192,185,185,47996
2016-07-12,188.25,190.35,187,188,96425
2016-07-13,188.5,190.5,187,188.1,12467
2016-07-14,189.2,191.5,181.7,181.7,11571
2016-07-15,189.1,191,186.1,188.5,25877
2016-07-18,190.3,191.5,185.3,186,156095
2016-07-19,194.5,196.8,188.1,188.1,314955
2016-07-20,193.05,195.5,190,195.5,34001
2016-07-21,195.5,196,191,193.2,58267
2016-07-22,199,202,193.2,195.5,65884
2016-07-25,199.4,201.6,194.4,199,74411
2016-07-26,193.4,199,192,198.1,44445
2016-07-27,196.55,197.7,192,192.1,26417
2016-07-28,203.55,211.7,196.1,198.9,136788
2016-07-29,203.25,205,198.25,202,32156
2016-08-01,204,209,200.2,202.05,28211
2016-08-02,202.55,208.85,200,203.15,32244
2016-08-03,203.3,205,200,201,21506
2016-08-04,205.7,207.5,200.35,202,11787
2016-08-05,207.4,209.5,203.1,205,19921
2016-08-08,207.15,208,203,205.2,28676
2016-08-09,205.05,209,203.5,205.9,7019
2016-08-10,202.6,205,202,205,8414
2016-08-11,200.15,204.7,199,202.55,6442
2016-08-12,200.6,203,198.6,199.3,46255
2016-08-16,201.5,207.5,199.2,207.5,119141
2016-08-17,199.65,205,198,199.2,8737
2016-08-18,205.95,207,198.55,203.95,28577
2016-08-19,208.25,214,201.5,204.95,155005
2016-08-22,214.4,227.95,210,210.9,1998244
2016-08-23,211.65,221,210.05,219.8,361127
2016-08-24,214.25,219,210,212.65,147824
2016-08-25,217.1,220.1,215.05,219.8,104579
2016-08-26,212.4,217.05,211,217,45331
2016-08-29,211.15,214.7,207.55,212.4,44251
2016-08-30,214.6,215.75,210,211.9,67903
2016-08-31,219.8,224,213.75,217,252301
2016-09-01,215.95,219.85,212.65,219.05,41824
2016-09-02,214.45,220,211.65,215.5,131493
2016-09-06,213.6,218.6,212.6,216.3,98015
2016-09-07,212.75,216.55,211.65,216.55,99552
2016-09-08,215.25,217,213.6,214.45,31729
2016-09-09,215.55,220,215,215.15,61835
2016-09-12,215.25,216.05,212,212.1,45131
2016-09-14,218.35,220,215,215.7,82781
2016-09-15,215.1,219,214.95,216.55,75465
2016-09-16,215,216.95,215,215.4,64427
2016-09-19,215.2,218.65,212.75,215.9,104371
2016-09-20,215,218.5,214.5,218.5,96403
2016-09-21,214.95,217.45,214.5,215,47854
2016-09-22,216.4,222,213.25,215.05,39764
2016-09-23,215.15,217.45,213.5,215.4,25389
2016-09-26,215.2,217.75,214,215.05,57200
2016-09-27,216.3,220.5,214.25,215,139285
2016-09-28,218.35,219.5,215.05,216.7,69613
2016-09-29,220.75,224.55,215,220,250887
2016-09-30,221.05,222,217.55,221,36277
2016-10-03,220.3,222,216.05,221,62410
2016-10-04,220.25,221.85,217.15,220.05,27129
2016-10-05,223.75,230,218.05,221,91698
2016-10-06,229.85,239.9,226,226.05,93808
2016-10-07,227.1,232,223.2,231.65,31335
2016-10-10,222.1,229.85,219.1,223.05,60660
2016-10-13,221.2,228,219.3,225,74313
2016-10-14,230.05,231.8,220.15,220.15,45285
2016-10-17,228.45,234.25,226,230.5,41269
2016-10-18,232.9,239.5,229.5,229.85,61986
2016-10-19,231.5,239.4,230.1,230.85,379887
2016-10-20,231.5,234,228.2,233,60026
2016-10-21,236.95,238.2,228.75,232.8,34485
2016-10-24,241.3,243,230,230,49567
2016-10-25,241.9,243.35,235,242,69617
2016-10-26,241.1,248.9,236.25,239.3,460898
2016-10-27,242.75,244.6,239.05,240.6,25303
2016-10-28,244.95,247.3,239.55,239.55,21740
2016-11-01,251.6,256.55,241,241,98959
2016-11-02,247.1,251.6,244.15,247.5,35429
2016-11-03,248.3,251,246,249.25,30795
2016-11-04,248.85,250.75,245.05,250.2,62727
2016-11-07,249.4,252,248,250,22897
2016-11-08,247.65,251,246.4,250.95,21578
2016-11-09,240.35,247.95,204.65,215,89449
2016-11-10,248.6,250.45,243,244.95,169106
2016-11-11,250,252,245.8,247.7,88117
2016-11-15,246.65,254,235,254,179516
2016-11-16,247.1,250.5,241.1,245,89593
2016-11-17,250,255,243,249.95,718425
2016-11-18,251.6,254.8,249.5,251,57486
2016-11-21,251.95,264.9,241.15,254.55,174477
2016-11-22,257.85,259.85,252,255,67191
2016-11-23,253.05,262.05,250,258.3,685178
2016-11-24,251.6,257.4,247.45,253.5,221268
2016-11-25,253.1,258,249.15,254.95,307550
2016-11-28,256.95,258.85,251.5,254.75,15198
2016-11-29,248.6,257.9,246.5,257.25,65833
2016-11-30,249.6,254.4,248,251.5,78531
2016-12-01,248.65,253,248.2,250.5,334621
2016-12-02,249.05,251,245.05,249.05,47266
2016-12-05,248.6,253.45,247.7,248.05,291232
2016-12-06,250.2,253.3,247.4,250,34948
2016-12-07,249.15,253,248.25,248.85,16084
2016-12-08,248.5,252.8,248.2,250.3,13597
2016-12-09,250.8,253.85,248.45,251.7,23447
2016-12-12,249.7,252.8,241.1,241.1,32947
2016-12-13,251.05,251.9,247,249.4,8253
2016-12-14,250.6,252.4,246.05,251.95,71075
2016-12-15,249.65,251.05,248.15,250.25,39073
2016-12-16,241.1,249.8,238,249.5,19642
2016-12-19,244.1,247.4,240.2,242.9,13423
2016-12-20,247.65,250,242,242,9882
2016-12-21,245.5,249.75,243.05,244.95,7984
2016-12-22,236.3,244.95,234.8,241.25,52456
2016-12-23,239.2,242,235,235,9473
2016-12-26,233.25,242.25,230,236.05,35509
2016-12-27,232.1,234,225.1,233,23901
2016-12-28,244.85,246.9,230.1,232,19208
2016-12-29,244.15,248.95,238.1,245,101462
2016-12-30,247.5,251,241.25,245.6,11298
2017-01-02,243.65,249.5,242.6,243.2,22806
2017-01-03,238.95,246.7,238.35,244.5,16707
2017-01-04,246.95,249,237.1,238.4,86055
2017-01-05,246.7,249.95,243.25,249.95,11676
2017-01-06,245.5,247,244,244.65,2067
2017-01-09,242.5,246.05,241.1,244.15,128663
2017-01-10,238.25,246,237.35,243.15,128474
2017-01-11,239.85,242.05,238.5,240.15,8372
2017-01-12,241.45,243,234.45,239.25,27909
2017-01-13,241.75,243.9,238.25,239.1,11545
2017-01-16,244.9,247.9,240.1,241.9,47830
2017-01-17,243.4,245.9,241.35,245.9,3678
2017-01-18,241.95,243.9,240.2,241.5,2541
2017-01-19,240.35,241.95,238.7,241.95,13056
2017-01-20,238.95,241,237.05,240.9,10897
2017-01-23,240.25,241,229.5,229.5,11900
2017-01-24,236.5,241,236.15,240.7,6908
2017-01-25,238.7,241.05,235,235.05,120735
2017-01-27,233.3,239,230,236.05,21743
2017-01-30,237.5,238.8,230.1,230.1,8619
2017-01-31,243.25,243.9,236.2,238.6,59480
2017-02-01,242.95,243.9,240,243.35,11631
2017-02-02,241.25,243.8,240,241.7,13935
2017-02-03,243.4,243.9,237,238.6,12901
2017-02-06,240.6,244.85,238.7,242,38427
2017-02-07,238.8,242.5,237.8,241.05,23570
2017-02-08,237.75,240.1,235.15,240.1,17692
2017-02-09,241.45,245,239,244,123483
2017-02-10,242.9,243.9,241,243,36295
2017-02-13,242.65,243.9,240,243.85,5591
2017-02-14,242.65,244,240.2,243.05,263943
2017-02-15,236.1,248.8,233.8,241.3,2541451
2017-02-16,240.8,243.75,238,238.7,29963
2017-02-17,237.65,242.05,237.05,242,10319
2017-02-20,239.8,243.5,237.1,243.5,17955
2017-02-21,240.65,242.9,238.25,242.1,21652
2017-02-22,237.9,240.1,236,240.1,32778
2017-02-23,237.9,239.9,235.5,237.25,13124
2017-02-27,236.2,240,235.5,239.95,56172
2017-02-28,236.3,238,235,236.3,8733
2017-03-01,232.7,239.8,231.55,237.3,22431
2017-03-02,235.6,237.65,232.6,233.45,50227
2017-03-03,238.45,240,234.1,236.2,76604
2017-03-06,240.15,242.6,237.05,239.75,67962
2017-03-07,239.3,241,237.05,239.05,23200
2017-03-08,238.7,241.95,236.7,241.95,30707
2017-03-09,240,240.45,238,238.75,144910
2017-03-10,236.6,239.9,235.25,239.2,11008
2017-03-14,240.1,241.7,236.1,239.5,34611
2017-03-15,236.45,246,234.2,238.95,1357637
2017-03-16,239.65,240.95,237.2,238,55126
2017-03-17,235.6,241,235,238.15,20220
2017-03-20,235.6,239.1,234,236.05,6770578
2017-03-21,227.2,239.8,226.35,239.8,44124
2017-03-22,220.15,226.65,215.6,226.65,168226
2017-03-23,220.7,223.5,220.15,223.5,230601
2017-03-24,222.1,223,219,221.85,36152
2017-03-27,230.4,233.45,222.85,225.9,66504
2017-03-28,228.25,231.7,219,229.95,176765
2017-03-29,229.15,234.5,225,229,510730
2017-03-30,225.05,231.05,225,228.15,347889
2017-03-31,229.45,231.95,225.05,226.55,48748
2017-04-03,237.5,241.5,225.05,225.05,70653
2017-04-05,241.7,243.05,238.6,242,65009
2017-04-06,240.95,243.7,239.8,241.85,91259
2017-04-07,240.45,242.4,239.5,241.9,97692
2017-04-10,238.4,242.75,236.45,240,145785
2017-04-11,238.15,242,236.6,241.2,10842
2017-04-12,237.15,238.1,234,237.85,32176
2017-04-13,260,278.4,237.8,238.9,662103
2017-04-17,272.9,289,263.95,263.95,707636
2017-04-18,267.3,275.7,264,273.1,114027
2017-04-19,268.85,276.9,267.35,269.8,121662
2017-04-20,274.05,279.25,273.75,274.75,158811
2017-04-21,274.9,278.4,274.3,275.95,109003
2017-04-24,274.9,278.9,272.2,277.5,60154
2017-04-25,268.85,277.95,268.5,272.55,67025
2017-04-26,269,281.4,267,269,233776
2017-04-27,264.85,270.05,264,270,37320
2017-04-28,264.35,266.55,252,266.55,59446
2017-05-02,260.25,267.3,258.05,259.3,50187
2017-05-03,259.6,262.3,256.35,262.1,28662
2017-05-04,265.1,265.7,259,260,51777
2017-05-05,254.55,265.55,251.9,265.55,53828
2017-05-08,260.8,262,252.05,254.55,51456
2017-05-09,259.3,266,256.25,261,50665
2017-05-10,258.4,266.4,255.35,262.55,43873
2017-05-11,261.05,264.95,254.05,262.9,52348
2017-05-12,254.5,261.85,254.05,261.85,39104
2017-05-15,257.85,261.85,254.05,261.85,18022
2017-05-16,261.8,262.85,256.7,261.3,26095
2017-05-17,260.5,264,258,263.95,15397
2017-05-18,259.85,261.95,250,250,41816
2017-05-19,254.95,262.5,252,256.1,19425
2017-05-22,255.1,259.5,253.3,255.55,23042
2017-05-23,255,257.4,250.55,256.55,10563
2017-05-24,254.8,260,254,255.9,14195
2017-05-25,252.65,264.95,250,259.9,137201
2017-05-26,253,258,250.95,256.45,208364
2017-05-29,245.9,257.45,244.15,253.45,89038
2017-05-30,246.95,252.45,243,243,26183
2017-05-31,246.95,247.65,244.6,247,56435
2017-06-01,244.95,247.2,242.95,246.95,40425
2017-06-02,239.95,248,230,244.2,106281
2017-06-05,254.65,260,238.25,238.25,98054
2017-06-06,253.25,259,250,256.95,89418
2017-06-07,254.15,255.05,253.3,254,19875
2017-06-08,256,261.95,250.1,256.95,45802
2017-06-09,250.5,253.85,248.55,253.85,21465
2017-06-12,250.25,254,246.25,246.25,27209
2017-06-13,252.75,255.4,248.15,250.1,25634
2017-06-14,247.85,253.45,246.55,252.95,14581
