Date,Close,High,Low,Open,Volume
1995-06-14,2.305,2.37,2.2925,2.3525,178300
1995-06-15,2.2775,2.3,2.2525,2.3,103500
1995-06-16,2.2625,2.3125,2.25,2.2875,212300
1995-06-19,2.2625,2.275,2.2225,2.2625,89900
1995-06-20,2.2525,2.265,2.24,2.2625,139600
1995-06-21,2.2725,2.33,2.27,2.33,59100
1995-06-22,2.2275,2.275,2.2175,2.275,87900
1995-06-23,2.21,2.25,2.1925,2.25,49600
1995-06-26,2.1025,2.18,2.0875,2.18,82800
1995-06-27,2.085,2.1,2.025,2.1,87200
1995-06-28,2.1325,2.15,2.075,2.1,101900
1995-06-29,2.1125,2.15,2.1,2.1375,62400
1995-06-30,2.0725,2.1025,2.0625,2.1025,61200
1995-07-03,1.9925,2.08,1.975,2.005,95800
1995-07-04,1.9725,2,1.9375,1.95,115500
1995-07-05,1.98,2.0375,1.975,2,105800
1995-07-06,1.975,1.975,1.95,1.975,83700
1995-07-07,2.005,2.0125,1.9775,1.9925,41700
1995-07-10,2.0275,2.05,2,2,92000
1995-07-11,2.035,2.045,1.925,1.925,109100
1995-07-12,2.0625,2.095,2.05,2.095,35900
1995-07-13,2.085,2.09,2.05,2.075,44300
1995-07-14,2.175,2.1975,2.0875,2.1,199800
1995-07-17,2.2425,2.2625,2.2075,2.25,101400
1995-07-18,2.215,2.2475,2.2,2.23,112600
1995-07-19,2.21,2.2225,2.195,2.2,58800
1995-07-20,2.23,2.26,2.22,2.25,67600
1995-07-21,2.2025,2.2325,2.185,2.205,66300
1995-07-24,2.2025,2.2425,2.1925,2.2425,57200
1995-07-25,2.1975,2.215,2.175,2.2125,89500
1995-07-26,2.2225,2.24,2.2175,2.24,40300
1995-07-27,2.1975,2.22,2.1775,2.2125,44300
1995-07-28,2.1225,2.15,2.075,2.15,34900
1995-07-31,2.0825,2.1,2.05,2.075,35200
1995-08-01,2.065,2.11,2.05,2.0625,34200
1995-08-02,2.11,2.1125,2.095,2.1125,18300
1995-08-03,2.0925,2.125,2.0825,2.1125,28400
1995-08-04,2.0875,2.1,2,2,21500
1995-08-07,2.0825,2.1,2.065,2.1,21000
1995-08-08,2.0725,2.1,2.0625,2.0825,36100
1995-08-09,2.0675,2.0875,2.065,2.075,16800
1995-08-11,2.07,2.0825,2.055,2.075,17600
1995-08-14,2.065,2.0725,2.05,2.05,16700
1995-08-16,2.0625,2.0825,2.06,2.075,15100
1995-08-17,2.0625,2.1,2.05,2.1,12700
1995-08-18,2.0675,2.095,2.06,2.0625,18300
1995-08-21,2.0625,2.075,2.055,2.075,11900
1995-08-22,2.0425,2.07,2.025,2.055,35800
1995-08-23,2.0425,2.0575,2.0375,2.05,8300
1995-08-24,2.0375,2.05,2,2.025,16800
1995-08-25,1.9975,2.05,1.975,2.05,25200
1995-08-28,1.9575,2.0025,1.955,1.9775,37700
1995-08-30,1.9625,1.9875,1.9375,1.95,21400
1995-08-31,1.9625,1.985,1.95,1.9625,14300
1995-09-01,1.97,1.975,1.955,1.975,11100
1995-09-05,1.945,1.9675,1.9375,1.95,22300
1995-09-07,1.935,1.9775,1.93,1.9625,40800
1995-09-08,1.9325,1.9375,1.9275,1.9375,15600
1995-09-11,1.92,1.9625,1.9175,1.9625,31400
1995-09-12,1.91,1.925,1.9,1.925,34000
1995-09-13,1.92,1.9375,1.9025,1.905,14300
1995-09-14,1.9,1.925,1.88,1.925,25500
1995-09-15,1.875,1.895,1.825,1.825,32300
1995-09-18,1.8725,1.9,1.8625,1.9,20900
1995-09-19,1.845,1.8725,1.8375,1.8625,63200
1995-09-20,1.83,1.85,1.8,1.85,38800
1995-09-21,1.81,1.85,1.8,1.85,59400
1995-09-22,1.8225,1.8375,1.7875,1.8,54500
1995-09-25,1.8225,1.8375,1.805,1.825,57700
1995-09-26,1.825,1.845,1.8,1.825,113000
1995-09-27,1.82,1.85,1.8125,1.85,92500
1995-09-28,1.8225,1.8375,1.8075,1.825,28900
1995-09-29,1.8225,1.825,1.8125,1.825,34000
1995-10-04,1.8645,1.8725,1.825,1.85,27000
1995-10-05,1.8975,1.945,1.875,1.865,68100
1995-10-06,1.9025,1.935,1.8975,1.8975,77000
1995-10-09,1.92,1.95,1.9125,1.9025,52400
1995-10-10,1.89,1.9225,1.875,1.92,81600
1995-10-11,1.885,1.9225,1.8775,1.89,49400
1995-10-12,1.8775,1.9,1.8675,1.885,60900
1995-10-13,1.8475,1.885,1.8275,1.8775,52200
1995-10-16,1.8425,1.8625,1.825,1.8475,60600
1995-10-17,1.81,1.845,1.8,1.8425,62600
1995-10-18,1.79,1.835,1.7525,1.8,76900
1995-10-19,1.7475,1.8,1.7425,1.79,95700
1995-10-20,1.7125,1.755,1.7075,1.7475,109500
1995-10-23,1.7075,1.7375,1.6875,1.7375,72900
1995-10-24,1.655,1.725,1.6,1.7075,30300
1995-10-25,1.7,1.71,1.6875,1.655,18700
1995-10-26,1.6725,1.75,1.6525,1.7,37900
1995-10-27,1.67,1.6825,1.65,1.6725,61500
1995-10-30,1.6825,1.69,1.65,1.65,31400
1995-10-31,1.6975,1.7125,1.675,1.6825,31400
1995-11-01,1.715,1.7225,1.7,1.6975,29300
1995-11-02,1.705,1.75,1.6875,1.75,34100
1995-11-03,1.7075,1.735,1.7025,1.705,15700
1995-11-06,1.7125,1.7325,1.7025,1.7075,30500
1995-11-07,1.695,1.7125,1.69,1.7125,29600
1995-11-08,1.695,1.705,1.685,1.695,19600
1995-11-09,1.625,1.675,1.62,1.695,45300
1995-11-10,1.63,1.6475,1.6125,1.625,27600
1995-11-13,1.57,1.605,1.5625,1.63,51000
1995-11-14,1.5125,1.5625,1.4875,1.57,73300
1995-11-15,1.53,1.53,1.495,1.5125,69200
1995-11-16,1.525,1.55,1.5125,1.53,39800
1995-11-17,1.5175,1.5225,1.5,1.525,31200
1995-11-20,1.5125,1.5325,1.4925,1.5175,28300
1995-11-21,1.495,1.52,1.49,1.5125,46000
1995-11-22,1.47,1.5225,1.45,1.495,46600
1995-11-23,1.4625,1.48,1.45,1.47,53600
1995-11-24,1.5075,1.5225,1.45,1.4625,36300
1995-11-27,1.5,1.5475,1.485,1.5075,36500
1995-11-28,1.505,1.5225,1.475,1.5,38200
1995-11-29,1.4725,1.5,1.4375,1.505,41400
1995-11-30,1.495,1.5,1.4525,1.5,17100
1995-12-01,1.4975,1.5225,1.465,1.495,34300
1995-12-04,1.5,1.51,1.48,1.4975,38600
1995-12-05,1.4875,1.5125,1.4525,1.5,44800
1995-12-06,1.4625,1.4875,1.4375,1.4875,53900
1995-12-07,1.4875,1.495,1.45,1.4625,46900
1995-12-08,1.495,1.5,1.4825,1.4875,32600
1995-12-11,1.49,1.5,1.475,1.495,21900
1995-12-12,1.485,1.495,1.4775,1.49,22600
1995-12-13,1.48,1.4975,1.47,1.485,23100
1995-12-14,1.4775,1.495,1.4675,1.48,13700
1995-12-15,1.475,1.4875,1.465,1.4775,19300
1995-12-18,1.485,1.495,1.47,1.475,22800
1995-12-19,1.4825,1.49,1.475,1.485,25800
1995-12-20,1.48,1.4875,1.4725,1.4825,15800
1995-12-21,1.4875,1.495,1.48,1.4925,15600
1995-12-22,1.4925,1.5,1.4775,1.4875,13600
1995-12-26,1.4875,1.4975,1.475,1.4925,23700
1995-12-27,1.5125,1.525,1.4875,1.4875,26400
1995-12-28,1.5375,1.6625,1.525,1.5125,32000
1995-12-29,1.515,1.57,1.5075,1.5375,27300
1996-01-01,1.49,1.515,1.4625,1.515,35000
1996-01-02,1.4875,1.5125,1.475,1.49,41200
1996-01-03,1.4925,1.4975,1.475,1.4875,28400
1996-01-04,1.4825,1.49,1.47,1.4925,28200
1996-01-05,1.48,1.49,1.475,1.4825,18900
1996-01-08,1.4625,1.475,1.455,1.48,23700
1996-01-09,1.415,1.4625,1.4,1.4625,48300
1996-01-10,1.42,1.4325,1.405,1.415,22600
1996-01-11,1.415,1.44,1.4,1.42,31800
1996-01-12,1.4125,1.4175,1.4,1.415,43100
1996-01-15,1.395,1.4075,1.3875,1.4125,18100
1996-01-16,1.37,1.4,1.37,1.395,35800
1996-01-17,1.3275,1.3975,1.315,1.37,42900
1996-01-18,1.32,1.3275,1.3,1.3275,33000
1996-01-19,1.2775,1.315,1.2675,1.32,42600
1996-01-22,1.2725,1.295,1.26,1.2775,35900
1996-01-23,1.265,1.3,1.255,1.2725,39900
1996-01-24,1.2325,1.265,1.225,1.265,44900
1996-01-25,1.2175,1.225,1.205,1.2325,39000
1996-01-29,1.2425,1.2475,1.1975,1.2175,31100
1996-01-30,1.26,1.275,1.2425,1.2425,45200
1996-01-31,1.295,1.3175,1.275,1.26,34400
1996-02-01,1.39,1.4,1.3,1.295,42400
1996-02-02,1.4575,1.4975,1.4,1.39,81900
1996-02-05,1.4975,1.55,1.475,1.4575,90600
1996-02-06,1.4875,1.525,1.475,1.4975,88800
1996-02-07,1.4325,1.4625,1.4125,1.4875,58600
1996-02-08,1.5225,1.575,1.4425,1.4325,66700
1996-02-09,1.825,1.8275,1.675,1.5225,172000
1996-02-12,1.755,1.8975,1.725,1.825,285100
