Date,Close,High,Low,Open,Volume
1995-01-02,19.2,19.2,19,19,300
1995-01-03,19.6,19.6,19,19,350
1995-01-04,20,20,19.7,19.7,600
1995-01-05,19.5,19.5,19.5,19.5,150
1995-01-06,19.71,19.71,19.71,19.71,200
1995-01-09,20.6,20.6,20.6,20.6,100
1995-01-10,20.6,20.6,20.6,20.6,100
1995-01-11,16.4,16.4,15.4,15.4,300
1995-01-13,16,16,15,15,500
1995-01-16,17.4,17.8,17.4,17.8,200
1995-01-17,17.5,17.5,17.5,17.5,50
1995-01-19,17.4,17.4,17.4,17.4,50
1995-01-23,17,17,17,17,200
1995-01-24,17,17.2,17,17.2,250
1995-01-25,17,17,17,17,300
1995-01-30,17,17,17,17,100
1995-01-31,17,17,16.4,16.4,150
1995-02-02,16.61,16.61,16.61,16.61,100
1995-02-03,16.4,16.6,16.4,16.6,150
1995-02-07,16,16,16,16,250
1995-02-08,16,16,16,16,50
1995-02-09,15.99,15.99,15.99,15.99,50
1995-02-15,17,17,17,17,50
1995-02-21,14.9,15,14.7,15,150
1995-02-28,15.6,15.6,15.6,15.6,50
1995-03-02,16,16,16,16,100
1995-03-03,16,16,16,16,50
1995-03-06,15.97,16,15.9,15.9,700
1995-03-09,14,14,14,14,50
1995-03-10,14,14.22,14,14.22,550
1995-03-21,13.8,13.8,13.8,13.8,400
1995-03-22,13.8,13.8,13.26,13.3,750
1995-03-23,13.6,13.6,13.6,13.6,50
1995-03-24,13.8,13.8,13.8,13.8,500
1995-03-27,14.4,14.4,14.4,14.4,200
1995-03-28,14.1,14.2,14.1,14.2,350
1995-03-29,13.54,14,13.4,13.99,650
1995-03-30,13.7,13.7,13.5,13.5,200
1995-03-31,13.75,13.8,13.4,13.4,2350
1995-04-03,12.8,12.8,12.4,12.4,550
1995-04-04,12.34,12.59,12.2,12.59,1250
1995-04-05,12.4,12.75,12.35,12.7,1050
1995-04-06,12.04,12.4,11.95,12.4,1900
1995-04-07,11.8,12.2,11.8,12,1350
1995-04-10,11.42,11.8,11.25,11.5,800
1995-04-11,11.21,11.6,11,11.6,800
1995-04-12,12.02,12.85,11,11.4,1950
1995-04-17,11.8,11.82,11.6,11.6,600
1995-04-18,11.54,11.6,11.2,11.4,1600
1995-04-19,11.25,11.4,11.2,11.4,1200
1995-04-20,11.02,11.3,10.9,11.2,1500
1995-04-21,10.91,11,10.42,10.8,1500
1995-04-24,10.52,10.7,10.5,10.5,400
1995-04-25,10.2,10.21,10.2,10.21,600
1995-04-26,10.1,10.3,10.01,10.3,2100
1995-04-27,9.44,10.1,9.44,10,1650
1995-04-28,9.67,10,9.44,9.44,600
1995-05-02,8.8,9.6,8.8,9.2,2250
1995-05-03,9.47,9.6,8.8,8.8,2750
1995-05-04,10,10,9.2,9.2,1600
1995-05-05,10.1,10.1,9.8,9.8,650
1995-05-08,10.33,10.98,10,10,1300
1995-05-09,10.53,11.2,10.4,10.8,2750
1995-05-10,10.4,11,10.4,10.8,3200
1995-05-12,10.6,10.6,10.45,10.45,1250
1995-05-15,10.5,10.55,10.3,10.3,1650
1995-05-16,10.4,10.54,10.2,10.3,1350
1995-05-17,10.5,10.5,10.2,10.2,550
1995-05-18,10.5,10.61,10.3,10.3,1500
1995-05-19,11,11,10.4,10.4,800
1995-05-22,10.7,10.7,10.6,10.6,400
1995-05-23,10.26,10.4,9.7,9.7,1200
1995-05-24,10.5,10.6,10.2,10.2,1050
1995-05-25,10.4,10.4,10.3,10.3,350
1995-05-26,10.26,10.4,10.2,10.2,2800
1995-05-29,10.24,10.4,10.2,10.2,1050
1995-05-30,10.15,10.25,10,10.25,400
1995-05-31,10,10,9.45,10,1050
1995-06-01,10.42,10.55,10,10,1400
1995-06-02,10.75,10.75,10.4,10.4,7300
1995-06-05,10.9,10.97,10.25,10.26,1700
1995-06-06,10.55,10.8,10.41,10.8,1500
1995-06-07,10.6,10.8,10.55,10.55,650
1995-06-08,10.1,10.4,10.1,10.2,550
1995-06-09,10.4,10.4,10,10,300
1995-06-12,10.05,10.2,9.7,9.7,700
1995-06-13,9.72,10,9.72,9.75,750
1995-06-14,9.71,9.71,9.65,9.65,250
1995-06-15,10,10,9.6,9.6,650
1995-06-16,9.9,9.9,9.7,9.8,450
1995-06-19,9.7,9.7,9.6,9.6,150
1995-06-20,9.9,10.4,9.8,10,1200
1995-06-21,10,10,10,10,700
1995-06-22,9.8,9.9,9.61,9.8,350
1995-06-23,10.1,10.1,9.23,9.23,650
1995-06-26,9.6,9.6,9.1,9.1,600
1995-06-27,9.21,9.21,9.21,9.21,150
1995-06-28,9.62,9.63,9.6,9.6,750
1995-06-29,9.57,9.8,9.3,9.71,4550
1995-06-30,9.45,9.45,9,9.4,350
1995-07-03,9.01,9.01,9.01,9.01,200
1995-07-04,9.25,9.25,9,9.2,1900
1995-07-05,9.21,9.39,9.21,9.25,250
1995-07-06,9.2,9.2,8.5,9.2,450
1995-07-07,9.15,9.19,8.4,8.4,650
1995-07-10,9.05,9.1,9.05,9.1,550
1995-07-11,9.42,9.75,9.2,9.4,500
1995-07-12,9.2,9.2,9.2,9.2,50
1995-07-13,9.4,9.6,9.3,9.6,350
1995-07-14,9.3,9.3,9.3,9.3,100
1995-07-17,9.6,9.6,9.4,9.59,100450
1995-07-18,9.4,9.6,9.22,9.6,1550
1995-07-19,9.6,9.75,9.4,9.4,9250
1995-07-20,9.64,9.75,9.4,9.4,16400
1995-07-21,9.62,9.65,9.4,9.6,30000
1995-07-24,9.13,9.7,8.8,9.7,11150
1995-07-25,9.54,9.55,9.15,9.15,29500
1995-07-26,9.75,9.75,9.21,9.21,10050
1995-07-27,9.61,9.8,9.4,9.4,27950
1995-07-28,9.55,9.6,9.5,9.6,7100
1995-07-31,9.55,9.55,9.4,9.41,6950
1995-08-01,9.45,9.55,8.61,8.95,8050
1995-08-02,9.45,9.65,9.02,9.02,26850
1995-08-03,9.4,9.45,9.28,9.4,9150
1995-08-04,9.4,9.45,9.2,9.2,8850
1995-08-07,9.45,9.8,9.3,9.38,7400
1995-08-08,9.45,9.59,9.03,9.59,6400
1995-08-09,9.5,9.55,9.2,9.2,9000
1995-08-11,9.55,9.55,9.4,9.4,7000
1995-08-14,9.49,9.55,9.4,9.4,11800
1995-08-16,9.31,9.41,9.3,9.4,3100
1995-08-17,9.45,9.45,9.2,9.4,6300
1995-08-18,9.45,9.45,8.8,8.8,6700
1995-08-21,9.2,9.45,9.2,9.2,7050
1995-08-22,9.43,9.45,9.2,9.21,11050
1995-08-23,9.55,9.8,9.4,9.5,750
1995-08-24,9.45,9.55,9.45,9.45,6400
1995-08-25,9.16,9.35,9,9.01,8800
1995-08-28,8.85,9.1,8.84,8.84,300
1995-08-30,8.9,8.9,8.8,8.8,150
1995-08-31,8.75,8.75,8.75,8.75,50
1995-09-01,8.8,8.8,8.75,8.75,400
1995-09-05,9.15,9.2,8.61,8.61,8550
1995-09-07,8.65,8.65,8.61,8.61,3250
1995-09-08,8.61,8.61,8.61,8.61,150
1995-09-11,8.77,8.8,8.4,8.6,650
1995-09-12,8.7,9,8.7,8.8,250
1995-09-13,8.68,8.75,8.42,8.42,10850
1995-09-14,8.58,8.65,8.4,8.43,8200
1995-09-15,8.6,8.7,8.5,8.7,900
1995-09-18,8.55,8.79,8.55,8.79,700
1995-09-19,8.6,8.6,8.4,8.6,1650
1995-09-20,8.51,8.51,8.5,8.5,200
1995-09-21,8.92,9,8.6,8.7,6400
1995-09-22,8.82,8.9,8.79,8.9,1650
1995-09-25,8.8,8.99,8.7,8.7,600
1995-09-26,8.7,8.9,8.6,8.9,3750
1995-09-27,8.4,8.74,8.05,8.05,400
1995-09-28,8.54,8.6,8.4,8.5,1800
1995-09-29,8.4,8.6,8.3,8.6,1400
1995-10-04,8.5,8.5,8.4,8.4,250
1995-10-05,8.6,8.8,8.4,8.5,400
1995-10-06,8.6,8.6,8.5,8.5,350
1995-10-09,8.61,8.8,8.6,8.7,350
1995-10-10,8.61,8.65,8.5,8.61,3650
1995-10-11,8.45,8.6,8.45,8.6,1700
1995-10-12,8.45,8.6,8.45,8.51,1250
1995-10-13,8.23,8.55,8.23,8.55,1550
1995-10-16,8.5,8.6,8.4,8.5,1000
1995-10-17,7.71,8.2,7.7,8,250
1995-10-18,8.05,8.05,7.83,7.71,1900
1995-10-19,7.94,7.97,7.6,8.05,1000
1995-10-20,7.93,7.95,7.7,7.7,1100
1995-10-23,7.65,7.7,7.53,7.53,150
1995-10-26,7.65,7.65,7.5,7.5,150
1995-10-27,7.41,7.44,7.21,7.65,1100
1995-10-30,7.21,7.4,7.21,7.4,1200
1995-10-31,7,7.2,6.8,7.2,2750
1995-11-01,7.1,7.1,7.1,7.1,1100
1995-11-02,7.3,7.5,7.15,7.15,2100
1995-11-03,7.37,7.4,7,7.3,1800
1995-11-06,7.4,7.4,7.25,7.25,200
1995-11-07,7.22,7.37,7.19,7.4,1150
1995-11-08,7.3,7.4,7,7,250
1995-11-09,6.76,6.9,6.76,6.79,1700
1995-11-10,7.06,7.08,6.9,7,1900
1995-11-13,7.2,7.2,6.7,7.06,2300
1995-11-14,6.87,7.2,6.82,7.2,750
1995-11-15,7.2,7.2,6.86,6.86,750
1995-11-16,7.21,7.3,7.1,7.2,900
1995-11-17,7.13,7.2,7.03,7.21,900
1995-11-20,7.1,7.13,6.9,7.13,500
1995-11-21,6.7,7.15,6.61,7.15,1200
1995-11-22,6.9,6.9,6.8,6.8,700
1995-11-23,6.75,6.75,6.6,6.6,300
1995-11-24,6.8,6.8,6.6,6.6,650
1995-11-27,6.82,7.2,6.8,6.9,1050
1995-11-28,6.8,6.99,6.6,6.99,650
1995-11-29,6.6,6.8,6.6,6.8,1000
1995-11-30,6.65,6.75,6.6,6.6,1350
