Date,Close,High,Low,Open,Volume
2020-10-22,92.15,97,92.15,97,254790
2020-10-23,87.55,87.55,87.55,87.55,39370
2020-10-26,83.2,83.2,83.2,83.2,22653
2020-10-27,79.05,79.05,79.05,79.05,14894
2020-10-28,75.1,75.1,75.1,75.1,54677
2020-10-29,71.35,71.35,71.35,71.35,40577
2020-10-30,67.8,67.8,67.8,67.8,32680
2020-11-02,64.45,64.45,64.45,64.45,69112
2020-11-03,67.65,67.65,61.25,61.25,4928871
2020-11-04,64.3,68.95,64.3,68.95,1921329
2020-11-05,58.4,62.85,54.4,62.7,6198675
2020-11-06,64.75,68.6,58.35,59,5133633
2020-11-09,65.3,66.7,63.4,65.8,1369302
2020-11-10,61.35,65.35,60,65,891481
2020-11-11,61.7,64,61.5,61.6,790511
2020-11-12,63,64.25,61.8,62.35,604249
2020-11-13,62.9,64,62.45,62.45,312357
2020-11-16,65.5,65.8,64.1,64.5,386916
2020-11-17,63.95,66.95,63.6,66.95,784011
2020-11-18,67.3,71.6,63.55,64.25,3212792
2020-11-19,66.85,70.85,66,67.95,1820774
2020-11-20,65.35,68,64.5,67.7,785949
2020-11-23,64.85,66.5,64.5,66.5,529633
2020-11-24,63.8,66,63.6,66,447726
2020-11-25,63.05,64.9,62,64.9,658856
2020-11-26,62.9,64.8,62.3,63.9,768206
2020-11-27,63.05,63.5,62.7,63.15,1653062
2020-12-01,64.2,67.15,63.4,63.8,5490225
2020-12-02,72.8,73.9,63.5,64,10245492
2020-12-03,76.25,80.5,73.6,75,7007756
2020-12-04,74.7,77,72.3,77,2102260
2020-12-07,75,76.35,72.9,75.75,2784478
2020-12-08,78.65,82,76.4,79,9195559
2020-12-09,77.65,79.6,77.2,79.6,1800850
2020-12-10,75.35,77.55,74.1,76.5,1368248
2020-12-11,76.7,81.85,75.05,75.05,3228071
2020-12-14,78.4,79,75.1,77.9,1932148
2020-12-15,76.45,78.75,76.1,78.75,1117710
2020-12-16,77.3,79,76.6,78,1853079
2020-12-17,75.35,78.4,74.8,77.55,1034017
2020-12-18,72.7,75.85,72.5,75.5,1640048
2020-12-21,67.5,73.5,66,73.3,1586682
2020-12-22,71.05,71.8,64.5,69.05,1133484
2020-12-23,71.95,72,70.7,71.6,474778
2020-12-24,71.45,73.1,70.7,72.25,755915
2020-12-28,70.7,72.4,69.8,71.75,595902
2020-12-29,73.55,74.8,70,71,2776380
2020-12-30,88.25,88.25,72.5,74.7,10574707
2020-12-31,95.05,102.7,92.7,97.3,15363123
2021-01-01,91.8,96,90.25,95.95,4425308
2021-01-04,89.05,93.55,88.3,92.7,3622465
2021-01-05,91.6,97,88,88.5,4280511
2021-01-06,89.95,92.85,88.4,92.4,2925371
2021-01-07,94.4,97,89.2,91.8,10252941
2021-01-08,112.6,113.25,96.5,98.65,20949148
2021-01-11,119.6,124.45,108.65,117.2,12226351
2021-01-12,131.1,131.55,115.2,117.95,9314639
2021-01-13,134.4,141.2,125.05,130.4,14188207
2021-01-14,128.35,137.3,127.05,130.1,4827136
2021-01-15,130.45,132.4,124.1,128.5,5172920
2021-01-18,141.4,143.45,127.6,132,10830093
2021-01-19,144.65,152.1,142.75,145.5,7256537
2021-01-20,143.1,149,141.5,147,2989231
2021-01-21,143.05,152.45,140.1,145,5986760
2021-01-22,137.6,149.2,133.45,144.2,4614014
2021-01-25,136.55,142.4,133.25,139.85,2355812
2021-01-27,130.95,137.4,129.5,137.4,1700923
2021-01-28,131.6,134.25,127.1,127.5,2017159
2021-01-29,139.65,143.5,133,133,4579882
2021-02-01,147.15,151,139.65,141.1,4424578
2021-02-02,141.35,149,140.4,144.7,998338
2021-02-03,136.8,142,135.1,142,726524
2021-02-04,143.6,143.6,136,139,420690
2021-02-05,150.75,150.75,144,146.5,1389933
2021-02-08,158.25,158.25,158.25,158.25,327982
2021-02-09,166.15,166.15,166.15,166.15,201694
2021-02-10,174.35,174.45,157.85,168,3166492
2021-02-11,183.05,183.05,175,175,1278368
2021-02-12,192.2,192.2,189,191.4,813408
2021-02-15,198.7,201.8,184,201.8,2986959
2021-02-16,188.8,195.7,188.8,194,1610919
2021-02-17,179.4,182.55,179.4,181,372091
2021-02-18,187,188.35,170.45,170.45,1454104
2021-02-19,179.2,191.8,177.65,182,752351
2021-02-22,176.3,188,171,181.5,1148194
2021-02-23,176.6,183.25,175,178.9,424531
2021-02-24,178.95,183.9,177.65,182.3,293626
2021-02-25,175.6,182.7,175,180,1268353
2021-02-26,175.1,180,170.05,172.4,356320
2021-03-01,173.05,183,172,182,753189
2021-03-02,171.25,176.4,170,174.95,351826
2021-03-03,171.3,174.9,170,172.2,363894
2021-03-04,168.25,171,166,170,1367908
2021-03-05,163.25,169,160.6,166,413337
2021-03-08,166.75,169,164.25,164.65,342505
2021-03-09,160.65,168.25,158.45,168.2,583671
2021-03-10,155.5,164.9,154.5,164,438399
