Date,Close,High,Low,Open,Volume
1995-01-02,112.5,112.5,111,111,750
1995-01-03,111.5,111.5,111.5,111.5,100
1995-01-04,110,111,110,111,200
1995-01-05,110,110,107.5,107.5,150
1995-01-06,111,111,111,111,50
1995-01-09,109,110,109,110,250
1995-01-10,105,105,105,105,450
1995-01-11,104,104,100,100,150
1995-01-12,100.5,100.5,100.5,100.5,5000
1995-01-13,104,104,100.5,104,5200
1995-01-16,100,100,100,100,50
1995-01-17,103,103,101.5,101.5,150
1995-01-18,103.5,103.5,103.5,103.5,50
1995-01-19,104.5,104.5,103.5,103.5,250
1995-01-20,103.2,103.5,103.2,103.5,1100
1995-01-23,100.835,101.9,100,100,400
1995-01-24,96.5,96.5,96,96,200
1995-01-25,98.2,98.2,98,98,150
1995-01-27,99.5,99.9,99.5,99.9,150
1995-01-30,100,100,100,100,50
1995-01-31,102.5,102.5,99,100,350
1995-02-01,106.17,111,102.5,102.5,600
1995-02-02,104,104,103,103,550
1995-02-03,103.5,104.5,102.5,104.5,300
1995-02-06,100.5,102,100,102,350
1995-02-07,96.75,97.5,96,97.5,100
1995-02-08,100.05,101,100,100,250
1995-02-09,101,101,101,101,50
1995-02-10,100.6,101,99.5,101,200
1995-02-13,99.5,99.5,99.5,99.5,50
1995-02-14,95.5,96.5,95.5,96.5,300
1995-02-15,98.5,99,98.5,99,100
1995-02-17,93.5,93.5,93.5,93.5,50
1995-02-21,90.65,93,90,93,1650
1995-02-22,92.5,95,92.5,95,8050
1995-02-23,94,94,94,94,50
1995-02-24,94,94,93,93,1050
1995-02-28,97,97,94,94,300
1995-03-01,94.9,96,94,94,1600
1995-03-02,97,97.6,97,97,1600
1995-03-03,97.5,97.5,96,97,8050
1995-03-06,97.5,97.5,92.5,92.5,800
1995-03-07,95.5,95.5,95.1,95.5,500
1995-03-08,96,96.5,96,96.5,7600
1995-03-09,97.5,97.5,97.5,97.5,50
1995-03-10,95.065,95.5,95,95.5,1900
1995-03-13,93,93,92,92,450
1995-03-14,93,93,92,92,300
1995-03-15,94.165,96.5,90.5,94.5,3350
1995-03-16,95,95,95,95,200
1995-03-20,93,93,93,93,50
1995-03-21,91,91,91,91,100
1995-03-22,90.5,94.5,90.5,94.5,350
1995-03-23,90,90.6,90,90.6,350
1995-03-24,90.2,90.5,90.1,90.5,400
1995-03-27,89.5,90,89.5,90,350
1995-03-28,90.8,96.5,90,96.5,850
1995-03-29,89.5,89.5,89.5,89.5,100
1995-03-30,89.1,90,89.1,90,100
1995-03-31,89.2,90,89.2,90,200
1995-04-03,89.3,89.5,88,88.5,900
1995-04-04,90.5,90.5,89.5,89.5,150
1995-04-05,90.8,92,90.5,92,650
1995-04-06,91.25,91.75,90,91,5450
1995-04-07,93,93,91.5,91.8,400
1995-04-10,91.05,91.1,91,91,200
1995-04-11,90.9,91.1,90.3,90.5,450
1995-04-12,91,91,91,91,200
1995-04-17,91,91.75,90.15,91.1,950
1995-04-18,89.5,90,89.5,90,450
1995-04-19,88.405,90,88,89.5,550
1995-04-20,87,90,87,90,1000
1995-04-21,87,89.5,87,89.5,300
1995-04-24,86,87.5,85,87.5,150
1995-04-25,83.34,84,83,84,3050
1995-04-26,82.775,85.7,82.5,85.7,2200
1995-04-27,80.5,81.2,80.5,81.2,600
1995-04-28,77.1,79,76,79,600
1995-05-02,76,77,76,77,250
1995-05-03,75,75.5,69,69.1,1950
1995-05-04,77.3,79.5,76.6,78.9,950
1995-05-05,79.1,80,77,77.9,650
1995-05-08,82,82,79.2,80.2,1400
1995-05-09,81.65,82.5,80.9,80.9,1800
