Date,Close,High,Low,Open,Volume
1995-01-02,54.0741,54.8148,54.0741,54.8148,400
1995-01-03,53.8519,55.5185,53.8519,55.5185,5300
1995-01-04,54.3704,54.8148,54.3704,54.8148,200
1995-01-06,53.1111,54.0741,53.1111,54.0741,5100
1995-01-09,51.7037,51.8519,51.1111,51.8519,500
1995-01-10,51.5556,53.1111,51.5556,53.1111,400
1995-01-11,52.5926,52.5926,52.5926,52.5926,100
1995-01-13,53.3333,53.3333,53.3333,53.3333,100
1995-01-16,53.3333,53.3333,53.3333,53.3333,100
1995-01-19,52.5926,52.5926,52.5926,52.5926,200
1995-01-20,51.1111,51.2593,51.1111,51.2593,200
1995-01-23,51.1111,51.8519,51.1111,51.8519,900
1995-01-24,48.8889,49.6296,48.8889,49.6296,200
1995-01-25,49.6296,49.6296,49.6296,49.6296,200
1995-01-27,48.2222,49.6296,48.2222,49.6296,1200
1995-01-30,49.6296,50.2222,49.6296,50.2222,900
1995-01-31,50.5185,50.6667,50.5185,50.6667,200
1995-02-01,50.963,50.963,50.3704,50.3704,900
1995-02-02,50.3704,50.3704,49.2593,50,1000
1995-02-03,50.3704,50.3704,49.4815,49.5926,16300
1995-02-06,49.6296,50,49.6296,50,1100
1995-02-07,49.1852,49.7778,49.037,49.6296,900
1995-02-08,49.6074,49.6296,49.1852,49.6296,1800
1995-02-09,49.037,49.4815,48.1481,49.4815,1500
1995-02-10,48.1852,48.8889,48.1852,48.8889,500
1995-02-13,46.6741,47.7778,45.9259,47.4074,4400
1995-02-14,47.5556,47.5556,46.2222,46.6667,3400
1995-02-15,46.8148,47.5556,46.6667,46.6667,1900
1995-02-16,46.8148,47.4074,46.5185,47.4074,2000
1995-02-17,46.5185,47.037,46.2222,47.037,2200
1995-02-20,46.3704,46.6667,46.3704,46.6593,1000
1995-02-21,45.1852,45.9259,45.1852,45.9259,500
1995-02-22,45.6296,45.6296,44.5926,44.5926,7700
1995-02-23,45.9259,45.9259,45.9259,45.9259,100
1995-02-24,48.5185,48.5185,47.4074,47.4074,3200
1995-02-28,49.2593,49.2593,46.6667,46.8148,1500
1995-03-01,49.6296,49.6296,47.4074,47.4074,200
1995-03-02,50.4444,50.5185,49.6296,49.6296,300
1995-03-03,51.8519,52.2222,51.2963,51.2963,500
1995-03-07,50,51.1111,50,51.1111,200
1995-03-08,49.9259,50,49.9259,50,3300
1995-03-09,51.1111,51.1111,50.0741,50.0741,400
1995-03-10,50.4074,50.6667,50.3704,50.6667,1700
1995-03-13,50,50,50,50,100
1995-03-14,50.3704,50.3704,49.6296,49.6296,800
1995-03-15,48.8889,49.037,48.8889,49.037,200
1995-03-20,47.4074,47.4074,47.4074,47.4074,300
1995-03-21,47.1111,48.1481,47.1111,47.4074,3300
1995-03-22,46.963,47.1185,46.963,47.1111,500
1995-03-23,47.037,47.037,46.8889,46.963,5700
1995-03-24,47.2593,47.4,46.963,47.4,20100
1995-03-27,46.3704,46.3704,46.3704,46.3704,200
