Date,Close,High,Low,Open,Volume
1995-01-02,61.9172,62.4208,61.3717,62.4208,500
1995-01-03,62.9453,62.9453,61.3717,61.8963,750
1995-01-04,60.7423,62.0012,60.7423,61.8963,300
1995-01-05,59.2735,60.8472,59.2735,60.8472,250
1995-01-06,56.1263,59.3784,56.1263,59.0637,950
1995-01-09,58.9588,60.8472,58.9588,60.8472,350
1995-01-10,59.0375,59.0375,58.2244,58.4343,700
1995-01-11,57.6999,57.6999,57.1754,57.6999,550
1995-01-12,59.7981,59.7981,58.5392,58.749,700
1995-01-13,62.9453,62.9453,58.749,58.749,200
1995-01-16,61.2406,63.9944,59.7981,63.9944,1150
1995-01-17,63.4699,63.4699,62.1585,62.1585,650
1995-01-18,62.9453,63.9944,61.8963,63.4699,850
1995-01-19,62.9453,63.1552,62.4208,62.9453,1400
1995-01-20,62.9453,63.2076,62.6306,63.2076,1400
1995-01-23,61.2668,62.3159,61.2668,62.3159,2150
1995-01-24,60.2177,60.8472,59.5883,60.8472,850
1995-01-25,59.7981,60.3226,59.7981,60.3226,650
1995-01-27,60.3226,60.3226,59.5883,60.0603,600
1995-01-30,61.8963,61.8963,60.8472,61.057,450
1995-01-31,61.8963,63.9944,57.6999,57.6999,10600
1995-02-01,62.4208,63.4699,62.1061,62.9453,1400
1995-02-02,62.8404,63.9944,62.6831,62.6831,5900
1995-02-03,62.9034,62.9453,62.1061,62.1061,5450
1995-02-06,62.426,63.4699,62.4208,62.9453,1250
1995-02-07,62.1061,62.9453,61.3717,62.9453,650
1995-02-09,62.4208,62.4208,61.634,61.8963,550
1995-02-10,61.4766,62.4208,61.4766,62.4208,500
1995-02-13,62.7041,62.9453,61.8963,62.4208,1250
1995-02-14,59.3784,61.8963,59.2735,61.8963,1500
1995-02-15,60.8472,61.5553,60.8472,60.8472,800
1995-02-16,60.8472,60.8472,60.3226,60.8472,6000
1995-02-17,60.3226,60.7423,58.749,58.749,500
1995-02-20,58.8539,60.3226,58.8539,59.7981,450
1995-02-21,58.2244,58.749,58.2244,58.749,350
1995-02-22,57.9674,58.4343,57.6999,58.4343,600
1995-02-23,60.3226,61.3717,59.2735,61.3717,450
1995-02-24,60.5849,61.3717,59.7981,59.7981,550
1995-02-28,59.9659,60.5849,59.7981,60.3174,1900
1995-03-01,60.8472,61.1094,60.3226,61.057,2650
1995-03-02,60.8472,61.8963,59.7981,61.4766,6350
1995-03-03,60.8472,61.8963,60.4275,61.8963,2450
1995-03-06,61.8963,61.8963,59.7981,59.7981,800
1995-03-07,60.3751,60.8472,59.7981,60.8472,2100
1995-03-08,60.2177,61.3717,60.1128,61.1094,3150
1995-03-09,61.3455,61.3717,60.3226,60.6373,2000
1995-03-10,60.1495,61.8963,60.1128,60.7947,5450
1995-03-13,59.8505,60.0603,56.8606,59.7981,1150
1995-03-14,60.6741,61.8963,60.0079,60.3226,2000
1995-03-15,58.2244,60.9521,57.6999,60.9521,10050
1995-03-16,60.3226,60.3226,52.4545,52.4545,500
1995-03-20,60.0341,60.5849,58.749,58.749,1400
