Date,Close,High,Low,Open,Volume
1995-01-02,3,3.295,3,3.295,3700
1995-01-03,3.02,3.05,3,3.05,600
1995-01-04,3.075,3.175,3.075,3.175,1600
1995-01-05,2.995,3.1,2.99,3.075,2200
1995-01-06,3,3.025,3,3.025,1100
1995-01-09,2.85,2.9,2.85,2.9,1600
1995-01-10,2.775,2.95,2.775,2.95,3300
1995-01-11,2.8,2.8,2.8,2.8,300
1995-01-12,2.975,2.975,2.875,2.9,700
1995-01-13,3.1,3.1,3.1,3.1,100
1995-01-17,2.9,2.9,2.9,2.9,900
1995-01-19,2.8,2.8,2.8,2.8,100
1995-01-20,2.79,2.8,2.76,2.8,600
1995-01-23,2.85,2.85,2.8,2.8,700
1995-01-24,2.7,2.875,2.6,2.875,1100
1995-01-25,2.7,2.71,2.7,2.71,1300
1995-01-27,2.85,2.875,2.825,2.825,1100
1995-01-30,2.75,2.945,2.75,2.945,1600
1995-01-31,2.72,2.75,2.715,2.75,4500
1995-02-01,2.725,2.8,2.725,2.725,1700
1995-02-02,2.73,2.75,2.7,2.75,900
1995-02-03,2.725,2.73,2.7,2.73,2300
1995-02-06,2.485,2.73,2.45,2.7,12500
1995-02-07,2.32,2.5,2.25,2.495,20400
1995-02-08,2.36,2.45,2.325,2.4,4100
1995-02-09,2.3,2.35,2.3,2.35,2600
1995-02-10,2.3,2.375,2.3,2.3,1600
1995-02-13,2.275,2.325,2.275,2.3,26700
1995-02-14,2.305,2.305,2.275,2.275,6200
1995-02-15,2.06,2.32,2.06,2.3,20500
1995-02-16,2.12,2.12,2.015,2.1,9100
1995-02-17,2.015,2.15,2,2.1,11200
1995-02-20,1.995,2.075,1.995,2.075,1600
1995-02-21,1.95,1.985,1.925,1.95,3500
1995-02-22,1.9,1.965,1.8,1.8,7700
1995-02-23,1.89,1.975,1.875,1.875,7200
1995-02-24,2.04,2.05,1.91,2,20300
1995-02-28,2.005,2.045,2,2.045,8000
1995-03-01,2.045,2.045,2,2.025,6300
1995-03-02,2.1,2.115,2.025,2.05,3200
1995-03-03,2.25,2.25,2.13,2.2,3800
1995-03-06,2.25,2.3,2.23,2.23,6000
1995-03-07,2.25,2.25,2.2,2.22,5000
1995-03-08,2.35,2.35,2.3,2.3,7500
1995-03-09,2.27,2.35,2.25,2.3,12200
1995-03-10,2.31,2.35,2.28,2.3,12600
1995-03-13,2.215,2.215,2.1,2.1,2000
1995-03-14,2.16,2.175,2.15,2.15,3600
1995-03-15,2.31,2.395,2.31,2.375,1100
1995-03-16,2.25,2.25,2.025,2.2,4200
1995-03-20,2.025,2.2,2.005,2.2,7000
1995-03-21,2,2.04,2,2.04,2500
1995-03-22,2.05,2.05,1.2,1.2,800
1995-03-23,2,2.075,2,2.075,2100
1995-03-24,2,2.05,1.95,2.05,1400
1995-03-27,1.935,2.05,1.905,1.905,1400
1995-03-28,1.925,2.04,1.9,2,6800
1995-03-29,1.925,1.925,1.925,1.925,100
1995-03-30,1.98,2,1.95,2,1700
1995-03-31,2,2,1.955,1.955,4800
1995-04-03,1.975,2,1.975,2,700
1995-04-04,1.955,2,1.95,1.95,4300
1995-04-05,1.98,2.025,1.95,1.955,7500
1995-04-06,2,2,1.975,1.98,700
1995-04-07,1.955,2,1.95,1.985,4600
1995-04-10,1.95,1.975,1.94,1.95,4200
1995-04-11,1.975,1.975,1.975,1.975,400
1995-04-12,2,2,1.95,1.95,1400
1995-04-17,2.02,2.02,1.98,2,1500
1995-04-18,1.95,1.995,1.95,1.95,1000
1995-04-19,1.95,1.99,1.95,1.95,1400
1995-04-20,1.9,1.925,1.9,1.925,800
1995-04-21,1.92,1.92,1.92,1.92,200
1995-04-24,1.9,1.9,1.9,1.9,500
1995-04-25,1.8,1.85,1.8,1.8,1200
1995-04-26,1.75,2,1.75,2,1400
1995-04-27,1.715,1.75,1.715,1.75,1800
1995-04-28,1.725,1.775,1.72,1.775,800
1995-05-02,1.7,1.7,1.65,1.7,3100
1995-05-03,1.6,1.75,1.6,1.75,1500
1995-05-04,1.675,1.695,1.65,1.695,2800
