Date,Close,High,Low,Open,Volume
1995-05-10,4.55,4.55,4.21667,4.21667,900
1995-05-12,4.43333,4.43333,4.31667,4.33333,400
1995-05-15,4.19667,4.23333,4.16667,4.2,2700
1995-05-16,4.08333,4.2,4.06667,4.2,4900
1995-05-17,4.33333,4.33333,4.23333,4.33333,1000
1995-05-18,4.46667,4.56667,4.31667,4.31667,2300
1995-05-19,4.61667,4.86667,4.56667,4.66667,2300
1995-05-22,4.48667,4.65,4.47,4.65,1200
1995-05-23,4.42333,4.53333,4.4,4.4,1800
1995-05-24,4.42333,4.46667,4.4,4.46667,1000
1995-05-25,4.26667,4.4,4.26667,4.4,900
1995-05-26,4.5,4.5,4.3,4.3,700
1995-05-29,4.41,4.46333,4.33333,4.4,1300
1995-05-30,4.3,4.4,4.26667,4.36667,1400
1995-05-31,4.4,4.43333,4.35,4.4,2400
1995-06-01,4.46667,4.5,4.46667,4.5,800
1995-06-02,4.46667,4.46667,4.43333,4.43333,1000
1995-06-05,4.51,4.6,4.46667,4.6,3900
1995-06-06,4.61333,4.66667,4.5,4.5,1800
1995-06-07,4.8,4.8,4.6,4.6,1300
1995-06-08,4.66667,4.66667,4.6,4.66667,1100
1995-06-09,4.63333,4.66667,4.53333,4.63333,1700
1995-06-12,4.53333,4.53333,4.46667,4.53333,500
1995-06-13,4.56667,4.6,4.53333,4.53667,3500
1995-06-14,4.53333,4.53333,4.46667,4.53333,700
1995-06-15,4.43333,4.53333,4.43333,4.53333,1100
1995-06-16,4.33667,4.4,4.33333,4.4,300
1995-06-19,4.4,4.4,4.35,4.35,400
1995-06-20,4.32667,4.46667,4.3,4.36667,2100
1995-06-21,4.4,4.4,4.33333,4.4,1200
1995-06-22,4.33333,4.33333,4.25667,4.26667,1800
1995-06-23,4.3,4.35,4.3,4.33333,1900
1995-06-26,4.21667,4.26333,4.13333,4.13333,1200
1995-06-27,4.13333,4.16667,4.06667,4.06667,2100
1995-06-28,4.16333,4.25,4.13333,4.25,700
1995-06-29,4.15667,4.33333,4.13333,4.26667,2100
1995-06-30,4.16667,4.2,4.16667,4.2,1000
1995-07-03,4,4.08333,4,4.08333,500
1995-07-04,4,4,3.93333,3.93333,2100
1995-07-05,4.06667,4.11667,4.00333,4.00333,1400
1995-07-06,4,4,3.93333,4,1400
1995-07-07,4.08,4.09333,3.86667,4.03333,1300
1995-07-10,4.33333,4.33333,4.06667,4.06667,2800
1995-07-11,4.48333,4.53333,4.2,4.26667,11800
1995-07-12,4.60333,4.66667,4.4,4.4,6500
1995-07-13,4.55,4.6,4.5,4.53667,2400
1995-07-14,4.48333,4.5,4.4,4.4,1700
1995-07-17,4.93333,4.93333,4.60667,4.75,5500
1995-07-18,4.77333,5.03333,4.66667,4.96667,4600
1995-07-19,4.71,4.8,4.66667,4.73333,5300
1995-07-20,4.68667,4.84667,4.68667,4.8,3700
1995-07-21,4.4,4.66667,4.2,4.53333,8700
1995-07-24,4.56667,4.6,4.46333,4.53333,3400
1995-07-25,4.6,4.66667,4.56667,4.56667,6800
1995-07-26,4.66667,4.87,4.66667,4.76667,7800
1995-07-27,4.66,4.73333,4.5,4.73333,2000
1995-07-28,4.4,4.4,4.4,4.4,2200
1995-07-31,4.23333,4.33333,4.23333,4.33333,1000
1995-08-01,4.12333,4.33333,4.1,4.33333,3100
1995-08-02,4.3,4.4,4.3,4.4,300
1995-08-03,4.33,4.4,4.3,4.33333,1300
1995-08-04,4.13333,4.26667,4.06667,4.26667,900
1995-08-07,4.25,4.26667,4.2,4.26667,3500
1995-08-08,4.51333,4.51333,4.26667,4.26667,3800
1995-08-09,4.73,4.73333,4.56667,4.56667,5600
1995-08-11,4.54,4.66333,4.4,4.4,2300
1995-08-14,4.53333,4.6,4.33333,4.34,5700
1995-08-16,4.58333,4.58333,4.53333,4.56667,3500
1995-08-17,4.61667,4.61667,4.56667,4.56667,2000
1995-08-18,4.96667,5.13333,4.53333,4.53333,8200
1995-08-21,5.11667,5.13333,4.86667,4.97333,20700
1995-08-22,5.06667,5.23333,5.00333,5.2,26200
1995-08-23,5.06667,5.2,5.03333,5.2,12800
1995-08-24,4.68333,5,4.53333,5,10400
1995-08-25,4.37,4.46667,4.26667,4.33333,14200
1995-08-28,3.82333,4.66667,3.8,4.53333,43500
1995-08-30,3.94667,4.2,3.8,3.8,33900
1995-08-31,4.25667,4.4,3.95333,4.11667,21400
1995-09-01,4.20333,4.43333,4.11333,4.33333,18700
1995-09-05,4.05,4.15,4.03333,4.1,7000
1995-09-07,4.03333,4.06667,3.96667,4.06667,6400
1995-09-08,3.96333,4.06667,3.9,4.06667,6600
1995-09-11,3.93333,3.95,3.88333,3.94,6300
1995-09-12,3.88,3.93,3.86667,3.88333,9200
1995-09-13,3.83,3.86667,3.79667,3.8,4600
1995-09-14,3.78,3.86667,3.66667,3.86667,6200
1995-09-15,3.69667,3.73333,3.6,3.6,10800
1995-09-18,3.84667,4,3.56667,3.63333,14200
1995-09-19,3.89333,4.06667,3.83333,3.93333,16400
1995-09-20,3.82333,4.06667,3.82,4.03333,3600
1995-09-21,3.82667,3.86667,3.8,3.8,2600
1995-09-22,3.79667,3.83333,3.74667,3.79667,1600
1995-09-25,3.78333,3.8,3.7,3.8,2500
1995-09-26,3.64667,3.73333,3.46667,3.46667,7700
1995-09-27,3.73,3.73,3.53333,3.56667,3700
1995-09-28,3.66667,3.66667,3.56667,3.63333,1700
1995-09-29,3.53333,3.53333,3.53333,3.53333,1500
1995-10-04,3.58333,3.6,3.56667,3.6,1400
1995-10-05,3.56667,3.6,3.56667,3.58333,1400
1995-10-06,3.8,4.13333,3.53333,3.53333,3800
1995-10-09,3.9,4,3.86667,3.86667,2600
1995-10-10,3.90333,3.93,3.9,3.9,6100
1995-10-11,3.9,3.93333,3.9,3.90333,8600
1995-10-12,3.7,3.76667,3.66667,3.66667,3000
1995-10-13,3.7,3.8,3.7,3.8,3800
1995-10-16,3.6,3.6,3.54667,3.7,700
1995-10-17,3.47,3.6,3.46667,3.6,4300
1995-10-18,3.33333,3.56667,3.33333,3.46667,2500
1995-10-19,3.43333,3.45,3.33667,3.33333,2100
1995-10-20,3.33333,3.36667,3.26667,3.36667,3300
1995-10-23,3.18333,3.26667,3.13333,3.13333,700
1995-10-24,3.2,3.26667,3.2,3.26667,600
1995-10-25,3.26667,3.26667,3.21,3.23333,1100
1995-10-26,3.1,3.23667,3.1,3.23667,2600
1995-10-27,3.56,3.56667,3.08333,3.13333,4600
1995-10-30,3.56,3.76667,3.46667,3.56,6100
1995-10-31,3.51667,3.6,3.5,3.56,7800
1995-11-01,3.53667,3.56667,3.5,3.5,2100
1995-11-02,3.53333,3.56667,3.46667,3.53333,4000
1995-11-03,3.46667,3.46667,3.33667,3.43333,1400
1995-11-06,3.20333,3.43333,3.2,3.4,4300
1995-11-07,3.21,3.26667,3.2,3.20333,3800
1995-11-08,3.08333,3.26667,3.08333,3.21667,8000
1995-11-09,3.08333,3.2,3.06667,3.2,4900
1995-11-10,3.08667,3.2,3,3.2,4000
1995-11-13,2.8,3.13333,2.8,3.13333,6100
1995-11-14,2.73333,2.83333,2.58667,2.83333,6900
1995-11-15,2.74667,2.86667,2.73333,2.73333,8100
1995-11-16,2.73333,2.8,2.7,2.8,9800
1995-11-17,2.66667,2.76667,2.63333,2.73333,5400
1995-11-20,2.56667,2.83333,2.41667,2.72667,5200
1995-11-21,2.55,2.6,2.53333,2.56667,7300
1995-11-22,2.63333,2.63333,2.56667,2.56667,2300
1995-11-23,2.56667,2.61667,2.53333,2.61667,4500
1995-11-24,2.79667,2.8,2.5,2.56667,4500
1995-11-27,2.8,3,2.8,2.8,9300
1995-11-28,2.80667,2.86667,2.73667,2.86333,9600
1995-11-29,2.74,2.78333,2.56667,2.78333,3700
1995-11-30,2.86,2.86667,2.74,2.74,1800
1995-12-01,2.83333,2.83333,2.79333,2.79333,1800
1995-12-04,2.78333,2.83333,2.73333,2.73333,5000
1995-12-05,2.76667,2.83333,2.76667,2.77,6600
1995-12-06,2.8,2.92667,2.8,2.8,2900
1995-12-07,2.89667,2.89667,2.85,2.86667,4900
1995-12-08,2.93333,2.93333,2.9,2.93333,7500
1995-12-11,2.9,2.93333,2.78333,2.93333,4300
1995-12-12,2.81,2.83333,2.75,2.9,6600
1995-12-13,2.83333,2.83333,2.8,2.8,800
1995-12-14,2.80667,2.86667,2.73333,2.76667,2000
1995-12-15,2.76667,2.83333,2.76667,2.80667,800
1995-12-18,2.77,2.85333,2.73333,2.76667,9700
1995-12-19,2.8,2.86667,2.73333,2.77,7400
1995-12-20,2.80333,2.81667,2.8,2.8,2000
1995-12-21,2.83667,2.86667,2.8,2.80333,5300
1995-12-22,2.88333,2.9,2.83333,2.83667,1900
1995-12-26,2.86333,2.86333,2.83333,2.88333,2600
1995-12-27,2.87667,2.88333,2.83667,2.86333,1500
1995-12-28,2.85,2.9,2.85,2.87667,2100
1995-12-29,2.93333,2.93333,2.83333,2.83333,1900
1996-01-01,2.9,2.96667,2.8,2.93333,2900
1996-01-02,2.83333,2.9,2.8,2.9,5200
1996-01-03,2.93333,3,2.87333,2.83333,1100
1996-01-04,2.81667,2.86667,2.8,2.93333,2000
1996-01-05,2.8,2.82,2.8,2.81667,2200
1996-01-08,2.65,2.77,2.61667,2.77,1600
1996-01-09,2.65667,2.69333,2.60667,2.65,4000
1996-01-10,2.63333,2.66667,2.6,2.65667,2200
1996-01-11,2.61667,2.63333,2.56667,2.63333,2300
1996-01-12,2.56333,2.61667,2.55333,2.61667,3300
