Date,Close,High,Low,Open,Volume
2024-10-22,1819.6,1970,1807,1934,28619978
2024-10-23,1896.85,1928.9,1810,1815.2,7729113
2024-10-24,1871.2,1933.85,1853.45,1927.95,3271622
2024-10-25,1843.75,1884.25,1783,1871,3219776
2024-10-28,1803.35,1848.65,1795,1843.75,1341337
2024-10-29,1758.5,1807.95,1752,1807.95,2446675
2024-10-30,1832.05,1843.1,1760.65,1769.95,1516619
2024-10-31,1822.55,1842.95,1815.15,1823,522279
2024-11-01,1832.3,1848,1825,1825,158166
2024-11-04,1814.45,1841,1796.1,1832.25,926694
2024-11-05,1828.25,1840,1800,1802.35,889751
2024-11-06,1853.5,1868.4,1823.1,1826,903413
2024-11-07,1833.65,1849.9,1826,1841.65,650585
2024-11-08,1840.15,1847.6,1809.6,1830.2,577813
2024-11-11,1822.05,1865,1820,1830,445794
2024-11-12,1803.95,1842.25,1772.2,1826.2,1069276
2024-11-13,1739.95,1795,1714,1787,1500153
2024-11-14,1765.75,1779,1716.1,1749.95,580587
2024-11-18,1729.8,1759,1688.5,1751.9,1599438
2024-11-19,1829.8,1849,1729,1733,1824631
2024-11-21,1825.55,1859,1786.05,1819.95,1171989
2024-11-22,1830.2,1838,1811.25,1825.55,436515
2024-11-25,1853.35,1860,1832.05,1835.05,791187
2024-11-26,1880,1911,1853.35,1854.9,825461
2024-11-27,1907.45,1926.6,1895,1905.3,894423
2024-11-28,1902.65,1917.8,1874.15,1890,692877
2024-11-29,1916.55,1939,1897.05,1905.2,1301843
2024-12-02,1880.9,1915.45,1870.25,1875,476433
2024-12-03,1849.2,1889.85,1825.5,1885,961607
2024-12-04,1872.2,1877,1840.25,1840.25,640379
2024-12-05,1878.05,1898.9,1866.3,1875.9,506260
2024-12-06,1858.5,1880,1853.6,1876,612872
2024-12-09,1826.65,1871,1824,1858.5,403251
2024-12-10,1833.45,1842.95,1820,1829.95,367019
2024-12-11,1823.4,1840,1819,1840,337783
2024-12-12,1798.6,1861,1768.65,1769.05,1048206
2024-12-13,1772,1808.7,1760,1800,569711
2024-12-16,1817.4,1824.1,1766.25,1772,545726
2024-12-17,1824.25,1831,1802.05,1817.4,312411
2024-12-18,1795.85,1822.95,1790,1820.5,324766
2024-12-19,1787.45,1792,1766,1785.15,430008
2024-12-20,1766.2,1807.95,1758,1793.25,531540
2024-12-23,1752.6,1786,1738,1779.55,335306
2024-12-24,1765.2,1770,1749.35,1762.1,192311
2024-12-26,1777.8,1786.95,1750,1765.2,257169
2024-12-27,1792.1,1805.3,1776,1777.8,223552
2024-12-30,1796.6,1804.85,1776,1781.4,211968
2024-12-31,1806.1,1820,1786.55,1794.95,231141
2025-01-01,1799.4,1805,1791,1800,130344
2025-01-02,1818.65,1854,1791.3,1791.3,624221
2025-01-03,1828.65,1834.4,1812.05,1821.95,246250
2025-01-06,1801.15,1849,1797.6,1811,395362
2025-01-07,1833,1848.9,1803.05,1803.05,925887
2025-01-08,1811.4,1826.55,1800.05,1820,289586
2025-01-09,1785.55,1807.15,1766,1802,445286
2025-01-10,1787.6,1799,1774.4,1781,543447
2025-01-13,1766.95,1782.6,1747.15,1768.4,433775
2025-01-14,1782.05,1807,1764.1,1766.95,330495
2025-01-15,1795.5,1818,1776,1790,569286
2025-01-16,1817.1,1824.9,1791,1791.95,542776
2025-01-17,1789.1,1815,1738,1765,2441970
2025-01-20,1782.45,1795.3,1761.05,1789.2,993234
2025-01-21,1745.55,1801.15,1738.1,1784.6,1036378
2025-01-22,1702.5,1759,1684.85,1759,1321964
2025-01-23,1705.1,1715,1688.15,1707,937567
2025-01-24,1705.3,1710.35,1685.2,1706.1,548666
2025-01-27,1643.75,1695,1636,1695,1538942
2025-01-28,1624.4,1667.95,1615.05,1651.5,1291382
2025-01-29,1649.5,1661.35,1610.65,1619.95,676152
2025-01-30,1622,1655,1615,1655,341982
2025-01-31,1677.55,1686.3,1630.35,1638,638701
2025-02-03,1799.9,1811.9,1741.3,1750.85,3536130
2025-02-04,1844.85,1850,1801.05,1801.05,1154361
2025-02-05,1841.35,1847,1801.55,1840,673537
2025-02-06,1825.95,1834.6,1791.05,1830,867707
2025-02-07,1898.2,1929,1821.05,1828.95,2903619
2025-02-10,1854.85,1887.5,1845.15,1887.5,804255
2025-02-11,1835.7,1877.4,1797.8,1855,1750256
2025-02-12,1804.1,1898.05,1789,1876,2325740
2025-02-13,1799.2,1861.9,1788.8,1823,1173472
2025-02-14,1806.3,1850,1792,1808.85,1333382
2025-02-17,1843.9,1855,1758.1,1805,1994718
2025-02-18,1811.05,1869.6,1796,1843.9,1284671
2025-02-19,1875.95,1890.3,1795.65,1820,1179676
2025-02-20,1853.25,1875,1835.6,1867.3,1021304
2025-02-21,1797.9,1875,1778,1846,1310998
2025-02-24,1794.5,1819.2,1772.45,1793,978604
2025-02-25,1826.35,1839.7,1791.2,1794.5,1269628
2025-02-27,1723,1810.4,1700,1809,1554491
2025-02-28,1729.9,1813.45,1656,1760,29179376
2025-03-03,1695.25,1729.2,1661.1,1681,936736
2025-03-04,1712.85,1729.95,1688.05,1695,756354
2025-03-05,1718.1,1732.25,1704.3,1712.85,506644
2025-03-06,1717.6,1726.7,1690.1,1720.95,729380
2025-03-07,1715.4,1723.1,1703,1703,302079
2025-03-10,1674.5,1712,1660,1709,769044
2025-03-11,1663,1685.95,1654.05,1654.05,279335
2025-03-12,1653.45,1684.6,1642.6,1678.95,340034
2025-03-13,1644.45,1676.4,1637,1654,738740
2025-03-17,1598.35,1649.7,1592,1644.95,944372
2025-03-18,1580.15,1607.25,1551.3,1600.45,2189270
2025-03-19,1615.3,1626.4,1585,1585,860058
2025-03-20,1630.55,1653.95,1605.15,1648,1180718
2025-03-21,1697.6,1708.4,1625.9,1630.55,1894623
2025-03-24,1759,1765.7,1700,1701.6,1076346
2025-03-25,1740.55,1771,1708,1770.25,531717
2025-03-26,1708.7,1761,1686.7,1748,1019723
2025-03-27,1758.15,1819,1680.05,1691,3241595
2025-03-28,1707.65,1749.9,1701,1735,693170
2025-04-01,1703.25,1733.55,1700.05,1706.8,527047
2025-04-02,1680.4,1722.35,1666.15,1720,649728
2025-04-03,1652.4,1669.8,1639.05,1664.55,893654
2025-04-04,1639,1670.95,1625,1658.95,699970
2025-04-07,1583.2,1590,1541.7,1567.55,1366060
2025-04-08,1592.15,1605.7,1581.1,1592,374427
2025-04-09,1592.55,1605.75,1582.55,1592.15,269169
2025-04-11,1629.8,1639.9,1600.5,1625,997584
2025-04-15,1653.9,1659,1640,1641.3,1173977
2025-04-16,1636.3,1659.9,1631.3,1653.9,877329
2025-04-17,1661.7,1699.9,1639.5,1639.5,1440046
2025-04-21,1690.2,1698.5,1647.1,1650,292970
2025-04-22,1703.7,1709,1684,1695,463480
2025-04-23,1721.4,1726.4,1682,1707.7,2346661
2025-04-24,1719.1,1730.3,1713,1722,481511
2025-04-25,1667.7,1723,1655.9,1719,1690538
2025-04-28,1661.3,1667.7,1635.8,1651,397009
2025-04-29,1676.6,1690,1662,1662,597827
2025-04-30,1707.6,1715.4,1681.7,1683.4,1236921
2025-05-02,1719.2,1725,1690,1703.5,983753
2025-05-05,1728.2,1733.4,1710.1,1719,509733
2025-05-06,1740.7,1755,1711.4,1728,518493
2025-05-07,1775.5,1780,1700,1700,578328
2025-05-08,1733.1,1784.4,1720.5,1762,321599
2025-05-09,1734.1,1742,1690,1697.5,560109
2025-05-12,1755.9,1770.2,1742.3,1750.4,410715
2025-05-13,1768.5,1779.6,1751.1,1770,532232
2025-05-14,1799.9,1808.5,1771.1,1772,677698
2025-05-15,1836,1839,1792,1799.1,637712
