Date,Close,High,Low,Open,Volume
2025-12-19,2585.9,2663.4,2575,2600,31422556
2025-12-22,2610,2646.5,2530,2579.9,5056617
2025-12-23,2609.5,2630,2588,2613,1373947
2025-12-24,2640.6,2665,2606.6,2610,2419891
2025-12-26,2629.8,2648,2601,2640,689912
2025-12-29,2658.9,2689,2616.9,2630,1181473
2025-12-30,2641.3,2658,2625.3,2649,437805
2025-12-31,2661.1,2678,2641,2641.9,714252
2026-01-01,2631.8,2665,2613.4,2660,366321
2026-01-02,2662.2,2684,2624,2632,752687
2026-01-05,2677.7,2684.5,2624.2,2658.6,536132
2026-01-06,2695.6,2703.3,2648,2648,512484
2026-01-07,2695.7,2719,2680.1,2695,369458
2026-01-08,2718.4,2725.2,2681,2699.7,626658
2026-01-09,2664.8,2717.2,2629.2,2705,551374
2026-01-12,2629.4,2649.1,2587,2649.1,680295
2026-01-13,2671.8,2682.5,2614.1,2622,529889
2026-01-14,2736,2749,2660,2665,551849
2026-01-16,2935.5,2972,2782.5,2810,2826103
2026-01-19,2922.1,2977.7,2855,2937,567969
2026-01-20,2827.9,2922,2790,2922,420807
2026-01-21,2843.3,2850,2731.3,2810,556931
2026-01-22,2783.1,2895,2769.9,2868,441528
2026-01-23,2776.9,2815.6,2750.1,2765,397935
2026-01-27,2707.1,2830.1,2692.1,2830,517433
2026-01-28,2829,2860,2715,2734.1,436274
2026-01-29,2913.8,2942.8,2820.1,2829,363609
2026-01-30,2972.6,3012,2872.1,2914.7,658235
2026-02-02,2931.9,2949.9,2863,2900,193016
2026-02-03,3061.3,3131,3030,3030,1018940
2026-02-04,3055.4,3119.8,3040,3119.8,549033
2026-02-05,3098.6,3129,3020.9,3061,532341
2026-02-06,3060.6,3122.7,3040.1,3114,208351
2026-02-09,3018.4,3075.1,2966.3,3060.6,413802
2026-02-10,3057.1,3090,3006.2,3050,215393
2026-02-11,3045.2,3086.9,3032,3065,434269
2026-02-12,3108.5,3150.6,3033,3054.9,671895
2026-02-13,3008.3,3079.9,2974.8,3060.2,568474
2026-02-16,3046,3064,2936.4,3009,230681
2026-02-17,3008.8,3059.9,2991.9,3059.9,186612
2026-02-18,3074.6,3085,2992,3014.9,216495
2026-02-19,3026.2,3084.6,3006,3059,172893
2026-02-20,3023.8,3059.9,3000,3011.1,204508
2026-02-23,3131,3149.9,2992.3,3030,285371
2026-02-24,3150,3172,3111.1,3144,522517
2026-02-25,3108.5,3193,3089,3193,329355
2026-02-26,3113.2,3133.9,3050.4,3101,267073
2026-02-27,3112.1,3127.9,3069.1,3116.9,270097
2026-03-02,3090.1,3105,2999.1,3000,308669
2026-03-04,2992.7,3071,2902.5,3070,537155
2026-03-05,3008.2,3050,2985,3028.4,247006
2026-03-06,2997.4,3023,2977.2,2995.2,343835
2026-03-09,2907,2935.7,2855.1,2907,481704
2026-03-10,3083.8,3094.9,2932,2953,357479
2026-03-11,3000.2,3089,2995,3052.2,280972
2026-03-12,2936.3,2990,2905,2987,630631
2026-03-13,2879.7,3003,2845,2925,795166
2026-03-16,2884,2903.6,2819.7,2853.1,248858
2026-03-17,2963,3008.6,2826,2880,948316
2026-03-18,3019.9,3029.9,2942,2972,280131
2026-03-19,2820,2974.3,2804.7,2953.5,395888
2026-03-20,2804,2879.7,2790.5,2860,336772
2026-03-23,2690.3,2774.5,2651,2763,467336
2026-03-24,2793.3,2807.6,2680.4,2768,419686
2026-03-25,2901.3,2913.3,2800.1,2810,447353
2026-03-27,2874.2,2907,2820.7,2871,689368
2026-03-30,2801.5,2874,2738,2818,331535
2026-04-01,2857,2894,2758.8,2875.9,557898
2026-04-02,2844.3,2871.5,2742,2841.4,531617
2026-04-06,2905.5,2934,2796.8,2831.5,439271
2026-04-07,3010.3,3055,2882.3,2903,460850
2026-04-08,3123.7,3189,3095,3173.7,1032494
2026-04-09,3251.1,3275,3130.2,3159.4,1193723
2026-04-10,3385.5,3430,3192,3275,902003
2026-04-13,3353.5,3400.2,3275,3348.6,544470
2026-04-15,3221,3397,3175.1,3380,2401037
2026-04-16,3294.6,3309,3212.1,3247,816006
2026-04-17,3338.9,3380,3260,3304,647654
2026-04-20,3295.7,3389.1,3272.1,3338.9,381441
2026-04-21,3509.8,3540.9,3308.7,3320,794016
2026-04-22,3432.4,3597.5,3409.2,3523.9,445062
2026-04-23,3344.4,3455,3322,3429.9,261332
2026-04-24,3293.4,3399,3279.1,3360.3,291192
2026-04-27,3277.5,3349,3255.1,3329.9,174794
2026-04-28,3299.8,3324.8,3278.5,3300,157056
2026-04-29,3302.4,3335.9,3268.2,3295,264976
2026-04-30,3290.2,3309.8,3264.8,3309,192827
2026-05-04,3276.3,3323.9,3260.5,3297,186708
2026-05-05,3289.5,3302,3222.2,3277,366824
2026-05-06,3293.1,3329.5,3280,3301.1,125479
2026-05-07,3301.7,3317,3242.7,3308.4,313853
2026-05-08,3233.1,3306,3216,3301.7,187466
2026-05-11,3202.6,3236,3151,3211.1,220777
2026-05-12,3183.9,3278,3155.7,3200,335673
2026-05-13,3274,3283.9,3167.1,3183.9,133849
2026-05-14,3243.6,3284.9,3191.6,3274,199836
2026-05-15,3199.6,3289.3,3191.5,3233.6,233237
2026-05-18,3133.4,3163.9,3090,3150,735848
2026-05-19,3099.9,3173,3092,3145.1,264398
2026-05-20,3137.4,3148.9,3043.3,3080,208375
2026-05-21,3199.7,3249.9,3152,3155,262149
2026-05-22,3229.8,3255,3190,3199.9,233815
2026-05-25,3344.2,3364,3260,3260,432773
2026-05-26,3360.6,3406.7,3341.1,3355,229982
2026-05-27,3437.2,3504.7,3264.5,3343,672004
2026-05-29,3538.5,3611,3385.8,3450,680397
2026-06-01,3331.4,3536.9,3292.7,3500,381969
2026-06-02,3322.1,3389,3300,3324,261473
2026-06-03,3342.9,3374.9,3230,3328,329221
2026-06-04,3314.2,3374.4,3302.4,3337.9,172335
2026-06-05,3249,3380,3240,3345,451485
2026-06-08,3233.5,3288.9,3225.7,3240,290247
2026-06-09,3248,3309.8,3238,3270,319892
2026-06-10,3203.8,3338.4,3195,3245,355234
2026-06-11,3206.2,3266.4,3196,3229.7,320686
2026-06-12,3238.8,3330.2,3210,3290,721491
2026-06-15,3269.2,3313.8,3250.3,3294.4,558862
2026-06-16,3245.4,3296,3227.6,3296,731743
2026-06-17,3250.5,3316.9,3218.4,3246,2889650
2026-06-18,3431.7,3455,3271.7,3277.9,723666
2026-06-19,3429,3568,3332,3430,4005867
2026-06-22,3416.7,3465.4,3403.6,3418,341853
2026-06-23,3399.2,3486,3380.9,3486,251843
2026-06-24,3359.6,3404.8,3350.1,3390.1,118238
2026-06-25,3326.9,3381,3315,3364.9,271837
2026-06-29,3282.3,3380,3255.5,3329.9,526821
2026-06-30,3319.6,3347,3255,3295,449683
2026-07-01,3406,3428.3,3312,3313.9,234002
2026-07-02,3360.4,3418.1,3355,3406.2,78817
2026-07-03,3334.8,3381.9,3326,3370.9,127669
2026-07-06,3295.2,3360.8,3276,3344.8,218135
2026-07-07,3201.9,3309.9,3194,3299.2,320221
2026-07-08,3149.2,3258,3137.8,3199.5,218138
2026-07-09,3181.1,3207.1,3158,3190.4,387087
2026-07-10,3159.6,3205,3144.3,3190.8,634775
2026-07-13,3205.6,3256,3139.5,3164.9,1006232
2026-07-14,3165.8,3287.7,3090.7,3251.1,1118987
2026-07-15,3147.5,3174.8,3070.2,3170,950084
2026-07-16,3110,3164,3075.1,3164,1016870
2026-07-17,3182.8,3205,3102.4,3114,382687
2026-07-20,3117.4,3196,3089.6,3196,406852
2026-07-21,3150,3160,3099.6,3125.9,426244
2026-07-22,3119.9,3149.8,3105.2,3145,219282
2026-07-23,3132,3152,3100,3100.2,249996
2026-07-24,3125.6,3130.5,3091,3108,94889
2026-07-27,3143.9,3152,3113.1,3129.9,178886
2026-07-28,3113.7,3148,3101.9,3143.9,133946
2026-07-29,3110.7,3140,3095.2,3121.1,173664
2026-07-30,3051.4,3114,3046.5,3110.8,292435
2026-07-31,3115.9,3129.6,3052,3052,149478
2026-08-03,3099.1,3130,3087.1,3129,322476
2026-08-04,3063.8,3111,3056.3,3090,323730
2026-08-05,3081.8,3100,3056.6,3098.8,219168
2026-08-06,3080.4,3095,3061,3087,123997
2026-08-07,3072.8,3098,3055.2,3080.4,139482
2026-08-10,3054.2,3099,3038,3070.1,212452
2026-08-11,3028.5,3065,3023.7,3062,290518
2026-08-12,3074.6,3083.2,3020.5,3028.5,149452
2026-08-13,3147,3152.6,3062.1,3080,266830
2026-08-14,3097.9,3160,3080,3160,255437
2026-08-17,3136,3142.5,3080,3099.9,325622
2026-08-18,3106,3148.9,3088,3148.9,215913
2026-08-19,3260.9,3292,3083.9,3099,1108671
2026-08-20,3228.9,3313.5,3211.1,3262.9,381699
2026-08-21,3269.7,3285,3212.2,3217.9,218951
2026-08-24,3230,3294.7,3216.7,3269.7,634321
2026-08-25,3291.8,3305,3207.1,3221.4,199926
2026-08-26,3222.8,3294.5,3211.1,3281.2,150294
2026-08-27,3093.6,3118.2,3060.7,3099.7,4774952
2026-08-28,3139.6,3179.3,3088.6,3114.8,754988
2026-08-31,3065.1,3139.6,3059,3139.6,687993
2026-09-01,3038.1,3071.9,3008,3069.9,835271
2026-09-02,2973.3,3039.9,2946,3030,880217
2026-09-03,2980,3011,2951.1,2998.9,507301
