Date,Close,High,Low,Open,Volume
1995-01-02,32.5,32.5,32.5,32.5,1300
1995-01-03,32.5,32.5,32.5,32.5,500
1995-01-04,34,34,33.75,33.75,200
1995-01-05,33,33.525,33,33.525,300
1995-01-06,33,33.75,33,33.75,900
1995-01-09,31.5,31.75,31.5,31.5,600
1995-01-10,31.275,31.5,31.025,31.5,1300
1995-01-11,31,31,31,31,300
1995-01-12,31,31,31,31,200
1995-01-13,31.5,31.5,30.75,31,400
1995-01-16,31.125,31.125,31.125,31.125,200
1995-01-17,31.7,32.475,31.5,32.475,700
1995-01-18,33.375,33.375,32.25,32.25,300
1995-01-19,32.5,33.25,31.75,32,2100
1995-01-20,32,32,32,32,200
1995-01-23,28.5,30,28.5,29.75,300
1995-01-24,29.95,29.95,28.5,28.5,1500
1995-01-25,29.025,29.025,28.75,28.75,2800
1995-01-27,29.5,29.5,28.875,28.875,5300
1995-01-30,29.5,29.5,29.5,29.5,800
1995-01-31,30.875,30.875,29.05,29.5,5500
1995-02-01,31.875,32,30,30,2400
1995-02-02,32.25,32.25,31.475,31.5,1500
1995-02-03,34.825,35.15,33,33,6800
1995-02-06,35.25,35.25,34.5,34.5,3600
1995-02-07,35.025,35.125,33.75,34.5,6400
1995-02-08,32.5,33.5,32.5,33.5,700
1995-02-09,32.5,34,32.5,33.5,1700
1995-02-10,32.5,33.75,32.5,33.375,400
1995-02-13,32.5,33,32,33,1000
1995-02-14,32,32.025,32,32.025,1300
1995-02-15,31.25,32.95,31.25,32.5,2800
1995-02-16,31.925,31.925,31.125,31.25,3300
1995-02-17,29.775,31,29.775,31,400
1995-02-20,30.2,30.5,30,30.5,1000
1995-02-21,28.5,30,28.5,30,3900
1995-02-22,29,29.5,29,29.5,400
1995-02-23,30.625,30.625,30,30.25,2600
1995-02-24,31,31.25,30.5,30.5,2400
1995-02-28,31,31,30.875,30.875,800
1995-03-01,31.75,31.75,31.5,31.5,2300
1995-03-02,32.5,32.75,32.475,32.475,5500
1995-03-03,33.5,33.5,32.975,33,3300
1995-03-06,34.35,35,32.5,33.5,12000
1995-03-07,34.25,35.5,34,35,3100
1995-03-08,34,34,34,34,300
1995-03-09,35,35,34.375,34.375,1000
1995-03-10,35.25,35.5,34.5,34.5,7300
1995-03-13,34,34,33,33,1200
1995-03-14,34.6,35,34,34,9000
1995-03-15,35.225,36,34,35,42800
1995-03-16,34.75,37.5,34.35,35.125,19700
1995-03-20,32.65,33.75,32.65,33.725,2000
1995-03-21,31.5,33,31.25,32.5,12100
1995-03-22,32,32.5,31.5,31.5,1400
1995-03-23,32.55,32.625,32.55,32.625,400
1995-03-24,32.5,33.525,32.5,33.5,4500
1995-03-27,32,32.5,32,32,4000
1995-03-28,32,32.5,32,32.5,4700
1995-03-29,31.75,33,31.75,33,3000
1995-03-30,31.25,31.75,31.25,31.75,500
1995-03-31,31,31,31,31,800
1995-04-03,28.75,30.125,28.75,30.125,1500
1995-04-04,29.85,30,28.75,28.75,1900
1995-04-05,29.5,30.25,29.5,30,800
1995-04-06,30.05,30.125,29.25,29.25,1500
1995-04-07,28.75,28.75,28.75,28.75,500
1995-04-10,29,29,28.5,28.5,900
1995-04-11,29,29,29,29,400
1995-04-12,29,29,28.15,28.15,800
1995-04-17,28,28.75,28,28.75,2300
1995-04-18,26.5,27,26.25,27,4200
1995-04-19,25.65,27.5,25.625,27.5,4100
1995-04-20,27.225,27.95,26.5,26.875,5500
1995-04-21,25.35,26.875,25.35,26.875,10100
1995-04-24,26,26,26,26,400
1995-04-25,25,25.5,24,24,1000
1995-04-26,24.5,24.5,23.25,23.25,600
1995-04-27,24,24.375,23.975,24,1400
1995-04-28,23.625,23.625,23.625,23.625,500
1995-05-02,23,23,22.55,22.55,300
1995-05-03,23.75,24,23.5,24,400
1995-05-04,23.25,23.25,22.025,22.025,400
1995-05-05,23.55,24,23.55,24,500
1995-05-08,23.75,23.75,23,23.5,3100
1995-05-09,23.85,24.45,23,24.25,6100
1995-05-10,25,25,25,25,200
1995-05-12,25,25.25,24.5,25,2200
1995-05-15,24.25,25,24,24,1800
1995-05-16,24,24.25,24,24,2000
1995-05-17,24.25,24.25,24.125,24.125,1700
1995-05-18,25.25,25.375,25.05,25.375,400
1995-05-19,25.5,25.5,24.875,25,1400
1995-05-22,25.625,27,25.5,25.5,2200
1995-05-23,25,25,24,25,4700
1995-05-24,24.975,25,24.25,25,1200
1995-05-25,25,25.5,24.5,25,2700
1995-05-26,25,25,25,25,300
1995-05-29,24.75,24.75,24.5,24.5,4100
1995-05-30,25,25,24,24,2900
1995-05-31,25,25,24.75,24.875,2600
1995-06-01,24.6,24.975,23.75,23.875,8200
1995-06-02,25,25,24.5,24.5,900
1995-06-05,24.75,24.775,24,24,1000
1995-06-06,24.925,25,24.75,24.75,2100
1995-06-07,24.75,25,23.5,23.5,1000
1995-06-08,24.75,25,24.75,24.75,5900
1995-06-09,23.75,24.5,23.75,24.5,400
1995-06-12,24.225,24.75,22.5,22.5,1800
1995-06-13,23.875,23.875,23.5,23.6,2700
1995-06-14,23.75,23.75,23.75,23.75,700
1995-06-15,23.75,23.75,23.5,23.5,200
1995-06-16,23.75,23.75,23.725,23.75,700
1995-06-19,23.975,24,23.75,24,1000
1995-06-20,23.425,24.05,23.375,23.5,1400
1995-06-21,23.325,23.325,23.325,23.325,100
1995-06-22,22.05,22.05,22.05,22.05,100
1995-06-23,22.55,23,22.5,22.5,900
1995-06-26,21.1,22,21.1,22,300
1995-06-27,21.5,22.5,20.5,21.25,3500
1995-06-28,21.75,22,21,21,1700
1995-06-29,21.25,21.25,21.25,21.25,100
1995-06-30,20.25,20.25,20.25,20.25,700
1995-07-03,19.75,20,18.125,18.125,700
1995-07-04,18.975,19.5,18.975,19.5,300
1995-07-05,18.75,18.75,17,18.25,1300
1995-07-10,18.5,18.75,18.5,18.75,1000
1995-07-11,18,18,17.5,17.75,1500
1995-07-12,18.25,18.25,18,18.25,900
1995-07-13,18.5,18.5,18,18.5,2600
1995-07-14,19.5,20,18.75,18.75,3700
1995-07-17,20,20,19.5,19.5,1100
1995-07-18,21.025,21.025,20,20,2500
1995-07-19,19,20.5,19,20.125,1300
1995-07-20,20.75,20.75,20.5,20.5,2700
1995-07-21,21,21.625,21,21,2000
1995-07-24,23,23,22,22.5,1800
1995-07-25,26,27,22.125,22.125,3200
1995-07-26,22.675,25.6,22.675,25.05,7300
1995-07-27,22.475,24.5,21.5,24.5,2800
1995-07-28,22.75,23,21.3,23,500
1995-07-31,20.975,21,20.775,20.875,4600
1995-08-01,22,22.5,21.725,21.725,1100
1995-08-02,21.5,22.025,21.25,22,13400
1995-08-03,21.6,23,21.55,22,18300
1995-08-04,21.55,22.5,21.5,22.5,5600
1995-08-07,21.75,22.75,21.75,22.75,6900
1995-08-08,21.85,22.375,21.625,22.35,5100
1995-08-09,22.75,22.75,21.75,21.75,700
1995-08-11,21.75,22.1,21.625,22,2600
1995-08-14,22.15,22.25,21.025,22.25,3700
1995-08-16,22.75,22.75,22.25,22.5,4200
1995-08-17,22.725,22.75,22.5,22.75,1700
1995-08-18,22.25,22.25,21.55,22.125,2300
1995-08-21,21.725,22.5,21.625,22,4500
1995-08-22,20.5,21.25,20,21.25,12100
1995-08-23,20.875,21,20.65,21,1400
1995-08-24,20,21,20,21,4300
1995-08-25,20,20,20,20,200
1995-08-28,18.75,19.5,18.75,19.5,800
1995-08-30,18.85,18.875,18.75,18.875,5200
1995-08-31,18.625,19.125,18.5,18.875,5200
1995-09-01,18.325,18.75,18,18.5,9000
1995-09-05,18.575,19,18.35,18.75,1000
1995-09-07,19,19.1,18.75,18.75,4600
1995-09-08,18.975,18.975,18.875,18.95,1900
1995-09-11,19.025,19.475,19,19.475,3100
1995-09-12,19.625,19.75,19.625,19.75,400
1995-09-13,20,20.5,19.5,19.5,71000
1995-09-14,19.975,20.25,19.4,20.25,818400
1995-09-15,20.475,21.5,20,20.5,41900
1995-09-18,20.525,21.25,20.125,21.25,6400
1995-09-19,20,20.75,20,20.475,4300
1995-09-20,20.275,20.375,20.15,20.375,2600
1995-09-21,20.775,20.775,20.5,20.5,3700
1995-09-22,20.775,21,20.75,21,3100
1995-09-25,20.825,21,20.5,20.975,8300
1995-09-26,20.675,21.85,20.5,21.5,6500
1995-09-27,21.25,22,21.125,22,1400
1995-09-28,21,21.5,21,21.5,1500
1995-09-29,20.25,20.25,20,20,500
1995-10-04,20.5,20.5,20.27,20.5,400
1995-10-05,20.775,21.375,20.55,20.55,1800
1995-10-06,20.875,20.875,20.875,20.875,100
1995-10-09,20.5,21.1,20.5,20.75,2500
1995-10-10,20.825,20.925,20.5,20.5,2400
1995-10-11,20.6,20.95,20.25,20.825,1000
1995-10-12,20,20.5,19.75,20.5,6600
1995-10-13,19.625,20.5,19.5,20.5,4000
1995-10-16,20.175,20.7,20.125,20.5,4500
1995-10-17,20.05,20.375,20,20,5200
1995-10-18,20.025,20.025,20.025,20.025,200
1995-10-19,20,20.25,19.75,20.125,4100
1995-10-20,19.25,19.625,19,19,2000
1995-10-23,19.875,20.5,19.3,19.25,2200
1995-10-24,21,22,20,20.875,3200
1995-10-25,20.575,21,20.55,20.55,600
1995-10-26,19.675,20.5,19.625,20.5,3100
1995-10-27,19.875,20,19.5,20,2200
1995-10-30,19.75,20,19.5,19.875,2800
1995-10-31,19.25,19.75,19.25,19.75,500
1995-11-01,19.75,20,19.5,19.25,1100
1995-11-02,19.5,20,19.25,20,600
1995-11-03,19.4,19.625,19.25,19.625,900
1995-11-06,19.375,19.375,19,19.4,1200
1995-11-07,18.925,19.25,18,19,2100
