Date,Close,High,Low,Open,Volume
2019-07-04,650.975,669,590,590,7561613
2019-07-05,662.775,673.85,652.5,656.85,1404682
2019-07-08,673.725,684.35,649.55,656,462941
2019-07-09,663.8,676.85,660.85,670,175884
2019-07-10,662.625,668.55,660.8,664.9,63036
2019-07-11,662.525,669,661.725,669,79357
2019-07-12,651.6,670,622.5,662.5,195375
2019-07-15,634.5,661.5,630,650,55983
2019-07-16,626.225,637.975,625,637.425,54954
2019-07-17,642.05,647.625,623.175,628.4,101349
2019-07-18,632.5,637.5,631,637.5,35414
2019-07-19,612.975,636.45,612.5,635.975,45659
2019-07-22,603.975,614.85,595,614.85,28299
2019-07-23,605.25,616.475,601.95,607.5,39873
2019-07-24,608.775,614.95,605,605.5,30270
2019-07-25,624.825,630.5,605.5,610,39772
2019-07-26,611.4,642.3,602.5,622.475,17368
2019-07-29,602.825,612.475,600,608.5,14417
2019-07-30,612.125,620.025,594,605.45,35577
2019-07-31,601.85,612,595.5,612,22083
2019-08-01,608.675,637.925,600,630,295616
2019-08-02,614.75,621,597.025,614.5,187393
2019-08-05,595.05,612.525,592,612.5,47072
2019-08-06,596.65,604.25,592.75,594,23403
2019-08-07,599.975,603.5,596,603.5,101004
2019-08-08,585.025,600.975,551.475,598.5,42802
2019-08-09,585.15,599,577.375,587.5,21870
2019-08-13,580.125,593.5,576.025,592,38004
2019-08-14,566.3,587.375,553.275,587.375,18703
2019-08-16,574.95,585,557.4,565,21968
2019-08-19,588.225,590,573.975,575.125,27460
2019-08-20,582.75,597.475,577.6,592,12324
2019-08-21,573.975,586.975,570,586.975,6731
2019-08-22,575.15,580,555,573.975,16447
2019-08-23,576.35,580,565.025,575,7353
2019-08-26,580.15,589.95,575,589.95,14096
2019-08-27,587.025,592.5,580,588.35,28571
2019-08-28,579.65,590,574.05,585,10213
2019-08-29,593.9,603.2,572.625,581.925,41111
2019-08-30,600.025,604.925,565.15,585.625,44996
2019-09-03,600.025,605,580,599.975,15044
2019-09-04,610.175,625,596.55,606.95,57802
2019-09-05,618.075,624.95,608.65,617.35,123770
2019-09-06,723.6,741.675,618.5,619.975,273080
2019-09-09,805.35,857.5,725.05,731.675,686412
2019-09-11,800.15,835.95,791.125,801.5,251858
2019-09-12,808.975,825,770.5,807.5,97318
2019-09-13,811.75,832.5,793.975,814.95,100289
2019-09-16,825.1,832.5,800,811.75,49344
2019-09-17,845.95,861,820.05,825,129004
2019-09-18,872.675,891.7,849.95,853.5,131686
2019-09-19,814.725,889.65,790.55,875.5,145430
2019-09-20,842.325,869.95,801.525,824.975,103485
2019-09-23,850.35,861.975,835.225,845,98823
2019-09-24,928.95,946.1,846,850.975,186685
2019-09-25,937.725,985,921.55,940,113431
2019-09-26,952.175,972.425,939.65,942.5,48596
2019-09-27,946.175,970,938.5,962.5,40352
2019-09-30,884.525,958.5,882.625,958.5,33238
2019-10-01,894.275,920.7,882.625,890,39092
