Date,Close,High,Low,Open,Volume
2012-12-28,191.65,200.85,188.65,200,35351056
2012-12-31,193.7,195.5,188.25,191.85,6021827
2013-01-01,197.75,199.8,194,194.7,2619486
2013-01-02,201.5,204.35,197,198.3,5470399
2013-01-03,204.35,206.5,200,200,3626134
2013-01-04,207.15,210,202.35,205,4188477
2013-01-07,207.4,209,206.1,207.85,2632614
2013-01-08,202.95,211.05,201.7,207.55,1310534
2013-01-09,205.05,207.9,203.3,204.25,1316038
2013-01-10,205.1,207,203,205,1061770
2013-01-11,205.45,206.8,203.6,204.4,560597
2013-01-14,207.8,208.25,202.9,205.2,440016
2013-01-15,205.25,208.65,204,207.95,308822
2013-01-16,204.4,210,202.5,205.85,522978
2013-01-17,204.95,207.7,204.2,206.6,1583997
2013-01-18,205,206.65,204.1,206.35,1219799
2013-01-21,205.05,207.5,204.5,206.85,599417
2013-01-22,205.05,206.35,204.15,205.1,645165
2013-01-23,204.6,205.15,203.15,205,632500
2013-01-24,206.1,210.4,204.55,204.65,1658900
2013-01-25,208.3,209.5,204.65,206.95,446416
2013-01-28,210.3,211.5,208,209,619340
2013-01-29,212.15,216,210,210.65,1297700
2013-01-30,209.95,215,208.1,215,1254754
2013-01-31,204.25,211.25,201,209.85,477136
2013-02-01,206,210.9,202.25,202.25,535714
2013-02-04,209.95,211,206.35,208.75,972954
2013-02-05,209.85,211.9,207.45,208.9,310499
2013-02-06,210,211.5,209.25,210.25,1068489
2013-02-07,207.55,210.85,207,210.85,55628
2013-02-08,206.95,208.75,204.45,207.95,1147102
2013-02-11,203.35,207.4,201.15,201.15,56809
2013-02-12,200.35,204.6,195,203.05,164404
2013-02-13,195.1,202.65,194.45,202.65,294907
2013-02-14,192.8,195.55,191.5,195.1,192159
2013-02-15,188.15,192.8,181.95,192.8,891987
2013-02-18,191.9,192.7,186.7,188,820340
2013-02-19,191.6,197.25,190.1,197.25,38966
2013-02-20,196.05,197,192.35,193.95,214534
2013-02-21,194.8,197,194.15,196.4,217043
2013-02-22,191.6,195.9,188,195.9,685089
2013-02-25,192.05,199,188.75,199,770743
2013-02-26,192.05,193.5,189.4,191.15,324124
2013-02-27,184.55,196.85,175.55,196.85,1815408
2013-02-28,191.9,194.9,185,185,3208335
2013-03-01,190.8,194.65,181,181,1026599
2013-03-04,192.25,192.85,187.75,187.75,134278
2013-03-05,195.6,196.6,191.05,194.9,421920
2013-03-06,196.95,197.95,194.3,196.55,1128179
2013-03-07,195.95,197.5,193.1,196.9,255566
2013-03-08,193.7,197.45,191.5,195.4,237353
2013-03-11,193.3,194,189.9,193.7,389005
2013-03-12,189.85,193.85,189.3,192.5,416693
2013-03-13,189.9,191.6,188.05,188.05,579140
2013-03-14,189.8,191.75,152.3,152.3,104780
2013-03-15,185.1,190.4,184.1,190,174015
2013-03-18,183.5,186.9,179.65,186.9,101719
2013-03-19,181.9,185.8,180.1,185,296981
2013-03-20,179.9,184.7,176.15,181.9,560531
2013-03-21,173.9,180.35,172.35,178.5,3101013
2013-03-22,173.1,175.9,169.6,175.9,979167
2013-03-25,170.25,174.95,166.7,173,649932
2013-03-26,170,172,167.4,168,3053335
2013-03-28,178.95,185,136.6,136.6,338460
2013-04-01,179.15,184,174.05,176.95,172211
2013-04-02,183.9,186,176,177,202990
2013-04-03,181.35,184.55,180.5,183.35,890606
2013-04-04,180,182,176.55,180,932854
2013-04-05,181,181.95,178.25,180.4,209977
2013-04-08,177.5,183.25,177.2,177.55,43044
2013-04-09,177.1,180.6,173.65,178.45,783067
2013-04-10,178.25,180,171.1,171.1,115618
2013-04-11,175.1,179.1,173.65,178.25,12895
2013-04-12,171.15,175.9,169.2,173,91657
2013-04-15,164.1,174.8,159.25,168.1,783115
2013-04-16,164.2,167.85,160.5,167.85,188869
2013-04-17,169.95,172,162.95,163,1060339
2013-04-18,170.25,172,164.3,165.8,556273
2013-04-22,179.9,181.9,165,165,338085
2013-04-23,175.1,178.05,173.15,176,50025
2013-04-25,176.15,178.1,173,173,48718
2013-04-26,178.5,181.05,176.1,176.1,1398468
2013-04-29,178.8,182.1,174.75,178.5,904972
2013-04-30,177.8,183,176,179.9,1928796
2013-05-02,176.15,179.25,174.25,179,471516
2013-05-03,175.65,177.75,175.05,177,39362
2013-05-06,175.1,179,172,175,191634
2013-05-07,175.6,176.9,172.3,172.3,104575
2013-05-08,177.05,177.8,173,173,128503
2013-05-09,177.8,179,173,173,137489
2013-05-10,176.5,178.65,175,175,216483
2013-05-13,173.9,177.4,173.75,175.1,13014
2013-05-14,176.1,177,172,174,61559
2013-05-15,176.3,177.05,174.05,174.05,55645
2013-05-16,174.35,176.8,173.55,175,19899
2013-05-17,174.7,176.7,174,174.95,15849
2013-05-20,174.55,175.9,173,173,13553
2013-05-21,175.7,176.5,173,173,44307
2013-05-22,172,175.4,171.7,174.3,17037
2013-05-23,169.95,173.95,169,172.5,34830
2013-05-24,174.8,175.5,166,166,56708
2013-05-27,173,176,170,172.95,37741
2013-05-28,172.2,175,171.9,173.4,17324
2013-05-29,171.15,173.5,168.05,171,45135
2013-05-30,169.55,171.3,168,168,24084
2013-05-31,170.5,175.9,168,168,257623
2013-06-03,168.35,172.55,168,168.1,33499
2013-06-04,169.7,172,168,168,26580
2013-06-05,169.1,170,168.2,168.2,795355
2013-06-06,168.75,170,166.65,168.3,36858
2013-06-07,165.3,168.5,165,168.2,208980
2013-06-10,162.7,165.95,160,164,43095
2013-06-11,153.9,162,152.5,161,55188
2013-06-12,152.25,164.4,148.5,153.9,165941
2013-06-13,153.75,155.7,149.3,150,261250
2013-06-14,155,155.45,152.25,152.25,979836
2013-06-17,152.1,159.95,150.5,153,107225
2013-06-18,151.8,154.9,149.3,153,57293
2013-06-19,154.9,158.4,149.2,150,250651
2013-06-20,144.95,154,140.3,154,301822
2013-06-21,147.15,150.4,143.55,144.95,65910
2013-06-24,148.45,151.9,145.05,146,36590
2013-06-25,142.35,147.7,140.15,147,899437
2013-06-26,143.9,145,139.4,141.5,277131
2013-06-27,148.9,151.5,141,141,513217
2013-06-28,152.9,154.7,151.6,152.15,1215038
2013-07-01,153.05,154.5,150,150,633345
2013-07-02,152,154,149.3,154,485273
2013-07-03,153.95,157.65,147,150,242533
2013-07-04,153.75,155,152,152,262760
2013-07-05,152.5,157,152,152,174333
2013-07-08,150.95,152.5,149,152.5,25020
2013-07-09,150.9,152.75,149,149,303690
2013-07-10,151.9,153,149.45,150.2,19930
2013-07-11,155.85,156,152,152,92686
2013-07-12,157.05,158,154,154,104212
2013-07-15,157,161.5,153,153,619123
2013-07-16,155.75,158.05,126.3,153.75,54348
2013-07-17,154.8,159.85,152.5,159.85,457322
2013-07-18,156.1,157,152.8,154.15,37866
2013-07-19,154.85,156.1,152.05,155.2,18664
2013-07-22,153.3,156,150.1,153,24125
2013-07-23,151.5,153.3,149.45,153.1,58787
2013-07-24,150.3,152.95,147.75,147.75,40311
2013-07-25,149.1,151.05,148.1,148.1,122067
2013-07-26,150.1,153,148,149,33259
2013-07-29,145.05,152,141.75,149,894431
2013-07-30,149.4,150,146,147.85,188613
2013-07-31,148.8,154,145,147.5,166558
2013-08-01,148.4,151.25,146.1,147.3,128270
2013-08-02,148.8,150.6,146.6,149.9,76403
2013-08-05,149.9,151,147.6,148.1,252727
2013-08-06,146.5,150,145.1,148.1,99372
2013-08-07,147.1,149.9,143.1,146.15,81801
2013-08-08,150.2,153.85,147.1,147.95,60134
2013-08-12,150.7,153.5,147.25,149,61626
2013-08-13,149.85,152,147.1,148.75,95576
2013-08-14,150.1,151.4,148.1,149.05,77059
2013-08-16,150,151,147.55,149,55916
2013-08-19,148.8,149.95,147,148.35,1677259
2013-08-20,146.4,148.8,144.5,147.85,865457
2013-08-21,139.1,148,135.1,148,110242
2013-08-22,140.4,142,135.15,137.35,51997
2013-08-23,138.25,140,136,139,1037542
2013-08-26,132.3,139.5,128.5,139.3,1110011
2013-08-27,130.65,134.8,127.15,132,164115
2013-08-28,134.25,143,126.5,129,65743
2013-08-29,134.75,138.9,132.2,136.5,21526
2013-08-30,139.2,140.65,132.15,132.95,77544
2013-09-02,138.7,141,134.05,139.2,78028
2013-09-03,137.45,138.55,135.75,137.75,70498
2013-09-04,138.4,139.7,136.25,136.35,84644
2013-09-05,140.65,142,137,137,57712
2013-09-06,144.55,148,142.65,145.65,138323
2013-09-10,146.75,148,141.5,141.5,433857
2013-09-11,152.05,155,144,144,2204532
2013-09-12,154.8,158.4,152.2,153.95,123719
2013-09-13,156.2,157.9,155,156.95,6870
2013-09-16,156.5,157.95,155,157.85,66014
2013-09-17,158.05,159.4,155.2,156.9,314184
2013-09-18,159.05,160,155.95,156,63656
2013-09-19,165.1,170.15,159.05,160,3252328
2013-09-20,162.45,166.05,158,162.2,586631
2013-09-23,158.95,161.05,157.4,160.25,174305
2013-09-24,159.5,164.9,158.3,164.9,92554
2013-09-25,160.1,164.7,157,164.7,630789
2013-09-26,159.3,163.85,157.05,163.85,671492
2013-09-27,159.75,162.5,157.85,159.5,380213
2013-09-30,156.4,160,155,156.2,41366
2013-10-01,152.55,156.45,150.7,155,331676
2013-10-03,155.05,156,151.5,151.5,280689
2013-10-04,157.55,158.45,153,153,112511
2013-10-07,159.1,163.5,156.2,156.4,113567
2013-10-08,157.8,159.1,153.1,158.4,64055
2013-10-09,157.95,160,156.4,156.4,11793
2013-10-10,159.45,160,155.2,155.2,26880
2013-10-11,157.55,159.95,156.85,156.85,18291
2013-10-14,159.95,162,157.65,159,641520
2013-10-15,160.1,162,159.3,159.8,37445
2013-10-17,159.95,160.95,156.5,156.5,736363
2013-10-18,160.05,161.9,158.65,158.65,337306
2013-10-21,164.45,166.8,158,158,146191
2013-10-22,161.9,163.5,161,163.5,14807
2013-10-23,160.1,162.1,158,160.05,35733
2013-10-24,159.05,161.5,158.75,160.1,156363
2013-10-25,157.9,159.85,157.25,158.55,142772
2013-10-28,153.8,156.5,150.25,151.75,815866
2013-10-29,151.5,154,150.25,154,814819
2013-10-30,153.6,156.4,151,151.15,1747175
2013-10-31,164.85,169,151.4,153,651741
2013-11-01,162.1,167.8,160.55,160.55,362749
2013-11-05,160.95,163.75,155.1,160.6,713674
2013-11-06,165.2,169.75,158.05,159,687749
2013-11-07,168,169.4,165.55,167.9,112960
2013-11-08,167.3,172,166.05,169.8,215692
2013-11-11,159.75,169.8,158.5,169.8,140861
2013-11-12,154.25,162.95,153.1,158.05,293726
2013-11-13,155.3,158.45,151.3,151.3,742653
2013-11-14,157.8,158.7,152.6,152.65,244658
2013-11-18,159,160.2,154.5,154.5,838177
2013-11-19,157.45,162.85,156.45,156.65,27902
2013-11-20,158.1,159.8,156.55,156.55,20546
2013-11-21,158.9,159.65,157,157.1,176288
2013-11-22,159.15,159.75,158.55,158.55,98795
2013-11-25,162.05,163.65,158,159.15,81701
2013-11-26,160.6,162.75,159.55,161.05,36944
2013-11-27,159.05,162,158.25,159.5,248920
2013-11-28,156.15,160.55,156,157.5,41317
2013-11-29,158.15,159,156.45,156.45,24394
2013-12-02,158.45,160.4,157,158.05,75970
2013-12-03,160,161.8,157,157,91167
2013-12-04,163.65,168.7,159.75,160.6,320339
2013-12-05,166,167.9,163,163.55,283250
2013-12-06,172.1,175.4,162,167.9,580989
2013-12-09,176.95,180,172.5,172.7,344730
2013-12-10,179.85,182,172.25,176.95,490500
2013-12-11,184.9,189.9,181.1,182.15,2444412
2013-12-12,179,185.5,175,184,631194
2013-12-13,173.55,178.95,172.2,177,37822
2013-12-16,173.35,175.65,169.75,169.75,24212
2013-12-17,175.5,177.45,175,175.05,288162
