Date,Close,High,Low,Open,Volume
2023-12-21,939.95,990,855.1,949.65,27195020
2023-12-22,910.65,959.9,906.6,945,4189118
2023-12-26,928.85,937.65,876.6,911.1,3494031
2023-12-27,896.15,944.35,892.5,926,1537537
2023-12-28,889.3,907,886,905,831020
2023-12-29,882.6,904.25,877.05,890,974188
2024-01-01,878.4,894.9,876.1,884.9,395867
2024-01-02,875.55,894.5,871.65,880,510793
2024-01-03,874.9,886,865.05,873.05,500473
2024-01-04,902.3,912.85,877,877,1123117
2024-01-05,888.55,908.5,883,906.7,440642
2024-01-08,876.45,893.25,873.25,888.55,359093
2024-01-09,871.55,886.95,869.05,886,356124
2024-01-10,871,874.8,858.5,871,369532
2024-01-11,860.55,878.6,858.1,874.7,406238
2024-01-12,877.9,881.45,863.6,864.95,336686
2024-01-15,883.55,888,867,882.5,352519
2024-01-16,878.7,889.5,872,886.7,310551
2024-01-17,864.7,877.4,860.1,868,274152
2024-01-18,853.8,867.6,839.55,860,450423
2024-01-19,870.65,877.7,857.3,857.35,250541
2024-01-22,850.9,874,849,874,231706
2024-01-23,817.65,860.45,812.55,860.1,438682
2024-01-24,810.4,821.1,801.55,814.95,314467
2024-01-25,853.6,872,808.2,811.4,855160
2024-01-29,871.3,885,859.15,863.4,436363
2024-01-30,895.35,913,864.1,879,1084941
2024-01-31,915.6,937.9,896.95,900,1347502
2024-02-01,894.75,943.8,891.1,919.8,796129
2024-02-02,906.9,914,892,905,555239
2024-02-05,909.95,917.45,902.15,908,441668
2024-02-06,998.6,1024,901.4,932,4081909
2024-02-07,1017.5,1086.95,1005.15,1050,2630741
2024-02-08,1047.85,1089.5,993,1021.95,2516110
2024-02-09,1015.65,1059.8,1005,1050,859309
2024-02-12,962.85,1033.4,952.55,1022.5,994440
2024-02-13,953.35,988,936.65,967.7,874718
2024-02-14,1047.2,1075,937.9,939.7,2090173
2024-02-15,1161,1199.8,1064.95,1077,5169026
2024-02-16,1176.15,1225,1137.75,1174.95,1960479
2024-02-19,1124.5,1191.3,1112,1175,626497
2024-02-20,1156.85,1179,1133.3,1139,422340
2024-02-21,1113.85,1175,1100.65,1161,538294
2024-02-22,1155.6,1175,1095.2,1119.65,543513
2024-02-23,1276.65,1294,1138,1163.7,1627214
2024-02-26,1257.6,1323,1223,1290,916114
2024-02-27,1239.9,1284.85,1230.1,1255.2,296252
2024-02-28,1217.7,1314,1201.2,1244.7,923117
2024-02-29,1190.6,1231.8,1163,1218.7,450873
2024-03-01,1235.85,1275,1217.05,1219,545857
2024-03-04,1244.5,1279.65,1226,1279.65,325037
2024-03-05,1197.55,1248.6,1180,1244.5,352032
2024-03-06,1125.65,1202,1110,1202,825584
2024-03-07,1159.9,1175,1120,1128.7,373167
2024-03-11,1162.85,1199,1121,1125,435104
2024-03-12,1143.85,1187.95,1122,1167,485944
2024-03-13,1096.75,1163.85,1075.4,1137,732143
2024-03-14,1162.75,1169.7,1060.15,1080,669791
2024-03-15,1156.8,1184,1129.5,1150,372875
2024-03-18,1161.15,1175.05,1136.6,1162,231691
2024-03-19,1127.9,1197.9,1118.55,1157,423710
2024-03-20,1099.1,1146.9,1080,1140.05,656158
2024-03-21,1144.3,1156.5,1118,1118,400275
2024-03-22,1152.3,1159.8,1132,1140,276946
2024-03-26,1215.9,1247.85,1108.5,1147.75,1162734
2024-03-27,1224.85,1255,1216,1228,457505
2024-03-28,1222.65,1259.75,1215,1234.45,421846
2024-04-01,1215.3,1290,1203,1234,674278
2024-04-02,1201.75,1223,1187,1220,372806
2024-04-03,1274.2,1284.45,1185,1198,1077016
2024-04-04,1335.95,1359.5,1268.65,1283,2068268
2024-04-05,1422.15,1434,1322.35,1337.7,2326218
2024-04-08,1382.85,1424,1377.6,1421,605029
2024-04-09,1354.6,1407,1347.1,1387.65,501930
2024-04-10,1353.45,1394.45,1345,1359,441755
2024-04-12,1356.45,1384.9,1342,1342.2,365359
2024-04-15,1323.7,1373.55,1296.05,1323.8,566106
2024-04-16,1323.35,1342.55,1301,1301,439790
2024-04-18,1307.7,1359.8,1301.1,1332,428196
2024-04-19,1335.75,1358,1274.25,1282,720322
2024-04-22,1354.65,1373,1335.75,1361,502210
2024-04-23,1414.35,1445,1356.95,1365,1224073
2024-04-24,1380.6,1444.9,1370,1427.7,473070
2024-04-25,1375.1,1411,1366,1382,366178
2024-04-26,1370.15,1390.95,1365.85,1379.9,284864
2024-04-29,1349.2,1384,1345,1377.7,257253
2024-04-30,1352.2,1385,1344,1356.55,353796
2024-05-02,1358.1,1369.75,1346.1,1356.8,201585
2024-05-03,1390.65,1473,1365,1368.4,1369833
2024-05-06,1349.7,1417,1340.8,1403,380350
2024-05-07,1350.1,1364.5,1315,1353,409668
2024-05-08,1365.25,1374,1319.55,1344.05,316853
2024-05-09,1312,1380,1304.9,1365,374285
2024-05-10,1300.55,1319.95,1279.1,1312,313269
2024-05-13,1285.2,1338,1261.5,1304.95,783756
2024-05-14,1280.55,1300,1251.2,1298.4,386383
2024-05-15,1315.5,1336,1287.95,1288,458745
2024-05-16,1312.85,1344.8,1301.05,1319.9,278587
2024-05-17,1340.1,1353.4,1300.05,1319.35,408957
2024-05-20,1352.8,1356.8,1332.05,1345,49409
2024-05-21,1332.95,1356,1330.1,1356,212359
2024-05-22,1328.8,1351.95,1323.5,1332.95,196285
2024-05-23,1324.75,1359.95,1320,1337.8,187693
2024-05-24,1264.25,1334,1253.15,1329,672592
2024-05-27,1257,1284.7,1252.35,1271.4,210714
2024-05-28,1230,1257,1227,1250,346844
2024-05-29,1230.45,1245,1216.35,1220,146242
2024-05-30,1200.15,1235,1197.1,1225,255049
2024-05-31,1259.95,1284.7,1199,1201.15,1189563
2024-06-03,1324.75,1337.6,1271.65,1284.5,525927
2024-06-04,1193.65,1320,1111.15,1320,837564
2024-06-05,1225.5,1239.25,1155,1193.65,313136
2024-06-06,1244.25,1279,1228,1229.9,244586
2024-06-07,1258.65,1264,1237.95,1244.25,167399
2024-06-10,1273.8,1297,1255.5,1270,174230
2024-06-11,1330.5,1348,1274,1279,390653
2024-06-12,1316.35,1339,1312,1333,166423
2024-06-13,1344.25,1353.95,1305.9,1323.8,240325
2024-06-14,1334.6,1354,1330,1351,156914
2024-06-18,1370.1,1405,1318.15,1338,545794
2024-06-19,1354.25,1392.4,1335.05,1377.9,351677
2024-06-20,1333.9,1358,1330,1358,191089
2024-06-21,1306.2,1347.65,1299.75,1335.95,174715
2024-06-24,1302.35,1329.75,1286.05,1304,169478
2024-06-25,1295.55,1313,1291.5,1307.8,188607
2024-06-26,1304.6,1335.8,1296.65,1298.5,271851
2024-06-27,1303.55,1310.95,1286.35,1304.6,274834
2024-06-28,1315.5,1328,1293,1319,189165
2024-07-01,1385.25,1393,1311.65,1316,634439
2024-07-02,1385.55,1399,1361.7,1394.7,306577
2024-07-03,1417.4,1465,1391,1395,879447
2024-07-04,1398.25,1437.4,1391.55,1420.9,232362
2024-07-05,1441.8,1455.9,1390.05,1398,430631
2024-07-08,1459.1,1506.9,1442.3,1450.1,480710
2024-07-09,1425.6,1467,1411.05,1464,210608
2024-07-10,1392.4,1445.85,1361.65,1430,278072
2024-07-11,1362.75,1405.3,1358.25,1403,198050
2024-07-12,1319.3,1373.95,1310,1365.15,473882
2024-07-15,1320.65,1334.9,1297,1327,246414
2024-07-16,1301.65,1348.15,1298,1324.7,162617
2024-07-18,1307,1315,1288,1300,131758
2024-07-19,1265,1309,1258.25,1308.9,231289
2024-07-22,1307.9,1317.75,1221.05,1264.95,268636
2024-07-23,1315.3,1323,1232,1311,344871
2024-07-24,1309.05,1323,1299.05,1314,134760
2024-07-25,1288.75,1307,1283.1,1291,144850
2024-07-26,1281.6,1303.7,1280,1297,107533
2024-07-29,1301.5,1312.45,1287,1290,139346
2024-07-30,1319.75,1327,1288.1,1302,175747
2024-07-31,1294.75,1326.95,1290.15,1315,146489
2024-08-01,1315.3,1332,1291,1300,228952
2024-08-02,1292.75,1307.5,1288.65,1293,190864
2024-08-05,1243.25,1280,1236,1280,214029
2024-08-06,1208.45,1283.9,1203.75,1251.85,241530
2024-08-07,1228,1237,1212.5,1237,72575
2024-08-08,1256.3,1270.75,1223.35,1234.8,119537
2024-08-09,1206.55,1269.7,1161.5,1269.7,617473
2024-08-12,1215.05,1250,1192.25,1200.05,421506
2024-08-13,1187.5,1229,1183.1,1212.1,230016
2024-08-14,1181.9,1203,1162,1191.1,169969
2024-08-16,1189,1249.9,1181,1192,259732
2024-08-19,1186.05,1209.9,1180.1,1190,113341
2024-08-20,1181.5,1204.9,1179.9,1190,107990
2024-08-21,1189.2,1199,1182,1187.5,103895
2024-08-22,1202.25,1209.45,1194.45,1194.45,141381
2024-08-23,1212.75,1227,1191.15,1208,175430
2024-08-26,1181.65,1219.95,1176.55,1219.95,169689
