Date,Close,High,Low,Open,Volume
2015-04-09,109.6,112.213,100,100,37276200
2015-04-10,109.9,113,108.375,110.475,4920286
2015-04-13,107.562,110.688,105.9,109.375,1636434
2015-04-15,109.787,116.1,105.625,107.562,4703486
2015-04-16,119.875,121.75,110.475,110.488,5612060
2015-04-17,118.475,123.6,116.575,118.85,3528516
2015-04-20,112.675,119.4,111.662,118.7,1418441
2015-04-21,110.2,114.75,109.15,113.35,1155631
2015-04-22,110.463,112.375,104.588,110.825,1177867
2015-04-23,109.088,113.95,108.525,111.25,823774
2015-04-24,105.1,109.875,103.75,109.588,752809
2015-04-27,104.387,107.875,100.65,105.825,1214104
2015-04-28,107.412,108.725,103.2,104.488,668062
2015-04-29,104.363,107.287,103.25,107.25,1125210
2015-04-30,106.588,107.2,104.037,104.075,525000
2015-05-04,108.175,109.162,105.75,106.675,323518
2015-05-05,105.787,108,104.838,107.037,212921
2015-05-06,101.238,105.637,100.025,105.637,387624
2015-05-07,101.537,103.575,100.25,100.5,367788
2015-05-08,104.438,106.25,102.5,102.5,357288
2015-05-11,108.65,110.6,104.5,104.5,522455
2015-05-12,105.887,109.312,105.25,109,319958
2015-05-13,113.037,114.738,107.2,107.25,1197426
2015-05-14,112.475,114.725,110.713,112.25,633351
2015-05-15,116.775,117.925,112.588,112.7,1116014
2015-05-18,112.175,120.625,111.275,120.6,1931454
2015-05-19,114.1,114.675,111.175,111.675,493880
2015-05-20,109.55,115.312,108.5,114,523768
2015-05-21,110.375,112.125,107.488,109.75,469992
2015-05-22,110.062,112.175,109.312,110.375,309097
2015-05-25,109.012,111.625,108.7,110.75,171174
2015-05-26,107.287,110.25,106.1,109.275,354564
2015-05-27,108.812,109.5,105.375,106.738,268430
2015-05-28,109.738,110.838,108.775,109.25,475036
2015-05-29,108.938,110.775,108.6,109.85,125541
2015-06-01,107.238,109.725,106.55,109.5,120112
2015-06-02,105.762,109.175,104.925,107.488,149221
2015-06-03,104.963,106.825,97.0375,105.75,395358
2015-06-04,104.863,105.5,102.525,104.55,361777
2015-06-05,104.95,106.725,103.975,105.113,143022
2015-06-08,103.738,104.875,102.125,104.7,101058
2015-06-09,102.463,104.5,102.075,104.2,115158
2015-06-10,101.838,104,101.25,103.725,176276
2015-06-11,97.6625,102.775,96.3875,102.375,203821
2015-06-12,102.537,103.9,97.075,98.5,1000566
2015-06-15,103.338,105.438,100.85,102.975,327279
2015-06-16,102.988,103.975,102.525,102.713,86122
2015-06-17,103.425,104.5,102.75,103.775,214132
2015-06-18,104.762,106.975,103.375,103.662,373510
2015-06-19,107.188,108.35,104,105.75,724053
2015-06-22,107.162,109.625,106.525,108.4,239447
2015-06-23,106.588,108.475,105.863,108.075,141980
2015-06-24,103.113,108.4,100.137,106,203682
2015-06-25,106.45,107,102.75,102.75,176465
2015-06-26,107.15,109,106.15,106.762,214512
2015-06-29,105.8,107.037,102.887,102.887,130058
2015-06-30,105.725,107.75,105.25,106.975,113273
2015-07-01,106.412,107.825,105.537,106,110627
2015-07-02,108.963,112.738,108.25,109.75,402305
2015-07-03,110.762,113.5,108.025,108.025,467425
2015-07-06,116.012,116.375,109.025,109.5,533135
2015-07-07,115.713,118.075,114.65,117.1,427689
2015-07-08,111.438,115.425,110,114.25,234134
2015-07-09,112.037,114.713,111.25,111.975,169225
2015-07-10,112.988,113.5,111.5,112.75,85827
2015-07-13,115.863,116.5,112.525,112.525,164396
2015-07-14,113.725,117.15,113.25,117,139510
2015-07-15,113.3,114.975,112.512,114.637,98396
2015-07-16,112.213,114,111.787,113.75,66404
2015-07-17,111.55,113.975,111.262,111.8,146479
2015-07-20,111.85,112.75,111,112.137,55765
2015-07-21,107.8,112.512,106.988,112.375,129302
2015-07-22,109.088,110.25,107.75,108.9,171412
2015-07-23,107.613,109.75,106.863,109.738,77202
2015-07-24,105.588,110.925,104.625,108,276043
2015-07-27,109.25,110,105.588,105.588,498487
2015-07-28,104.45,110.225,104,110.213,657356
2015-07-29,103.5,105.75,101.912,105,568952
2015-07-30,103.387,105.25,102.512,103.975,140654
2015-07-31,104.412,105,103.5,104.738,227944
2015-08-03,103.637,105.025,103.25,105.025,101486
2015-08-04,102.812,104.5,102.425,104.5,140240
2015-08-05,103.912,105.175,103,103.75,155077
2015-08-06,103.45,104.5,103.125,104,108476
2015-08-07,101.613,103.963,100.85,103.688,176311
2015-08-10,97.55,102.588,96.75,102.5,258208
2015-08-11,100.075,101.5,97.3875,98.225,175044
2015-08-12,97.85,101.438,97.5,100,94091
2015-08-13,93.675,99.5,92.85,97.85,265925
2015-08-14,99.8625,101.012,93.7625,94.975,351626
2015-08-17,98.95,100.375,97.425,100.35,88371
2015-08-18,99.5375,100.738,98.35,99.5,82832
2015-08-19,100.175,101.175,98.75,99.9875,100070
2015-08-20,98.6,102.363,97.8,100.088,91521
2015-08-21,96.5375,97.7,95.0625,97.7,134173
2015-08-24,85.6125,94.625,84.0625,94.625,162381
2015-08-25,86.6875,89.5625,78.7625,86.5,310043
2015-08-26,85.825,88,83.9,86.25,193328
2015-08-27,88.975,90,86.4375,87,121991
2015-08-28,89.75,98.45,89.5,90.9875,278290
2015-08-31,91.5125,92.25,89.5,90.4375,56653
2015-09-01,93.575,97,90.0125,91.225,298132
2015-09-02,95.0375,96.2625,94.025,95.925,104821
2015-09-03,95.575,97.3625,95,96.4875,86439
2015-09-04,94.275,96,92.5,95.5,71707
2015-09-07,91.125,95.25,90.275,94.25,64444
2015-09-08,93.075,93.75,89.9375,91.5125,98851
2015-09-09,98.0875,100.7,93.525,94.8,413767
2015-09-10,95.125,96.45,93.775,96.45,94368
2015-09-11,93.85,97.3,93.3,96,80812
2015-09-14,94.05,95.7,93.05,94.325,373637
2015-09-15,93.3625,95,92.525,94,301811
2015-09-16,94,94.5,93.025,93.6125,110126
2015-09-18,92.9875,95,92.75,95,54953
2015-09-21,92.3875,93,90.7625,90.7625,50885
2015-09-22,90.8625,94,90.5375,92.75,59314
2015-09-23,89.4125,90.95,89.0375,90,81500
2015-09-24,89.3625,90.7375,88.5,90.1875,56235
2015-09-28,87.275,92.475,86.75,88.5,72820
2015-09-29,86.625,88.7,85.275,86.5125,148888
2015-09-30,89.7,90.575,85.825,86.55,345589
2015-10-01,89.15,91.25,88.4875,91.1,281952
2015-10-05,90.35,91.25,89.375,90,51812
2015-10-06,91.875,92.875,87.5,90.5,1356910
2015-10-07,91.3375,94.35,90.75,92.725,375799
2015-10-08,91.0125,92.225,90,91.5,83243
2015-10-09,91.5375,92.975,90.3,91.475,60535
2015-10-12,93.325,94.825,90.0125,92.25,742301
2015-10-13,95.4875,96.1625,91.6375,94.5,97914
2015-10-14,95.2,96.9,94.5,95.4875,82390
2015-10-15,96.875,97,94.3125,95.2125,142968
2015-10-16,98.825,100.675,96.375,97.6,285428
2015-10-19,98.9875,101.5,98.3875,100.137,77713
2015-10-20,100.537,102.175,99.1125,99.1625,438106
2015-10-21,100.1,100.938,98.75,100.938,139439
2015-10-23,99.2375,100.775,98.175,100.525,111097
2015-10-26,97.3875,102.85,95.2875,99.75,912233
2015-10-27,100.85,101.5,99.025,99.725,494638
2015-10-28,100.375,101.875,99.5875,101.7,230150
2015-10-29,100.35,101.125,98.8125,100.512,91862
2015-10-30,99.25,100.738,97.575,100.287,107791
2015-11-02,97.475,99.75,97.05,98.875,102866
2015-11-03,97.15,98.75,96,98.75,139342
2015-11-04,97.075,98.725,96.2625,97.8625,73257
2015-11-05,95.95,97.4875,95.625,97.25,45685
2015-11-06,94.4125,97.5,94,97,37342
2015-11-09,92.2375,95.5,91.25,91.25,135409
2015-11-10,91.8375,93.6,91.375,92.25,53324
2015-11-11,93.575,94.7,92.9125,94.7,44283
2015-11-13,89.95,93.75,89.625,92.55,168955
2015-11-16,91.475,92.45,90.275,91.2375,207910
2015-11-17,91.05,92.475,90.625,92,57277
2015-11-18,89.9125,91.6875,89.2,91.3625,74311
2015-11-19,92.4125,93.825,90.025,90.025,173819
2015-11-20,91.5875,93.5,90.775,92.25,72622
2015-11-23,91.3875,92.925,90.2625,92.925,30690
2015-11-24,91.625,92.225,90.275,91.75,56183
2015-11-26,90.1125,92.1125,89.85,92.1125,75466
2015-11-27,90.35,91,89.5,91,157518
2015-11-30,90.3625,91.05,89.825,90.25,84466
2015-12-01,90.7875,91.75,89.9375,91.225,114519
2015-12-02,90.6,91.5,90.2625,90.8625,43642
2015-12-03,90.2,91.5,89.675,90.5,69833
2015-12-04,89.45,90.4125,88.95,90,92647
2015-12-07,89.225,92.25,88.95,90.8375,115452
2015-12-08,87.4,89.8625,87.0625,89.0125,67423
2015-12-09,86.9875,88,85,87.25,99643
2015-12-10,87.65,88.7375,87.1,88.375,89791
2015-12-11,85.575,88.25,85.1,88.25,63568
2015-12-14,85.4875,87,85.0125,87,38589
2015-12-15,87.125,88.475,85.75,85.75,90417
2015-12-16,87.9375,89.1,87.3125,88,60857
2015-12-17,87.95,89.6,87.2,88.4875,241100
2015-12-18,88.0625,88.9375,87.525,87.825,144061
2015-12-21,91.5125,92.55,88,88,112100
2015-12-22,89.9875,92.8125,89.65,92.75,114654
2015-12-23,91.3125,94.625,90.3875,90.75,270792
2015-12-24,91.4375,93,91.15,91.6625,87500
2015-12-28,91.1375,92.6875,90.75,91.25,98802
2015-12-29,89.9375,91.6,89.525,91.25,75083
2015-12-30,90.2125,91.475,89.75,90,77634
2015-12-31,89.8875,91.1,89.5,91.1,46341
2016-01-01,89.975,90.725,89.65,90.625,69435
2016-01-04,89.9,90.3125,88.825,90.25,92958
2016-01-05,89.7875,90.375,89.125,89.75,88295
2016-01-06,91.0625,92.45,90.5,90.5,147153
2016-01-07,87.375,90.75,87.1875,90.75,89895
2016-01-08,88.0875,89.5,87.5,88.75,35551
2016-01-11,86.5625,87.75,86.275,87.4625,37486
2016-01-12,86.7875,87.425,85.25,87.375,110246
2016-01-13,85.375,88.225,83,87.125,92720
2016-01-14,83.0625,84.5,82.5,84.5,96280
2016-01-15,79.8125,84.0625,78.775,83.5125,50860
2016-01-18,77.85,81.5,75.0125,81.5,255981
2016-01-19,80.625,81,76.25,77.1375,227195
2016-01-20,80.15,81.25,76.5,80.675,238622
2016-01-21,78.225,82.1375,76.775,81,463733
2016-01-22,77.475,80.4625,77.25,80.4625,270211
2016-01-25,77,79.2375,76.55,78.9875,64711
2016-01-27,79.225,79.5,76.875,77.3625,69767
2016-01-28,79.3875,80.125,77.65,79,50490
2016-01-29,79.225,79.75,78.4125,79,113395
2016-02-01,77.5125,80.25,77.35,79.5,120419
2016-02-02,75.625,78.875,74.875,78.2375,107687
2016-02-03,73.6375,75.75,73.175,75,185000
2016-02-04,71.75,75.725,71.125,74.25,302999
2016-02-05,73.675,74.725,71.75,71.7625,290095
2016-02-08,68.4875,74.2375,67.75,74.225,909670
2016-02-09,67.4,69.9125,66.5,68.125,385170
2016-02-10,64.175,68,62.6,67.4,250898
2016-02-11,61.0125,63.6,59.6625,63.6,331549
2016-02-12,61.325,62.475,59.0625,61.25,273764
2016-02-15,62.15,63.625,61.375,63.25,164723
