Date,Close,High,Low,Open,Volume
1995-10-19,19.125,19.125,19.125,20.25,100
1995-11-21,19.125,19.125,19.125,19.125,3000
1995-12-15,19.125,19.125,19.125,19.125,100
1996-04-15,17.4375,18.2812,17.4375,18.2812,1200
1996-04-17,17.4375,17.4375,17.4375,17.4375,100
1996-04-18,17.4375,18.2812,17.4375,17.4375,400
1996-04-19,17.4375,17.4375,17.4375,17.4375,200
1996-04-22,17.4375,17.4375,17.4375,17.4375,200
1996-04-25,18,18,18,17.4375,100
1996-04-26,18.2812,18.2812,18,18,200
1996-04-29,20.1094,20.1094,18.2812,18.2812,500
1996-04-30,20.8547,20.8547,20.8547,20.1094,25000
1996-05-02,20.2486,21.0938,20.2486,21.0938,200
1996-05-07,19.9688,19.9688,19.9406,19.9406,200
1996-05-08,21.0938,21.0938,21.0938,21.0938,100
1996-05-15,20.9953,20.9953,20.6437,20.6437,5100
1996-05-16,20.25,20.8125,20.25,20.8125,300
1996-05-17,21.0938,21.0938,20.6719,20.6719,1100
1996-05-22,20.9531,21.0938,20.9531,21.0938,600
1996-05-23,21.0938,21.0938,21.0938,21.0938,10000
1996-05-24,21.0938,21.0938,21.0938,21.0938,15000
1996-05-27,20.5312,20.5312,20.5312,20.5312,500
1996-05-28,20.8125,21.0938,20.8125,21.0938,200
1996-05-29,21.6562,21.6562,20.8125,20.8125,1600
1996-06-03,21.375,21.4031,21.375,21.6562,300
1996-06-04,22.9922,23.2031,21.375,21.5156,500
1996-06-05,21.4031,21.7969,21.4031,21.7969,500
1996-06-06,20.8955,21.1078,20.8125,21.1078,2300
1996-06-07,21.0938,21.0938,21.0938,21.0938,100
1996-06-10,20.8125,20.9531,20.8125,20.9531,200
1996-06-11,19.9688,19.9688,19.9688,19.9688,100
1996-06-12,21.6562,21.6562,21.6562,21.6562,100
1996-06-17,21.6562,21.6562,21.6562,21.6562,100
1996-06-19,21.0938,21.0938,21.0938,21.0938,100
1996-06-20,20.9531,20.9531,20.9531,20.9531,100
1996-06-25,21.375,21.375,21.375,21.375,100
1996-06-26,20.8125,20.8125,20.5312,20.5312,300
1996-06-27,21.0938,21.0938,21.0938,21.0938,100
1996-07-01,22.275,22.275,22.275,22.275,3000
1996-07-02,21.375,21.375,20.5327,20.5327,200
1996-07-03,21.5156,21.6562,21.375,21.375,500
1996-07-04,21.1134,21.1219,21.0938,21.0938,300
1996-07-08,21.2344,21.5156,21.2344,21.5156,600
1996-07-09,20.8125,20.9531,20.8125,20.9531,300
1996-07-10,20.8125,20.8125,20.8125,20.8125,100
1996-07-15,20.5312,20.5312,20.5312,20.5312,100
1996-07-16,20.3906,20.5312,20.3906,20.5312,200
1996-07-23,18.3656,18.3656,18.3656,18.3656,100
1996-07-24,19.6594,19.6594,19.6594,19.6594,100
1996-08-02,21.0938,21.0938,21.0938,21.0938,100
1996-08-09,22.4719,22.4719,22.4719,22.4719,100
1996-08-12,21.0938,21.7969,21.0938,21.7969,200
1996-08-13,22.0781,22.2173,21.9375,21.9375,200
1996-08-14,21.6844,21.6844,21.6844,21.6844,100
1996-08-16,21.375,21.375,21.375,21.375,200
1996-08-19,21.0938,21.0938,21.0938,21.0938,100
1996-09-04,19.5469,19.5469,19.5469,19.5469,100
1996-09-09,19.6875,19.6875,19.6875,19.6875,100
1996-09-10,21.0656,21.0656,19.6875,19.6875,200
1996-09-11,19.9688,19.9688,19.9688,19.9688,100
1996-09-17,19.6875,19.6875,19.6875,19.6875,100
1996-09-26,18.6202,20.7,18.6202,19.6875,500
1996-09-27,17.6063,17.6063,17.6063,17.6063,100
1996-09-30,18.4219,18.4219,18.4219,18.4219,100
1996-10-01,17.2969,18.8438,17.2969,18.8438,300
1996-10-03,18.2812,18.2812,18.2812,18.2812,100
1996-10-04,17.4473,19.125,17.2969,19.125,400
1996-10-10,18.1406,18.1406,18.1406,18.1406,100
1996-10-15,16.875,19.4062,16.875,19.4062,200
1996-10-29,15.75,18,15.75,15.7781,600
1996-10-31,16.7344,16.7344,16.7344,16.7344,100
1996-11-01,16.7344,16.7344,16.7344,16.7344,100
1996-11-04,17.8594,17.8594,17.8594,17.8594,100
1996-11-06,18.9844,18.9844,18.9844,18.9844,100
1996-11-07,18.4219,18.4219,18.4219,18.4219,8000
1996-11-08,18.2812,18.2812,17.5781,17.5781,200
1996-11-11,17.1562,17.5781,17.1562,17.5781,300
1996-11-27,16.0312,16.0312,16.0312,16.0312,100
1996-12-03,16.8469,16.8469,16.8469,16.8469,100
1996-12-16,17.5781,17.5781,17.5781,17.5781,100
1996-12-31,16.5938,16.5938,16.5938,16.5938,100
1997-01-01,16.0312,16.0312,16.0312,16.0312,100
1997-01-02,15.75,15.75,15.75,15.75,100
1997-01-07,15.1875,15.1875,15.1875,15.1875,100
1997-01-13,15.2016,16.0172,15.2016,16.0172,2000
1997-01-14,16.0312,16.0312,15.1875,15.1875,200
1997-01-16,17.0156,17.0156,16.7344,16.7344,700
1997-01-17,18,18,18,18,100
1997-01-20,16.875,16.875,16.875,16.875,100
1997-01-21,17.6625,17.8594,16.0312,16.0312,6100
1997-01-22,17.7694,17.7694,17.7694,17.7694,1000
1997-01-24,17.7722,17.8594,17.6344,17.6344,4400
1997-01-27,17.813,17.8594,17.5781,17.8594,2500
1997-01-28,17.6625,17.7188,17.6625,17.7188,300
1997-01-29,17.8439,18.1406,17.8312,18.1406,3400
1997-01-30,17.7891,19.0406,17.7188,19.0406,2200
1997-01-31,17.2969,17.2969,17.2969,17.2969,5000
1997-02-04,18,18,16.1719,16.1719,5200
1997-02-05,17.5781,17.5781,17.2969,17.2969,5100
