Date,Close,High,Low,Open,Volume
1995-01-03,16.5,16.5,16.5,16.5,100
1995-02-16,15.2,15.2,15.2,15.2,50
1995-02-17,16,16,16,16,150
1995-02-20,15.9,15.9,15.9,15.9,50
1995-02-21,16,16,16,16,1000
1995-02-22,15.5,15.5,15.5,15.5,50
1995-02-28,16,16,16,16,100
1995-03-01,17,17,16.5,16.5,200
1995-03-03,16,16,16,16,100
1995-03-07,15.5,15.5,15.5,15.5,50
1995-03-08,14,15,14,15,100
1995-03-09,13.8,13.8,13.8,13.8,50
1995-03-20,14.9,14.9,14.9,14.9,50
1995-03-21,14.1,14.2,14.005,14.2,150
1995-03-22,14.2,14.2,14.2,14.2,100
1995-03-23,14,14,14,14,200
1995-03-24,13.9,14,13.9,14,100
1995-03-28,14.5,14.5,14.5,14.5,100
1995-03-29,14.5,14.5,14.5,14.5,100
1995-04-04,14.5,14.5,14,14.005,150
1995-04-05,14.2,14.25,14.2,14.25,100
1995-04-06,14.7,14.7,14.5,14.5,100
1995-04-07,14.6,14.6,14.6,14.6,50
1995-04-10,13.505,14,13.5,14,150
1995-04-17,14.495,14.5,14.49,14.49,100
1995-04-18,14.8,14.8,14.8,14.8,50
1995-04-20,14.5,14.7,14.5,14.7,150
1995-04-24,13.5,13.5,13.5,13.5,50
1995-04-25,13.5,13.5,13.5,13.5,50
1995-04-28,12.5,12.5,12.5,12.5,50
1995-05-05,12.5,12.5,12,12,300
1995-05-08,13,13,13,13,100
1995-05-09,13.2,13.2,13.2,13.2,100
1995-05-10,13.6,13.6,13.6,13.6,50
1995-05-16,12.5,12.5,12.5,12.5,100
1995-05-23,13.5,13.5,13.5,13.5,50
1995-05-24,13,13,13,13,100
1995-05-26,13.75,13.75,13.6,13.6,100
1995-05-31,14.195,14.195,14.195,14.195,50
1995-06-01,14,14.1,14,14.1,100
1995-06-02,14.5,14.5,14.5,14.5,100
1995-06-07,14.5,14.8,14.5,14.8,250
1995-06-12,13.1,13.1,13.1,13.1,50
1995-06-22,12.5,12.5,12.5,12.5,50
1995-06-26,11,12,11,12,250
1995-06-27,10.8,10.8,10.8,10.8,150
1995-06-28,11,11,11,11,250
1995-06-29,11,11,10.7,10.7,250
1995-06-30,11,11,11,11,100
1995-07-03,11.02,11.025,11.02,11.025,300
1995-07-04,11.295,11.295,11.295,11.295,100
1995-07-05,11,11,11,11,100
1995-07-06,11.3,11.3,11.3,11.3,200
