Date,Close,High,Low,Open,Volume
1995-01-02,9.04762,9.09524,8.92857,8.98214,2200
1995-01-03,9.04762,9.04762,8.57143,8.57143,2300
1995-01-04,8.97619,8.9881,8.92976,8.9881,400
1995-01-05,8.92857,8.92857,8.48214,8.48214,1300
1995-01-06,8.64286,8.91667,8.57143,8.91667,1900
1995-01-09,8.57143,8.57143,8.57143,8.57143,100
1995-01-10,8.33333,8.57143,8.09524,8.57143,700
1995-01-11,8.11071,8.21429,7.85714,8.21429,1800
1995-01-12,7.80952,8.21429,7.80952,8.21429,800
1995-01-13,8.07143,8.09524,7.85714,7.85714,4900
1995-01-16,8.11905,8.21429,7.97619,7.97619,1500
1995-01-17,8.19048,8.21429,8.09524,8.09524,500
1995-01-18,8.15476,8.19048,8.1369,8.19048,700
1995-01-19,8.11905,8.16667,8.11905,8.16667,1100
1995-01-20,8.09524,8.16667,7.97619,8.16667,1400
1995-01-23,7.7381,8.04762,7.7381,8.04762,1000
1995-01-24,7.7381,7.7381,7.5,7.61905,1000
1995-01-25,7.7619,7.91667,7.61905,7.61905,1800
1995-01-27,7.79762,7.91667,7.7381,7.83333,2700
1995-01-30,7.69048,7.91667,7.61905,7.61905,2600
1995-01-31,7.75,7.91667,7.7381,7.83333,1700
1995-02-01,7.95238,7.95238,7.85714,7.85714,1500
1995-02-02,7.91071,7.91071,7.80952,7.83333,2200
1995-02-03,7.85714,7.91667,7.7381,7.90476,6500
1995-02-06,7.82143,7.90476,7.7381,7.7381,6900
1995-02-07,7.63095,7.78571,7.61905,7.7381,12600
1995-02-08,7.40476,7.68452,7.40476,7.67857,900
1995-02-09,7.41071,8.09524,7.38095,8.09524,73500
1995-02-10,7.24643,7.5,7.2381,7.38095,11900
1995-02-13,7.20238,7.21429,7.02381,7.02381,1500
1995-02-14,7.14286,7.57143,7.09524,7.57143,1600
1995-02-15,7.21429,7.2619,7.14286,7.19048,1100
1995-02-16,7.14286,7.19048,7.04762,7.14286,2000
1995-02-17,7.0119,7.0119,6.69048,6.90476,2200
1995-02-20,6.83333,7.07143,6.83333,7.07143,1900
1995-02-21,6.60714,6.90476,6.4881,6.90476,1200
1995-02-22,6.47857,6.54762,6.42857,6.42857,2900
1995-02-23,7.07143,7.07143,6.69048,6.69048,6700
1995-02-24,7.16786,7.61905,7.09524,7.2619,7800
1995-02-28,7.15476,7.21429,7.02381,7.19048,3900
1995-03-01,7.2619,7.38095,7.14286,7.38095,4000
1995-03-02,7.28333,7.375,7.21429,7.30952,2100
1995-03-03,7.25,7.2619,7.19048,7.21429,1500
1995-03-06,7.2381,7.2619,7.16667,7.2381,4900
1995-03-07,7.14286,7.32143,7.07143,7.21429,4200
1995-03-08,7.09524,7.20238,7.09524,7.14286,2900
1995-03-09,6.90714,7.19048,6.90476,7.19048,3600
1995-03-10,7.2619,7.30952,7.09524,7.09524,2900
1995-03-13,7.04762,7.09524,6.92857,6.97619,3200
1995-03-14,6.90476,7.14286,6.90476,6.90476,10900
1995-03-15,6.96786,7.2619,6.90476,7.14286,5900
1995-03-16,6.86905,6.90476,6.35714,6.90476,2200
1995-03-20,6.65357,6.84524,6.42857,6.84524,1700
1995-03-21,6.36905,6.66667,6.35714,6.66667,8500
1995-03-22,6.3631,6.54762,6.35714,6.5,5700
1995-03-23,6.22738,6.38095,5.98214,6.38095,11600
1995-03-24,6.69405,6.85714,6.35714,6.42857,20400
1995-03-27,6.72024,6.90476,6.59524,6.7869,11900
1995-03-28,6.78333,7.02381,6.74524,6.90476,20400
1995-03-29,6.98571,6.99405,6.85714,6.97619,5100
1995-03-30,6.90476,7.11905,6.90476,7.02381,8300
1995-03-31,6.85119,6.94643,6.83333,6.94643,5300
1995-04-03,6.8381,6.96429,6.7869,6.90476,6600
1995-04-04,6.84524,6.92857,6.78571,6.88095,5300
1995-04-05,7,7,6.92976,6.97619,5600
1995-04-06,6.97619,7.02381,6.93571,6.9881,4300
1995-04-07,7.00952,7.03571,6.90476,6.90476,5800
1995-04-10,6.95833,7,6.83333,6.83333,2600
1995-04-11,6.88095,6.92857,6.8631,6.90357,2200
1995-04-12,6.91786,6.97619,6.91071,6.97619,1400
1995-04-17,6.94643,6.96429,6.90476,6.90476,3400
1995-04-18,6.91667,6.95238,6.85833,6.90476,3700
1995-04-19,6.7381,6.80952,6.61905,6.80952,1300
1995-04-20,6.60714,6.76071,6.5,6.66667,4000
1995-04-21,6.5,6.59524,6.47619,6.54762,3500
1995-04-24,6.35714,6.4881,6.35714,6.45238,4600
1995-04-25,6.2619,6.42857,6.19048,6.30952,5600
1995-04-26,6.16667,6.2619,6.14286,6.19643,9500
1995-04-27,5.99405,6.21429,5.95238,6.19048,6800
1995-04-28,5.85714,6,5.7619,5.97619,6600
1995-05-02,5.65714,5.95238,5.60714,5.95238,5000
1995-05-03,5.59524,5.71429,5.52381,5.71429,19400
1995-05-04,5.58929,5.80952,5.47619,5.7619,14800
1995-05-05,5.50476,5.7381,5.47619,5.71429,20300
1995-05-08,5.55476,5.59524,5.40476,5.57143,11800
1995-05-09,5.64167,5.65476,5.54762,5.54762,7500
1995-05-10,5.27976,5.54167,5.2381,5.52381,16900
1995-05-12,5.175,5.25952,4.92857,5.19048,21700
1995-05-15,5.17024,5.2381,4.88095,4.88095,13800
1995-05-16,5.33452,5.33452,5.11905,5.11905,12500
1995-05-17,5.5,5.57143,5.40476,5.57143,9700
1995-05-18,5.62857,5.76786,5.57143,5.64286,12500
1995-05-19,5.83095,5.85714,5.57381,5.69048,13500
1995-05-22,6.01429,6.18929,5.7619,5.7619,23200
1995-05-23,5.79881,6,5.7381,5.95238,22400
1995-05-24,5.56071,5.87976,5.50595,5.71429,39500
1995-05-25,5.55714,5.625,5.42857,5.4881,11900
1995-05-26,5.54762,5.69048,5.52381,5.59524,10900
1995-05-29,5.64524,5.66548,5.5,5.54762,20000
1995-05-30,5.8631,5.88095,5.63095,5.64286,17200
1995-05-31,5.90476,5.92857,5.83333,5.88095,5100
1995-06-01,5.9,5.95238,5.83333,5.95238,6500
1995-06-02,5.94048,6.13095,5.89286,5.92738,14400
1995-06-05,5.90476,6.01786,5.85833,5.85833,3000
1995-06-06,5.95119,5.99881,5.85833,5.85833,5900
1995-06-07,5.9881,6.14286,5.95238,5.95238,3500
1995-06-08,5.93452,5.96429,5.90476,5.92857,3800
1995-06-09,5.83333,5.90119,5.80952,5.89286,2900
1995-06-12,5.80952,5.84524,5.71548,5.84524,2900
1995-06-13,5.8631,6.02381,5.7381,5.7619,5800
1995-06-14,5.8631,5.97619,5.83333,5.83333,7700
1995-06-15,5.7131,5.80952,5.66667,5.77381,5100
1995-06-16,5.80595,5.82143,5.7381,5.78571,3600
1995-06-19,5.84881,5.95238,5.80952,5.85714,27000
1995-06-20,5.95476,6,5.85714,5.90357,19700
1995-06-21,5.88214,6.0119,5.86905,5.97619,12100
1995-06-22,5.85476,5.88095,5.83333,5.88095,5500
1995-06-23,5.7869,5.83333,5.77381,5.78571,8000
1995-06-26,5.69048,5.7619,5.64881,5.7619,12400
1995-06-27,5.76548,5.78571,5.66905,5.69048,6000
1995-06-28,5.78571,5.86905,5.7381,5.7619,4200
1995-06-29,5.79881,5.83333,5.78571,5.78571,2400
1995-06-30,5.75833,5.80952,5.61905,5.78571,7400
1995-07-03,5.41667,5.66667,5.38095,5.64286,11800
1995-07-04,5.31905,5.42857,5.2381,5.29762,15600
1995-07-05,5.41667,5.69048,5.35714,5.47619,10300
1995-07-06,5.33571,5.40476,5.20238,5.40476,11600
1995-07-07,5.36071,5.45238,5.33333,5.45238,4500
1995-07-10,5.4619,5.49405,5.38095,5.38095,3200
1995-07-11,5.44286,5.47619,5.35119,5.40476,9700
1995-07-12,5.49048,5.49048,5.42857,5.47619,1500
1995-07-13,5.54762,5.54762,5.47738,5.54762,2800
1995-07-14,5.77857,5.83333,5.59524,5.59524,4300
1995-07-17,6.11905,6.11905,5.83333,5.83333,5300
1995-07-18,5.9131,6.14286,5.88095,6.14286,5900
1995-07-19,6.09524,6.09524,5.95238,6.01071,6400
1995-07-20,6.21429,6.28571,6.07143,6.28571,9600
1995-07-21,6.29405,6.33095,6.14286,6.19048,14800
1995-07-24,6.3631,6.40476,6.29286,6.30952,11800
1995-07-25,6.22381,6.38095,6.1881,6.38095,11700
1995-07-26,6.18214,6.42857,6.14286,6.42857,8300
1995-07-27,6.27619,6.33333,5.97619,6.21429,14700
1995-07-28,6.20833,6.57738,5.92857,5.92857,20600
1995-07-31,5.99286,6.09524,5.95238,5.95238,15700
1995-08-01,6.03571,6.16667,5.97619,6.0119,12500
1995-08-02,6.03452,6.12857,5.95238,6.07143,14700
1995-08-03,5.83214,6.07143,5.78571,6.04762,6800
1995-08-04,5.85714,5.87976,5.78571,5.80833,5500
1995-08-07,5.95595,6.09405,5.91667,5.97619,8600
1995-08-08,6.13571,6.16548,5.95238,6,8500
1995-08-09,6.29643,6.42738,6.20238,6.2381,34500
1995-08-11,6.23214,6.27381,6.22262,6.2381,5600
1995-08-14,6.22619,6.2381,6.07143,6.07143,14300
1995-08-16,6.27143,6.28571,6.17143,6.21548,7000
1995-08-17,6.27619,6.30952,6.25714,6.28571,4300
1995-08-18,6.29286,6.30952,6.27381,6.27381,2000
1995-08-21,6.21548,6.54762,6.20238,6.54762,10800
1995-08-22,6.275,6.30952,6.16667,6.18214,11700
1995-08-23,6.325,6.35714,6.31071,6.35119,21700
1995-08-24,6.30952,6.36786,6.2381,6.35714,39400
1995-08-25,6.11905,6.19048,6.05952,6.16667,23700
1995-08-28,5.80357,5.92857,5.7381,5.83333,49500
