Date,Close,High,Low,Open,Volume
2025-01-29,171.85,180,171,180,24895080
2025-01-30,163.25,175.8,163.25,168,22757540
2025-01-31,162.95,167.9,155.1,155.1,22054616
2025-02-03,171.4,179.28,167,169.35,17569178
2025-02-04,163.74,174,162.83,172,43760200
2025-02-05,168.52,170.3,161.55,161.55,18221464
2025-02-06,172.11,174,168.52,170,7401574
2025-02-07,172.65,178.99,168,172.88,49505080
2025-02-10,179.28,179.99,173.5,175.2,8673303
2025-02-11,170.62,179.95,166.59,179.95,13950854
2025-02-12,174.66,176,165.85,170,16845300
2025-02-13,169.86,174.66,169,174.5,10164200
2025-02-14,164.67,171.75,160.35,170.7,13949059
2025-02-17,168.64,170.5,162.72,164.67,8544174
2025-02-18,166.17,169.8,165.25,169.8,6217106
2025-02-19,164.61,168.45,163.17,166,12488407
2025-02-20,165.24,168.5,162.7,164.61,11833022
2025-02-21,162.71,166.9,161.43,166,8608818
2025-02-24,160.44,162.4,158.56,162.4,7073132
2025-02-25,161.33,165.6,158.35,160.65,8816538
2025-02-27,161.94,165.49,160.88,163.5,10889252
2025-02-28,163.81,165.95,159.08,160.99,10337062
2025-03-03,161.5,165,159.05,164.7,4534822
2025-03-04,162.93,163.45,159.06,160.59,3827244
2025-03-05,173.77,176,162.26,163.1,9341395
2025-03-06,174.2,178,171.12,175.5,11691377
2025-03-07,173.2,175.67,171.9,174.8,4751880
2025-03-10,169.38,175.57,168.5,174.7,5750516
2025-03-11,168.41,170.1,167.01,168.2,3628422
2025-03-12,169.27,170.59,168.3,169.69,3271247
2025-03-13,166.73,171.57,165.82,170,5587313
2025-03-17,167.43,168.71,164.41,167.7,3758005
2025-03-18,177.75,179,167.4,168.2,10016596
2025-03-19,184.19,189.74,178.63,179.85,15741127
2025-03-20,183.24,187,181.85,186.4,10304144
2025-03-21,198.89,204.51,181.9,184,75532512
2025-03-24,195.48,197.99,190.93,193.98,19083032
2025-03-25,196.11,201.77,195.5,196.7,14609591
2025-03-26,191.02,197.94,190.05,197,5803551
2025-03-27,194.61,197.9,190.4,191,6819085
2025-03-28,197.51,205.8,195.61,197,13958181
2025-04-01,210.38,213.3,196.15,197.01,17676640
2025-04-02,206.43,210,202.21,209.82,13413653
2025-04-03,206.99,209.4,203.2,204.9,8319028
2025-04-04,200.42,206.99,198.7,206.01,9074967
2025-04-07,195.75,197.21,185.22,186.5,12234032
2025-04-08,192.73,202,192.31,200.85,10617094
