Date,Close,High,Low,Open,Volume
2004-12-17,2.7152,3.2,0.64,0.64,3305
2004-12-20,2.6608,2.976,2.56,2.9696,6258
2004-12-21,2.6864,2.752,2.5952,2.72,2545
2004-12-22,2.6352,3.008,2.528,3.008,1400
2004-12-23,2.5648,2.848,2.5344,2.848,505
2004-12-24,2.6544,2.768,2.496,2.768,772
2004-12-27,2.5952,2.5984,2.528,2.528,361
2004-12-28,2.3664,2.56,2.3408,2.4,1027
2004-12-29,2.408,2.688,2.4,2.688,5955
2004-12-30,2.416,2.5552,2.4,2.5552,1872
2004-12-31,2.4416,2.5392,2.2432,2.2432,1015
2005-01-03,2.8944,2.9312,2.304,2.4176,16585
2005-01-04,2.9936,3.2,2.856,3.136,8711
2005-01-05,2.7024,3.48,2.656,3.48,2401
2005-01-06,3.2416,3.2432,2.72,2.848,16580
2005-01-07,3.4176,3.808,3.2672,3.488,38943
2005-01-10,3.1568,3.584,2.7552,3.5504,5378
2005-01-11,3.112,3.232,3.1008,3.136,2370
2005-01-12,2.8016,3.0784,2.8016,3.0784,3193
2005-01-13,2.8272,3.04,2.816,3.0368,1163
2005-01-14,2.56,2.832,2.56,2.832,4782
2005-01-17,2.3712,2.6,2.3152,2.6,759
2005-01-18,2.5264,2.592,2.4336,2.592,521
2005-01-19,2.3152,2.464,2.288,2.44,2490
2005-01-20,2.1312,2.4,2.088,2.4,7596
2005-01-24,2.2704,2.2848,2.176,2.2368,551
2005-01-25,2.3104,2.4,2.288,2.4,1711
2005-01-27,2.288,2.4,2.2752,2.4,2710
2005-01-28,2.3248,2.4,2.2752,2.2752,2144
2005-01-31,2.2784,2.4576,2.272,2.352,1335
2005-02-01,2.2384,2.3648,2.208,2.288,4818
2005-02-02,2.2528,2.392,2.1952,2.3648,2551
2005-02-03,2.368,2.3984,2.32,2.32,2265
2005-02-04,2.4032,2.4096,2.336,2.336,1235
2005-02-07,2.552,2.6176,2.432,2.432,2141
2005-02-08,2.7136,2.7968,2.456,2.4576,5159
2005-02-09,2.7968,2.944,2.7392,2.912,17744
2005-02-10,2.704,2.912,2.5664,2.912,4116
2005-02-11,2.5984,2.784,2.4336,2.5616,3331
2005-02-14,2.4944,2.6544,2.4816,2.6544,1945
2005-02-15,2.4,2.4992,2.4,2.496,1016
2005-02-16,2.3904,2.4944,2.3424,2.3424,681
2005-02-17,2.3712,2.432,2.352,2.432,981
2005-02-18,2.368,2.432,2.368,2.424,426
2005-02-21,2.4,2.4,2.336,2.336,210
2005-02-22,2.64,2.64,2.336,2.464,6878
2005-02-23,2.904,2.904,2.7216,2.88,4482
2005-02-24,3.0496,3.0496,2.944,3.0496,31975
2005-02-25,2.8976,3.1632,2.8976,3.088,8050
2005-02-28,2.7536,2.88,2.7536,2.7648,3066
2005-03-01,2.6896,2.752,2.6848,2.6848,2344
2005-03-02,2.6944,2.7424,2.656,2.656,932
2005-03-03,2.696,2.7712,2.6848,2.688,2917
2005-03-04,2.6448,2.768,2.64,2.768,1193
2005-03-07,2.7248,2.768,2.592,2.768,6647
2005-03-08,2.7344,2.856,2.656,2.72,9145
2005-03-09,2.7488,2.8384,2.72,2.784,3477
2005-03-10,2.6832,2.8448,2.6736,2.8448,1079
2005-03-11,2.68,2.784,2.6544,2.784,1128
2005-03-14,2.664,2.76,2.6304,2.76,1097
2005-03-15,2.56,2.7808,2.5344,2.7808,2200
2005-03-16,2.4512,2.688,2.4352,2.688,1400
2005-03-17,2.496,2.56,2.4624,2.56,556
2005-03-18,2.5232,2.608,2.4336,2.608,805
2005-03-21,2.528,2.56,2.528,2.544,690
2005-03-22,2.4032,2.4784,2.4016,2.4176,463
2005-03-23,2.3056,2.52,2.2896,2.52,456
2005-03-24,2.2304,2.368,2.224,2.224,626
2005-03-28,2.2496,2.3408,2.1936,2.3408,1004
2005-03-29,2.144,2.352,2.144,2.352,1376
2005-03-30,2.144,2.192,2.144,2.1472,150
2005-03-31,2.2304,2.2496,2.224,2.2496,1107
2005-04-01,2.248,2.3008,2.2128,2.272,1148
2005-04-04,2.2176,2.272,2.176,2.2368,874
2005-04-05,2.208,2.2704,2.208,2.2704,276
2005-04-06,2.176,2.208,2.16,2.208,1178
2005-04-07,2.136,2.256,2.1056,2.2544,2581
2005-04-08,2.0656,2.16,2.048,2.16,2550
2005-04-11,2.1312,2.1584,2.0208,2.1584,302
2005-04-12,2.0768,2.1584,2.0688,2.1584,280
2005-04-13,2.0896,2.1376,2.0608,2.088,603
2005-04-15,2.128,2.1616,2.128,2.1568,224
2005-04-18,2.1344,2.144,2.0192,2.0512,1354
2005-04-19,2.2016,2.336,2.176,2.208,3729
2005-04-20,2.144,2.408,2.1136,2.408,343
2005-04-21,2.2384,2.2384,2.2384,2.2384,1
2005-04-22,2.1184,2.2048,2.1184,2.12,202
2005-04-25,2.136,2.176,2.136,2.176,250
2005-04-26,2.2144,2.3008,1.984,1.984,1682
2005-04-27,2.28,2.3008,2.2272,2.3008,751
2005-04-28,2.2304,2.2432,2.128,2.128,220
2005-04-29,2.1792,2.304,2.1792,2.304,210
2005-05-02,2.1232,2.2368,2.1152,2.128,780
2005-05-03,2.1616,2.1728,2.0656,2.0656,170
2005-05-04,2.1296,2.176,2.0832,2.1744,310
2005-05-05,2.344,2.344,2.144,2.144,1004
2005-05-06,2.3696,2.56,2.3696,2.56,698
2005-05-09,2.5296,2.5536,2.432,2.496,2731
2005-05-10,2.4,2.432,2.3712,2.432,523
2005-05-11,2.4128,2.496,2.3856,2.4,429
2005-05-12,2.504,2.5248,2.432,2.432,1454
2005-05-13,2.7328,2.7552,2.5568,2.5568,5881
