Date,Close,High,Low,Open,Volume
2005-04-18,31.15,35.5,30.65,32,46198200
2005-04-19,29.9,32.5,29.75,31.15,26251794
2005-04-20,28.95,30.4,27.95,30.4,20545352
2005-04-21,30.75,30.95,28.35,28.95,19432324
2005-04-22,30.75,31.45,30.3,31.25,11600062
2005-04-25,30.35,30.9,30.15,30.75,4734673
2005-04-26,29.65,30.6,29.55,30.35,5334820
2005-04-27,29.55,30.35,29.35,29.7,6053054
2005-04-28,29.25,30.1,29.05,29.7,5584982
2005-04-29,28.95,29.6,28.85,29.5,2484674
2005-05-02,28.5,29.3,28.15,29,2063858
2005-05-03,28.1,28.7,28.05,28.6,3236806
2005-05-04,28.7,29.1,28.2,28.2,3039332
2005-05-05,28.85,29.2,28.7,28.95,1927777
2005-05-06,28.75,28.95,28.5,28.8,1106917
2005-05-09,28.95,29.5,28.6,28.85,2429854
2005-05-10,29.1,29.9,28.8,29.1,3827050
2005-05-11,28.9,29.2,28.6,28.9,1372273
2005-05-12,28.8,29.4,28.6,28.6,2106497
2005-05-13,28.6,28.85,28.55,28.8,1504843
2005-05-16,28.6,28.75,28.5,28.7,1108549
2005-05-17,28.05,28.7,28,28.6,2030722
2005-05-18,27.85,28.3,27.75,28.25,1902078
2005-05-19,27.9,28.15,27.85,28,1761669
2005-05-20,27.75,28.1,27.7,28,1125535
2005-05-23,27.95,28.45,27.7,27.85,2873240
2005-05-24,28,28.25,27.75,28,3087888
2005-05-25,28,28.5,27.95,28.5,1276867
2005-05-26,27.25,28.1,27.1,28,3340875
2005-05-27,27.45,27.9,27.4,27.7,1849012
2005-05-30,27.05,27.7,27,27.55,1633938
2005-05-31,27.35,27.75,27,27.1,1642233
2005-06-01,27.4,27.6,27.3,27.45,765291
2005-06-02,27.15,27.5,27.1,27.4,574796
2005-06-03,27.25,27.45,27.1,27.25,726713
2005-06-06,28.7,28.9,27.55,27.6,4230752
2005-06-07,30.25,30.65,28.2,28.7,6460529
2005-06-08,30.45,31.4,30.3,30.9,8063139
2005-06-09,30.55,31.25,30.1,30.25,5616776
2005-06-10,29.8,31.5,29.55,31.5,2684708
2005-06-13,29.7,30.1,29.15,30.1,1791906
2005-06-14,29.75,30.35,29.6,30.1,1815550
2005-06-15,29.6,30.25,29.5,30.25,1371752
2005-06-16,28.55,29.75,28.5,29.75,1285710
2005-06-17,28.2,28.7,28,28.7,1391742
2005-06-20,28.4,29.15,28,28.2,1546216
2005-06-21,28.25,28.95,28.15,28.45,1393281
2005-06-22,28.25,28.65,28.2,28.45,887477
2005-06-23,28.55,28.7,28.2,28.45,868200
2005-06-24,28.45,28.65,28.3,28.5,919464
2005-06-27,28.4,28.65,27.6,27.6,756299
2005-06-28,28.1,28.6,28,28.25,900575
