Date,Close,High,Low,Open,Volume
2023-10-03,157.3,157.3,142.2,143,122117168
2023-10-04,164.95,168.7,160.4,165.1,55015128
2023-10-05,163.8,167.85,159.3,166.5,14856340
2023-10-06,171.6,173.35,164,165.15,14529445
2023-10-09,162.85,169.05,161.2,168,8685101
2023-10-10,169.75,174.8,163.05,164,11096550
2023-10-11,172.7,175.8,170.2,171.75,6367753
2023-10-12,172.15,174.8,171.2,173.65,3980057
2023-10-13,170.25,174.65,169.35,170.55,3828930
2023-10-16,167.85,171,165.75,170.9,3230784
2023-10-17,177,177.75,168.3,169.7,11425814
2023-10-18,175.1,186.35,173.5,178.9,16767224
2023-10-19,178.9,181.55,174.3,175,6152869
2023-10-20,176.1,181.5,175.35,179.45,3401682
2023-10-23,167.35,178.45,166.5,177.2,5466657
2023-10-25,165.65,170.8,162.35,170,3701887
2023-10-26,172.2,173.45,162.05,166,5038029
2023-10-27,176.2,179.95,172.75,174,4251314
2023-10-30,169.75,177.4,168.5,177.4,5625385
2023-10-31,169.55,172.9,168,171.45,2413657
2023-11-01,168.15,173.5,167.65,170.85,2823188
2023-11-02,171.75,173,169.55,170.5,1766150
2023-11-03,171.45,174.7,170.2,172.05,2521359
2023-11-06,188.3,188.55,177.2,179,20256528
2023-11-07,205.9,207.1,187.35,194.4,23030252
2023-11-08,202.35,215.45,201.5,208.4,18757436
2023-11-09,199.4,206.5,198.2,202.5,5998279
2023-11-10,197,206.6,194.85,199.35,7928580
2023-11-13,200.4,202.95,199.25,202.95,3623579
2023-11-15,197.85,202.25,197.15,202,2728869
2023-11-16,202.8,206.65,196.5,198.45,6737642
2023-11-17,209.3,220,207.75,213.45,16087741
2023-11-20,206.55,212.45,205.5,211,3768056
2023-11-21,207.25,209.8,204.05,207.95,3695871
2023-11-22,208.2,211.95,205.2,207.5,3523114
2023-11-23,205.9,210.3,204.4,209.4,2434510
2023-11-24,206,207.9,202.55,205.8,3374870
2023-11-28,208.4,209.4,202.6,206.75,3513501
2023-11-29,210.75,217.15,207.55,208.9,6690057
2023-11-30,210.5,215.4,207.8,215,3401542
2023-12-01,219.85,224.5,211.1,211.85,10488871
2023-12-04,217.6,227.6,216.55,227.6,5283493
2023-12-05,227.05,234.8,222,222.8,11620466
2023-12-06,238.95,244.9,229,229.5,10704712
2023-12-07,236.2,247.5,235,241,9396753
2023-12-08,228.4,240,224.8,237.85,7482839
2023-12-11,231.15,235.5,229.65,230,4621566
2023-12-12,237.95,241.25,229.45,232,6968428
2023-12-13,238.85,242,236,239,3906056
2023-12-14,236.2,242.4,235.25,241.4,3414212
