Date,Close,High,Low,Open,Volume
2010-10-18,112.9,142.55,106.35,119,16224090
2010-10-19,127.45,133,101,113.5,16883040
2010-10-20,127.5,138,121,121,6878421
2010-10-21,122.35,130.2,120.4,123.65,2666531
2010-10-22,117.65,125,115,125,988287
2010-10-25,112.9,118.3,110,118.3,878196
2010-10-26,111.9,117,111,114,402867
2010-10-27,108.05,114.9,106.35,112.5,243276
2010-10-28,108.1,112.9,106.15,109,362029
2010-10-29,108.05,109.55,106.4,108.1,135661
2010-11-01,106.8,110,105.05,109.75,152132
2010-11-02,107.5,110,103.05,106.1,161274
2010-11-03,104.8,108.85,103,108,71923
2010-11-04,102.55,105.5,102.05,103.5,68194
2010-11-05,110.85,113.5,104,112,169811
2010-11-08,116.85,124.9,110.05,115,617736
2010-11-09,113.3,120,112.1,117.8,149369
2010-11-10,115.95,120,112.2,114.5,224193
2010-11-11,114.2,118,112.5,116.55,98994
2010-11-12,108,114.8,104.35,113,101340
2010-11-15,111.95,113.4,106.1,108.25,98473
2010-11-16,101.75,114.3,99,112.2,313378
2010-11-18,102.15,105.45,97.25,103.05,111705
2010-11-19,102.25,106.75,101.4,104,124961
2010-11-22,103.3,104.9,92.2,103,58827
2010-11-23,101.45,103.4,96.1,102.5,56203
2010-11-24,101.65,104.8,100,103.25,40447
2010-11-25,99.35,106.25,97.55,98,122718
2010-11-26,91.6,102,87.1,99.25,101773
2010-11-29,90,92.45,88,90.9,32202
2010-11-30,93.35,96.8,88.2,88.95,98472
2010-12-01,74.7,90.1,74.7,90,567847
2010-12-02,59.8,70.05,59.8,70.05,197342
2010-12-03,53.85,53.85,53.85,53.85,28941
2010-12-06,48.5,48.6,48.5,48.6,21027
2010-12-07,44.35,51.2,43.65,43.65,1029127
2010-12-08,44.8,45.95,42.15,42.25,417556
2010-12-09,42.6,46,42.6,45.2,140505
2010-12-10,43.5,43.95,40.5,42.4,216932
2010-12-13,43.75,44.7,43.35,44.3,48478
2010-12-14,44.15,44.95,43.5,44,50171
2010-12-15,45.6,46,44.6,44.9,156470
2010-12-16,45.55,46.45,45,45,32583
2010-12-20,45.4,47,45,45,36912
2010-12-21,44.75,46,44.5,45.2,24965
2010-12-22,45.1,45.8,44.1,44.25,23481
2010-12-23,46.4,46.5,44.7,44.7,37386
2010-12-24,44.9,46.4,44.75,46,42677
2010-12-27,44.6,45.8,44.35,45.8,18937
2010-12-28,43.8,46,43.5,46,21000
2010-12-29,44.1,45,43.5,44.25,38338
2010-12-30,46.2,46.35,43.2,43.2,185825
2010-12-31,48.55,48.55,47.5,47.5,47832
2011-01-03,47.9,51,46.8,51,163260
2011-01-04,50.1,50.3,47.35,48.1,125976
2011-01-05,49.75,51,49.2,49.2,50541
2011-01-06,49,51.4,48.25,51.4,21787
2011-01-07,45.7,50,45.35,48.55,54893
2011-01-10,43.65,46.85,42.2,46.35,50869
