Date,Close,High,Low,Open,Volume
2007-12-19,44.5411,50.2037,41.5737,50.2037,5136540
2007-12-20,43.8455,44.6645,43.192,44.0334,693888
2007-12-24,45.4947,46.782,44.1063,44.3139,598209
2007-12-26,45.7695,47.2308,45.1581,47.2308,246913
2007-12-27,46.5717,47.96,45.604,45.9939,396703
2007-12-28,48.0245,48.2404,46.2772,46.2772,284981
2007-12-31,48.4003,48.7453,47.1186,47.1186,156848
2008-01-01,48.4003,49.0482,48.1282,48.1282,74728
2008-01-02,50.271,53.8526,47.8253,48.3526,296440
2008-01-03,48.3049,51.5724,48.2404,49.9176,82866
2008-01-04,49.18,49.9232,48.4368,48.7453,103336
2008-01-07,49.0033,49.3062,48.2404,48.8575,44841
2008-01-08,48.0441,49.9232,47.6795,49.0818,48930
2008-01-09,48.3162,48.6892,47.6234,47.6795,42682
2008-01-10,48.2376,48.6275,47.96,48.5209,70770
2008-01-11,48.2601,48.577,47.7917,48.5209,45143
2008-01-14,48.246,49.0818,48.2404,48.2404,11173
2008-01-15,48.2965,48.5209,48.2404,48.2965,10869
2008-01-16,49.0257,49.6428,47.9628,48.2404,20230
2008-01-17,50.515,51.0311,49.0257,49.6428,23968
2008-01-18,50.6553,52.167,49.3623,50.1476,61961
2008-01-21,45.3124,49.4184,44.3139,48.2965,14141
2008-01-22,40.0985,42.0701,36.4047,39.3777,6937
2008-01-23,45.6068,47.6234,42.0701,42.6872,8621
2008-01-24,43.8427,44.8748,39.3777,39.3777,7402
2008-01-25,42.8218,44.5944,40.9483,42.0701,5473
2008-01-28,44.8608,44.9309,39.9947,39.9947,3691
2008-01-29,42.9817,45.7162,41.5653,44.9309,1107
2008-01-30,43.5678,44.0334,42.7433,42.7994,2194
2008-01-31,44.7009,45.1553,41.9636,41.9636,14314
2008-02-01,44.5495,44.987,39.5459,39.5459,2232
2008-02-04,44.5803,45.4358,43.7586,43.7586,10825
2008-02-05,44.8804,45.1553,43.5286,44.3139,2714
2008-02-06,44.8776,45.2058,42.6311,42.6311,78983
2008-02-07,43.3463,45.9967,42.6311,45.9967,2412
2008-02-08,40.9314,44.3139,35.7877,42.8134,5120
2008-02-11,37.6079,41.958,36.573,41.2287,15030
2008-02-12,39.3608,40.1069,37.5827,38.4241,3627
2008-02-13,38.6597,39.8264,38.1436,39.0691,1696
2008-02-14,39.6693,41.958,37.0217,41.958,19114
2008-02-15,39.2066,39.7142,36.573,36.601,1195
