Date,Close,High,Low,Open,Volume
1995-05-15,5.41126,5.41126,5.41126,5.41126,550
1995-05-18,5.41126,5.41126,5.41126,5.41126,50
1995-05-19,5.51948,5.51948,5.42208,5.45455,550
1995-05-24,5.45455,5.45455,5.45455,5.45455,200
1995-05-29,5.30303,5.30303,5.30303,5.30303,100
1995-05-30,5.41126,5.41126,5.36797,5.36797,15100
1995-06-01,5.41126,5.41126,5.41126,5.41126,50
1995-06-05,5.51948,5.51948,5.51948,5.51948,100
1995-06-06,5.68182,5.68182,5.58442,5.58442,200
1995-06-07,5.60606,5.73593,5.58983,5.73593,1050
1995-06-08,5.81602,5.83333,5.62771,5.63853,35850
1995-06-09,5.73593,5.73593,5.67641,5.67641,8200
1995-06-12,5.84416,5.84416,5.73593,5.73593,1000
1995-06-13,5.84416,5.84416,5.82251,5.84416,350
1995-06-14,5.84416,5.84416,5.84416,5.84416,200
1995-06-15,5.77922,5.77922,5.75758,5.75758,200
1995-06-16,5.85498,5.88745,5.73593,5.73593,3250
1995-06-19,5.84416,5.90909,5.80195,5.84416,1100
1995-06-20,5.97403,6.01732,5.8658,5.8658,4050
1995-06-21,6.03896,6.27706,6.03896,6.12121,3350
1995-06-22,6.12554,6.27706,6.06061,6.27706,800
1995-06-23,6.16883,6.16883,5.99567,6.1039,950
1995-06-26,5.95238,5.95238,5.89827,5.89827,300
1995-06-27,5.89827,5.95238,5.88745,5.88745,1300
1995-06-28,5.89827,5.97403,5.87662,5.93074,1150
1995-06-30,5.93074,5.93074,5.84416,5.90909,300
1995-07-03,5.84416,5.84416,5.84416,5.84416,150
1995-07-04,5.70346,5.73593,5.65043,5.65043,350
1995-07-05,5.73593,5.84416,5.73593,5.79004,1200
1995-07-06,5.70887,5.72403,5.62771,5.62771,800
1995-07-07,5.62771,5.62771,5.49784,5.56277,1100
1995-07-10,5.59524,5.70887,5.59524,5.70887,700
1995-07-11,5.51948,5.58442,5.41126,5.58442,250
1995-07-12,5.45455,5.47619,5.41126,5.47619,400
1995-07-13,5.36797,5.41126,5.30303,5.30303,1400
1995-07-14,5.41126,5.45455,5.41126,5.41126,550
1995-07-17,5.58442,5.88312,5.34632,5.88312,1000
1995-07-18,5.56277,5.62771,5.45455,5.62771,350
1995-07-21,5.56277,5.62771,5.56277,5.62771,150
1995-07-24,5.69264,5.84416,5.671,5.84416,2550
1995-07-25,5.73593,5.73593,5.73485,5.73485,800
1995-07-26,5.95238,5.95238,5.84416,5.84416,750
1995-07-27,6.07143,6.08225,6.01732,6.06061,2550
1995-07-28,5.88745,5.95238,5.84416,5.95238,800
1995-07-31,5.82251,5.90909,5.82251,5.88745,3450
1995-08-01,5.94697,5.95238,5.73593,5.73593,6500
1995-08-02,5.84416,5.93074,5.84416,5.85498,2050
1995-08-03,5.84416,5.88745,5.84416,5.84416,600
1995-08-04,5.84416,5.90909,5.84416,5.84416,800
1995-08-07,5.8658,5.88745,5.83874,5.84416,800
1995-08-08,5.8539,5.88745,5.84416,5.84416,1300
1995-08-09,5.84416,5.8658,5.79004,5.79004,1550
1995-08-11,5.85281,5.86039,5.84416,5.84416,600
1995-08-14,5.82792,5.95238,5.81169,5.95238,650
1995-08-16,5.9513,5.9513,5.88745,5.88745,1150
1995-08-17,5.95238,5.97403,5.88745,5.89286,1350
1995-08-18,5.95238,5.95238,5.93074,5.93074,150
1995-08-21,6.01732,6.01732,5.90909,5.90909,450
1995-08-22,5.88745,6.06061,5.88745,6.06061,650
1995-08-23,5.90909,5.90909,5.88745,5.88745,200
1995-08-24,5.88745,5.95238,5.88745,5.95238,950
1995-08-25,5.88745,5.88745,5.8658,5.88745,600
1995-08-28,5.8658,5.88745,5.84416,5.88745,400
1995-08-30,5.84416,5.88745,5.84416,5.8658,450
1995-08-31,5.88745,5.90909,5.87662,5.87662,1950
1995-09-01,5.88745,5.90909,5.84416,5.84416,2750
1995-09-05,5.84416,5.88203,5.84307,5.88203,600
1995-09-07,5.80087,5.84416,5.80087,5.84416,150
1995-09-08,5.80087,5.80087,5.80087,5.80087,250
1995-09-12,5.67749,5.73593,5.62771,5.73593,1150
1995-09-13,5.69264,5.69264,5.69264,5.69264,100
1995-09-14,5.69264,5.69264,5.69264,5.69264,1000
1995-09-15,5.71429,5.71429,5.71429,5.71429,3200
1995-09-18,5.73593,5.75758,5.69264,5.69264,800
1995-09-19,5.70887,5.77165,5.69264,5.71429,5700
1995-09-20,5.68398,5.68723,5.671,5.671,4850
1995-09-21,5.71429,5.71429,5.671,5.671,3150
1995-09-22,5.71429,5.80087,5.71429,5.73593,3150
1995-09-25,5.84307,5.84307,5.73593,5.75216,3100
1995-09-26,5.75758,5.7684,5.72511,5.72511,3000
1995-09-27,5.74675,5.80087,5.74675,5.75758,5750
1995-09-28,5.75758,5.84307,5.72511,5.82251,900
1995-09-29,5.8658,5.8658,5.73593,5.83874,1500
1995-10-04,5.84416,5.84416,5.84416,5.84416,1000
1995-10-05,5.80087,5.82251,5.80087,5.80087,650
1995-10-06,5.92316,5.95238,5.84416,5.80087,3800
1995-10-09,6.1039,6.1039,5.80087,5.80087,2550
1995-10-10,6.12554,6.16883,6.1039,6.1039,7650
1995-10-11,6.15152,6.19048,6.1039,6.16883,3450
1995-10-12,6.1158,6.12554,5.88853,5.88853,1400
1995-10-13,6.09957,6.14719,6.03896,6.09307,2500
1995-10-16,6.12879,6.13528,6.08333,6.09957,1000
1995-10-17,6.27706,6.27706,6.03896,6.08225,950
1995-10-18,6.16883,6.21212,6.16883,6.16883,850
1995-10-19,6.14719,6.14719,6.09848,6.09848,350
1995-10-20,6.08009,6.12554,6.03896,6.03896,750
1995-10-23,6.17965,6.17965,6.17965,6.08009,50
1995-10-24,5.95238,5.95238,5.95238,5.95238,100
1995-10-25,5.93074,5.93074,5.92532,5.92532,200
1995-10-26,5.95238,5.95238,5.90909,5.95238,350
1995-10-27,5.90909,5.93074,5.73593,5.92532,1400
1995-10-30,5.8961,5.90909,5.73593,5.73593,1400
1995-10-31,5.8171,5.90909,5.80087,5.90909,2000
1995-11-01,5.84416,5.84416,5.82468,5.84416,2200
1995-11-02,5.84416,5.8658,5.82251,5.82251,1300
1995-11-03,5.80087,5.84416,5.80087,5.82251,1450
1995-11-06,5.76515,5.84416,5.75758,5.81277,1550
1995-11-07,5.80087,5.80087,5.73593,5.73593,200
1995-11-08,5.73593,5.77922,5.73593,5.77922,550
1995-11-09,5.69264,5.71429,5.69264,5.73593,300
1995-11-10,5.61364,5.61688,5.56277,5.5855,600
1995-11-13,5.41126,5.51948,5.36797,5.51948,750
1995-11-14,5.34632,5.84416,5.34632,5.84416,600
1995-11-15,5.39827,5.45455,5.35173,5.45455,400
1995-11-16,5.34632,5.36797,5.30303,5.30303,550
1995-11-17,5.22727,5.25974,5.19481,5.21645,250
1995-11-20,5.16234,5.19481,5.08658,5.15152,1500
1995-11-21,4.95671,5.15152,4.95671,5.15152,850
1995-11-22,4.65368,4.97835,4.65368,4.97727,550
1995-11-23,4.28571,4.65368,4.28571,4.65368,2500
1995-11-24,4.5671,4.65368,4.04762,4.11255,3100
1995-11-27,4.58874,4.80519,4.54545,4.5671,2050
1995-11-28,4.43723,4.54545,4.37229,4.58874,1500
1995-11-29,4.82684,4.89177,4.58874,4.43723,6150
1995-11-30,4.93506,4.93506,4.84848,4.87013,1450
1995-12-01,4.91342,5.08658,4.84848,5.08658,1050
1995-12-04,4.80519,4.9026,4.79004,4.9026,800
1995-12-05,4.75649,4.82468,4.74134,4.80519,2600
1995-12-06,4.7619,4.93506,4.7619,4.75649,1350
1995-12-07,4.87013,4.93506,4.86905,4.87013,2400
1995-12-08,4.89177,4.95671,4.80519,4.82684,1100
1995-12-11,4.65368,4.84848,4.65368,4.84848,4750
1995-12-12,4.80195,4.87554,4.7619,4.65368,850
1995-12-13,4.7619,4.7619,4.7619,4.7619,250
1995-12-14,4.85931,4.85931,4.74026,4.7619,950
1995-12-15,4.67965,4.78463,4.67532,4.85931,1200
1995-12-18,4.76732,4.78355,4.71861,4.67965,750
1995-12-19,4.70779,4.82684,4.65368,4.76732,2150
1995-12-20,4.7619,4.80519,4.7619,4.70779,450
1995-12-21,4.95022,4.97835,4.82684,4.82684,3900
1995-12-22,5,5,4.87013,4.87013,700
1995-12-26,4.98377,5.07576,4.89177,5.02056,4000
1995-12-27,5.10281,5.10823,5.04329,5.08658,450
1995-12-28,5.15693,5.2381,5.02165,5.10823,950
1995-12-29,5.10173,5.15152,5.04437,5.15693,650
1996-01-01,5.09199,5.09199,5.08658,5.10173,450
1996-01-02,4.93506,5.12987,4.92965,5.09199,1300
1996-01-03,4.97835,5.06494,4.97835,4.93506,950
1996-01-04,4.84848,4.95671,4.84848,4.87013,500
1996-01-05,4.76299,4.78355,4.7619,4.84848,500
1996-01-08,4.7619,4.9026,4.7619,4.80519,1450
1996-01-09,4.7619,4.89177,4.7619,4.7619,1500
1996-01-10,4.77489,4.81602,4.7619,4.7619,550
1996-01-11,4.7619,4.77706,4.7619,4.77489,1500
1996-01-12,4.78355,4.78355,4.71861,4.7619,300
1996-01-15,4.74026,4.7619,4.72944,4.78355,450
1996-01-16,4.83766,4.85823,4.7619,4.74026,450
1996-01-17,4.82468,4.82684,4.78355,4.78355,700
1996-01-18,4.76082,4.76082,4.69697,4.69697,100
1996-01-19,4.52381,4.7197,4.52273,4.71861,550
1996-01-22,4.50216,4.63203,4.50216,4.63203,600
1996-01-23,4.48052,4.48052,4.36147,4.50216,1150
1996-01-24,4.22078,4.43723,4.22078,4.43723,1050
1996-01-25,4.00433,4.22078,4.00433,4.22078,900
1996-01-29,4.19372,4.2197,4.1342,4.20996,1000
1996-01-30,4.28571,4.28571,4.17749,4.24242,1350
1996-01-31,4.15584,4.19913,4.13528,4.13528,950
1996-02-01,4.28571,4.28571,4.16775,4.22078,1000
1996-02-02,4.54545,4.58874,4.37229,4.54545,1550
1996-02-05,4.58874,4.67532,4.58874,4.65368,750
1996-02-06,4.71861,4.7619,4.58874,4.58874,2750
1996-02-07,4.67532,4.72294,4.65368,4.65368,1200
1996-02-08,4.88095,4.89177,4.67532,4.67532,1250
1996-02-09,5.2316,5.30303,4.93506,4.93506,2950
1996-02-12,5.46861,5.73593,5.34632,5.2316,4100
1996-02-13,5.57576,5.73593,5.47619,5.46861,4200
1996-02-14,5.77922,5.88745,5.69264,5.57576,5650
1996-02-15,6.32468,6.38528,5.75758,5.75758,10600
1996-02-16,6.26732,6.38528,5.95238,6.32468,11200
1996-02-19,5.9816,6.38528,5.93074,6.26732,2600
1996-02-20,5.64719,6.03896,5.51948,5.9816,5750
1996-02-22,6.08658,6.1039,5.74675,5.74675,11450
1996-02-23,6.14069,6.27706,6.01732,6.08658,12750
1996-02-26,6.27273,6.36364,6.1039,6.12554,9750
1996-02-27,6.14177,6.27706,6.08225,6.27273,7350
1996-02-28,6.06169,6.19048,6.03896,6.14177,2550
1996-02-29,5.69264,6.00649,5.69264,6.06169,2700
1996-03-01,5.84091,5.95238,5.69264,5.69264,1550
1996-03-04,5.65584,5.75758,5.62771,5.84091,3850
1996-03-06,5.48052,5.671,5.43831,5.65584,2050
1996-03-07,5.56277,5.64935,5.56277,5.48052,900
1996-03-08,5.45455,5.51948,5.45455,5.51948,2050
1996-03-11,5.4329,5.45455,5.36797,5.45455,500
1996-03-12,5.16775,5.41126,5.12987,5.4329,1450
1996-03-13,5.45996,5.47619,5.38961,5.16775,1500
1996-03-14,5.51948,5.69264,5.45455,5.47619,2550
1996-03-15,5.45563,5.58442,5.44372,5.58442,650
1996-03-18,5.2868,5.41126,5.24351,5.41126,1500
1996-03-19,4.97835,5.25974,4.97835,5.2868,1200
1996-03-21,5.1645,5.19481,5.15152,5.15152,1800
1996-03-22,5.06494,5.08442,5.04329,5.04329,450
1996-03-25,4.97835,5.06494,4.97835,5.06494,550
1996-03-26,4.88528,4.97835,4.87013,4.97835,2200
1996-03-27,5.10281,5.19481,4.87013,4.97835,1050
1996-03-28,5.15909,5.34632,5.10823,5.10281,2100
1996-03-29,5.32359,5.671,5.02381,5.15909,3500
1996-04-01,5.15909,5.41126,5.12987,5.32359,2200
1996-04-02,5.16775,5.2381,5.12987,5.15909,2850
1996-04-03,5.28355,5.51948,5.28139,5.16775,3900
1996-04-04,5.27056,5.31385,5.24784,5.28355,2050
1996-04-08,5.30087,5.35714,5.19481,5.27056,2600
1996-04-09,5.53247,5.80087,5.28139,5.30087,4950
1996-04-10,5.54004,5.73485,5.45455,5.53247,4600
1996-04-11,5.52922,5.69156,5.45455,5.54004,12100
1996-04-12,5.55195,5.58442,5.47619,5.52922,1900
1996-04-15,5.63203,5.80087,5.60606,5.55195,3400
1996-04-16,5.69264,5.73593,5.55844,5.63203,3350
1996-04-17,5.93074,6.1039,5.79978,5.69264,4550
1996-04-18,6.01082,6.16883,5.9329,5.93074,5100
1996-04-19,6.04004,6.16883,5.97403,6.01082,5350
1996-04-22,5.85173,5.97403,5.80303,6.04004,3050
1996-04-23,5.69264,5.83009,5.68182,5.85173,5550
1996-04-24,6.06169,6.07684,5.80087,5.69264,8950
1996-04-25,6.05844,6.27706,6.02814,6.06169,16250
1996-04-26,6.06385,6.14719,6.00758,6.05844,6100
1996-04-29,6.01732,6.05736,5.99567,6.06385,2400
1996-04-30,6.14069,6.32035,6.01732,6.01732,8550
