Date,Close,High,Low,Open,Volume
2010-04-20,337.35,375.3,255,255,4199496
2010-04-21,306.15,338,300.05,338,1192794
2010-04-22,291.1,304.65,287.4,300,391028
2010-04-23,298.1,300,285.1,294.85,378809
2010-04-26,288.7,300,286,300,122349
2010-04-27,288.1,293.8,285.5,288.5,99279
2010-04-28,273.95,284.4,271,282.05,135757
2010-04-29,284.05,287.5,270.9,274,110806
2010-04-30,292.45,296,282.1,283.5,42273
2010-05-03,289.85,294.75,285.25,290,26764
2010-05-04,281.2,300,278.1,295,42954
2010-05-05,276.55,278.8,268.6,272,31566
2010-05-06,276.05,284,270.2,278.8,30296
2010-05-07,270.6,272.85,265,272,19525
2010-05-10,270.3,275,265.15,275,11893
2010-05-11,264.85,275,262.1,275,7860
2010-05-12,258,269,255.5,265,18978
2010-05-13,264.3,266,259.05,259.05,10136
2010-05-14,266.55,274.7,265,265.8,10810
2010-05-17,264.6,268,261,268,7374
2010-05-18,265.6,270,264,264,3107
2010-05-19,260.25,267.8,257.9,263.1,7994
2010-05-20,255.05,261.8,252,261.8,5618
2010-05-21,252.15,253.55,246.5,251,5842
2010-05-24,254.7,256.85,235,253,5732
2010-05-25,252.2,256,247,247.9,8111
2010-05-26,259.85,261,251.3,252.65,5513
2010-05-27,257.05,260.25,255,255.1,1564
2010-05-28,260.2,262,258.2,260,4012
2010-05-31,260.4,273,255.05,255.05,3282
2010-06-01,265.05,266.95,260,260.6,21235
2010-06-02,261.2,263.35,260,261,6233
2010-06-03,260.5,263.7,260,262,3992
2010-06-04,260.15,261.8,260,260,1770
2010-06-07,257.45,261,256.7,259,14888
2010-06-08,260.4,260.85,252,252,8676
2010-06-09,260,263.6,257.7,257.7,4203
2010-06-10,260.5,261,248.4,258.1,3599
2010-06-11,260.25,262,258.25,258.25,3415
2010-06-14,260,260.7,260,260.05,8775
2010-06-15,261,263.9,259,260,13969
2010-06-16,260,262.85,260,260.15,1652
2010-06-17,260.05,264,258.5,258.5,6693
2010-06-18,260,264.9,260,260,3261
2010-06-21,260.05,270,258,260.1,5935
2010-06-22,260.9,262,260,260.2,5344
2010-06-23,260.1,264.75,250.55,250.55,2691
2010-06-24,260.8,263.9,251,263.9,3335
2010-06-25,259.95,263,259,259,13850
2010-06-28,262,264.9,259,264.9,137987
2010-06-29,260.15,264.95,259.1,264,224158
2010-06-30,259.75,262.85,259,262.85,1777
2010-07-01,260,261.95,259.1,260,7105
2010-07-02,260,262.55,258.6,258.6,8402
2010-07-05,260.65,263,260,260,13027
2010-07-06,261.3,262,259.15,259.2,6322
2010-07-07,260.65,262.9,260,260.8,1867
2010-07-08,280.55,283,261,261.15,28139
2010-07-09,279.35,287.5,276.1,283,27497
2010-07-12,278.95,287,275,282,3737
2010-07-13,278.1,283.5,274,277.6,6603
2010-07-14,282.45,285,274,274,7025
2010-07-15,284.6,286,273.1,273.1,4553
2010-07-16,283.95,287,281.1,286,7971
2010-07-19,273.3,282.9,270,277.6,9379
2010-07-20,276.45,280,273,275,1373
2010-07-21,279.5,288.4,275,275.05,28294
2010-07-22,282.45,285,276.4,280.75,2762
2010-07-23,278.25,286,273.45,282.95,2321
2010-07-26,275.25,286,275.1,286,2454
2010-07-27,274.35,278.95,271,278,7750
2010-07-28,262.3,272.1,260,272,5042
2010-07-29,258.3,262.5,256,257.1,2343
2010-07-30,257.05,265,257,265,4179
2010-08-02,266.95,268.5,253.85,256,6607
2010-08-03,277.1,283.55,268,268,11773
2010-08-04,279.7,281.9,278,280,5650
2010-08-05,275.5,280.45,271.1,272,6273
2010-08-06,270.5,274,270.1,270.4,2386
2010-08-09,270.3,274.9,268,272.75,868
2010-08-10,267.45,270.75,266.5,270.05,2413
2010-08-11,270.55,273.9,265.05,266.1,4430
2010-08-12,269.5,270.95,264.1,268,2243
2010-08-13,272.55,274.7,267,271.95,4317
2010-08-16,262.55,274.85,262.1,268.1,2872
2010-08-17,264.25,267.25,260,262.55,1459
2010-08-18,262.6,271,262,271,1292
2010-08-19,265.4,267,262.05,262.05,844
2010-08-20,266.7,269,259.15,268.9,1438
2010-08-23,262.9,268,262.1,264,1363
2010-08-24,262.2,269,260,264.2,2645
2010-08-25,258.6,266,258.25,264,1804
2010-08-26,257.6,263,254.7,254.7,768
2010-08-27,259,262.85,257.3,261,650
2010-08-30,252.25,262.25,251.05,262.25,1036
2010-08-31,245.8,253.75,242.25,250.85,1924
2010-09-01,254.25,269.5,245.1,245.4,8178
2010-09-02,250.85,261,249.95,255,4331
2010-09-03,259.45,266.1,252,252,5040
2010-09-06,260.25,265.9,259,265.9,10490
2010-09-07,264.45,268,260.05,264.9,3779
2010-09-08,262.25,264.25,259,260,6458
2010-09-09,261.55,263.9,258,258.15,1763
2010-09-13,268.3,270,264.9,266.75,4731
2010-09-14,268.3,272.5,265,265,5358
2010-09-15,266.05,270,250,250,7538
2010-09-16,262.55,268,262,265,3730
2010-09-17,264.75,268,255.1,268,1398
2010-09-20,265.3,270,260.4,270,21898
2010-09-21,264.2,269.8,250.15,260,321450
2010-09-22,260.35,262.9,251.25,259,11136
2010-09-23,257.6,261.8,255,260,3226
2010-09-24,258.3,262,256.5,257,5811
2010-09-27,252.1,262,252,262,4059
2010-09-28,255.35,258.95,252,255,8149
2010-09-29,257.3,261,253,253,10254
2010-09-30,255,256.65,255,255.25,4393
2010-10-01,257.75,259,255.25,258,12352
2010-10-04,252.25,259,251.25,252.25,4751
2010-10-05,255.2,257,253,255,7272
2010-10-06,255.2,273,254.5,257,331622
2010-10-07,255.25,261.3,252,257.9,34299
2010-10-08,255.15,256.45,254.5,255,12031
2010-10-11,245.85,254.7,243.35,251.6,13055
2010-10-12,242.1,248,240,245,6225
2010-10-13,244.05,245.9,240,242,6288
