Date,Close,High,Low,Open,Volume
2012-09-25,14.9167,15.9524,14.7619,14.9524,59640
2012-09-26,14.8214,16.6667,14.2857,16.6667,36680
2012-09-27,14.5714,15.1905,14.4048,15.1667,25101
2012-09-28,14.2381,14.7143,13.869,14.2857,11361
2012-10-01,13.9762,15.3333,13.0952,14.4762,21192
2012-10-03,14.0357,14.5238,13.631,14.5238,15059
2012-10-04,14.5833,14.7619,13.5714,13.5833,63717
2012-10-05,15.4524,15.7143,14.619,15.2381,73018
2012-10-08,15.4643,15.5357,15.3571,15.3571,16330
2012-10-09,16.1786,16.6667,15.119,15.119,101170
2012-10-10,15.9405,16.4286,15.75,16.3929,5626
2012-10-11,15.4643,16.0476,15.2381,15.381,6697
2012-10-12,15.2262,15.9524,15.1548,15.4762,9301
2012-10-15,14.8214,15.3571,14.7738,15.2619,10421
2012-10-16,14.9762,15.4643,14.7619,15.4643,7581
2012-10-17,14.6905,15.1905,14.5357,15.1905,3621
2012-10-18,14.5952,14.9048,14.3214,14.3214,2296
2012-10-19,15,15.2024,14.2857,14.6071,4494
2012-10-22,14.9405,15.1786,14.3214,14.4405,10575
2012-10-23,14.9167,15.2381,14.5833,14.5833,11672
2012-10-25,14.6071,15.1071,14.5714,14.7976,22856
2012-10-26,15.0833,15.2381,14.5595,15.2381,13000
2012-10-29,14.7381,15.2381,14.6667,15.2381,14162
2012-10-30,14.5833,15,14.119,14.6786,11899
2012-10-31,14.0833,14.6429,14,14.6429,4797
2012-11-01,13.8452,14.9643,13.6071,14.9643,5178
2012-11-02,15.119,15.3571,14.0595,14.2619,16925
2012-11-05,15.4643,16.1905,14.3452,14.3452,9566
2012-11-06,14.9524,15.4762,14.8214,15.4762,3280
2012-11-07,14.881,15.2381,14.881,14.9643,998
2012-11-08,14.881,15.4762,14.381,15.4762,6545
2012-11-09,14.7381,15,14.5595,14.6429,1208
2012-11-12,14.9405,15.2381,14.7143,15.2143,2545
2012-11-13,14.7024,15.3571,14.4286,15.3571,5399
2012-11-15,14.8095,15.2143,14.4167,14.4167,1534
2012-11-16,14.75,15.3571,14.6429,15.1667,4049
2012-11-19,14.1786,14.5714,11.9048,14.5595,53161
2012-11-20,14.1905,14.7857,14.1905,14.6429,3962
2012-11-21,14.3214,14.7143,14.1786,14.1905,3491
2012-11-22,14.25,14.5238,14.25,14.5238,1037
2012-11-23,14.2976,14.5238,14.1905,14.1905,1781
2012-11-26,14.5238,14.5238,14.1667,14.5,4051
2012-11-27,14.7381,15.1786,14.2857,15.119,3565
2012-11-29,14.5357,15.1905,13.5476,15.1905,6125
2012-11-30,14.8333,14.8571,14.4405,14.4405,1689
2012-12-03,14.5238,14.9286,13.8929,14.0476,6696
2012-12-04,15.2381,15.2381,14.1667,14.1905,6983
2012-12-05,14.881,15.119,14.5595,14.7619,5895
2012-12-06,14.9286,15.2143,14.6667,15.2143,5066
2012-12-07,14.7619,15.2143,14.6429,15.2143,3897
