Date,Close,High,Low,Open,Volume
1995-05-10,7.72727,7.72727,7.72727,7.72727,300
1995-05-16,7.63636,7.63636,7.27273,7.27273,500
1995-05-18,7.72727,7.73636,7.72727,7.72727,1200
1995-05-19,7.72727,7.72727,7.63636,7.63636,400
1995-05-22,7.54545,7.81818,7.54545,7.81818,500
1995-05-23,7.27273,7.27273,7.27273,7.27273,100
1995-05-24,7.81818,7.81818,7.81818,7.81818,100
1995-05-25,7.81818,7.81818,7.81818,7.81818,100
1995-05-26,7.81818,7.81818,7.81364,7.81364,200
1995-05-29,8.38636,8.38636,8.18182,8.18182,200
1995-05-30,8.27273,8.35909,8.09091,8.09091,400
1995-05-31,8.09091,8.27273,8,8.27273,1500
1995-06-01,8.06818,8.18182,8,8.18182,600
1995-06-02,7.81818,8,7.81818,8,600
1995-06-06,7.63636,7.81818,7.63636,7.81818,2000
1995-06-07,7.5,7.81364,7.5,7.75,1400
1995-06-08,7.54545,7.54545,7.54545,7.54545,200
1995-06-09,7.09091,7.72727,7.09091,7.72727,500
1995-06-12,7.09545,7.09545,6.5,6.5,200
1995-06-13,7.36364,7.53636,7.09091,7.53636,800
1995-06-14,7.18182,7.18182,7.18182,7.18182,100
1995-06-15,7.18182,7.18182,7.09091,7.09091,200
1995-06-16,7.09091,7.18182,6.95455,7.18182,1100
1995-06-19,7.22727,7.22727,7.04545,7.04545,1300
1995-06-20,7.01364,7.18182,7.01364,7.18182,1900
1995-06-21,7.09091,7.09091,7.04545,7.04545,300
1995-06-22,7.18182,7.72727,7.04545,7.72727,1700
1995-06-23,7.06818,7.06818,7.06818,7.06818,400
1995-06-26,7.09091,7.09091,7.07273,7.07273,500
1995-06-27,7.15909,7.15909,6.90909,6.90909,300
1995-06-28,7.09091,7.09091,7,7,200
1995-06-29,7.09091,7.09091,6.95455,6.95455,800
1995-06-30,7.09091,7.27273,7.09091,7.27273,400
1995-07-04,6.91364,6.91364,6.90909,6.90909,200
1995-07-05,6.81818,6.81818,6.81818,6.81818,100
1995-07-06,6.84091,6.84091,6.72727,6.72727,400
1995-07-07,6.90909,6.90909,6.88636,6.90909,700
1995-07-11,7.02727,7.04545,7,7.02273,1600
1995-07-13,6.81818,6.81818,6.81818,6.81818,400
1995-07-17,7.26364,7.26364,7,7,1300
1995-07-18,7.27273,7.27273,7.27273,7.27273,100
1995-07-21,7.09091,7.09091,7.09091,7.09091,100
1995-07-24,7,7,6.99545,6.99545,200
1995-07-25,6.81818,6.97727,6.81818,6.97727,600
1995-07-26,7,7.09091,7,7.09091,700
1995-07-27,7,7,7,7,300
1995-07-28,6.81818,6.81818,6.81818,6.81818,500
1995-07-31,6.68182,6.68182,6.68182,6.68182,200
1995-08-01,6.63636,6.63636,6.63636,6.63636,100
1995-08-02,6.79545,6.79545,6.63636,6.63636,200
1995-08-03,7,7,6.95455,6.95455,300
1995-08-04,6.75,6.90909,6.75,6.81818,600
1995-08-07,7.09091,7.09091,7.09091,7.09091,200
1995-08-08,6.81818,6.81818,6.68182,6.68182,200
1995-08-11,6.84091,6.84091,6.75,6.75,300
1995-08-14,6.45455,6.54545,6.36364,6.54545,300
1995-08-16,6.72727,6.72727,6.72727,6.72727,600
1995-08-17,6.72727,6.75,6.72727,6.75,700
1995-08-18,6.72727,6.72727,6.72727,6.72727,100
1995-08-22,6.81818,6.81818,6.81818,6.81818,100
1995-08-23,6.72727,6.72727,6.72727,6.72727,100
1995-08-24,6.63636,6.72727,6.63636,6.72727,500
1995-08-25,6.65909,6.68182,6.63636,6.63636,200
1995-08-28,6.45455,6.45455,6.40909,6.40909,900
1995-08-31,6.45455,6.45455,6.45455,6.45455,100
1995-09-05,6.40909,6.61364,6.36364,6.61364,1000
1995-09-07,6.57273,6.57273,6.57273,6.57273,200
1995-09-08,6.68182,6.68182,6.54545,6.54545,600
1995-09-11,6.41818,6.5,6.41818,6.5,1500
1995-09-12,6.5,6.5,6.5,6.5,200
1995-09-14,6.50455,6.50455,6.50455,6.50455,2400
1995-09-18,6.40909,6.40909,6.36364,6.36364,300
1995-09-19,6.5,6.5,6.5,6.5,100
1995-09-27,6.36364,6.36364,6.36364,6.36364,200
1995-10-11,6.09545,6.36364,6.09545,6.36364,800
1995-10-12,6.13182,6.13636,6.11364,6.09545,300
1995-10-13,6.09091,6.09091,6.09091,6.09091,100
