Date,Close,High,Low,Open,Volume
2002-01-24,1.92,1.92,1.278,1.278,2
2002-01-25,1.536,2.304,1.536,2.304,3
2002-01-29,1.23,1.23,1.23,1.23,6
2002-01-31,1.476,1.476,1.32,1.32,200
2002-02-04,1.776,1.776,1.776,1.776,5
2002-02-05,2.136,2.136,1.572,1.572,11
2002-02-08,2.472,2.472,2.16,2.16,2
2002-02-11,2.34,2.34,2.34,2.34,729
2002-02-12,1.878,1.878,1.878,1.878,1
2002-02-13,1.932,1.95,1.86,1.872,6600
2002-02-14,2.04,2.04,2.04,2.04,200
2002-02-15,2.04,2.442,2.04,2.442,101
2002-02-18,2.04,2.448,2.04,2.448,102
2002-02-20,2.04,2.04,2.04,2.04,50
2002-02-21,2.04,2.04,2.04,2.04,200
2002-02-25,1.956,2.04,1.956,2.04,325
2002-03-11,1.92,1.92,1.92,1.92,210
2002-03-18,1.86,1.86,1.86,1.86,100
2002-03-19,1.83,1.83,1.83,1.83,100
2002-03-20,1.836,2.16,1.836,2.16,150
2002-04-04,2.04,2.04,1.806,1.806,300
2002-04-09,2.04,2.04,2.04,2.04,300
2002-04-10,2.04,2.04,1.89,1.89,301
2002-04-11,1.866,2.04,1.68,1.68,102
2002-04-12,2.04,2.04,1.878,2.04,201
2002-04-15,2.1,2.1,2.1,2.1,100
2002-04-16,2.424,2.424,2.424,2.424,100
2002-04-24,2.28,2.28,2.04,2.052,310
2002-04-25,2.04,2.064,2.04,2.064,200
2002-04-26,2.04,2.04,1.806,1.806,75
2002-05-03,2.16,2.16,2.16,2.16,300
2002-05-06,2.28,2.496,2.28,2.4,201
2002-05-07,2.706,2.736,2.7,2.7,350
2002-05-08,3.252,3.252,2.832,2.832,2999
2002-05-09,3.18,3.834,3.12,3.834,800
2002-05-10,2.88,3.06,2.88,3.06,950
2002-05-13,3.024,3.228,3,3.228,580
2002-05-14,2.724,3,2.724,3,180
2002-05-15,2.97,2.97,2.664,2.664,103
2002-05-16,2.964,2.964,2.652,2.652,1279
2002-05-20,2.574,2.76,2.4,2.73,4
2002-05-23,2.7,2.7,2.7,2.7,100
2002-05-24,2.7,2.7,2.7,2.7,400
2002-05-27,2.652,3.06,2.532,2.532,550
2002-05-28,2.52,2.58,2.52,2.532,929
2002-05-30,2.748,2.832,2.748,2.832,4
2002-05-31,2.61,2.7,2.43,2.7,3
2002-06-05,2.874,2.88,2.868,2.88,202
2002-06-07,2.46,2.52,2.46,2.472,700
2002-06-10,2.7,2.7,2.688,2.688,350
2002-06-11,2.592,2.64,2.592,2.64,320
2002-06-12,2.802,2.802,2.7,2.7,130
2002-06-13,2.604,2.61,2.604,2.61,1050
2002-06-14,2.55,2.802,2.496,2.802,1801
2002-06-17,2.682,2.802,2.49,2.802,2878
2002-06-18,2.814,2.856,2.418,2.418,980
2002-06-19,2.73,2.94,2.724,2.94,1650
2002-06-20,2.742,2.85,2.598,2.598,702
2002-06-21,2.856,2.856,2.856,2.856,500
2002-06-24,3.006,3.144,2.76,2.82,17726
2002-06-25,3.132,3.3,3.096,3.3,3530
2002-06-26,3.054,3.21,3,3.21,820
2002-06-28,2.94,2.94,2.94,2.94,500
2002-07-01,3.144,3.228,2.88,2.94,3250
2002-07-02,3.192,3.354,3.006,3.228,6476
2002-07-03,3.336,3.432,3.12,3.24,8780
2002-07-04,3.27,3.54,3.258,3.33,6085
2002-07-05,3.354,3.468,3.24,3.27,4005
2002-07-08,3.51,3.684,3.36,3.66,6060
2002-07-09,3.366,3.486,3.36,3.486,1980
2002-07-10,3.264,3.39,3.246,3.246,1600
2002-07-11,3.348,3.354,3.252,3.3,1727
2002-07-12,3.186,3.198,3.186,3.198,1010
2002-07-15,3.024,3.036,3.018,3.024,700
2002-07-16,2.868,2.868,2.868,2.868,1
2002-07-17,2.892,2.94,2.892,2.94,621
2002-07-18,2.778,2.778,2.76,2.766,1129
2002-07-19,2.874,2.874,2.706,2.736,650
2002-07-22,2.604,2.82,2.586,2.82,1450
2002-07-23,2.574,2.634,2.448,2.454,602
2002-07-24,2.472,2.706,2.4,2.4,201
2002-07-25,2.526,2.556,2.52,2.556,1329
2002-07-26,2.292,2.64,2.292,2.64,1840
2002-07-29,2.394,2.394,2.226,2.226,376
2002-07-30,2.304,2.304,2.304,2.304,50
2002-07-31,2.28,2.28,2.28,2.28,50
2002-08-01,2.394,2.394,2.28,2.28,1660
2002-08-02,2.46,2.514,2.4,2.508,270
2002-08-05,2.58,2.586,2.382,2.382,253
2002-08-06,2.622,2.634,2.478,2.634,404
2002-08-07,2.754,2.754,2.67,2.67,241
2002-08-08,2.73,2.73,2.73,2.73,10
2002-08-09,2.712,2.712,2.64,2.64,400
2002-08-12,2.586,2.7,2.4,2.4,1677
2002-08-13,2.55,2.82,2.292,2.292,243
2002-08-14,2.532,2.82,2.406,2.82,501
2002-08-16,2.52,2.688,2.52,2.688,400
2002-08-19,2.502,2.748,2.394,2.748,903
2002-08-20,2.376,2.748,2.316,2.742,866
2002-08-21,2.634,2.754,2.634,2.754,2
2002-08-22,2.7,2.7,2.7,2.7,50
2002-08-23,2.472,2.688,2.316,2.634,315
2002-08-26,2.52,2.67,2.334,2.334,1133
2002-08-27,2.688,2.688,2.64,2.64,200
2002-08-28,2.64,2.64,2.304,2.304,4
2002-08-29,2.634,2.634,2.634,2.634,100
2002-08-30,2.64,2.64,2.304,2.304,11
2002-09-02,2.58,2.91,2.58,2.91,200
2002-09-03,2.514,2.52,2.418,2.52,156
2002-09-06,2.52,2.808,2.52,2.52,104
2002-09-09,2.52,2.832,2.52,2.832,350
2002-09-11,2.748,2.748,2.286,2.406,1503
2002-09-12,2.52,2.934,2.484,2.934,1047
2002-09-13,2.496,2.724,2.472,2.724,504
2002-09-16,2.466,2.64,2.346,2.346,203
2002-09-17,2.526,2.532,2.376,2.376,301
2002-09-18,2.52,2.52,2.52,2.52,100
2002-09-19,2.514,2.514,2.508,2.508,250
2002-09-23,2.286,2.292,2.262,2.262,26
2002-09-24,2.514,2.52,2.28,2.37,204
2002-09-25,2.562,2.562,2.562,2.562,1
2002-09-26,2.814,2.814,2.814,2.814,1
2002-09-27,2.532,2.76,2.532,2.76,441
2002-09-30,2.292,2.574,2.28,2.28,211
2002-10-01,2.31,2.52,2.28,2.52,1123
2002-10-03,2.328,2.532,2.28,2.532,906
2002-10-04,2.502,2.502,2.502,2.502,1
2002-10-07,2.28,2.382,2.28,2.286,201
2002-10-08,2.394,2.49,2.226,2.49,2555
2002-10-09,2.412,2.49,2.178,2.49,1803
2002-10-10,2.238,2.238,2.238,2.238,40
2002-10-11,2.424,2.46,2.28,2.46,302
2002-10-14,2.238,2.628,2.232,2.628,351
2002-10-16,2.244,2.454,2.244,2.454,102
2002-10-17,2.238,2.472,2.046,2.472,202
2002-10-18,2.472,2.472,2.472,2.472,1
2002-10-21,2.28,2.394,2.28,2.286,160
2002-10-22,2.28,2.28,2.28,2.28,42
2002-10-23,2.736,2.736,2.736,2.736,1
2002-10-24,2.208,2.412,2.196,2.412,655
2002-10-25,2.274,2.46,2.274,2.46,2
2002-10-28,2.274,2.7,2.274,2.7,2
2002-10-29,2.454,2.454,2.454,2.454,1
2002-10-30,2.22,2.7,2.22,2.7,2
2002-10-31,2.442,2.484,2.22,2.484,12
2002-11-01,2.166,2.46,2.076,2.46,1923
2002-11-04,2.418,2.418,2.418,2.418,1
2002-11-05,2.322,2.322,2.16,2.16,501
2002-11-07,2.274,2.274,2.16,2.16,101
2002-11-11,2.19,2.22,2.16,2.16,504
2002-11-12,2.244,2.406,2.052,2.406,202
2002-11-14,2.088,2.466,2.04,2.466,552
2002-11-15,2.256,2.28,2.016,2.016,406
2002-11-18,2.19,2.19,2.19,2.19,500
2002-11-20,2.274,2.274,2.274,2.274,1
2002-11-21,2.238,2.388,2.16,2.388,554
2002-11-22,2.13,2.388,2.13,2.388,602
2002-11-25,2.16,2.34,2.16,2.34,101
2002-11-26,2.214,2.316,2.058,2.316,404
2002-11-27,2.136,2.376,2.076,2.376,904
2002-11-28,2.346,2.346,2.346,2.346,1
2002-11-29,2.262,2.37,2.262,2.37,101
2002-12-02,2.226,2.448,2.178,2.448,1590
2002-12-03,2.196,2.388,2.112,2.328,1245
2002-12-04,2.106,2.106,2.106,2.106,1
2002-12-05,2.238,2.286,1.998,1.998,1097
2002-12-06,2.31,2.46,2.124,2.16,2903
2002-12-09,2.202,2.448,2.19,2.448,702
2002-12-10,2.418,2.418,2.418,2.418,1
2002-12-11,2.28,2.514,2.256,2.514,997
2002-12-13,2.28,2.604,2.16,2.604,801
2002-12-16,2.28,2.292,2.28,2.28,1808
2002-12-18,2.13,2.13,2.082,2.082,60
2002-12-23,2.28,2.4,2.28,2.4,2
2002-12-24,2.28,2.28,2.28,2.28,10
2002-12-27,2.28,2.28,2.106,2.25,200
2002-12-30,2.16,2.16,2.16,2.16,25
2003-01-01,2.19,2.19,2.19,2.19,80
2003-01-02,2.148,2.16,1.98,2.16,1002
2003-01-03,2.274,2.274,2.142,2.142,251
2003-01-06,2.136,2.37,2.136,2.37,499
2003-01-07,2.118,2.118,2.112,2.112,150
