Date,Close,High,Low,Open,Volume
1995-01-23,20.9091,20.9091,20.9091,20.9091,50
1995-01-24,21.1364,21.1364,21.1364,21.1364,100
1995-02-03,21.3636,21.3636,21.3636,21.3636,50
1995-02-06,21.5909,21.5909,21.5909,21.5909,100
1995-03-07,20,20,20,20,50
1995-03-15,20.4545,20.4545,20.4545,20.4545,50
1995-04-05,19.1818,19.1818,19.1818,19.1818,50
1995-04-24,17.5,17.5,17.5,17.5,150
1995-04-25,16.8182,16.8182,16.8182,16.8182,150
1995-05-15,18.3182,18.3182,18.3182,18.3182,100
1995-05-19,18.1818,18.1818,18.1818,18.1818,100
1995-05-22,18.1818,18.1818,18.1818,18.1818,100
1995-05-23,17.8182,17.8182,17.8182,17.8182,50
1995-05-29,17.3636,17.3636,17.3636,17.3636,50
1995-05-30,17.2727,17.5455,17.2727,17.5455,150
1995-05-31,17.2727,17.3636,17.2727,17.3636,200
1995-06-02,17.6818,17.6818,17.6818,17.6818,50
1995-06-05,17.6818,17.6818,17.6818,17.6818,50
1995-06-20,16.8182,16.8182,16.8182,16.8182,50
1995-06-22,15.375,15.5455,15.2273,15.5455,400
1995-06-23,14.3182,14.3182,14.0909,14.0909,200
1995-06-29,13.6364,13.6364,13.6364,13.6364,50
1995-06-30,13.8636,13.8636,13.8636,13.8636,150
1995-07-03,13.1818,13.1818,13.1818,13.1818,200
1995-07-04,13.1818,13.1818,13.1818,13.1818,100
1995-07-05,13.4091,13.4091,13.4091,13.4091,200
1995-07-06,12.9545,12.9545,12.9545,12.9545,50
1995-07-07,13.6364,13.6364,13.6364,13.6364,150
1995-07-11,13.1818,13.1818,13.1795,13.1795,150
1995-07-14,13.6364,13.6364,13.4068,13.4068,250
1995-07-17,14.3182,14.3182,13.6818,13.6818,450
1995-07-18,15.3409,15.5,15.2273,15.2273,350
1995-07-24,15.9091,16.1364,15.9091,16.1364,250
1995-07-25,15.8341,15.9091,15.6818,15.6818,1150
1995-07-26,16.5909,16.5909,15.9114,16.5909,2300
1995-07-27,16.4773,16.4773,16.4318,16.4318,100
1995-08-04,15.9091,15.9091,15.9091,15.9091,100
1995-08-22,14.5455,14.5455,14.5455,14.5455,50
1995-08-24,14.7727,14.7727,14.7727,14.7727,50
1995-08-28,13.6364,13.6364,13.6364,13.6364,50
1995-08-30,13.7273,13.7273,13.7273,13.7273,100
1995-08-31,13.6364,13.6364,13.6364,13.6364,1050
1995-09-01,13.6364,13.6364,13.6364,13.6364,50
1995-09-11,13.6364,13.6364,13.6364,13.6364,100
1995-09-18,12.2727,12.2727,12.2727,12.2727,50
1995-09-19,13.4091,13.4091,13.4091,13.4091,50
1995-09-25,13.1818,13.1818,13.1818,13.1818,50
1995-09-27,13.6364,13.6364,13.6364,13.6364,200
1995-10-06,15,15,15,15,100
1995-10-09,14.0909,14.0909,13.6364,13.6364,150
1995-10-10,14.0909,14.0909,14.0909,14.0909,50
1995-10-11,14.0909,14.0909,14.0909,14.0909,50
1995-10-13,14.0909,14.0909,14.0909,14.0909,200
1995-10-17,14.0909,14.0909,14.0909,14.0909,50
1995-10-23,13.6364,13.6364,13.6364,13.6364,100
1995-11-06,13.4091,13.6364,13.4091,13.6364,150
1995-11-08,13.1818,13.1818,13.1818,13.1818,50
1995-11-13,13.6364,13.6364,13.6364,13.6364,100
1995-11-14,13.1818,13.1818,13.1818,13.1818,300
1995-11-16,14.1818,14.1818,13.6364,13.1818,200
1995-11-17,13.8636,14.0909,13.8636,14.0909,250
1995-11-21,14.1364,14.1364,13.8636,14.1364,550
1995-11-22,13.1818,13.4091,13.1818,13.4091,150
1995-11-23,13.6364,13.6818,13.6364,13.6364,150
1995-11-24,13.4091,13.5909,13.4091,13.5909,100
1995-11-27,13.6364,13.6364,13.6364,13.6364,750
1995-11-28,13.3045,13.6364,13.1818,13.6364,600
1995-11-29,13.6364,13.6364,13.6364,13.6364,150
1995-11-30,13.6364,13.6364,13.5,13.5,650
1995-12-01,14.5,14.5455,14.4977,14.5455,150
1995-12-04,15.4545,15.4545,14.4545,14.4545,250
1995-12-05,15.1364,15.4386,15.1364,15.3636,700
1995-12-06,15.1591,15.2273,15.1591,15.1818,350
1995-12-07,15,15.0023,14.8636,14.8864,1350
1995-12-11,15.1364,15.2273,15,15.2273,200
1995-12-12,15.2273,15.4523,15.0455,15.4523,300
1995-12-14,15,15.0455,15,15.0455,300
1995-12-15,15.2273,15.3636,15.2273,15.3636,100
1995-12-18,15.2273,15.45,15,15.45,700
1995-12-19,15.3977,15.3977,15.3636,15.3636,150
1995-12-20,15.2295,15.3977,15.2273,15.3977,200
1995-12-21,15.3636,15.6364,15.3636,15.6364,1050
1995-12-22,16.1364,16.2727,15.6818,15.6818,650
1995-12-26,17.35,17.5,17.1818,16.1364,400
1995-12-27,17.2727,17.2727,17.2727,17.2727,50
1995-12-28,17.5,17.5,17.3636,17.3636,200
1995-12-29,17.0455,17.3636,17.0455,17.3636,200
1996-01-01,17.2727,17.2727,17,17,100
1996-01-02,17.0455,17.2273,16.9091,17.2273,350
1996-01-03,16.5909,16.8182,16.5,16.8182,150
1996-01-05,16.5909,16.5909,16.3636,16.3636,350
1996-01-08,16.3636,16.3636,16.3636,16.3636,50
1996-01-09,16.5,16.5,16.1364,16.1364,100
1996-01-11,16.3636,16.3636,16.3523,16.3523,200
1996-01-12,16.2727,16.2727,16.2727,16.2727,100
1996-01-15,15.4545,16.2727,15.4545,16.2727,350
1996-01-16,15.4545,15.4545,15.4545,15.4545,50
1996-01-19,15,15.0909,15,15.0909,100
1996-01-24,15.6818,15.6818,15.6818,15.6818,3200
1996-01-25,15.0455,15.0909,15.0455,15.0909,150
1996-01-29,14.9091,14.9091,14.9091,14.9091,3200
1996-01-30,15.1705,15.1705,15.1705,15.1705,50
1996-02-05,16,16,16,16,100
1996-02-06,15.9091,16,15.9091,16,100
1996-02-08,15.9091,15.9091,15.9068,15.9068,300
1996-02-12,17.0455,17.0455,16.8182,16.8182,100
1996-02-13,17.1591,17.2727,16.8182,16.8182,150
1996-02-14,18.1818,18.1818,17.275,17.275,900
1996-02-15,17.7273,17.775,17.7273,18.1818,250
1996-02-19,17.5,17.5,17.5,17.5,50
1996-02-20,17.4977,17.4977,17.2705,17.2705,200
1996-02-22,17.0455,17.0455,17.0455,17.0455,100
1996-02-23,17.0455,17.0455,16.5909,16.5909,150
1996-02-26,17.2727,17.2727,17.0455,17.0455,150
1996-02-27,17.7273,17.7273,17.2727,17.2727,400
1996-03-01,18.2,18.305,18,18,300
1996-03-04,17.5,17.505,17.5,17.505,200
1996-03-06,17.4,17.4,17.4,17.4,100
1996-03-18,17.515,19.1,15.75,15.75,4000
1996-03-19,17.5,17.7,17.5,17.7,150
1996-03-22,17.5,17.5,17.5,17.5,150
1996-03-25,17.025,17.025,17.025,17.025,50
1996-03-26,17.1,17.1,17.1,17.1,50
1996-03-27,17.7,17.7,17.5,17.5,100
1996-03-28,17.3,17.3,17.3,17.3,50
1996-03-29,17.6,17.6,17.6,17.6,50
1996-04-02,17.5,17.5,17.5,17.5,100
1996-04-04,17,17.3,17,17.5,150
1996-04-09,16.5,17.1,16.5,17.1,200
1996-04-10,16.56,16.975,16.5,16.5,350
1996-04-11,16.7,16.7,16.7,16.7,100
1996-04-12,17,17,16.83,16.7,400
1996-04-15,16.6,16.6,16.6,16.6,50
1996-04-16,17.5,17.5,17.475,17.475,100
1996-04-18,19.25,19.25,19.1,19.1,100
1996-04-19,19.19,19.5,19.105,19.25,900
1996-04-22,18.425,19,18.425,19.19,150
1996-04-23,18.9,18.9,18.2,18.425,400
1996-04-24,19,19,19,19,300
1996-04-25,18.735,19,18.6,19,350
1996-04-26,18.7,19,18.5,18.735,300
1996-04-29,18.7,18.7,18.7,18.7,50
1996-04-30,18.5,18.6,18.5,18.6,150
1996-05-01,18.3,18.5,18.3,18.5,500
1996-05-02,18.3,18.5,18,18.3,300
1996-05-03,17.8,18.595,17.8,18.595,300
1996-05-06,17.75,17.8,17.65,17.8,200
1996-05-07,18,18,18,18,50
1996-05-08,18.1,18.1,18.1,18.1,100
