Date,Close,High,Low,Open,Volume
2025-11-10,403.1,413.75,356.1,395,131582856
2025-11-11,415.35,417.9,400,401,23092558
2025-11-12,421.2,425.25,408.05,415,9170713
2025-11-13,400.15,429,397,421.2,6937199
2025-11-14,409.05,411,388.7,399.05,9263600
2025-11-17,431.45,438.85,408.3,409.05,9096098
2025-11-18,424.8,435.85,417.85,431,6741963
2025-11-19,428.75,432.7,409.3,421.95,6471692
2025-11-20,416.7,429.9,413.55,429.55,2709834
2025-11-21,417.45,420.4,410.55,411.1,1714811
2025-11-24,414.5,418.15,410.5,415.1,831033
2025-11-25,414.95,426.7,412.95,412.95,2351418
2025-11-26,405,423.9,403,417.9,2012117
2025-11-27,407.7,410,401.15,405.5,1556591
2025-11-28,410.45,428.9,408.05,415,6610736
2025-12-01,430.5,448.8,417.05,428,32012544
2025-12-02,425.95,431.6,422.25,430,4020017
2025-12-03,410.15,424.95,408.3,424.95,2540482
2025-12-04,405.55,411.25,402,410.15,2130780
2025-12-05,417.2,419.75,402,405,2442116
2025-12-08,407.9,414.3,403.2,412.1,2797687
2025-12-09,408.45,417.85,402,408.6,2266469
2025-12-10,405.25,415,403.2,415,1395446
2025-12-11,405.95,407.75,402.7,405.3,1298605
2025-12-12,405.95,408.9,404.5,408,779542
2025-12-15,405.2,408.5,403.6,407.65,510615
2025-12-16,405.1,408.4,402.15,405.2,675444
2025-12-17,404.3,407.65,402,405.1,704061
2025-12-18,410.05,417.2,403.2,404,2404530
2025-12-19,467.7,477.7,417.95,418,21225920
2025-12-22,467.05,495,454.65,467.7,20261368
2025-12-23,465.8,492.8,453.1,463,11216224
2025-12-24,452,473.8,447.85,471.9,3500079
2025-12-26,451.05,470,447,458.25,4910140
2025-12-29,452.35,456.35,444,452.1,1937045
2025-12-30,460.8,465.75,450.25,452.35,2963184
2025-12-31,450.7,461.6,448,459,1225538
2026-01-01,438.5,459.9,436.05,451.95,1351297
2026-01-02,452.15,456.8,437.3,440.95,1751640
2026-01-05,445.25,452.45,444,451.8,743400
2026-01-06,445.15,447.85,439.5,446.8,1430476
2026-01-07,453.2,458.1,444.25,444.9,1826415
2026-01-08,447.4,462.05,441.6,453.2,1632204
2026-01-09,457.75,459.75,444.3,447.55,2064326
2026-01-12,455.2,459.95,443.75,451.05,1662145
2026-01-13,446.95,460,437.95,460,924201
2026-01-14,457.7,460.55,440.2,445.05,2647444
2026-01-16,451.2,476.3,449.05,456.9,3463237
2026-01-19,443.4,456,439,451.3,2027940
2026-01-20,429.75,445.7,425.55,445.7,1934434
2026-01-21,436.9,441.4,426.35,431,1214577
2026-01-22,440.65,442.65,434.3,440.1,717748
2026-01-23,423.95,442.75,421,439.6,921841
2026-01-27,434.25,436,418,423.5,822282
2026-01-28,436.65,438,429.1,432.2,1506086
2026-01-29,446.2,448,432.1,435.95,364073
2026-01-30,457.35,463.8,441.85,445,856869
2026-02-02,444.15,447.4,434.45,440,553097
2026-02-03,459.3,478.95,449.55,449.55,2053668
2026-02-04,452.65,460.6,447,451.05,3142358
2026-02-05,447,456.95,440.9,454.9,1486418
2026-02-06,457.3,459.5,444.2,446.6,917457
2026-02-09,463.95,468.95,454.5,457.3,1925640
2026-02-10,475.4,484.3,461.9,468.9,2145040
2026-02-11,467.6,479.45,459.15,479.45,1618039
2026-02-12,513,532.4,500.65,516.1,40337888
2026-02-13,502.2,533,490.05,530.95,12168797
2026-02-16,499.75,502,482.3,499.4,3709812
2026-02-17,480.5,498.95,478.85,495,2727575
2026-02-18,486.35,489.7,480,483.5,1147245
2026-02-19,479.9,492.6,473,489,1906083
2026-02-20,489.4,497.2,479.95,479.95,3402697
2026-02-23,485.2,496.7,482.1,491,854311
2026-02-24,484.5,490.6,480.7,485,1645847
2026-02-25,505.45,510.95,480.1,487.25,3857628
2026-02-26,512.75,514.35,502,505,1879033
2026-02-27,537.4,541.8,505.5,508.1,5845971
2026-03-02,525.85,532.1,496.55,515,2272973
2026-03-04,523.8,529.9,512.75,518.25,1454332
2026-03-05,524.7,530.75,517.05,524,1389673
2026-03-06,520.1,535.9,518.05,524.7,1626230
2026-03-09,506.75,514,498,513,1002715
2026-03-10,514.55,522.65,510,517,2647658
2026-03-11,499.1,522.4,485.2,518,1434264
2026-03-12,504.55,508.4,484.4,496.5,899376
2026-03-13,499.8,517.6,495,499.05,3713429
2026-03-16,498.7,510.85,487.8,500.9,4732194
2026-03-17,501.15,508.8,496.75,498.05,1060520
2026-03-18,511.25,525,499.8,501,1618339
2026-03-19,501.6,511,498.2,500,671163
2026-03-20,526.2,543.9,496,502.3,3817550
2026-03-23,501.5,513,483.05,507.7,2283557
