Date,Close,High,Low,Open,Volume
2025-10-14,1689.9,1749,1650,1710.1,68793752
2025-10-15,1688.1,1728.9,1680.2,1698,9113558
2025-10-16,1671.3,1705,1662,1688.9,4216934
2025-10-17,1668,1701.3,1627.8,1675,4992719
2025-10-20,1665.2,1686.4,1645,1673.4,2466878
2025-10-21,1669.2,1680.5,1665.5,1674.2,491194
2025-10-23,1663.4,1698.4,1654.7,1675,2391748
2025-10-24,1648.7,1671.5,1636.1,1663.4,1778970
2025-10-27,1650.1,1655.3,1628.5,1643,1513848
2025-10-28,1654.1,1668.8,1647,1650.1,967683
2025-10-29,1655.3,1665,1646.2,1653,837306
2025-10-30,1657.7,1666.9,1646.6,1655,923367
2025-10-31,1663.6,1670,1655.2,1661,857195
2025-11-03,1649,1665,1633,1660,940042
2025-11-04,1633.4,1659.8,1625.2,1645.1,834337
2025-11-06,1616.9,1633,1590,1630,1475569
2025-11-07,1609.4,1623,1581.1,1617,1999308
2025-11-10,1646.2,1687.7,1587.6,1592,3052514
2025-11-11,1665.5,1674.1,1636.1,1651,856943
2025-11-12,1657.3,1668.3,1636,1665.1,1389029
2025-11-13,1673.2,1718,1646,1660,2249129
2025-11-14,1617.8,1645.2,1590,1590,3455187
2025-11-17,1623,1634.2,1605.5,1621,1413891
2025-11-18,1624.1,1644,1617.3,1622.5,876440
2025-11-19,1668.1,1690.9,1642,1650,2706977
2025-11-20,1683.9,1706.8,1665.1,1684.9,2120142
2025-11-21,1642.4,1680,1625.5,1675,1043818
2025-11-24,1616.4,1649.9,1605,1638.8,931629
2025-11-25,1628.2,1648.6,1623.1,1640,541907
2025-11-26,1640.6,1644,1624,1629,656382
2025-11-27,1630.3,1652,1623.1,1643,649257
2025-11-28,1659.3,1663,1629,1640,772237
2025-12-01,1649.8,1664.9,1635,1664.9,829377
2025-12-02,1626.3,1645,1616.9,1645,935664
2025-12-03,1609.7,1627.9,1594,1626,1229870
2025-12-04,1605.6,1625,1598,1608,714563
2025-12-05,1598.7,1617,1595,1608,406011
2025-12-08,1566.1,1604.6,1554.7,1597.8,897702
2025-12-09,1600.4,1603,1533.2,1560,955382
2025-12-10,1565.1,1603.7,1561.8,1600,752593
2025-12-11,1571,1574.6,1550.4,1565.1,628182
2025-12-12,1571.6,1580.8,1555.6,1571,403292
2025-12-15,1571.7,1577,1560,1560,293495
2025-12-16,1552.7,1568,1542.5,1560.8,638208
2025-12-17,1550.8,1562.7,1536,1562.7,514769
2025-12-18,1522.3,1554.8,1515.5,1548.9,357161
2025-12-19,1577.4,1582,1525.4,1526,875173
2025-12-22,1561.1,1595,1548.5,1572.9,709116
2025-12-23,1546.6,1573,1540,1570,481940
2025-12-24,1535.5,1552.2,1520,1546.6,778754
2025-12-26,1522.2,1538.4,1518,1530,391312
2025-12-29,1547.5,1559.4,1525.1,1533,703864
2025-12-30,1529.8,1552,1522.4,1547.5,376893
2025-12-31,1521.4,1535,1509.9,1528.3,1030201
2026-01-01,1484.7,1532.9,1481,1523.9,793315
2026-01-02,1483.4,1495.7,1460.1,1485,973436
