Date,Close,High,Low,Open,Volume
2022-05-17,437.625,459.475,430,436,48792876
2022-05-18,438.175,445.5,437.05,442.775,8919761
2022-05-19,420.425,433.5,419,433.5,7372427
2022-05-20,413.075,428.4,412.5,424.275,7078291
2022-05-23,408.425,426.35,401.825,413.075,12444648
2022-05-24,411.55,417.35,408.425,409,4287864
2022-05-25,410.15,420.725,407.125,415.75,4013031
2022-05-26,405.825,412.4,400.5,410.15,2796468
2022-05-27,410.8,412.325,407.175,409.275,2215807
2022-05-30,418.875,420.7,412.65,414.95,3133717
2022-05-31,405.65,411,405,405,4373090
2022-06-01,405.2,408.725,404.25,405.7,1670031
2022-06-02,402.85,406.9,402,404.975,1565763
2022-06-03,400.125,405.375,400,404.325,2052785
2022-06-06,388.675,400.85,387.55,400.125,3033514
2022-06-07,376.5,386.45,375.9,386.45,3774512
2022-06-08,369.025,376.45,368.05,376.45,4103499
2022-06-09,360.85,368,360.05,364.95,3729113
2022-06-10,354.85,359.875,354.025,356.5,3464178
2022-06-13,334.125,345.45,333.5,345.45,7781730
2022-06-14,337.15,342,331.5,332.05,5348769
2022-06-15,345.075,354.85,339.55,340.5,9204318
2022-06-16,334.675,353,333.5,351.725,4049782
2022-06-17,327.275,334.675,325.5,334.55,4043000
2022-06-20,330.7,333.35,325,330.225,3522551
2022-06-21,332.6,335.7,331.5,333.5,2355354
2022-06-22,334.3,342.45,332.05,333,3472810
2022-06-23,332.575,337.35,329.3,335.1,1798979
2022-06-24,330.825,336.775,329.55,334.65,1743400
2022-06-27,332.4,335,330.85,335,1405766
2022-06-28,331.675,332.4,329.5,331.625,1004747
2022-06-29,339.25,348.425,328.9,330.05,4653282
2022-06-30,336.95,341.85,335.5,339.25,1681412
2022-07-01,338.325,339.975,334.5,337.5,1330472
2022-07-04,346.15,347,339,339,1832039
2022-07-05,351.325,356.45,348.5,349,3662593
2022-07-06,351.475,356.8,350.75,353.5,1253320
2022-07-07,349.025,357.35,348,354,1843219
2022-07-08,354.05,355.4,350.625,350.625,2152750
2022-07-11,359.1,360.95,352.175,353.975,1638255
2022-07-12,358.8,362.2,357.175,359.35,1355821
2022-07-13,359.425,361.95,357.725,359.95,887093
2022-07-14,356.15,360.625,354.5,360.05,874964
2022-07-15,354.25,360.625,352.525,359.725,999239
2022-07-18,348.25,356.825,346.5,355,1620545
2022-07-19,344.425,349.5,344,348.5,1592940
2022-07-20,343.85,348.375,343.375,347.15,1377738
2022-07-21,343.775,346.5,343.525,344,799923
2022-07-22,344.325,347.15,343.85,344.525,948078
2022-07-25,341.975,345,341,344,671602
2022-07-26,337.675,342.4,337.5,342,662692
