Date,Close,High,Low,Open,Volume
2023-07-17,563.3,582.7,550.5,554,417232
2023-07-18,544.3,573.9,531,573.9,284708
2023-07-19,566.25,572,541.25,564.7,208966
2023-07-20,564.05,572.7,557,572.7,108284
2023-07-21,558.7,564.5,550.05,564.5,189224
2023-07-24,575.1,580,560.05,567,6245467
2023-07-25,574.9,584.7,560.75,578,1710743
2023-07-26,574.5,579.7,572,572,439499
2023-07-27,575.5,580,574,580,374132
2023-07-28,596.9,599,573,578,553490
2023-07-31,629.05,632.2,599.5,599.75,716078
2023-08-01,647.6,652,612.85,636,758470
2023-08-02,621.5,650,599.7,648.7,647800
2023-08-03,635.45,639.8,609,628,385344
2023-08-04,641.5,646.15,631.75,643.4,195597
2023-08-07,651.6,683,634.8,644.85,805742
2023-08-08,667.3,678,627.55,644.35,710071
2023-08-09,659.3,686.7,655.2,681.7,366373
2023-08-10,619.1,669.95,580.3,655,765173
2023-08-11,625.6,629,597.05,621.4,350860
2023-08-14,602.5,625,597.5,625,278336
2023-08-16,595.35,618.8,590.1,618.8,136791
2023-08-17,568.5,596.15,560,595.35,531748
2023-08-18,570.4,592.35,560.55,571,313662
2023-08-21,530.4,589,523.25,584,524212
2023-08-22,537.7,549.5,498.05,529.1,1031761
2023-08-23,561.9,573.95,543,543,369198
2023-08-24,551.9,578,549.5,567.2,201980
2023-08-25,550.15,558.3,537,552.95,213461
2023-08-28,541.8,557.7,527.35,557,246182
2023-08-29,541.8,550,533.1,541,161456
2023-08-30,540.05,547.75,535,539.05,163498
2023-08-31,536.9,548,535.5,540,79591
2023-09-01,548.35,556,536,536.9,174756
2023-09-04,561.15,570.3,543.55,560,164871
2023-09-05,564.25,573.6,557.7,563,127115
2023-09-06,565.8,569.95,560.55,565,141611
2023-09-07,559.65,569.7,556.55,569,128778
2023-09-08,555.25,564.8,550.2,560,118983
2023-09-11,584.25,590,554.3,555.9,335546
2023-09-12,567.2,595.05,556.55,584.9,235340
2023-09-13,575.75,579,537.4,568.1,230181
2023-09-14,575.4,587,570.1,570.1,106319
2023-09-15,572.95,583.95,556.65,579.35,264812
2023-09-18,561.7,572.3,559.75,562.95,77516
2023-09-20,553.15,565.7,547.3,551.1,80062
2023-09-21,548.2,562.2,544,554.9,74635
2023-09-22,536.25,550.7,532.55,548.2,128493
2023-09-25,530.45,542,526.7,540.9,99577
2023-09-26,534.6,540.5,529.35,532.9,61708
2023-09-27,535.75,540,530,531.1,45514
2023-09-28,536,542,530.05,542,73834
2023-09-29,536.1,542,527,527,68600
2023-10-03,549.9,558,536,558,214579
2023-10-04,550.5,565,540.3,554,2185590
2023-10-05,550.25,565.5,546,558,154983
2023-10-06,564.25,567,551.05,551.05,163189
2023-10-09,550.4,563.7,547.3,555,187916
2023-10-10,579.55,583.4,543,547,292799
2023-10-11,594.15,597.1,576.5,581,316475
2023-10-12,602.8,613,592,599,421816
2023-10-13,593.2,605.35,591,598.9,224880
2023-10-16,577.1,603.8,574.25,603.8,130303
2023-10-17,571.4,602,565.7,602,121684
2023-10-18,565.45,579.8,560,572.05,93437
2023-10-19,566.1,572,560.4,568.9,85627
2023-10-20,555.5,575,554,570.9,91989
2023-10-23,518.35,564,514.3,564,542161
2023-10-25,516.45,531.7,500,501.05,585161
2023-10-26,515.45,523.7,514,516.45,353866
2023-10-27,527.8,535.75,516,517.9,141223
2023-10-30,518.7,531.5,516.25,525.05,101159
2023-10-31,515.45,526.5,515,516.25,105397
2023-11-01,522.15,528,510,511,92327
2023-11-02,523.6,533.65,521,527.9,129204
2023-11-03,529.85,536.5,526.8,528.05,152010
2023-11-06,539.55,549.5,492,529.85,172683
2023-11-07,533.65,540.25,530.1,540,56489
2023-11-08,530.65,539.9,530.1,536.9,50360
2023-11-09,532.9,537,522.25,525.3,70437
2023-11-10,521.8,539.9,518.45,533,164701
2023-11-13,524.05,536,521.25,528,95701
2023-11-15,543.85,549.9,517.85,529.4,174830
2023-11-16,557.1,564.7,542.6,544,163878
2023-11-17,567.35,573.45,552.85,558.05,226974
2023-11-20,563.45,578.95,557,577.8,120202
2023-11-21,572,574.8,563.5,563.5,133757
2023-11-22,568.55,577.8,565,571.05,163056
2023-11-23,549.4,573.1,545,570.9,114346
2023-11-24,539.05,554.1,536.05,553.7,97645
2023-11-28,523.7,545.4,520,540.8,169223
2023-11-29,525.9,536.85,523.7,525,173957
2023-11-30,524.9,534,518.4,526.2,155806
2023-12-01,523.05,537.15,521.45,527,76232
2023-12-04,566.3,574,530.45,534.4,538272
2023-12-05,602.4,610,569,570,906955
2023-12-06,589.65,611,583.5,606.15,416187
2023-12-07,603.4,609.9,585.05,593,313916
2023-12-08,612.45,623.5,603,612,390444
2023-12-11,624.9,656,618.05,635.05,812150
2023-12-12,609.8,632.95,607,630.4,206135
2023-12-13,613.6,619,603.3,618,182466
2023-12-14,608.75,627.95,604,617,196609
2023-12-15,609.65,620.9,604.15,607.9,278276
2023-12-18,623.5,633.5,607.55,613.8,332509
2023-12-19,627.45,640.05,620,633.5,299761
2023-12-20,593.5,634.25,585.05,628.15,346570
2023-12-21,606.95,627,583.55,593,623060
2023-12-22,616.25,631.95,607,608,287532
2023-12-26,625.65,639.95,615,621.7,365093
2023-12-27,615.85,638.05,610.1,625.2,179635
2023-12-28,601.75,620.5,598.8,620,222357
2023-12-29,599.8,609.2,593.65,604.8,218340
2024-01-01,603.8,610.1,596.55,601.45,150418
2024-01-02,602.8,617.95,592.2,608.75,383222
2024-01-03,600.8,608.15,595.55,602,111882
2024-01-04,588.35,608.35,573,604.9,156485
2024-01-05,589.9,604.8,586.1,595,329399
2024-01-08,577.65,597.45,573.05,590.5,134014
2024-01-09,580.1,594.3,576.05,583,172554
2024-01-10,578.2,585,573.15,580.1,126125
2024-01-11,582.75,587.9,573.5,582,143451
2024-01-12,580.9,595,566.2,580,249351
2024-01-15,575.55,592.7,573.2,587.9,205742
2024-01-16,590.45,594.9,578.2,584.2,327805
2024-01-17,577.25,595.95,570,587,304269
2024-01-18,579.3,587.4,565,583,204340
2024-01-19,580.25,589.9,578,581.9,120187
2024-01-22,592.3,596,585,586.4,151156
2024-01-23,589.3,637.95,585.05,637.95,828085
2024-01-24,590,604.85,581.35,598,368241
2024-01-25,596.05,601,589.7,590,247264
2024-01-29,576.45,599.85,574,596.05,339779
2024-01-30,566.05,583.55,565,583.5,233920
