Date,Close,High,Low,Open,Volume
2025-08-06,195.67,195.8,176.7,178,91822808
2025-08-07,197.8,204.35,190.33,192.8,35917912
2025-08-08,209.77,217.58,192.7,195,43861780
2025-08-11,202.08,218.49,200.4,209.79,11852409
2025-08-12,196.6,206.5,194.2,203,6018286
2025-08-13,195.03,204.79,193.61,198,7119543
2025-08-14,187.54,198.3,185.75,195.2,3871069
2025-08-18,183.04,192.47,180.35,191.4,4129003
2025-08-19,186.2,193,183.5,183.5,4191162
2025-08-20,187.03,189.29,185.33,186.8,2314498
2025-08-21,192.09,195.8,188.8,188.9,3404332
2025-08-22,191.81,196.4,190.5,194,1990056
2025-08-25,188.03,194,186,192.79,1865846
2025-08-26,188.47,193.95,184.5,188,3122924
2025-08-28,180.03,187.4,175.2,180.5,6451271
2025-08-29,181.11,184.89,179.51,181.83,1455813
2025-09-01,181.46,183.2,180.11,183.2,1011041
2025-09-02,179.58,183.4,178.85,182,1153725
2025-09-03,183.57,186.4,173.5,178,3983752
2025-09-04,182.76,190.35,182.01,187.79,2273055
2025-09-05,183.93,185.66,181,183.04,943638
2025-09-08,182.93,184.99,182.2,184.99,538116
2025-09-09,180.13,183.34,178.6,182.2,697635
2025-09-10,185.79,188.55,181.01,182.1,2406115
2025-09-11,178.33,185.94,176.51,185,1511316
2025-09-12,184.41,185,175.92,179.95,2882045
2025-09-15,183.98,186.75,182.66,185,1088162
2025-09-16,183.26,185.85,181.6,183.77,975260
2025-09-17,181.56,183.69,180.7,182.8,1179186
2025-09-18,189.24,191.9,181.69,182,4941614
2025-09-19,192.23,193.9,188.06,188.36,3026365
2025-09-22,188.3,192.89,187.37,192.85,1467883
2025-09-23,185.39,189.5,184.1,188.3,1086524
2025-09-24,194.94,200.69,190,192,14788118
2025-09-25,197.83,204,194.11,195,8124098
2025-09-26,193.6,199.9,192.56,198.4,3988381
2025-09-29,191.82,195.54,188.5,195,2081124
2025-09-30,189.07,194.39,187.25,191.98,1939618
2025-10-01,191.34,195.58,190.51,192.24,2545198
2025-10-03,190.08,194.5,189.05,192,1984737
2025-10-06,187.67,190.88,185.3,190.1,1539715
2025-10-07,186.5,189,185.3,188,980801
2025-10-08,184.37,187.25,183.15,186,901996
2025-10-09,184.78,186.8,183.8,184.9,786107
2025-10-10,185.56,187.4,184.65,185.09,669997
2025-10-13,183.19,185.43,182.95,185.11,585652
2025-10-14,180.69,184.4,180.02,183.38,896976
2025-10-15,182.51,184.4,180.9,181,673082
2025-10-16,182.27,184.4,181.5,182.69,553372
2025-10-17,179.57,183.64,179,183,803830
2025-10-20,185.04,188.39,179.37,180,1322286
2025-10-21,190.59,193.5,186.01,186.8,1598878
2025-10-23,187.09,191.75,186.05,191.48,696861
2025-10-24,185.3,187.88,184.16,187.88,438286
2025-10-27,183.93,185.92,183.5,185.3,390274
2025-10-28,184.38,186.93,183.25,184.45,399339
2025-10-29,183.69,186.89,183,184.52,745524
2025-10-30,183.8,190.49,182,184.9,1217963
2025-10-31,182.22,185.48,182,185,427253
2025-11-03,177.17,182.01,176.8,182,1296002
2025-11-04,177.82,179,176.9,177.23,691575
2025-11-06,173.4,178.8,172.5,178.8,752252
2025-11-07,175.17,177,172.1,173.4,906870
2025-11-10,175.66,177,171.96,176,939568
2025-11-11,172,176.5,171.05,175.66,870630
2025-11-12,170.84,173.89,170.5,172.4,595949
2025-11-13,170.67,175,170.16,172.75,928459
2025-11-14,173.35,177,171,172,1456907
2025-11-17,171.43,174.99,170.98,174.82,518872
2025-11-18,171.05,172.5,170.76,171.49,284069
2025-11-19,169.15,171.66,168.5,171,1033899
2025-11-20,170.92,177.52,169.64,170.43,796039
2025-11-21,170.03,172.9,169.85,171,445054
2025-11-24,167.48,172.11,166,170.15,508098
2025-11-25,170.19,171.98,166.98,168,611849
2025-11-26,169.42,170.99,168.98,170.55,232026
2025-11-27,168.82,171.46,168.25,170.9,178088
2025-11-28,167.9,169.62,167.5,168.83,220313
2025-12-01,165.83,169.28,165,168.9,313441
2025-12-02,166.47,171.5,165.5,166,1011539
2025-12-03,163.46,166.87,162.62,166,331571
2025-12-04,156.96,163.75,156.52,163.46,652415
2025-12-05,154.06,157.99,153.3,157.99,381679
2025-12-08,156.88,157.68,153.3,157.29,573978
2025-12-09,158.06,159.8,151.98,153.6,947927
2025-12-10,159.77,160.99,157.5,159.31,399509
2025-12-11,160.23,164.01,158,159.77,635787
2025-12-12,156.57,161.8,155.5,160.8,415843
2025-12-15,153.61,155.79,153,155,437856
2025-12-16,156.33,157,153.89,154.95,320838
2025-12-17,152.92,156.39,152.5,155.6,289155
2025-12-18,150.96,152.9,150.5,152.9,264300
2025-12-19,154.93,156,152.01,153.99,243329
2025-12-22,155.01,158,152.16,156,339672
2025-12-23,156.18,157.1,153.02,154.17,399636
2025-12-24,156.29,162.26,155.65,158.4,3466586
2025-12-26,157.28,158.43,154.51,157.24,478123
2025-12-29,160.44,162,157.5,158,731029
2025-12-30,159.82,161.5,158.61,160.7,339516
2025-12-31,159.31,162,155.65,159.25,1176244
2026-01-01,159.36,161.21,157.89,158.45,274277
2026-01-02,166.36,167,159.01,160,1043986
2026-01-05,161.7,170.7,160.07,166.01,1606849
2026-01-06,160.67,162.55,160,162.09,362733
2026-01-07,168.57,171.29,158.32,160.25,2122254
2026-01-08,159.17,178.61,158.05,171.8,5054346
2026-01-09,157.03,160.9,156.05,160.3,1020920
2026-01-12,154.34,158.46,152.51,158.45,935531
2026-01-13,151.83,157.4,151.1,154.49,757635
2026-01-14,150.92,153.79,150.5,153,603943
2026-01-16,151.64,152.9,148.31,151,986081
2026-01-19,152.78,156.52,151.5,152,664024
2026-01-20,145.76,152.99,144.84,152.99,658424
2026-01-21,138.32,146.32,137.6,142.8,2579550
2026-01-22,143.2,144.37,140.77,143,694642
2026-01-23,152.5,157.52,144.81,146,5500836
2026-01-27,147.56,153.87,146.5,152.71,799836
2026-01-28,157.38,160.5,147.55,147.56,3473685
2026-01-29,148.38,156.8,147,156.8,1114956
2026-01-30,149.94,151.88,146.63,147.9,432542
2026-02-02,147.6,149.57,145.01,149,405268
2026-02-03,150.86,155.99,149.7,155.99,405018
2026-02-04,152.34,154.25,150,151,411061
2026-02-05,146.57,153,143.45,153,1499308
2026-02-06,146.76,149.39,144.12,146.57,845542
2026-02-09,149.69,152,147.52,149.7,3230139
2026-02-10,148.18,151.58,146.75,151,1140125
2026-02-11,147.13,149.4,146.5,149,682425
2026-02-12,151.57,153.1,146.12,147.13,1575786
2026-02-13,144.16,150.9,143.55,150.9,1824842
2026-02-16,141.57,146,141.1,146,1083579
2026-02-17,144.63,146.3,140.92,142,829002
2026-02-18,145.97,147.74,144,145,612780
2026-02-19,145.19,147.1,143,146,585134
2026-02-20,139.89,145.9,138.48,142.8,2463634
2026-02-23,145.84,153,143.94,143.95,3259910
2026-02-24,141.05,146.18,140.29,145.84,864319
2026-02-25,142.22,144.58,139.35,141.55,1235864
2026-02-26,143.38,147.68,142.2,143.99,1987425
2026-02-27,141.26,144.85,140.95,142.8,736691
2026-03-02,132.58,138.49,130.6,136.99,974907
2026-03-04,126.59,130.84,126,129.44,1163358
2026-03-05,126.58,129.06,122.41,129,1300633
2026-03-06,121.19,128.4,120.62,125.06,2095700
2026-03-09,119.64,120.23,112.49,119,1381849
2026-03-10,128.35,128.6,118.81,122.09,3359896
2026-03-11,134.15,141.18,128.26,129.79,13606118
2026-03-12,124.12,130.4,123.56,130.1,2940724
2026-03-13,119.46,125.76,116.62,124.69,3866764
2026-03-16,118.17,121.4,115.5,120.7,1033644
2026-03-17,120,121.1,117.38,118.17,1080225
2026-03-18,123.28,124.51,120.3,121,1391066
2026-03-19,116.78,120.97,116.15,120,803491
2026-03-20,114.58,119.61,113.11,118.01,2238717
2026-03-23,107.67,115.41,107,112.55,3596447
2026-03-24,109.52,111.8,107.3,111.8,1772053
2026-03-25,113.35,115.9,110.6,110.6,2019054
2026-03-27,109.59,113.34,107.9,113,4216378
2026-03-30,102.84,110.43,102.2,108.25,2085643
2026-04-01,112.55,113.12,105.92,105.99,1864781
2026-04-02,113.78,114.8,107.4,109.55,769525
2026-04-06,120.03,125.15,110.12,113.1,2297559
2026-04-07,126.24,127.5,121.76,124,2061443
2026-04-08,135.89,138.5,129.12,130.9,2137805
2026-04-09,134.52,141.9,133.88,141.9,1133682
2026-04-10,139.06,140.8,132.5,136,1495142
2026-04-13,139.34,141,132.11,132.11,1278864
2026-04-15,142.99,145.94,142.01,142.97,1130080
2026-04-16,142.77,146,141.2,145.45,787578
2026-04-17,139.93,144.13,138.11,143.5,797959
2026-04-20,145.28,146.92,137.5,141.38,1636454
2026-04-21,146.13,149,143.44,146.9,1116661
