Date,Close,High,Low,Open,Volume
2007-01-16,22.14,28.6,15,16,7242230
2007-01-17,20.88,23.15,20.29,22.02,1226724
2007-01-18,19.38,21.28,19.12,21.28,623147
2007-01-19,20.3,21.28,18.46,19.38,1923875
2007-01-22,19.27,20.4,19.1,20.02,376071
2007-01-23,18.9,20.15,18.73,19.28,433189
2007-01-24,18.83,19.5,18.72,19.14,227950
2007-01-25,18.8,22,18.73,22,168974
2007-01-29,18.18,19,18.1,19,101601
2007-01-31,17.41,18.38,17.33,18.14,100177
2007-02-01,16.35,17.45,16.12,17.45,83427
2007-02-02,16.57,17.38,16.11,16.56,155840
2007-02-05,19.88,19.89,16.41,16.41,1212647
2007-02-06,19.95,22.36,19.63,20,1821518
2007-02-07,19.07,20.9,18.72,20.34,540188
2007-02-08,18.75,19.46,18.18,19.25,384761
2007-02-09,17.68,18.88,17.42,18.88,194939
2007-02-12,16.16,17.58,15.67,17.58,177864
2007-02-13,16.11,17.08,15.44,16.15,149040
2007-02-14,15.81,16.37,15.6,15.68,68332
2007-02-15,17.04,17.74,16,16.09,317037
2007-02-19,16.51,17.57,16.2,17.1,94068
2007-02-20,18.67,19.56,16.5,16.7,1808312
2007-02-21,17.65,19.1,17.51,18.84,873570
2007-02-22,16.99,18.3,16.85,17.76,276448
2007-02-23,16.43,17.35,16.3,17.35,162207
2007-02-26,16.02,16.5,15.83,16.45,91899
2007-02-27,16.2,16.79,16,16.08,93639
2007-02-28,15.36,15.88,15.01,15.05,65238
2007-03-01,15.17,15.7,15,15.66,49172
2007-03-02,15.06,16.08,15,15.21,71588
2007-03-05,13.77,14.82,13.12,14.82,53715
2007-03-06,13.58,14.49,13.4,14.48,45186
2007-03-07,12.85,14.29,12.51,14.29,40076
2007-03-08,12.83,13.2,12.22,13.2,26983
2007-03-09,13.84,14.29,12.72,13.88,66949
2007-03-12,14.08,14.68,13.46,13.46,54582
2007-03-13,14.4,14.66,14.12,14.19,33487
2007-03-14,14.19,14.58,13.42,13.42,28656
2007-03-15,14.36,15.16,14.1,14.24,87740
2007-03-16,13.77,14.37,13.62,14.22,23559
2007-03-19,13.65,14.2,13.6,14.2,12336
2007-03-20,13.64,14.13,13.6,14,11601
2007-03-21,14.03,14.2,13.61,13.61,34036
2007-03-22,14.18,14.4,14.01,14.35,26129
2007-03-23,14.1,14.25,13.92,14,25300
2007-03-26,13.96,14.27,13.83,14.18,31858
2007-03-28,14.19,14.34,13.71,13.81,43252
2007-03-29,14.04,14.25,13.7,14.25,18805
2007-03-30,14.22,14.34,14.02,14.1,16898
2007-04-02,13.92,14.04,13.7,13.7,9260
2007-04-03,14.21,14.24,13.81,13.82,13386
2007-04-04,14.31,14.5,14.11,14.39,12055
2007-04-05,14.52,14.59,14.07,14.11,13885
2007-04-09,14.6,14.65,14.4,14.6,5122
2007-04-10,14.96,15.42,14.46,14.46,19786
2007-04-11,15.02,15.5,15,15.4,9991
2007-04-12,14.98,15.09,14.9,14.9,7061
2007-04-13,15.45,15.8,15,15.05,18051
2007-04-16,17.5,18.5,15.4,15.68,124293
2007-04-17,17.5,19,17.4,17.88,178727
2007-04-18,17.34,18.88,17.22,18.08,26890
2007-04-19,16.68,17.4,16.5,17.02,17907
2007-04-20,16.71,17.48,14,14,13789
2007-04-23,17,17.1,16.45,16.6,14748
2007-04-24,17.11,17.2,16.52,16.8,13293
2007-04-25,20.54,20.54,17,17.1,238966
2007-04-26,19.92,23.54,19.62,23.54,455187
2007-04-27,18.78,19.8,18.45,19.02,56584
2007-04-30,18.71,19.14,18.28,18.59,52580
2007-05-03,19.79,20.93,18.8,19.08,119106
2007-05-04,19.17,20.1,19.01,20.1,19137
2007-05-07,18.69,19.9,18.42,19.7,21711
2007-05-08,19.38,19.8,18.7,18.8,47448
2007-05-09,19.71,20.6,19,19.56,117820
2007-05-10,19.47,20.48,19.4,19.8,42957
2007-05-11,19.96,20,18.4,19.4,48018
2007-05-14,20.48,20.6,19.96,19.96,54534
2007-05-15,20.85,21.56,20,20,79034
2007-05-16,20.94,21.5,20.7,21.18,41499
2007-05-17,19.82,21.4,19.6,21.38,39970
2007-05-18,19.63,20.34,19.46,19.8,36719
2007-05-21,19.74,20.2,19.6,20,13738
2007-05-22,19.34,20.1,19.02,20.1,9712
2007-05-23,19.53,20,19.3,19.3,12025
2007-05-24,19.01,19.36,18.89,19.26,5946
2007-05-25,19.24,19.4,18.02,18.02,12888
2007-05-28,19.02,19.4,19,19.4,11455
2007-05-29,18.79,19,18.7,18.9,6780
2007-05-30,18.4,18.83,18.4,18.53,11199
2007-05-31,18.16,18.7,18.03,18.7,5317
2007-06-01,18.24,18.6,18.02,18.02,6022
2007-06-04,18.29,19.1,18.08,18.08,5277
2007-06-05,18.08,18.56,18,18.38,3773
2007-06-06,17.9,18.4,17.8,18.3,5087
2007-06-07,18.31,18.58,17.7,17.7,7842
2007-06-08,18.12,18.48,18,18,4095
2007-06-11,18.38,18.6,18,18,4859
2007-06-12,18.34,18.8,18.2,18.2,11272
2007-06-13,18.36,18.56,18.21,18.4,7412
2007-06-14,18.16,18.6,18.1,18.45,11362
2007-06-15,19.22,20.4,18.03,18.03,339512
2007-06-18,19.76,21.73,19.56,20.79,307746
2007-06-19,19.24,20,19.1,19.8,41314
2007-06-20,19.72,20.24,19.4,19.5,60882
2007-06-21,19.36,19.86,19.29,19.78,21365
2007-06-22,19.26,19.45,19.11,19.45,10454
2007-06-25,20.65,20.9,19.49,19.49,88612
2007-06-26,20.17,20.5,19.9,20.21,114503
2007-06-27,19.51,20.28,19.32,20,25573
2007-06-28,19.5,19.96,19.41,19.8,30936
2007-06-29,19.28,19.96,19.21,19.94,9141
2007-07-02,19.72,20.39,19.1,20.39,16867
2007-07-03,19.81,20.2,19.4,20,22771
