Date,Close,High,Low,Open,Volume
2021-03-25,164.45,174.6,143.25,155.5,68702464
2021-03-26,186.6,194.4,172,173.45,30116742
2021-03-30,175.05,191.95,171.1,190.3,8839565
2021-03-31,174.5,179.5,170.95,171.1,3073842
2021-04-01,180.85,186.8,171.45,176.8,4813541
2021-04-05,172.9,181.8,171.5,180,2183243
2021-04-06,190.05,194,172.45,174.7,8544662
2021-04-07,200.25,209,192.1,194.4,10435919
2021-04-08,198.95,206.5,197.25,202.95,3082469
2021-04-09,194,202.85,192.3,198.75,1879182
2021-04-12,181.25,187.85,175.65,186,2826111
2021-04-13,188.25,192,182.55,184,1869384
2021-04-15,191.6,195.6,183.55,190.5,2358127
2021-04-16,190.9,196,190,193.1,1664641
2021-04-19,185.45,187,182.3,185,1217314
2021-04-20,185.9,192.4,184,188.45,1085709
2021-04-22,182.05,186.75,181.25,184.95,1877354
2021-04-23,179.2,184.2,178.2,181.8,1699072
2021-04-26,191.45,193.6,178.45,181,3975987
2021-04-27,195.05,199.75,191.05,192.9,3198829
2021-04-28,210.05,214.4,196.05,196.6,10206205
2021-04-29,209.6,217.9,208.25,212,3930863
2021-04-30,207.85,215,204.5,206,2343085
2021-05-03,212.05,214.85,205.05,205.4,2427377
2021-05-04,219.45,237.85,214,214,12347178
2021-05-05,223.25,227.5,219.2,222.7,2918280
2021-05-06,220.65,226,219.1,224.9,1393465
2021-05-07,219.5,225.7,218.25,223,2054047
2021-05-10,226.15,231.5,219.25,221.7,3030801
2021-05-11,227.8,233.7,223.2,224,3580372
2021-05-12,222.5,229.6,220.95,228.7,1720426
2021-05-14,219,226.95,218.05,224.4,1778998
2021-05-17,217.8,222.5,216,221.9,1534784
2021-05-18,219.95,223.5,218,218.1,1431495
2021-05-19,219.2,225.8,218.55,221.5,1894146
2021-05-20,217.9,222,216.35,220.85,1197762
2021-05-21,224.95,234.65,218.8,220,5272118
2021-05-24,237.75,239.9,225.5,226.95,6644500
2021-05-25,233.6,244.7,228.6,242,4549830
2021-05-26,223.9,230.7,221.5,228,3622399
2021-05-27,223.55,228.9,222.3,226,1844491
2021-05-28,219.35,225,219,223.05,1511487
2021-05-31,227.5,231.95,219.6,219.6,4614607
2021-06-01,223.65,229.5,222,228.9,1094653
2021-06-02,223.7,226.5,221.1,223,1524542
2021-06-03,222.7,225.45,222.2,225,884388
2021-06-04,221,223.85,220.3,223.7,1016541
2021-06-07,222.65,225.7,221,222.3,1499707
2021-06-08,226.55,230.3,220.2,222.9,2738382
2021-06-09,222.9,231,221,228.1,1800552
2021-06-10,222.15,225.9,221.6,223.5,962157
2021-06-11,224.7,228.1,222.35,223.4,2703801
2021-06-14,220.15,227.65,217.5,227,1593610
2021-06-15,224.95,230.8,219.7,221.9,4049111
2021-06-16,230.85,236,226,226.45,6166368
2021-06-17,229.55,235.45,226.1,228.5,2939279
2021-06-18,225.65,232.15,212.7,231.4,2433154
2021-06-21,224.65,226.7,220.2,221,1393725
2021-06-22,223.55,230,222.25,226,1377978
2021-06-23,222.1,225.45,221.1,224.2,712705
2021-06-24,220.75,223.75,219.75,223.6,877329
2021-06-25,222.8,226.7,221.1,222,887764
2021-06-28,221.8,224,221.45,223.8,596107
2021-06-29,221.25,223.4,220.55,222,599382
2021-06-30,220.35,226.25,219.6,221.9,1143861
2021-07-01,230.45,235.8,221.1,221.95,2737049
2021-07-02,240.7,250.7,236,238,10929617
2021-07-05,255.4,257.9,241.15,242.3,5821409
2021-07-06,247.65,258.4,245.5,256.7,3245910
2021-07-07,259.4,263.8,246.05,247.7,5607546
2021-07-08,256.65,262,251.1,260.45,1903964
2021-07-09,264.5,270.5,253.5,256.4,5208269
2021-07-12,267.9,272.7,263.2,267,2553254
2021-07-13,265.45,272,264,270.35,1431594
2021-07-14,268.8,273.4,264.05,265.1,1954254
2021-07-15,266.8,271.95,265,270,1287218
2021-07-16,262.35,268.9,261,267,1207327
2021-07-19,258.65,263.6,257,259.9,1546544
2021-07-20,253,259.45,249.5,257.95,1391578
2021-07-22,261.2,267.75,254.55,254.9,2545937
2021-07-23,272.65,274.45,261.15,263.6,3393604
2021-07-26,257.1,266,251.85,266,3098406
2021-07-27,261.25,266.2,256.5,259.75,1954043
2021-07-28,257.5,262.65,252.2,262,1374629
2021-07-29,257.9,263.7,256.9,258.4,851707
2021-07-30,261.75,264.75,257,257.9,1323487
2021-08-02,274.7,276.9,261.75,263.9,4596170
2021-08-03,277.4,283,274.5,276,3096699
2021-08-04,271.75,283,270.3,278.65,2161318
2021-08-05,271.9,275,265.3,273.15,1426307
2021-08-06,276.15,278.5,272.35,272.35,1085716
2021-08-09,272.65,282.45,270,277.45,1781148
2021-08-10,280,299.55,276.3,295,13495897
2021-08-11,290.1,292.65,271.5,283.7,4737451
2021-08-12,319.85,324.95,292.6,294.95,17180068
2021-08-13,340,345.95,318.5,319.85,12424971
2021-08-16,391,402.9,341.2,341.4,23001478
2021-08-17,370.2,389.95,363.05,389.95,7955479
2021-08-18,368.95,383,361,371,5906365
2021-08-20,362.3,374.45,356.6,360,3633725
2021-08-23,364.4,381.8,357.25,367,6210229
2021-08-24,361.95,372.6,359,367.65,2324817
2021-08-25,364.6,371.85,360.55,363.4,2859055
2021-08-26,382.35,385,363.05,365.45,7399931
2021-08-27,420.55,420.55,385,385.4,14080063
2021-08-30,462.35,462.6,432.55,434.4,17343592
2021-08-31,443.75,493.75,431,472,20384738
2021-09-01,485.35,488.1,444,449,12240272
2021-09-02,492.45,506.8,483.65,493.2,10041514
2021-09-03,492.65,500.4,480,490,5066417
2021-09-06,489.65,503.9,486.5,498.6,2854163
2021-09-07,480.5,492.85,475.05,492.45,2468607
2021-09-08,504.5,504.5,475.1,482.75,9112697
2021-09-09,516.75,528,512,515.05,5974763
2021-09-13,542.55,542.55,518.3,523,5327107
2021-09-14,569.65,569.65,561.2,562.8,2123681
2021-09-15,598.1,598.1,585,589,1583159
2021-09-16,568.2,628,568.2,614,2708951
2021-09-17,539.8,539.8,539.8,539.8,398200
2021-09-20,512.85,512.85,512.85,512.85,350271
2021-09-21,538.45,538.45,496.6,512.4,7824750
2021-09-22,564.7,565.35,545,550,6215882
2021-09-23,551.45,584.65,543.05,573.95,4392990
2021-09-24,545.2,563.95,542,557,2247089
2021-09-27,537.2,558,533.15,552.4,1810383
2021-09-28,532.15,555,525.55,540,2183996
2021-09-29,520.8,532,519,528.9,1628552
2021-09-30,546.8,546.8,521.15,524.9,3113306
2021-10-01,542.25,560.8,539,551,2324289
2021-10-04,569.35,569.35,548.5,551.5,2531422
2021-10-05,591.3,597.8,572.2,582,5557228
2021-10-06,561.75,588,561.75,583,2693725
2021-10-07,553.5,573,542,554,2243021
2021-10-08,549.35,564.8,546,558.75,1389258
2021-10-11,536.7,550,532,540,1157625
2021-10-12,563.05,563.5,530,540,2867135
2021-10-13,548,571.9,545.15,568.9,1493051
2021-10-14,540.75,557.65,539,551,1007811
2021-10-18,551,567.75,546.25,567.75,1949472
2021-10-19,525.75,556,523.45,553.9,1455313
2021-10-20,499.5,525,499.5,520,1715131
2021-10-21,475.2,510,474.55,503.95,1668842
2021-10-22,460.85,493,453.2,471,2710138
2021-10-25,437.85,467.7,437.85,462.5,1432919
2021-10-26,459.7,459.7,422.4,425,2173605
2021-10-27,462.65,482,450,463,2281219
2021-10-28,448.1,462,445.05,462,790886
2021-10-29,457.55,462.6,431.6,449,904071
2021-11-01,454.65,468.95,452.55,460,579572
2021-11-02,457.75,464.75,452.6,458,500860
2021-11-03,434.9,444.7,434.9,434.9,1788804
2021-11-04,431.15,438,415.55,421.15,1222264
2021-11-08,409.8,437.5,409.6,431.5,1995345
2021-11-09,423.6,430.25,405,405,2785166
2021-11-10,421.35,433.9,416.9,422,1211104
2021-11-11,416.15,426.65,415,424.8,626409
2021-11-12,413.35,423.65,408,420.7,721313
2021-11-15,417.6,423.95,415,417.7,703309
2021-11-16,437.35,438.45,416.9,419.9,1973358
