Date,Close,High,Low,Open,Volume
1995-01-02,27.8125,27.8125,27.2656,27.2656,550
1995-01-03,27.3438,27.7344,27.3438,27.7344,200
1995-01-05,26.5625,26.9531,26.5625,26.9531,550
1995-01-06,26.1719,26.1719,26.1719,26.1719,50
1995-01-09,26.0547,26.3633,25.7812,26.3633,550
1995-01-10,25.7812,25.7812,25.7812,25.7812,150
1995-01-11,25.8008,25.8008,25.3906,25.3906,600
1995-01-12,24.9023,24.9023,23.9062,23.9062,250
1995-01-17,25.3906,25.3906,25.3906,25.3906,150
1995-01-18,25.7812,25.7812,25.7812,25.7812,50
1995-01-19,25,25,25,25,50
1995-01-20,25.7812,25.7812,25.3906,25.3906,250
1995-01-24,25.3906,25.3906,25,25,200
1995-01-25,26.1328,26.25,25.3906,25.3906,13150
1995-01-27,26.6406,26.6406,26.5625,26.5625,150
1995-01-30,26.7969,26.7969,26.5625,26.5625,100
1995-01-31,27.3047,27.3438,26.5625,27.3438,800
1995-02-01,27.1094,27.3438,27.1094,27.3438,150
1995-02-02,27.3438,27.3438,26.9531,26.9531,950
1995-02-03,27.7344,27.7344,26.9531,27.1094,400
1995-02-07,27.3438,27.3438,27.3438,27.3438,400
1995-02-08,27.5781,27.5781,26.9531,27.3438,1850
1995-02-09,27.5781,27.5781,27.5391,27.5391,150
1995-02-10,27.5391,27.5391,27.5391,27.5391,50
1995-02-13,28.125,28.125,25.3125,27.7344,950
1995-02-14,27.3438,28.3203,27.3438,27.3438,500
1995-02-15,27.2656,27.2656,27.2656,27.2656,50
1995-02-16,27.3438,28.125,27.3438,27.3438,800
1995-02-17,26.5625,26.9531,26.5234,26.9531,600
1995-02-21,25,25,25,25,200
1995-02-22,25,25,25,25,100
1995-02-24,26.5625,26.5625,26.5625,26.5625,100
1995-02-28,26.1719,26.9531,25.8594,25.8594,250
1995-03-01,25.3906,25.7812,25.3906,25.7812,200
1995-03-02,26.25,26.25,25.7812,25.8594,2100
1995-03-07,25.7422,25.7812,24.6094,24.6094,300
1995-03-08,25.3906,25.3906,25.1562,25.3906,950
1995-03-09,25.3906,25.3906,25,25,700
1995-03-10,25,25.1562,25,25.1562,150
1995-03-14,24.2188,24.6094,23.8281,23.8281,200
1995-03-15,24.6094,24.6094,24.6094,24.6094,200
1995-03-16,23.4375,23.4375,23.4375,23.4375,200
1995-03-20,23.8281,23.8281,23.8281,23.8281,50
1995-03-21,22.2656,23.4375,22.2656,23.4375,300
1995-03-22,23.4375,23.75,21.4922,21.6797,400
1995-03-24,23.0469,23.8281,23.0469,23.8281,550
1995-03-27,22.0078,23.4375,21.9531,23.4375,1350
1995-03-28,21.875,22.9688,21.875,22.9688,400
1995-03-29,22.2656,22.6562,22.2656,22.6562,650
1995-03-30,22.2266,22.2266,22.2266,22.2266,100
1995-03-31,21.668,21.875,21.4844,21.875,4350
1995-04-03,22.2656,22.2656,21.4844,21.7188,3100
1995-04-04,22.3438,22.5,22.2656,22.2656,1750
1995-04-05,23.0469,23.0469,22.6562,22.9688,1150
1995-04-06,23.5938,23.6719,23.0664,23.6719,3150
1995-04-07,24.375,24.6094,24.2188,24.4141,1100
1995-04-10,25.3906,25.3906,23.0469,23.0469,1450
1995-04-11,24.6875,25,24.6094,25,300
1995-04-12,24.4336,24.5312,23.5156,23.5156,800
1995-04-17,24.6094,25,24.375,24.375,900
1995-04-18,25.2344,25.3906,24.6094,24.8047,1850
1995-04-19,24.9961,25.7031,24.9961,25.625,1650
1995-04-20,24.4453,24.6875,24.4141,24.6094,1550
1995-04-21,25.0391,25.7812,25,25.3828,2900
1995-04-24,24.6094,24.6094,24.6094,24.6094,50
1995-04-25,23.125,23.832,21.0938,23.8281,1000
1995-04-26,23.8281,24.1797,23.0469,23.4375,100250
1995-04-27,23.6719,24.2188,23.0469,24.2188,86000
1995-04-28,23.0469,23.8281,23.0469,23.8281,650
1995-05-02,22.2656,22.2656,22.1875,22.2656,750
1995-05-03,23.1016,23.4375,22.2578,22.2656,1350
1995-05-04,23.6211,24.1406,23.2812,23.75,2100
1995-05-05,23.8281,24.0234,23.8281,24.0234,550
1995-05-08,22.793,22.8516,22.5,22.6562,1800
1995-05-09,23.0469,23.3594,22.6562,22.9688,12650
1995-05-10,23.3359,23.4375,23.2812,23.4375,250
1995-05-12,23.0078,23.4375,22.9688,23.4375,25200
1995-05-15,22.6797,22.8516,22.6562,22.8125,450
1995-05-16,23.0469,23.0469,22.8906,23.0469,650
1995-05-17,23.4375,23.4375,23.0469,23.2812,350
1995-05-18,24.1992,24.2188,23.8281,24.2188,1150
1995-05-19,24.2031,24.2969,23.9844,24.2188,3450
1995-05-22,24.5117,24.6094,23.8281,23.8281,3950
1995-05-23,24.2188,24.4922,24.1406,24.4922,100250
1995-05-24,24.6094,25.0781,23.9062,23.9062,12100
1995-05-25,24.6094,24.6094,24.2188,24.2188,200
1995-05-26,24.375,24.375,24.375,24.375,50
1995-05-29,24.1406,24.4922,24.1406,24.2188,4150
1995-05-30,24.1406,24.2188,23.9844,24.2188,500
1995-05-31,24.6094,24.6094,24.5312,24.5312,350
1995-06-01,25.7812,25.8594,25.3906,25.3906,550
1995-06-02,25.7812,26.3281,25.7812,26.1719,2000
1995-06-05,25.7031,25.7031,25.5469,25.6289,5100
1995-06-06,25.7852,25.8984,25.3906,25.5078,2250
1995-06-07,25.9648,26.0938,25.9375,25.9375,1600
1995-06-08,25.4688,25.7812,25.3906,25.4688,550
1995-06-09,25.7812,26.1719,25.3125,25.8594,1200
1995-06-12,25.5234,25.8594,25.4961,25.7812,1150
1995-06-13,25.3125,25.9375,25.1953,25.1953,1000
1995-06-14,26.168,26.4062,26.0938,26.1719,5200
1995-06-15,25.8594,26.1719,25.7031,25.7031,1300
1995-06-16,25.8555,26.0156,24.6094,24.6094,12900
1995-06-19,25.9805,26.0547,25.8594,25.8594,1350
1995-06-20,25.4453,25.7812,25.3906,25.7812,2600
1995-06-21,26.5625,26.5625,26.1719,26.1719,2350
1995-06-22,25.8359,26.25,25.7031,26.25,4500
1995-06-23,25.6641,25.7227,25.4688,25.5859,400
1995-06-26,25.4297,25.625,25.0391,25.082,11200
1995-06-27,25.1562,25.3125,24.7812,25.0977,4350
1995-06-28,25.3125,25.3125,25.0078,25.0078,550
1995-06-29,25.3125,25.625,25.3125,25.3906,300
1995-06-30,25.3906,25.3906,25.3906,25.3906,50
1995-07-03,25,25,25,25,25850
1995-07-04,24.8828,24.8828,23.4375,23.4375,3050
1995-07-05,24.8633,25,24.3164,24.6328,4250
1995-07-06,25,25.0781,24.6094,24.6094,50300
1995-07-07,24.8828,24.8828,24.6875,24.6875,150
1995-07-10,25.1562,25.1562,25.0781,25.1523,1550
1995-07-11,25.625,25.625,24.9961,24.9961,800
1995-07-12,25.2734,25.2734,25.1562,25.1562,200
1995-07-13,25.3906,25.3906,25.3906,25.3906,100
1995-07-14,25.8594,25.8594,25.3906,25.3906,450
1995-07-17,26.0547,26.0938,25.7031,25.9375,1000
1995-07-18,26.9336,27.3438,26.0938,26.9531,1850
1995-07-19,26.0938,26.25,26.0938,26.0938,200
1995-07-20,26.1719,26.3281,26.1719,26.3281,750
1995-07-21,26.5312,26.5625,26.2461,26.2461,7500
1995-07-24,26.9531,27.3438,26.3672,26.3672,500
1995-07-25,26.6484,26.875,26.6484,26.875,350
1995-07-26,27.1523,27.1875,26.9531,26.9531,1000
1995-07-27,27.5547,27.5781,25.7812,25.8594,2450
1995-07-28,27.7344,27.7344,27.3047,27.3047,850
1995-07-31,27.4219,27.6367,27.2656,27.3438,1100
1995-08-01,28.0664,28.125,27.4219,27.4219,600
1995-08-02,27.5,28.125,27.5,28.125,450
1995-08-03,27.4219,27.7344,27.4219,27.7344,350
1995-08-04,27.4219,27.5781,27.4219,27.4258,600
1995-08-07,27.4609,27.5781,27.4609,27.5781,250
1995-08-08,27.4219,27.5781,27.3828,27.5781,250
1995-08-09,28.8711,28.9062,27.8125,28.125,2500
1995-08-11,28.75,29.375,28.75,29.1406,3550
1995-08-14,29.8438,29.8438,29.0625,29.0625,3550
1995-08-16,30.2188,30.3906,29.6094,29.6094,16750
1995-08-17,29.3867,30.0781,29.1406,30.0781,11200
1995-08-18,29.3672,29.6875,28.4375,29.5312,48100
