Date,Close,High,Low,Open,Volume
2006-03-17,46.51,48.76,41.03,45,20061112
2006-03-20,47.02,48.34,46,46.95,3450640
2006-03-21,48.76,50.74,47.1,47.15,5209708
2006-03-22,46.48,48.92,45.62,48.74,1911397
2006-03-23,48.68,49.68,46.78,46.78,2170224
2006-03-24,48.93,49.74,48.07,49.74,1092428
2006-03-27,49.23,49.68,48.42,49,557831
2006-03-28,50.1,51.6,48.7,49.6,1901377
2006-03-29,49.19,50.83,49,50.4,334951
2006-03-30,48.61,50.33,48.34,49.8,258214
2006-03-31,48.43,49.38,47.88,48.4,156175
2006-04-03,48.14,49.4,47.7,48.6,359644
2006-04-04,49.14,49.8,47.6,48.44,247973
2006-04-05,49.73,50,49,49.32,155426
2006-04-07,47.74,50.19,47.22,49.77,184663
2006-04-10,47.1,48.94,47.01,47.8,92631
2006-04-12,45.62,48.09,45.4,48,84149
2006-04-13,46.46,46.9,44.67,45.78,103845
2006-04-17,45.76,47.98,45,47.19,118366
2006-04-18,45.35,46.56,45.21,46,52595
2006-04-19,45.19,46,45.01,46,29557
2006-04-20,44.87,46,44,45.06,158089
2006-04-21,45.16,46.67,45,45.4,70593
2006-04-24,45.56,46.2,44.9,45.16,60313
2006-04-25,46.08,46.78,45.5,45.89,191696
2006-04-26,46.42,47.04,45.41,45.99,60601
2006-04-27,46.56,47.33,46.21,46.6,69170
2006-04-28,46.94,47.8,44.2,45.21,115212
2006-05-02,46.91,47.29,45.67,45.67,48080
2006-05-03,48.62,50,46.01,47.28,192630
2006-05-04,49.94,50.2,47.01,49,190078
2006-05-05,49.81,50.2,48.6,48.6,84243
2006-05-08,51.82,52.2,48.6,48.6,269712
2006-05-09,51.64,52.32,51.4,52.32,211387
2006-05-10,50.8,52.08,49.2,51.6,201719
2006-05-11,50.61,51.1,49.27,49.27,75284
2006-05-12,50.3,51,49.27,50.25,340576
2006-05-15,51.65,52.2,48,49.4,275559
2006-05-16,49.55,51.56,47.2,50.2,146461
2006-05-17,50.18,50.8,48.67,48.67,132381
2006-05-18,49.9,55.65,48,48.2,253804
2006-05-19,47.53,51.5,47,50.2,338349
2006-05-22,45.69,47.58,40.26,47.4,129779
2006-05-23,46.35,46.88,42.01,42.01,28829
2006-05-24,46.69,49.58,45.62,49.58,153200
2006-05-25,45.69,46.39,42.4,42.4,13299
2006-05-26,47.81,48.02,46.01,46.01,267924
2006-05-29,47.87,48.69,47.2,47.21,268913
2006-05-30,46,47.8,45.2,45.2,15561
2006-05-31,42.79,46,42,44.9,31450
2006-06-01,42.24,48,42,43.6,30748
2006-06-02,42.89,43.4,40.6,40.6,27477
2006-06-05,42.94,43.8,42.22,43.4,103912
2006-06-06,40.55,42.5,40.02,40.5,58279
2006-06-07,40.23,41.2,36.8,40,44004
2006-06-08,34.01,39,32.19,36.25,42701
2006-06-09,37.28,37.76,27.43,33.9,23540
2006-06-12,37.93,38.4,34.52,36.7,11956
2006-06-13,35.94,37.97,35,37.97,7314
2006-06-14,35.93,37.99,33.2,37.99,42154
2006-06-15,36.82,37,35.41,37,9744
2006-06-16,41.06,42,37.44,38.37,52487
2006-06-19,39.47,41,38.67,41,9410
2006-06-20,38.27,40,37.27,38,7925
2006-06-21,38.98,39.2,37.8,39,40059
2006-06-22,38.93,39.78,38.61,39.21,21622
2006-06-23,39.39,39.6,38,38.8,17777
2006-06-26,37.4,39.38,36.56,38.61,6525
2006-06-27,36.34,37.98,35.32,36,3722
2006-06-28,36.42,36.77,34.82,34.82,2860
2006-06-29,37.01,37.2,35.6,36.02,8595
2006-06-30,37.11,38.4,36.7,37.4,26177
2006-07-03,38.01,38.2,35.6,36.8,15832
2006-07-04,38.31,38.9,38.13,38.2,7565
2006-07-05,37.52,38.04,37.06,37.28,3468
2006-07-06,37.16,37.99,36.65,37.01,8831
2006-07-07,36.45,39,36.1,39,4337
2006-07-10,37.55,40,37.12,38.5,13896
2006-07-11,38,39.6,37.42,39.6,11207
2006-07-12,38.46,39,37.02,37.2,13366
2006-07-13,39.5,40,38.39,38.4,16459
2006-07-14,40.38,40.79,38.02,38.02,12948
2006-07-17,39.48,40.19,39,39.17,8185
2006-07-18,39.62,40.2,38.51,38.51,8566
2006-07-19,38.79,40.17,38.23,39.1,9727
2006-07-20,40.16,40.4,38.31,38.4,11408
2006-07-21,39.75,40,38.61,39.01,8020
2006-07-24,39.44,39.6,37.25,38.8,10849
2006-07-25,40.24,40.4,39.41,39.97,8263
2006-07-26,39.81,40,39.41,40,6927
2006-07-27,39.95,40,39.51,39.51,13041
2006-07-28,40.57,40.76,38.3,38.3,12986
2006-07-31,41.14,41.45,39.81,40.4,12526
2006-08-01,42.88,43.6,40.4,40.4,17348
2006-08-02,42.13,42.98,41.41,41.41,14980
2006-08-03,42.05,42.4,41.02,41.99,16510
2006-08-04,41.77,42.2,41.6,42,17694
2006-08-07,42.01,44.2,41.66,44.2,6944
2006-08-08,42.25,42.56,41.41,41.41,7439
2006-08-09,42.3,42.4,41,41,107149
2006-08-10,43.05,43.34,42.45,42.98,6771
2006-08-11,44.31,44.8,43,43.38,13558
2006-08-14,45.46,45.8,41.99,41.99,15343
2006-08-16,46.62,46.78,44,44,18546
2006-08-17,46.12,47,44.1,47,113536
2006-08-18,46.57,47.4,45.2,46.8,121757
2006-08-21,46.44,47.56,46.18,46.57,11156
2006-08-22,46.63,46.86,45.52,46.4,6548
2006-08-23,46.38,47,46,46.7,9552
2006-08-24,45.44,45.82,44.61,45.8,14347
2006-08-25,46.04,46.39,45.55,45.55,8947
2006-08-28,46.11,47,45.21,46.6,8999
2006-08-29,46.47,46.65,45.76,46,120677
2006-08-30,47.05,47.8,46.2,46.22,491869
2006-08-31,44.8,47.22,44,47.22,13738
2006-09-01,45.19,46,45,45.3,4890
2006-09-04,46.11,46.8,44.05,45.2,32355
2006-09-05,46.67,47.1,45.21,46.25,39765
2006-09-06,45.48,46.78,45.4,45.82,5808
2006-09-07,46.43,47,45,45,8818
2006-09-08,45.89,46.57,45.2,45.81,9035
2006-09-11,46.44,46.8,46.01,46.01,15124
2006-09-12,46.3,46.59,45.06,45.8,8813
2006-09-13,46.28,46.5,45.65,46.49,13099
2006-09-14,46.32,46.42,45.7,46,10198
2006-09-15,46.29,46.77,45.84,45.89,7661
2006-09-18,46.37,46.5,46.04,46.04,10029
2006-09-19,47.99,50,46,46,63381
2006-09-20,46.73,47.9,46.4,47.6,6301
2006-09-21,47.13,47.58,47,47,9123
2006-09-22,47.21,47.6,42.62,42.62,13367
2006-09-25,47,48.4,47,47,14747
2006-09-26,47.02,47.3,46.27,46.27,6521
2006-09-27,48,48.2,47,47,24779
2006-09-28,47.94,48.09,47,47.42,7281
2006-09-29,47,50,47,49.5,7795
2006-10-03,47.01,48.9,47,48.9,4345
2006-10-04,47.01,47.2,47,47.06,5241
2006-10-05,47.42,47.6,47,47,33162
2006-10-06,48,48.2,47.4,47.4,12206
2006-10-09,48.29,49.1,46.07,46.07,10477
2006-10-10,48.41,49.14,48.2,48.4,9434
2006-10-11,48.02,48.61,48,48.6,5319
2006-10-12,48.59,48.8,48,48.01,9936
2006-10-13,49.96,51,48.4,48.4,66369
2006-10-16,49.22,49.96,48.08,49.96,17776
2006-10-17,49.39,49.6,48.18,48.18,4455
2006-10-18,48.49,49,47.44,48.6,4939
2006-10-19,48.84,49.2,48.6,49,11254
2006-10-20,48.96,49.2,48.43,48.71,8767
2006-10-23,48.4,48.8,48.4,48.6,4182
2006-10-26,48.6,49,47.8,48.8,10580
2006-10-27,48.73,49,48.44,48.44,7503
2006-10-30,48.6,49.6,48.4,48.6,12285
2006-10-31,48.81,49,48.4,48.6,124256
2006-11-01,48.55,49,47.2,49,9504
2006-11-02,48.6,48.79,48.41,48.59,7646
2006-11-03,48.6,48.88,48.4,48.88,10988
2006-11-06,48.6,49.2,48.6,49.2,8594
2006-11-07,48.75,48.97,48.02,48.5,15484
2006-11-08,48.62,48.78,48.55,48.65,10224
2006-11-09,48.6,48.79,48.6,48.6,7077
2006-11-10,50.11,50.8,48.66,48.8,27379
2006-11-13,50.92,51.8,50.45,51.36,27604
2006-11-14,50.66,51.4,49.41,50.7,16290
2006-11-15,49.56,51.38,49.24,51,7269
2006-11-16,51.24,52,48.06,49.8,22050
2006-11-17,48.8,51.4,48.56,51.4,8439
2006-11-20,49.14,49.85,46.8,47.29,8777
2006-11-21,49.94,50.2,47,47,9714
2006-11-22,49.01,50.34,49,50,7481
2006-11-23,49,49.57,49,49.57,6100
2006-11-24,49.08,49.78,47.23,47.23,37220
2006-11-27,49.03,49.36,48.63,48.63,6315
2006-11-28,49.2,49.4,49,49.01,3116
2006-11-29,49.33,49.6,48.02,48.02,6423
2006-11-30,49,49.17,48.79,48.79,7928
2006-12-01,49.8,51.78,49,49,292551
2006-12-04,50.53,52.8,50.2,50.96,57374
2006-12-05,50.04,51.78,49.24,51.78,9976
2006-12-06,50.27,50.8,49.3,49.62,12659
2006-12-07,50.03,50.8,49.66,49.67,6177
2006-12-08,49.97,50.4,49.05,50,9697
2006-12-11,49.19,49.35,49,49.23,24075
2006-12-12,49,50.2,48.25,48.61,25655
2006-12-13,49.06,49.78,47.59,47.6,14238
2006-12-14,49.01,49.6,49,49.12,4247
2006-12-15,48.44,49.31,48.31,49.2,29885
2006-12-18,49.01,49.6,48.61,48.61,6020
2006-12-19,49,49.8,47.81,47.81,3396
2006-12-20,49.97,50.8,47.59,47.59,15693
2006-12-21,53.67,59.6,49.61,49.8,206258
2006-12-22,52.71,57,51,52.5,146139
2006-12-26,51.26,57.6,48.5,57.6,21036
2006-12-27,51.77,53,50.4,50.4,18864
2006-12-28,54.26,57.6,51,57.6,102099
2006-12-29,56.07,56.76,52.6,55.9,83477
2007-01-02,56.3,58.9,51.6,51.6,45722
2007-01-03,55.73,57.62,55.22,56.99,21704
2007-01-04,56.15,56.49,55,56.39,15477
2007-01-05,54.21,56.35,53.8,55,13829
2007-01-08,53.6,54.2,53.3,53.8,256680
2007-01-09,53.21,54.12,52.61,53.65,6841
2007-01-10,51.44,53,51.2,52.64,1011221
2007-01-11,51.54,52.2,51.2,51.6,13652
2007-01-12,51.44,53,50.8,52.56,18667
2007-01-15,53.71,54.8,51.61,51.62,40614
2007-01-16,53.57,54.42,52.41,53.6,25869
2007-01-17,52.68,53.78,52.42,53.2,9401
2007-01-18,51.22,53.49,51,52.8,18632
2007-01-19,50.66,55,49.07,49.12,7685
2007-01-22,50.14,50.8,49.62,50.8,12046
2007-01-23,49.37,50.77,49.26,50.2,7511
2007-01-24,50.29,50.99,49,49.81,42380
2007-01-25,50.53,51.58,49.43,51.5,13371
2007-01-29,49.48,50.6,49.19,50.6,6569
2007-01-31,48.34,51.34,48,51.34,20805
2007-02-01,48.05,49.02,48,48.8,7429
2007-02-02,48.03,48.8,48,48.11,12352
2007-02-05,48.25,49,48,48.06,13912
2007-02-06,48.02,49.76,48,49.6,7425
2007-02-07,48.02,48.6,47.1,47.41,10133
2007-02-08,48.02,48.19,47.17,47.17,9705
2007-02-09,48.59,49.09,47.98,48.01,17037
2007-02-12,47.95,48.2,47,47.81,27895
2007-02-13,47.19,47.97,45.6,47.3,258680
2007-02-14,46.33,47.4,45.4,46.4,159119
2007-02-15,46.96,47.4,46.44,47.3,3094
2007-02-19,45.78,48.02,45,48,19041
2007-02-20,48.03,48.38,45.2,45.8,15443
2007-02-21,46.46,49.89,46.01,48.32,10116
2007-02-22,45.47,47.55,45,46.81,5024
2007-02-23,44.65,46.34,44,46.34,5801
2007-02-26,43.98,44.78,43.59,44,3665
2007-02-27,45.07,45.4,44.21,44.46,5189
2007-02-28,45.46,46.4,42.36,43.4,7169
2007-03-01,45.44,46.76,45,45.12,3746
2007-03-02,46.42,46.98,45.07,45.16,5784
2007-03-05,45.01,46.38,40.02,40.02,16858
2007-03-06,45,45.4,44.55,45.4,11782
2007-03-07,45,45.76,45,45.03,7706
2007-03-08,44.96,45.1,44.41,45.03,29053
2007-03-09,45,45.5,45,45.01,11541
2007-03-12,45,46.7,44.92,46.7,54384
2007-03-13,45.06,45.79,44.86,45.03,53349
2007-03-14,45.06,45.19,44.82,45,32109
2007-03-15,46.44,46.98,45,45,24074
2007-03-16,45.98,48,45.02,46.88,14888
2007-03-19,45.15,46,44.92,46,15075
2007-03-20,46.2,46.25,45.05,45.3,28865
2007-03-21,46,46.2,46,46.1,5570
2007-03-22,46,46.4,46,46.4,6599
2007-03-23,46.02,46.57,46,46.04,14492
2007-03-26,46,46.4,46,46.01,4586
2007-03-28,46,46.53,45.6,46.53,37449
2007-03-29,46,46.2,46,46.2,12011
2007-03-30,46.8,46.96,46,46,13742
2007-04-02,45.03,46.8,45,45.26,3179
2007-04-03,45,46,45,45.02,1760
2007-04-04,42.99,45.2,42.42,45.02,10393
2007-04-05,43.04,43.57,43,43.2,209154
2007-04-09,43.25,43.98,43.11,43.25,5981
2007-04-10,43.17,43.96,43,43.38,3816
2007-04-11,43.03,43.91,43.01,43.21,2600
2007-04-12,43.01,43.15,43,43.02,7575
2007-04-13,43,43.16,43,43.1,14023
2007-04-16,43.12,43.98,43,43.98,2970
2007-04-17,44.21,44.4,43.23,43.23,8452
2007-04-18,45,45.75,44.2,44.5,127686
2007-04-19,46.17,46.4,45.2,45.2,13455
2007-04-20,46.06,46.51,46,46.38,6454
2007-04-23,46,46.2,45.21,45.21,5498
2007-04-24,46.44,46.97,46,46.2,9301
2007-04-25,46.57,47.2,46,47.19,54884
2007-04-26,47.32,47.8,46.41,47.59,17959
2007-04-27,46.99,47.79,46.02,47,12699
2007-04-30,47.02,47.35,46.7,47,36172
2007-05-03,47,47.59,46.4,47.01,61175
2007-05-04,47.25,48.6,46.61,46.61,438968
2007-05-07,47.02,47.2,47,47.2,11657
2007-05-08,47.48,47.8,47,47.2,14883
2007-05-09,47.3,48,47.02,48,203014
2007-05-10,47.39,47.8,47.01,47.78,7550
2007-05-11,47.02,47.17,46.21,46.21,7747
2007-05-14,47,47.29,46.02,47.01,10934
2007-05-15,46.99,47.2,46.85,47.01,22740
2007-05-16,47.12,47.2,47,47,21700
2007-05-17,47.57,47.8,46.7,47,29064
2007-05-18,48.3,48.4,47.02,47.3,24556
2007-05-21,48,49.1,47.8,48.4,14388
2007-05-22,47.07,48.4,47,48.13,4298
2007-05-23,47,47.6,47,47.59,3571
2007-05-24,47.18,47.4,47,47.04,7135
2007-05-25,46.99,48,46.4,47.2,5011
2007-05-28,47,47.29,46.81,47,329043
2007-05-29,46.84,47.58,46.6,47.2,328897
2007-05-30,46.58,47.36,46,47.1,10246
2007-05-31,47.28,54.6,46.21,46.43,67036
2007-06-01,47.25,51.74,47,51.74,15763
2007-06-04,47.57,50,47.13,47.2,13722
2007-06-05,47.08,48.99,47,48.99,8959
2007-06-06,47.85,51.56,47,47.58,523064
2007-06-07,46.97,49.28,46.42,48,24414
2007-06-08,45.38,47.2,44.8,47.2,20805
2007-06-11,46.01,47,45.75,46.95,15190
2007-06-12,44.87,46.6,44.2,46.6,6255
2007-06-13,45.99,46.38,44.21,44.21,5534
2007-06-14,46.9,47.2,44.81,46.79,12433
2007-06-15,46.05,47.58,45.65,46.8,6639
2007-06-18,46.92,47.76,46,47.76,9403
2007-06-19,46.98,47.8,45.81,47,89028
2007-06-20,46.14,47.78,45.2,47.78,39948
2007-06-21,47.31,47.76,46.4,46.6,228964
2007-06-22,47.6,47.98,46.63,46.65,11212
2007-06-25,47.08,47.92,46.44,47.6,9088
2007-06-26,47.77,47.92,46.2,47,11563
2007-06-27,48.96,49.4,47.5,48.2,263415
2007-06-28,48.41,50,48.21,49.1,21078
2007-06-29,49.43,50,48.08,48.82,132273
2007-07-02,49.78,50.78,49.02,50,180765
2007-07-03,51.11,52.4,49.64,50,74355
2007-07-04,50.79,51.8,50.15,51.56,129687
2007-07-05,50.94,52,50.21,51,23721
2007-07-06,53.14,55.18,51.1,51.6,90049
2007-07-09,52.56,54.6,52.05,54.2,16722
2007-07-10,53.21,53.56,52.2,53,26416
2007-07-11,56.26,59.98,53,53,402360
2007-07-12,57.33,58.42,56.4,56.4,98396
2007-07-13,54.67,57.94,54.22,57.1,40975
2007-07-16,54.64,56,54.56,55.54,22292
2007-07-17,53.61,55.4,53.6,55,22164
2007-07-18,54.14,56.2,52.8,53.6,35987
2007-07-19,53.38,54.8,53,54.54,15615
2007-07-20,52.53,54.3,51.77,53.8,25689
2007-07-23,52.04,53.8,51.42,53.75,20372
2007-07-24,50.01,52.4,49.4,52.4,25400
2007-07-25,49.3,50.75,48.92,48.92,7732
2007-07-26,48.85,50.38,48.61,49.4,8713
2007-07-27,47.28,48.8,45.31,45.31,10246
2007-07-30,48,49.57,46.01,46.01,17202
2007-07-31,48.01,49.2,48,48.25,5325
2007-08-01,47.96,48.48,47.2,48,46792
2007-08-02,48.21,48.76,46,46,8508
2007-08-03,47.2,49.78,47,49.55,8396
2007-08-06,47.38,48,47,47.22,5126
2007-08-07,48.32,48.89,48.01,48.2,11143
2007-08-08,48.01,48.79,47.99,48,6945
2007-08-09,48.13,49.6,48,49.39,30412
2007-08-10,47.41,47.98,45.12,45.2,8189
2007-08-13,47.49,48.21,46.63,46.94,9577
2007-08-14,47.79,48.2,46.85,46.85,31991
2007-08-16,46.42,47.58,46.03,47.4,7990
2007-08-17,46.05,47.4,45.02,47,37468
2007-08-20,47.17,48.6,46.03,47.2,272007
2007-08-21,45.9,47.71,45.24,47.2,17807
2007-08-22,44.97,45.8,43.02,45.8,17971
2007-08-23,45.12,46.37,45,45.81,5095
2007-08-24,44.89,45.99,44.52,45.99,4053
2007-08-27,45.12,46.6,45,46.6,3113
