Date,Close,High,Low,Open,Volume
1995-01-04,206.023,206.023,206.023,206.023,50
1995-01-09,206.023,206.023,206.023,206.023,50
1995-01-30,181.942,181.942,181.942,181.942,50
1995-02-01,181.942,181.942,181.942,181.942,50
1995-02-07,179.267,179.267,179.267,179.267,50
1995-02-08,179.267,179.267,179.267,179.267,100
1995-02-09,173.916,173.916,173.916,173.916,50
1995-02-10,178.732,178.732,178.732,178.732,50
1995-02-13,173.916,177.929,171.775,177.661,200
1995-02-14,173.916,175.253,173.916,175.253,150
1995-02-15,176.591,176.591,176.591,176.591,50
1995-02-16,176.591,176.591,174.451,174.451,200
1995-02-17,177.153,177.153,177.153,177.153,50
1995-02-21,168.564,168.564,168.564,168.564,50
1995-02-22,173.916,173.916,171.24,173.916,200
1995-02-24,174.986,174.986,174.986,174.986,100
1995-02-28,176.591,177.126,176.591,177.126,150
1995-03-01,180.605,180.605,180.605,180.605,50
1995-03-03,183.013,183.013,183.013,183.013,100
1995-03-06,184.618,187.294,184.618,187.294,100
1995-03-07,181.942,187.294,179.267,179.267,350
1995-03-08,185.153,186.759,185.153,186.759,250
1995-03-09,185.956,185.956,184.618,184.618,200
1995-03-10,188.632,188.632,187.294,187.294,150
1995-03-14,181.942,181.942,181.942,181.942,200
1995-03-21,181.942,187.294,181.942,187.294,200
1995-03-22,176.511,181.942,176.457,181.942,450
1995-03-23,176.591,180.605,176.056,179.267,550
1995-03-24,187.16,190.504,187.16,187.294,350
1995-03-27,187.294,189.434,187.294,189.434,100
1995-03-28,189.434,189.969,188.632,189.969,650
1995-03-30,189.996,190.023,189.996,190.023,100
1995-03-31,187.294,192.11,187.294,192.11,600
1995-04-03,193.448,194.224,187.294,187.294,150
1995-04-04,187.294,187.294,187.294,187.294,100
1995-04-05,192.377,192.377,192.377,192.377,300
1995-04-06,193.715,193.715,192.511,192.511,550
1995-04-07,195.321,197.996,195.321,197.996,2350
1995-04-10,195.856,197.996,195.321,197.996,450
1995-04-11,188.899,188.899,188.899,188.899,50
1995-04-12,187.829,187.829,187.829,187.829,100
1995-04-18,189.996,189.996,189.969,189.969,200
1995-04-19,187.294,192.645,187.294,192.645,150
1995-04-20,181.942,187.294,181.942,187.294,250
1995-04-21,181.942,181.969,181.942,181.969,150
1995-04-24,181.942,181.942,181.942,181.942,100
1995-04-25,172.31,178.197,171.24,178.197,300
1995-04-26,173.969,173.969,173.969,173.969,100
1995-04-28,164.283,171.24,164.283,171.24,200
1995-05-02,168.564,168.564,163.481,163.481,150
1995-05-04,165.889,165.889,163.213,163.213,200
1995-05-05,162.946,163.213,160.537,161.875,300
1995-05-09,156.256,156.256,156.256,156.256,100
1995-05-10,163.213,163.213,160.537,163.213,350
1995-05-12,160.537,168.564,160.537,168.564,300
1995-05-15,163.213,163.213,163.213,163.213,50
1995-05-16,163.213,163.213,163.213,163.213,250
1995-05-18,165.889,165.889,160.537,160.537,200
1995-05-19,163.748,163.748,163.748,163.748,50
1995-05-22,166.424,166.959,165.889,165.889,250
1995-05-23,163.213,173.38,163.213,173.38,750
1995-05-24,165.487,165.487,165.487,165.487,200
1995-05-25,160.537,163.213,149.835,155.186,250
1995-05-26,152.511,152.511,152.511,152.511,50
1995-05-29,155.186,155.186,152.537,152.537,200
1995-05-30,153.581,154.651,153.581,154.651,300
1995-05-31,160.002,160.002,152.511,152.511,250
1995-06-01,147.159,160.537,147.159,160.537,350
1995-06-02,147.159,152.511,147.159,152.511,600
1995-06-05,155.186,155.186,152.511,152.511,100
1995-06-06,155.186,155.186,152.511,152.511,150
1995-06-12,147.159,149.835,147.159,149.835,100
1995-06-13,147.159,147.159,147.159,147.159,50
1995-06-15,147.186,148.765,147.159,148.765,300
1995-06-19,149.835,149.835,148.23,148.765,200
1995-06-20,150.905,151.975,149.835,151.975,1100
1995-06-21,152.511,152.511,152.511,152.511,50
1995-06-26,153.046,153.046,153.046,153.046,100
1995-06-27,153.046,153.046,153.046,153.046,50
1995-06-29,148.765,152.511,148.765,152.511,400
1995-06-30,148.23,148.283,147.694,147.694,1700
1995-07-10,147.159,147.159,147.106,147.106,200
1995-07-11,144.484,146.089,144.484,146.089,200
1995-07-13,144.484,144.51,144.484,144.51,100
1995-07-14,143.949,145.554,143.949,143.949,200
1995-07-18,152.377,152.511,149.835,149.835,550
1995-07-20,155.186,155.186,149.835,153.046,300
1995-07-21,155.186,155.186,150.37,150.37,200
1995-07-25,155.186,155.186,155.186,155.186,150
1995-07-26,155.186,155.186,155.186,155.186,50
1995-07-27,155.186,155.186,155.186,155.186,150
1995-07-28,149.835,149.835,149.835,149.835,50
1995-07-31,147.159,147.159,147.159,147.159,50
1995-08-01,147.159,148.765,147.159,148.765,100
1995-08-03,155.186,155.186,155.186,155.186,100
1995-08-04,155.186,155.186,154.116,155.186,250
1995-08-07,151.44,151.44,151.44,151.44,100
1995-08-14,139.132,141.273,139.132,141.273,150
1995-08-16,141.808,141.808,139.132,139.159,350
1995-08-17,145.019,145.019,144.484,144.484,5050
1995-08-18,141.808,141.808,141.808,141.808,50
1995-08-21,141.808,144.484,141.808,144.484,150
1995-08-22,139.668,141.808,136.457,136.457,200
1995-08-30,139.132,139.132,134.316,134.316,600
1995-08-31,137.527,137.527,136.457,136.457,250
1995-09-01,136.457,136.457,134.798,134.851,250
1995-09-05,139.159,139.159,136.457,136.457,300
1995-09-07,139.132,139.186,139.132,139.186,500
1995-09-08,134.851,139.132,134.851,139.132,1000
1995-09-11,141.808,141.808,141.808,141.808,100
1995-09-12,142.878,143.949,139.132,143.949,300
1995-09-13,141.808,141.808,141.808,141.808,50
1995-09-14,141.273,149.3,141.273,149.3,100
1995-09-15,140.203,143.413,139.132,143.413,350
1995-09-18,141.808,141.808,141.808,141.808,200
1995-09-19,139.132,141.808,139.132,141.808,200
1995-09-22,140.229,140.229,140.229,140.229,100
1995-09-26,141.808,144.484,141.808,144.484,850
1995-09-27,142.878,144.484,142.878,143.681,150
1995-09-28,138.062,140.738,138.062,140.738,150
1995-09-29,138.062,139.132,138.062,139.132,350
1995-10-04,140.203,140.203,137.527,137.554,350
1995-10-05,138.062,139.132,136.457,137.527,500
1995-10-06,138.597,138.597,138.33,138.062,150
1995-10-09,138.062,139.668,138.062,139.668,150
1995-10-10,137.527,138.597,136.591,138.062,350
1995-10-11,136.457,138.062,136.457,137.527,200
1995-10-12,136.457,136.992,136.457,136.992,650
1995-10-13,136.457,137.527,136.457,136.457,700
1995-10-16,128.965,134.851,128.965,136.457,300
1995-10-17,132.711,132.711,129.5,128.965,250
1995-10-18,129.5,129.5,129.5,129.5,100
1995-10-23,129.5,129.5,129.5,129.5,100
1995-10-26,130.972,130.972,130.972,130.972,50
1995-10-27,123.079,128.43,123.079,128.43,200
1995-10-30,128.43,128.43,124.684,124.684,650
1995-10-31,128.43,128.43,127.895,128.43,150
1995-11-01,127.895,127.895,127.895,128.43,50
1995-11-02,126.825,128.43,126.825,128.43,300
1995-11-03,123.105,125.754,123.105,125.754,100
1995-11-06,123.614,124.149,123.079,124.149,200
1995-11-08,126.878,130.035,126.878,127.36,700
1995-11-09,128.162,128.162,126.316,126.316,250
1995-11-10,126.825,127.36,126.825,127.36,350
1995-11-13,126.825,126.825,126.825,126.825,50
1995-11-14,120.403,120.403,120.403,120.403,50
1995-11-15,120.403,120.403,120.403,120.403,200
1995-11-16,115.587,128.43,115.587,120.403,150
1995-11-17,117.192,117.192,117.166,117.192,250
1995-11-20,112.376,113.446,112.376,113.446,600
1995-11-21,107.56,109.701,107.56,109.701,200
1995-11-22,107.56,108.095,107.025,107.293,350
1995-11-23,108.095,109.701,108.095,109.701,400
1995-11-24,103.012,107.025,103.012,107.025,350
1995-11-27,112.376,112.376,108.095,108.095,350
1995-11-28,107.56,112.109,107.025,112.376,800
1995-11-30,109.165,109.165,109.165,109.165,50
1995-12-01,117.727,117.727,114.517,114.784,350
1995-12-04,122.276,123.079,120.403,123.079,250
1995-12-05,123.079,123.079,117.727,118.263,350
1995-12-06,123.079,123.079,123.079,123.079,100
1995-12-07,129.5,129.5,125.754,123.079,150
1995-12-08,125.754,126.825,125.754,126.825,200
1995-12-11,125.219,133.781,125.219,133.781,800
1995-12-12,126.289,126.289,122.062,125.219,900
1995-12-13,124.283,126.289,124.283,126.289,300
1995-12-15,123.079,124.095,123.079,123.079,200
1995-12-18,123.079,124.149,123.079,123.614,450
1995-12-19,118.798,122.008,118.798,122.008,150
1995-12-20,118.798,120.403,118.798,120.403,200
1995-12-21,117.567,118.798,117.192,118.798,200
1995-12-22,117.727,117.727,117.727,117.567,200
1995-12-26,121.982,122.008,118.798,117.727,450
1995-12-27,125.754,125.754,120.403,121.982,500
1995-12-28,120.911,121.473,117.727,125.754,1100
1995-12-29,118.343,120.938,118.343,120.938,1200
1996-01-01,117.727,119.6,117.727,119.6,100
1996-01-02,116.898,117.727,116.202,117.727,800
1996-01-04,118.744,118.798,115.079,117.727,800
1996-01-05,119.333,119.333,116.122,118.744,400
1996-01-08,116.657,117.727,116.657,119.333,200
1996-01-09,112.51,113.982,112.51,116.657,150
1996-01-10,113.446,115.052,112.376,112.376,150
1996-01-11,115.186,115.186,112.51,113.446,250
1996-01-12,117.192,117.192,117.192,117.192,50
1996-01-15,115.052,115.052,115.052,115.052,100
1996-01-16,110.236,113.446,110.236,113.446,550
1996-01-17,110.771,110.771,110.771,110.771,50
1996-01-18,109.701,109.701,109.701,109.701,200
1996-01-19,107.025,108.095,107.025,108.095,300
1996-01-22,101.674,101.7,101.674,101.7,150
1996-01-23,104.349,104.349,104.349,104.349,100
1996-01-24,104.323,104.323,104.323,104.349,50
1996-01-25,101.674,102.744,101.674,102.236,200
1996-01-29,101.674,101.674,101.674,101.674,100
1996-01-30,104.349,104.349,101.674,101.674,200
1996-01-31,101.674,101.674,101.674,101.674,150
1996-02-01,104.884,106.463,104.644,104.884,250
1996-02-02,111.841,111.841,107.025,107.025,300
1996-02-05,122.008,122.008,113.714,117.727,600
1996-02-06,113.446,114.517,113.446,122.008,500
1996-02-07,109.299,110.771,109.299,110.236,200
1996-02-08,110.771,110.771,110.771,109.299,150
1996-02-09,115.319,115.319,110.798,110.798,300
1996-02-12,113.446,118.798,113.446,115.319,1250
1996-02-13,113.446,113.446,111.841,112.376,400
1996-02-14,116.202,117.727,115.587,115.587,1600
1996-02-15,121.473,122.008,118.263,118.263,950
1996-02-16,119.868,119.868,117.727,119.868,550
1996-02-19,120.002,120.403,120.002,120.403,450
1996-02-20,115.587,120.002,115.587,120.002,500
1996-02-22,118.263,118.798,117.727,117.754,850
1996-02-23,118.61,118.798,117.727,117.727,400
1996-02-26,117.166,117.166,117.139,117.139,100
