Date,Close,High,Low,Open,Volume
2010-06-30,36.575,37.45,35.925,37.125,1399
2010-07-01,36.4,36.45,35.9,36,4751
2010-07-02,35.975,36.95,35.55,36.4,17607
2010-07-05,35.625,35.925,35.45,35.75,11857
2010-07-06,34.95,36.225,34.625,36.1,35441
2010-07-07,35.175,35.625,34.5,35.625,35057
2010-07-08,35.225,35.625,35,35.5,32298
2010-07-09,35.525,35.9,34.75,35.375,29225
2010-07-12,36,36.85,35.35,35.525,76202
2010-07-13,36,36.45,35.575,35.7,21687
2010-07-14,36.275,37.1,35.9,36.125,114306
2010-07-15,36.25,36.5,35.85,36.5,103704
2010-07-16,37.475,38,36.025,36.2,231353
2010-07-19,37.475,39.45,37.275,37.5,246350
2010-07-20,38.375,39.225,37.9,38.375,324410
2010-07-21,39.625,40.45,38.625,39.9,577566
2010-07-22,39.825,41,39.375,40.25,409766
2010-07-23,40.7,41.4,40,40.2,379696
2010-07-26,41.375,41.75,40.75,41,198337
2010-07-27,43.775,44.275,41.375,41.75,808022
2010-07-28,45.175,46.2,43.675,44.225,741075
2010-07-29,46.525,47.475,45.375,45.75,678744
2010-07-30,47.825,48.475,46.5,47,1487656
2010-08-02,57.4,57.4,48.5,48.65,3584923
2010-08-03,57.9,63.15,56.55,59.825,2641126
2010-08-04,59.5,61.4,57.55,58.225,1068530
2010-08-05,56.775,60,56.125,59.7,677531
2010-08-06,56.975,58.7,55.025,57.425,887464
2010-08-09,58.925,59.2,57.5,57.625,608005
2010-08-10,60.55,61.7,57.825,59.7,1919076
2010-08-11,59.2,63.225,58,61,1519828
2010-08-12,58.7,59.5,58,58.5,417744
2010-08-13,58.575,59.8,58.25,59.175,221608
2010-08-16,58.075,59.9,57.05,58.95,270926
2010-08-17,57.75,59,57.55,58.5,258611
2010-08-18,57.75,58.475,57.5,58.475,122031
2010-08-19,58.75,59.45,57.575,58.25,381364
2010-08-20,58.65,59.35,57.95,58.75,195192
2010-08-23,59.95,60.65,58.25,58.95,590245
2010-08-24,58.95,61.5,58.725,59.975,551114
2010-08-25,58.725,59.5,58.25,59.5,284578
