Date,Close,High,Low,Open,Volume
2021-12-21,1393.65,1590,1282.6,1565,13396843
2021-12-22,1493.3,1505,1391.6,1394,2966238
2021-12-23,1458.1,1514,1442.95,1505,1123807
2021-12-24,1430.75,1453,1390.05,1441,837499
2021-12-27,1452.05,1469.8,1402.6,1419,461438
2021-12-28,1617.2,1640.5,1455,1460,2807900
2021-12-29,1674.8,1777,1622,1630,4256134
2021-12-30,1639.7,1735,1625.15,1664,1432500
2021-12-31,1676.25,1717.95,1650,1650.5,928755
2022-01-03,1820.5,1847,1681.25,1689.9,2137954
2022-01-04,1760.25,1876.4,1745,1835,1862096
2022-01-05,1766.35,1806.95,1746.05,1770.2,671339
2022-01-06,1726.9,1764,1713,1764,513999
2022-01-07,1674.6,1758.4,1658,1727,644523
2022-01-10,1745.25,1764,1647.35,1680,973111
2022-01-11,1720.1,1816.3,1706.3,1744.95,914366
2022-01-12,1711.5,1757.95,1703.5,1738.75,456389
2022-01-13,1699.15,1738,1685,1719.4,401234
2022-01-14,1735.3,1762.5,1685,1685,449571
2022-01-17,1855.05,1917.4,1710.1,1735,2057901
2022-01-18,1772.75,1884.6,1750,1855.05,612943
2022-01-19,1757.05,1781,1728,1770,464589
2022-01-20,1718.45,1775,1707,1756,446602
2022-01-21,1606.75,1720,1582.9,1712.4,767585
2022-01-24,1447.35,1635.8,1411.2,1600,1078560
2022-01-25,1484.4,1549.9,1412.5,1440.5,1055122
2022-01-27,1438.35,1525,1425,1480,630517
2022-01-28,1350.95,1397.8,1267.05,1290,2477717
2022-01-31,1359.95,1399,1345.1,1377.6,418116
2022-02-01,1456.5,1468,1352.45,1389,837122
2022-02-02,1607.5,1618,1470,1470,1502054
2022-02-03,1584.4,1655,1551.15,1609.85,1047352
2022-02-04,1505.6,1595,1495,1573.9,706092
2022-02-07,1522.3,1535,1462.65,1501.7,530856
2022-02-08,1485.9,1547,1466.8,1520,360058
2022-02-09,1503.45,1529.7,1482,1486,299515
2022-02-10,1503.8,1534,1485.7,1511,273948
2022-02-11,1473.85,1499.95,1463.5,1498,279886
2022-02-14,1404.2,1450.95,1390,1440,270466
2022-02-15,1432.1,1448,1371.55,1420,263358
2022-02-16,1471.65,1509,1429.3,1445.8,338634
2022-02-17,1464.55,1498.85,1455,1480,171137
2022-02-18,1431,1475.95,1422.85,1460,169330
2022-02-21,1387.45,1430,1384.55,1430,213705
2022-02-22,1346.2,1385,1316,1366.5,504195
2022-02-23,1421.75,1455,1380.35,1392,568546
2022-02-24,1366.35,1393.65,1331.15,1350,511305
2022-02-25,1410.1,1466.35,1400,1425,211089
2022-02-28,1397.65,1422.95,1373.95,1400,239030
2022-03-02,1387,1423.95,1372.2,1384,189406
2022-03-03,1403.95,1419.9,1385,1404.6,211408
2022-03-04,1452.45,1487.8,1390,1399,496364
2022-03-07,1392.3,1434.9,1382.05,1409,151465
2022-03-08,1418.55,1437.55,1390,1395.85,163586
2022-03-09,1475.1,1486,1425.95,1427.7,209786
2022-03-10,1504.8,1538,1495,1509,261772
2022-03-11,1509.8,1539,1490,1503.9,118380
2022-03-14,1510.95,1532,1494,1516.7,148795
2022-03-15,1464.25,1521.95,1452.05,1510.25,134234
2022-03-16,1519.55,1532.25,1488.05,1488.8,208362
2022-03-17,1533.7,1616.4,1525,1534,559720
2022-03-21,1577.15,1595,1550.05,1555,200660
2022-03-22,1572.95,1584,1555,1583,120182
2022-03-23,1575.5,1625,1566.65,1583,250409
2022-03-24,1544.35,1579,1530,1576,150347
2022-03-25,1531.7,1560.05,1528,1549.7,91976
2022-03-28,1475.65,1539.45,1451,1537.65,125577
2022-03-29,1515.5,1526.95,1486,1486,148609
2022-03-30,1524.2,1557.9,1506.65,1532,106975
2022-03-31,1510.7,1541.9,1501.05,1532.7,58590
2022-04-01,1522,1544,1511.1,1516,101566
2022-04-04,1546.55,1564,1514.05,1529,145338
2022-04-05,1585.7,1600,1533,1553,224654
2022-04-06,1586.1,1634.1,1560.05,1570,274252
2022-04-07,1547.3,1592,1540,1590,106042
2022-04-08,1544.4,1558.7,1532.65,1553.7,63301
2022-04-11,1652.1,1675,1538.05,1544.7,503409
