Date,Close,High,Low,Open,Volume
2003-07-09,164.3,170.4,155,164.9,35164284
2003-07-10,167,168.7,164.5,167,10464179
2003-07-11,173.35,174.85,166.25,167.75,11740117
2003-07-14,177.95,179.25,174.25,174.25,5982324
2003-07-15,176.2,200,173,200,6173689
2003-07-16,177.1,179.1,175.35,176.45,3759085
2003-07-17,172.2,178,170.65,177.5,3814181
2003-07-18,167.4,171.9,160,165,5375212
2003-07-21,164.9,169.4,163.05,169,3315845
2003-07-22,167.25,169.15,162.1,164,4627992
2003-07-23,174.7,178,169.8,170.5,13262249
2003-07-24,174.1,177,172.85,175.9,4305936
2003-07-25,173.65,175,172.1,174.4,2832967
2003-07-28,178.85,188,175.1,188,5415867
2003-07-29,180.3,182.9,179.1,179.95,5229181
2003-07-30,181.1,184.75,180.1,181.25,4632246
2003-07-31,180.85,183.65,179.65,181.7,3562717
2003-08-01,187.15,189,178.75,182,8027285
2003-08-04,197.6,198.5,185,187.85,9982429
2003-08-05,193.6,203.45,192.85,199,9651327
2003-08-06,191.6,197.5,189.85,191.5,7451054
2003-08-07,195.4,196,192.25,193.5,3223676
2003-08-08,197.15,198.9,196,197,2530289
2003-08-11,202.2,203.8,196,198.1,5651311
2003-08-12,210.45,212,203.5,203.8,8215213
2003-08-13,217.8,219.5,212,213,7839204
2003-08-14,216.55,224.4,215,223,6298655
2003-08-18,216.9,221,215.4,218.1,3382031
2003-08-19,215.65,219.9,215,219.85,3080091
2003-08-20,225,226.45,217.3,217.4,6049174
2003-08-21,227.95,228.9,223.3,227,4012069
2003-08-22,229.3,232.8,225.9,228.05,4436016
2003-08-25,221.05,231.45,216.1,230,4827198
2003-08-26,232.45,235,217,217,3968069
2003-08-27,234.3,237.6,233,235.4,2267859
2003-08-28,228.05,235.75,226,235.75,3554363
2003-08-29,235.4,238.5,231.5,232.05,3212067
2003-09-01,235.55,237,231.7,236.4,2478236
2003-09-02,226.55,234.85,224.1,234.85,3975812
2003-09-03,222.8,231.75,221,227.1,3945233
2003-09-04,221.55,225.7,218.45,223,3682478
2003-09-05,229.3,230,222.4,223.9,2971415
2003-09-08,228.75,233.9,227.15,231,1817991
2003-09-09,228.2,235,225.8,230,2034401
2003-09-10,227.8,230.4,225.8,227.75,1476667
2003-09-11,225.65,230.1,225,230,1092801
2003-09-12,220.35,228.5,219.1,228,2496597
2003-09-15,208.35,221.35,207.1,219,3469640
2003-09-16,208.5,210,195.1,207,4004037
2003-09-17,216.05,219.5,209.25,212.5,3800473
