Date,Close,High,Low,Open,Volume
2020-10-12,85.975,108.475,85.975,107.45,39929204
2020-10-13,90.725,92.35,82,86,18862564
2020-10-14,91.125,93.7,89.05,90.225,6178509
2020-10-15,85.925,91.375,85.5,90.975,3193483
2020-10-16,84.025,87.725,82.5,86.875,3072942
2020-10-19,84.15,86.425,83.75,85.375,1922584
2020-10-20,83.025,84.9,82.7,83.85,1262381
2020-10-21,85.825,88.85,83.225,83.45,4477916
2020-10-22,85.325,87.45,83.85,86.15,2003364
2020-10-23,87.7,89.5,86.2,87.075,3573971
2020-10-26,85.4,87.975,85,87.975,927445
2020-10-27,84.425,85.775,83.725,85.45,774974
2020-10-28,83.625,85.6,83.5,84.975,931754
2020-10-29,83.5,84.5,83.1,83.575,905814
2020-10-30,83.375,84.85,82.5,83.75,953836
2020-11-02,84.175,86.25,82.65,83.375,1208681
2020-11-03,83.3,84.975,83.025,84.6,610024
2020-11-04,82.9,83.95,82.55,83.25,719104
2020-11-05,84.625,86.1,83.225,83.375,1502066
2020-11-06,85.025,87,84.5,84.775,1994558
2020-11-09,89.725,90.975,85.7,86,6497799
2020-11-10,86.2,89.625,85.375,89.625,2379955
2020-11-11,87.225,88.175,86,86.5,1638130
2020-11-12,88.025,89,86.25,87.3,1423822
2020-11-13,91.575,92.25,88.75,89.7,6506244
2020-11-16,94.125,95.4,92,92.45,2954791
2020-11-17,91.95,96.4,90.625,95.7,3800604
2020-11-18,91.7,93.25,91.5,92,1690667
2020-11-19,92.275,93.5,90.8,91.6,2163334
2020-11-20,92.225,94.4,91.9,92.875,2696783
2020-11-23,91.1,92.975,90.375,92.5,1493301
2020-11-24,90.7,92.75,90.45,91.375,1478112
2020-11-25,89.9,91.675,89.6,91.4,1477833
2020-11-26,89.625,90.725,89.175,90.225,1109635
2020-11-27,89.5,91.325,89.05,89.875,1913953
2020-12-01,91,91.75,90.175,90.225,1309783
2020-12-02,90.45,91.5,90,91.4,797822
2020-12-03,92.375,93.875,90.85,90.9,2529433
2020-12-04,91.2,92.925,90.95,92.5,1040179
2020-12-07,95.675,97.1,91.35,91.4,4321530
2020-12-08,94.35,97.65,93.55,96.25,2381609
2020-12-09,97.95,99.45,94.9,95.775,5333254
2020-12-10,95.9,98.375,95,97.725,1429930
2020-12-11,94.375,97.3,94,96.25,1610208
2020-12-14,97.075,97.65,94.525,94.675,1642855
2020-12-15,95.525,97,95,97,1035176
2020-12-16,110.15,113.95,95.75,95.875,20419578
2020-12-17,103.675,111.95,102.5,109.025,9138262
2020-12-18,110.975,112.85,101.25,104.4,15138674
2020-12-21,102.325,112.375,98,110.5,4318465
2020-12-22,104.5,105.85,98.025,102.525,3005087
2020-12-23,107.3,109,104.5,104.875,1662354
2020-12-24,106.2,109.1,105.075,107.875,1053802
2020-12-28,107.9,108.95,106.525,107.175,1408447
2020-12-29,106.275,108.9,105.6,108.9,1004118
2020-12-30,110.575,112.85,105.4,107,4562158
2020-12-31,109.225,111.975,108.7,110.45,1680277
2021-01-01,113.825,117.425,109.1,109.475,8197913
