Date,Close,High,Low,Open,Volume
2012-03-19,3.93827,3.93827,3.93827,3.93827,10
2012-06-13,4.72593,4.72593,4.72593,4.72593,1
2012-07-09,4.96222,4.96222,4.96222,4.96222,525
2012-07-12,5.20902,5.20902,5.20902,5.20902,100
2012-07-13,5.46632,5.46632,5.46632,5.46632,400
2012-07-25,5.73937,5.73937,5.73937,5.73937,50
2012-08-16,6.02293,6.02293,6.02293,6.02293,100
2012-08-29,6.32224,6.32224,6.32224,6.32224,100
2012-09-21,6.30649,6.30649,6.30649,6.30649,50
2012-09-28,6.30123,6.30123,6.30123,6.30123,525
2012-10-18,6.6163,6.6163,6.6163,6.6163,30
2012-11-27,6.94711,6.94711,6.94711,6.94711,1
2012-11-29,7.29368,7.29368,7.29368,7.29368,1
2012-11-30,7.656,7.656,7.656,7.656,1
2012-12-03,8.03407,8.03407,8.03407,8.03407,1
2012-12-04,8.43315,8.43315,8.43315,8.43315,1
2012-12-05,8.85323,8.85323,8.85323,8.85323,1
2012-12-06,9.29432,9.29432,9.29432,9.29432,1
2012-12-07,9.75641,9.75641,9.75641,9.75641,1
2012-12-10,10.2395,10.2395,10.2395,10.2395,1
2012-12-11,10.7489,10.7489,10.7489,10.7489,1
2012-12-12,11.2845,11.2845,11.2845,11.2845,1
2012-12-13,11.8463,11.8463,11.8463,11.8463,1
2012-12-14,12.4344,12.4344,12.4344,12.4344,1
2012-12-17,13.0541,13.0541,13.0541,13.0541,1
2012-12-18,13.7052,13.7052,13.7052,13.7052,1
2012-12-19,14.3878,14.3878,14.3878,14.3878,1
2012-12-20,15.1072,15.1072,15.1072,15.1072,1
2012-12-24,15.8581,15.8581,15.8581,15.8581,1
2012-12-27,16.651,16.651,16.651,16.651,2
2013-01-01,17.4807,17.4807,17.4807,17.4807,1
2013-01-02,18.3523,18.3523,18.3523,18.3523,1
2013-01-03,19.266,19.266,19.266,19.266,1
2013-01-04,20.227,20.227,20.227,20.227,3
2013-01-07,21.2352,21.2352,21.2352,21.2352,2
2013-01-08,22.2959,22.2959,22.2959,22.2959,2
2013-01-09,23.4091,23.4091,23.3933,23.3933,4
2013-01-10,24.5748,24.5748,24.5748,24.5748,13
2013-01-11,25.8036,25.8036,25.8036,25.8036,9
2013-01-14,27.0901,27.0901,27.0901,27.0901,10
2013-01-15,28.4396,28.4396,28.4396,28.4396,16
2013-01-16,29.8468,29.8468,29.8468,29.8468,15
2013-01-17,31.2961,31.2961,28.3556,30.456,20
2013-01-18,32.6614,32.6614,31.2961,31.2961,19
2013-01-21,34.1212,34.1212,34.1212,34.1212,6
2013-01-22,32.6089,35.707,32.4514,35.707,29
2013-01-23,32.5564,34.1842,32.5564,34.1842,110
2013-01-29,32.5564,32.5564,32.5564,32.5564,2
2013-02-01,30.9811,30.9811,30.9286,30.9286,3
2013-02-04,32.3463,32.3463,32.3463,32.3463,1
2013-02-05,32.924,32.924,32.924,32.924,1
2013-02-06,33.6066,33.6066,33.6066,33.6066,2
2013-02-07,32.8714,34.6568,32.8714,34.6568,6
2013-02-08,31.5062,32.8714,31.5062,32.8714,17
2013-02-11,33.071,33.071,33.071,33.071,3
2013-02-12,34.7198,34.7198,34.7198,34.7198,2
2013-02-14,35.1504,35.707,34.6568,35.707,14
2013-02-19,35.644,35.644,35.644,35.644,1
2013-02-21,34.1317,34.1317,34.1317,34.1317,8
2013-02-27,34.1212,34.1317,34.1212,34.1317,3
2013-03-01,32.4199,32.4199,32.4199,32.4199,3
2013-03-04,30.8025,30.8025,30.8025,30.8025,1
2013-03-05,31.5062,31.5062,31.5062,31.5062,11
2013-03-25,30.3509,30.3509,30.3509,30.3509,1
2013-04-01,31.8212,31.8212,31.7162,31.7162,103
2013-04-05,30.9811,31.8212,30.9811,31.8212,30
2013-04-08,29.4583,29.4583,29.4583,29.4583,6
2013-05-10,30.456,30.456,30.456,30.456,10
2013-05-13,31.9263,31.9263,31.9263,31.9263,1
2013-05-14,31.9263,31.9263,31.9263,31.9263,1
2013-05-20,32.4514,32.5564,32.4514,32.5564,2
2013-05-21,30.9811,30.9811,30.9811,30.9811,1
2013-06-24,30.456,30.456,30.456,30.456,9
2013-08-29,30.456,30.456,30.456,30.456,5
2013-09-17,28.9332,28.9332,28.9332,28.9332,2
2013-10-07,27.5154,27.5154,27.5154,27.5154,1
2013-10-08,28.8229,28.8229,28.8229,28.8229,1
2013-10-18,27.4734,27.4734,27.4734,27.4734,5
2013-10-22,26.7802,26.7802,26.7802,26.7802,2
2013-10-24,25.478,25.478,25.478,25.478,10
2013-10-31,25.2049,25.2049,25.2049,25.2049,5
2013-11-08,23.9447,23.9447,23.9447,23.9447,6
2013-11-11,23.1045,23.9447,23.1045,23.9447,3
2013-11-13,22.1593,22.1593,22.1593,22.1593,8
2013-11-14,22.2644,22.2644,22.2644,22.2644,1
2013-11-20,21.1721,21.1721,21.1721,21.1721,5
2013-11-21,20.1639,21.0041,20.1219,21.0041,8
2014-01-24,21.1721,21.1721,21.1564,21.1564,20
2014-02-21,20.563,21.5292,20.1219,21.5292,20
2014-02-24,20.9989,21.0041,20.9989,21.0041,30
2014-02-25,21.0041,21.0041,21.0041,21.0041,10
2014-02-26,21.0041,21.0041,21.0041,21.0041,50
2014-03-03,19.9644,19.9644,19.9644,19.9644,15
2014-03-04,20.7941,20.9621,20.7941,20.7941,175
2014-03-05,21.5292,21.5292,19.7544,19.8069,271
2014-03-06,20.479,21.0041,20.479,21.0041,13
2014-03-07,20.9936,20.9936,19.4918,20.479,60
2014-03-10,19.9539,19.9644,19.9539,19.9644,31
2014-03-12,20.4528,20.4528,20.4528,20.4528,19
2014-03-13,20.7941,20.7941,20.7941,20.7941,2
2014-03-14,19.7544,19.7544,19.7544,19.7544,20
2014-03-18,18.9037,19.1137,18.9037,19.1137,34
2014-03-19,18.0635,18.3839,17.9585,18.3839,266
2014-03-20,17.2339,18.3734,17.1814,17.1814,80
2014-03-21,17.99,17.99,17.99,17.99,25
2014-03-24,19.4761,19.4761,19.4761,19.4761,1
2014-03-25,20.437,20.437,18.6201,18.6201,21
2014-03-26,21.4452,21.4452,19.9539,19.9539,31
2014-03-28,22.4481,22.4481,20.374,20.374,35
2014-03-31,22.9995,22.9995,21.3297,21.3297,51
2014-04-02,21.9493,21.9493,21.9493,21.9493,50
2014-04-03,21.5292,21.5292,21.4242,21.4242,120
2014-04-04,21.0041,21.0041,21.0041,21.0041,25
2014-04-09,20.0589,21.5187,20.0589,20.0589,54
2014-04-11,19.1137,19.4288,19.1137,19.4288,51
2014-04-15,19.8489,19.8489,18.1686,19.1137,336
2014-04-16,20.8256,20.8256,20.8256,20.8256,1
2014-04-17,19.7911,19.7964,19.7911,19.7911,210
2014-04-21,19.9539,20.7311,19.7911,19.7911,188
2014-04-22,20.9464,20.9464,19.9539,19.9539,52
2014-04-23,21.9493,21.9493,21.9493,21.9493,1
2014-04-25,21.9493,21.9493,20.8571,20.8571,41
2014-04-29,20.8571,20.8571,20.8571,20.8571,100
2014-04-30,21.0041,21.0041,19.8279,19.8279,101
2014-05-02,21.7865,21.7865,21.7865,21.7865,1
2014-05-05,21.7865,21.7865,20.6996,20.6996,101
2014-05-06,21.734,21.734,20.7153,20.7153,5
2014-05-07,21.7288,21.7288,20.668,20.668,54
2014-05-09,22.5479,22.5794,20.647,20.647,497
2014-05-12,22.1121,22.5742,21.4872,21.4872,99
2014-05-13,22.5742,22.5742,22.5742,22.5742,2
2014-05-14,21.4505,21.5187,21.4505,21.4505,217
2014-05-15,20.3792,20.3845,20.3792,20.3792,234
2014-05-16,21.0041,21.2142,19.3605,21.2142,283
2014-05-19,21.5292,21.5292,21.5292,21.5292,2
2014-05-20,21.9966,21.9966,20.479,20.479,305
2014-05-22,20.9043,22.0543,20.9043,21.0094,1050
2014-05-23,21.6342,21.6342,19.9539,20.8466,205
2014-05-26,21.1932,21.9493,21.0041,21.6342,35
2014-05-28,22.2434,22.2486,21.7393,21.7393,1534
2014-05-29,22.9417,22.9417,22.9417,22.9417,5
2014-05-30,23.3776,23.3776,21.8023,21.8443,202
2014-06-02,24.4698,24.4698,23.3146,23.3146,402
2014-06-03,25.2049,25.6723,23.7346,25.415,115
2014-06-04,26.4442,26.4442,26.4442,26.4442,1
2014-06-05,26.838,26.838,26.838,26.838,2
2014-06-06,26.3707,27.0901,26.3707,27.0901,4
2014-06-09,27.6204,27.6204,27.6204,27.6204,1
2014-06-10,28.3556,28.3556,26.2446,26.2446,51
2014-06-11,26.9903,28.3556,26.9903,28.3556,664
2014-06-12,26.1134,27.3053,25.9401,26.9903,314
2014-06-13,25.6355,26.2551,24.8164,26.2551,404
2014-06-16,26.6752,26.6752,26.6752,26.6752,1
2014-06-17,25.8456,26.6752,25.3625,26.6752,115
2014-06-18,25.2049,25.625,25.2049,25.625,40
2014-06-19,24.0497,25.2049,24.0497,25.2049,151
2014-06-20,25.0999,25.0999,25.0999,25.0999,10
2014-06-23,24.5748,25.52,24.5748,25.52,30
2014-06-25,24.7901,25.31,23.6296,23.6296,91
2014-06-26,24.7849,25.415,24.1652,24.9949,292
2014-06-27,25.415,25.415,23.6296,24.2598,82
2014-06-30,24.8216,25.9401,24.7901,25.9401,115
2014-07-01,26.0609,26.0609,25.625,25.625,407
2014-07-02,27.3053,27.3631,27.2948,27.3053,189
2014-07-03,28.6706,28.6706,28.5446,28.5446,65
2014-07-04,30.0884,30.0884,30.0884,30.0884,100
2014-07-07,31.5587,31.5902,31.5587,31.5587,35
2014-07-08,33.134,33.134,33.0815,33.0815,20
2014-07-09,31.7057,34.0267,31.4799,31.4799,735
2014-07-10,31.5062,31.5272,31.5062,31.5114,60
2014-07-14,30.456,32.9765,30.456,32.9765,43
2014-07-15,31.4852,31.5062,31.4012,31.4012,5
2014-07-16,31.4012,31.4012,31.4012,31.4012,10
2014-07-17,32.8662,32.8662,32.8662,32.8662,110
2014-07-18,34.5045,34.5045,31.2279,31.2279,386
2014-07-21,36.1166,36.1166,36.1166,36.1166,2
2014-07-22,37.8074,37.8074,37.8074,37.8074,1
2014-07-23,38.6738,39.3722,36.7572,37.8074,32
2014-07-25,38.7999,40.3069,36.8202,40.3069,37
2014-07-28,37.6026,38.7999,37.2876,37.2876,113
2014-07-30,38.7946,38.7946,38.7946,38.7946,2
2014-07-31,37.7234,40.6955,36.8622,38.0174,114
2014-08-01,39.5928,39.6085,37.2823,37.2823,642
2014-08-04,37.8074,39.3827,37.8074,39.3827,40
2014-08-05,38.3325,38.3325,38.3325,38.3325,30
2014-08-06,37.8074,38.3325,37.8074,37.8074,6
2014-08-07,35.917,35.917,35.917,35.917,27
2014-08-08,34.1317,35.917,34.1317,35.917,126
2014-08-11,34.1317,34.1317,32.4514,34.1317,990
2014-08-12,34.2367,34.2367,34.2367,34.2367,25
2014-08-13,35.9433,35.9485,34.6673,34.6673,541
2014-08-14,37.7391,37.7391,37.6761,37.7391,538
2014-08-18,39.6243,39.6243,39.6243,39.6243,71
2014-08-19,41.6039,41.6039,41.6039,41.6039,122
2014-08-20,43.6833,43.6833,43.6833,43.6833,127
2014-08-21,45.8625,45.8625,45.8625,45.8625,213
2014-08-22,48.1519,48.1519,44.1086,48.1519,165
2014-08-25,50.5569,50.5569,49.4122,50.4099,466
2014-08-26,53.0826,53.0826,52.9304,52.9304,516
2014-08-27,55.7344,55.7344,53.0826,53.0826,271
2014-08-28,56.6586,58.5175,54.6107,58.5175,552
2014-09-01,57.3412,59.4889,56.7111,56.7111,298
2014-09-02,57.2362,59.0216,55.4509,55.4509,1150
2014-09-03,56.9212,58.2864,54.6107,54.6107,1226
2014-09-04,56.8476,56.8791,54.4007,55.3458,525
2014-09-05,57.2362,57.2362,55.1358,55.1358,95
2014-09-08,55.7554,57.5513,55.6609,56.8161,524
2014-09-09,57.7613,57.7613,54.6107,56.186,701
2014-09-10,56.8529,56.9212,55.1358,55.1358,780
2014-09-11,55.1358,57.7613,54.8207,54.8207,1425
2014-09-12,56.8476,57.8663,55.0308,55.8709,1931
2014-09-15,57.2362,59.5467,55.2776,56.186,1293
2014-09-16,56.186,60.0718,54.8207,60.0718,1477
2014-09-17,57.4463,57.4463,55.0308,56.186,1025
2014-09-18,56.186,57.7613,55.6609,56.7111,1005
2014-09-19,56.7111,58.6015,56.186,58.6015,900
2014-09-22,56.186,56.1965,56.186,56.186,690
2014-09-23,55.6609,56.396,54.6107,54.6107,645
2014-09-24,55.4509,55.7659,54.6107,55.7659,1700
2014-09-25,55.5559,56.7111,55.5559,56.7111,251
2014-09-26,55.1358,55.6609,54.6107,55.5559,500
2014-09-29,55.6609,55.6609,55.1358,55.2408,786
2014-09-30,56.7111,58.3389,55.6609,55.6609,555
2014-10-01,55.6609,56.7111,55.1358,55.6609,751
2014-10-07,55.6609,56.7111,55.6609,56.7111,61
2014-10-08,54.0856,55.6609,52.9304,55.6609,342
2014-10-09,54.0856,54.0856,53.0354,53.0354,968
2014-10-10,53.7705,53.7705,53.5605,53.7705,306
2014-10-13,53.0354,54.6107,52.9304,54.6107,145
2014-10-14,53.5605,53.5605,52.5103,53.0354,400
2014-10-16,52.5103,56.186,52.5103,56.186,29
2014-10-17,53.0354,53.0354,50.4099,50.4099,159
2014-10-22,52.5313,53.5605,51.4601,52.5103,55
2014-10-27,51.4601,52.7256,51.4601,52.7256,300
2014-10-28,52.5103,52.5103,51.4601,51.4601,35
2014-10-29,53.5605,54.6107,52.0902,54.6107,250
2014-10-30,53.8966,54.6107,52.7256,52.7256,136
2014-10-31,56.5011,56.5011,53.5605,56.4906,366
2014-11-03,58.2864,58.2864,58.2864,58.2864,21
2014-11-05,57.7246,57.7613,55.4509,57.7613,212
2014-11-07,58.2864,58.2864,57.7613,57.7613,42
2014-11-10,58.2864,58.2864,58.1814,58.1814,120
2014-11-11,56.7111,56.7111,56.7111,56.7111,100
2014-11-12,59.5467,59.5467,56.7111,56.7111,121
2014-11-13,62.524,62.524,58.8115,62.524,238
2014-11-14,65.6484,65.6484,65.6484,65.6484,213
2014-11-17,68.9303,68.9303,68.9303,68.9303,684
2014-11-18,72.3749,72.3749,72.3749,72.3749,505
2014-11-19,75.9929,75.9929,73.6194,73.6194,1720
2014-11-20,76.8751,79.7894,72.1964,79.7894,1224
2014-11-21,79.4113,80.7083,74.0395,78.5554,781
2014-11-24,77.5052,82.5357,75.7198,79.2905,598
2014-11-25,77.7152,78.6604,74.0395,77.5052,1041
2014-11-26,75.0897,78.6604,74.197,74.2495,1185
2014-11-27,74.5646,74.5646,72.4642,73.6194,1824
2014-11-28,76.665,77.7152,72.8843,72.8843,846
2014-12-01,75.0687,77.7152,73.4094,75.6148,1113
2014-12-02,76.434,77.605,74.5646,75.0897,390
2014-12-03,77.9778,79.2905,76.455,79.2905,770
2014-12-04,76.665,78.0303,76.665,78.0303,45
2014-12-05,77.6995,77.7152,72.8318,77.7152,3101
2014-12-08,80.7608,81.5747,79.8156,79.8156,1170
2014-12-09,77.8675,84.1215,76.9801,84.1215,603
2014-12-10,81.7585,81.7585,81.5957,81.5957,932
2014-12-11,82.8087,85.5918,80.3407,85.5918,350
2014-12-12,81.1862,85.9593,80.8658,85.9593,505
2014-12-15,83.9114,83.9114,79.0805,79.8156,175
2014-12-16,79.8156,85.0667,79.8156,80.3407,466
2014-12-17,75.8301,77.1901,75.8249,75.8301,272
2014-12-18,76.8383,79.6003,75.6148,79.5793,632
2014-12-19,76.0244,77.4842,75.7198,76.665,215
2014-12-22,79.2905,79.2905,75.4888,75.4888,110
2014-12-23,78.7654,81.3909,75.6148,76.665,395
2014-12-24,76.7805,81.3909,75.6148,81.3909,484
2014-12-26,78.7444,79.0595,75.6148,78.4294,522
2014-12-29,80.8291,81.2439,79.7106,80.1307,203
2014-12-30,82.9768,84.0165,80.7608,80.7608,351
2014-12-31,86.81,87.1041,83.1763,86.642,991
2015-01-01,91.1474,91.1474,88.2225,90.8848,610
2015-01-02,95.7,95.7,94.5185,95.7,836
2015-01-05,95.7,95.7,95.65,95.65,7284
2015-01-06,100.4,100.45,100,100.45,13365
2015-01-07,95.4,105.4,95.4,101.05,23225
2015-01-08,100.15,100.15,90.65,94.95,12112
2015-01-09,100.9,105.15,100.05,104.5,20537
2015-01-12,96.7,102.4,96.05,102.4,5715
2015-01-13,94.25,99,93,94,8557
2015-01-14,89.55,93.1,89.55,91,10172
2015-01-15,91.8,93.5,88,89.55,10223
2015-01-16,91.85,95.95,88.5,91.95,13473
2015-01-19,90.35,96.25,89,96.25,11954
2015-01-20,88.4,92,87.55,90,4220
2015-01-21,85.3,87.4,84,86.8,6523
2015-01-22,81.1,89.45,81.05,89.45,7764
2015-01-23,77.05,81.1,77.05,81.1,8445
2015-01-27,78.7,80.9,75.15,77.5,10361
2015-01-28,81.1,82.6,75,79.5,25056
