Date,Close,High,Low,Open,Volume
2010-12-15,232.525,295,228.325,282.5,65132460
2010-12-16,230.75,239.7,225.175,232.5,19177676
2010-12-20,220.9,230.025,220.175,230.025,5924495
2010-12-21,217.8,225.425,216.625,222.475,4233677
2010-12-22,230.55,235.3,215.7,218.25,20777816
2010-12-23,224.525,232.7,223.525,231,5168953
2010-12-24,224.425,228.9,223.5,225.475,3320313
2010-12-27,220.125,227.2,219.025,225.975,1779288
2010-12-28,219.825,222.35,218,220.5,1744852
2010-12-29,220.3,224.35,219.25,219.825,1658115
2010-12-30,225.675,226.85,220.5,221,3403241
2010-12-31,224.85,228.675,224.075,224.9,1629373
2011-01-03,226.975,230.25,225.4,227,1777912
2011-01-04,227.525,229,226.375,228.35,1025761
2011-01-05,224.175,228,223.5,227,937625
2011-01-06,224.175,226,222.6,224.75,595362
2011-01-07,217.65,224.9,216.75,224.55,707114
2011-01-10,215.9,219.475,214.1,218,948632
2011-01-11,216.5,219.85,215,215,744466
2011-01-12,217.575,218.8,214,217.55,510564
2011-01-13,221.075,222.75,216,218.05,863238
2011-01-14,217.825,220.975,216.9,220,897773
2011-01-17,217.525,219,215.1,217,367018
2011-01-18,217.35,219.35,215.25,218.5,303427
2011-01-19,217.4,219,216,219,243743
2011-01-20,217.5,221.35,215.55,216.5,471541
2011-01-21,216.4,219.8,216,217.625,313974
2011-01-24,215.425,218,215.125,217.425,194338
2011-01-25,214.1,217.25,213.575,215.975,195702
2011-01-27,212.35,216.375,211.75,215.1,227057
2011-01-28,206.2,213,205.875,212,502268
2011-01-31,204.475,206,197.1,205,1332061
2011-02-01,205.125,208.5,203.025,206.75,472152
2011-02-02,204.975,207.425,204.6,205.75,291255
2011-02-03,208.475,209.275,205,205.575,273014
2011-02-04,209.5,212.125,207.5,207.5,261444
2011-02-07,209.875,211.25,205.1,209.9,314251
2011-02-08,207.2,210.5,206.375,209.5,244007
2011-02-09,204,209.45,202.625,206.325,455154
2011-02-10,196.125,204,193,204,613118
2011-02-11,202.525,203.3,188.5,197.5,463945
2011-02-14,206.8,207.95,200.05,204,224999
2011-02-15,204.975,208.5,204.5,207.5,366924
2011-02-16,210.5,211.2,204.5,205.025,285325
2011-02-17,207.25,209.5,206.9,209.5,121653
2011-02-18,204.15,210,203.525,208.95,197375
2011-02-21,206.15,207,203,204.5,111385
2011-02-22,202.95,206.475,201.675,205.5,163351
2011-02-23,204.075,205.225,200.6,200.6,121670
2011-02-24,201.125,204.5,197.525,203.95,514569
2011-02-25,198.4,203.55,197.475,201.75,149803
2011-02-28,197.125,204.5,196.225,199,363442
