Date,Close,High,Low,Open,Volume
2022-03-28,29.5,32.5952,29.5,31.0476,30152894
2022-03-29,28.0476,28.5714,28.0476,28.0476,76737648
2022-03-30,29.3571,29.4286,26.6667,26.6667,81796400
2022-03-31,30.6905,30.8095,28.2381,28.8095,14995715
2022-04-01,30.8333,32.2143,29.1667,30.4048,61777136
2022-04-04,31.4524,31.881,30.7381,31.619,6653848
2022-04-05,31.9286,32.7619,30.5714,31.4286,21329176
2022-04-06,32.5,32.7381,31.6667,31.9286,7671586
2022-04-07,32.1429,32.8333,31.5238,32.8333,5612799
2022-04-08,33.7381,33.7381,32.1429,32.381,20348714
2022-04-11,34.7381,35.619,33.1429,34.5238,21456840
2022-04-12,33,34.9286,32.381,34.7381,6975535
2022-04-13,34.7857,35.1429,32.8571,33.0952,8610420
2022-04-18,32.8095,34.5238,32.6429,34.2857,8575398
2022-04-19,31.2143,33.3333,30.4762,32.9762,6009175
2022-04-20,31.6429,31.8571,30.7619,31.3095,5191796
2022-04-21,32.8333,33.1905,31.7619,31.7619,4794597
2022-04-22,33.8333,34.0952,31.9048,32.5714,10983404
2022-04-25,33.3571,34.3333,33.0238,33.119,6143817
2022-04-26,35.381,36.1905,32.8333,34,15921204
2022-04-27,34.0714,35.2143,33.8571,35,7375668
2022-04-28,33.6429,34.5952,32.8571,34.4286,4471669
2022-04-29,33.0952,33.8095,32.5476,33.6905,4832692
2022-05-02,33.1429,33.2857,31.8571,32.4762,2784419
2022-05-04,32.0952,33.5238,31.9048,33.4762,2785058
2022-05-05,33.119,33.3095,31.7857,32.0952,6621627
2022-05-06,32.1429,32.3333,31.0952,31.9048,3757367
2022-05-09,31.4762,32.0238,30.9524,31.4286,4048732
2022-05-10,30.881,32,30.5714,31.4286,4323892
2022-05-11,30.0476,31.4048,29.5476,31.381,6219377
2022-05-12,28.7619,29.5714,27.9286,29.1667,7162504
2022-05-13,29.7381,30.7619,29.1429,29.1429,3354650
2022-05-16,29.2381,30.2857,28.381,30.2857,3442740
2022-05-17,30.1667,30.4286,28.7143,29.2381,2973933
2022-05-18,30.1429,30.8095,29.7143,30.8095,2230813
2022-05-19,29.5952,29.9524,28.6905,29.4762,2455948
2022-05-20,29.5476,30.119,29.3571,30,4453522
2022-05-23,29.7619,30.1429,29.1905,29.8571,4399785
2022-05-24,29.881,30.2381,29.1667,30.2381,5199484
2022-05-25,28.8095,30.2143,28.6429,30.0952,4325276
2022-05-26,29.4762,29.7619,28.1905,29.2857,4228760
2022-05-27,30.381,30.5952,28.8095,29.0476,6555193
2022-05-30,30.7381,31.1429,29.881,30.7143,3113045
2022-05-31,31.2381,31.5952,30.4286,30.4762,7387067
2022-06-01,30.7143,31.7381,30.2619,31.5238,4778728
2022-06-02,30.2619,30.7381,30.1905,30.7143,3058644
2022-06-03,30.5238,30.9286,29.8095,30.5714,7358007
2022-06-06,31.1905,31.4048,29.9048,30.5476,2595473
2022-06-07,31.0714,31.2857,30.0476,30.7619,4170043
2022-06-08,31.119,31.3333,30.5952,30.9524,4723580
2022-06-09,31.0238,31.3571,30.5238,30.619,2549272
2022-06-10,30.8333,31.5238,30.4286,30.5714,19296150
2022-06-13,30.4762,31,30.1429,30.2381,2797579
2022-06-14,30.0238,30.7381,29.7619,30.4286,4864551
2022-06-15,29.7857,30.5,28.8571,30.119,13195458
2022-06-16,29.7381,30.4048,28.8571,30.1429,6236325
2022-06-17,28.5714,29.5952,28.1905,29.119,10955082
2022-06-20,28.8333,29.4048,28.2381,28.7143,2177706
2022-06-21,30.3333,30.4524,28.9048,29.2619,2497242
2022-06-22,30.4524,30.5238,29.6429,30.2857,1888007
2022-06-23,31.5952,31.881,30.0714,30.4762,2742269
2022-06-24,32.3571,32.4286,31.3095,31.8571,2235448
2022-06-27,32.0476,33.0952,31.9048,32.6667,7084828
2022-06-28,32.7857,33.0476,31.0476,31.6429,9168694
2022-06-29,33.2619,33.5238,32.0238,32.381,7327508
2022-06-30,33.5238,34.1905,33.0476,33.1905,4385425
2022-07-01,33.3571,33.6429,32.8333,33.6429,2203462
2022-07-04,35.2857,35.4762,33.2381,33.2857,5417415
2022-07-05,36,37.0476,35.2619,35.4048,9406058
2022-07-06,37.0476,37.381,35.7143,35.9524,6089135
2022-07-07,35.6429,37.8095,35.4286,37.4048,4719178
2022-07-08,35.0952,36.119,34.8095,35.6429,3106973
2022-07-11,37.0476,37.619,34.3571,34.3571,6043447
2022-07-12,36.8333,37.9286,36.5714,37.0952,6282682
2022-07-13,36.8333,37.2619,36.5238,36.9524,2055050
2022-07-14,37.5714,37.7619,36.6667,36.6667,4664221
2022-07-15,38.0476,38.7143,37.6667,37.7619,5393530
2022-07-18,37.9286,38.881,37.7619,38.3333,3435504
2022-07-19,36.4286,38.0476,35.9762,38.0476,3825906
2022-07-20,37.0476,37.5714,36.4762,37,2890505
2022-07-21,38.8333,39.381,36.6667,37.0238,5511842
2022-07-22,38.381,38.9048,37.9286,38.881,2430643
