Date,Close,High,Low,Open,Volume
2011-05-06,175.9,198.9,161.4,196.6,60613616
2011-05-09,171.35,179.75,168.75,174,6129552
2011-05-10,176.35,177.4,169.5,171,5514954
2011-05-11,175.1,178.7,172.4,177,3348158
2011-05-12,169.05,174.4,165.05,174,2719399
2011-05-13,166.05,170.7,165.3,168,998959
2011-05-16,160.5,165.85,159.1,165.85,1530085
2011-05-17,159.9,162,155.8,161,875597
2011-05-18,159.15,163,158.2,159.5,567443
2011-05-19,155.5,160.3,155,160.15,276867
2011-05-20,158,162.4,155.15,156,731694
2011-05-23,158,159.9,155.5,157.85,343551
2011-05-24,161.2,162.25,156.6,158,568661
2011-05-25,155.45,163.8,154.75,160.6,601050
2011-05-26,157.6,160.4,156,157.1,512762
2011-05-27,172.9,175,158.9,158.9,4218741
2011-05-30,175.6,176.9,171.45,171.45,1223067
2011-05-31,175.45,176.9,171.05,176,604495
2011-06-01,180.85,181.75,172.95,175.75,1963698
2011-06-02,175.8,183.2,175.1,179.9,1546385
2011-06-03,177.9,178.85,171.35,174,1330147
2011-06-06,175.25,179.4,175,178.5,347137
2011-06-07,174.3,176.75,173.35,175.5,204739
2011-06-08,170.3,175.45,168,174.4,465391
2011-06-09,168.2,171.25,167.75,170.5,228604
2011-06-10,164.35,169.4,162.1,167.55,288082
2011-06-13,167.4,169.2,163.05,166.5,292508
2011-06-14,164.2,168.2,163.05,168.2,283959
2011-06-15,161.3,163.15,159.5,163.15,439170
2011-06-16,156.6,160.4,155.4,160.4,292400
2011-06-17,158.05,160.9,154.75,156.3,246344
2011-06-20,154.25,159,153.95,158.55,302130
2011-06-21,153.5,156.5,153.2,155.85,195394
2011-06-22,152,155.6,151.5,155,369374
2011-06-23,150.5,153.4,150.35,152,342393
2011-06-24,154.2,155,151.5,151.5,185985
2011-06-27,161.6,162.75,153.3,154.5,433739
2011-06-28,164.75,166.45,162.05,162.05,284992
2011-06-29,159.6,166.4,158.95,163,191610
2011-06-30,157,161.35,155,160.15,316850
2011-07-01,157.65,161.2,156.6,158.1,436070
2011-07-04,165.85,166.7,157,157.5,539440
2011-07-05,163.3,166.95,162.7,165.85,194339
2011-07-06,162.1,163.5,161.05,162.95,85854
2011-07-07,167.6,168.15,162.15,163,345960
2011-07-08,166.35,173.8,165,167.65,415999
2011-07-11,162.75,168.5,162,166,136170
2011-07-12,163.4,164.85,160,161.4,236220
2011-07-13,166.2,167,158,163.3,139147
2011-07-14,172.05,174.5,163,164.05,621576
2011-07-15,171.65,173,169.1,172,178941
2011-07-18,173.15,173.8,170,170,232122
2011-07-19,175.25,176,171.15,173.5,303391
2011-07-20,174,176.5,171.65,175.85,459548
2011-07-21,176.2,180.4,171.65,172.4,830956
2011-07-22,178.6,179.65,175.4,177.95,702506
2011-07-25,185.4,186.25,176.55,178,1433120
2011-07-26,182.4,191.65,180.55,185.25,1818056
2011-07-27,187.2,194.4,181.9,182.9,2979777
2011-07-28,186.95,192.45,185.95,189.4,1589669
2011-07-29,185.35,187.45,182.3,187.05,455865
2011-08-01,190.6,192.85,186.1,188,1132886
2011-08-02,184.95,190.55,182.7,189.95,383466
2011-08-03,186.25,188,177.5,179.95,614544
2011-08-04,189.3,190.9,186.6,187.05,593303
2011-08-05,188.05,190.95,179,183.2,969290
2011-08-08,188.8,190,181.1,182.5,490168
2011-08-09,183.2,188.8,181.1,185.1,369035
2011-08-10,188.95,190,184.6,188,416888
2011-08-11,194.2,198.4,185.4,185.65,2215486
2011-08-12,188.4,196.7,186.05,196,832097
2011-08-16,183.45,192.75,182.3,188,210663
2011-08-17,179.5,187.5,177.5,183.2,264162
2011-08-18,169.65,180.4,165.25,180,385971
2011-08-19,176.55,177.5,165.1,168.05,383366
2011-08-22,180.3,181.7,176.05,177.95,176545
2011-08-23,180.3,184.65,178.45,181.7,383793
2011-08-24,179.25,180,156.9,156.9,103210
2011-08-25,170.5,179.25,169,179,758353
2011-08-26,169.15,173.85,167.5,171.1,354815
2011-08-29,169.35,172.5,166.05,170,194875
2011-08-30,179.15,179.7,170.05,170.05,379682
2011-09-02,186.1,189.9,174.2,182.15,262654
2011-09-05,181.85,188,181.2,186.7,218302
2011-09-06,182.55,185.45,180,182,146282
2011-09-07,182.4,186.5,181.75,183.5,78864
2011-09-08,176.25,184.55,175.7,182.5,262987
2011-09-09,179.05,182,175,177.95,106637
2011-09-12,176.35,179,174.05,176.1,49661
2011-09-13,175.35,180.75,174.85,177.75,45513
2011-09-14,172.5,179.9,169.55,176.1,163630
2011-09-15,173.4,176,171.9,173.9,91505
2011-09-16,175.05,177.9,173.25,175.15,231405
