Date,Close,High,Low,Open,Volume
2006-11-21,29.6275,31.19,22.5525,22.5525,11598927
2006-11-22,29.3275,30.75,27.5,30.75,5039857
2006-11-23,30.705,31.4,29.605,29.7,4652534
2006-11-24,29.185,31.0125,28.7625,31,2099368
2006-11-27,30.1175,30.6875,28.25,29.24,2856682
2006-11-28,29.83,30.1,29,29.5,1444453
2006-11-29,30.9575,31.65,30.215,30.25,3441902
2006-11-30,31.5475,32.175,30.6,31.1,2373149
2006-12-01,31.71,32.35,31.45,31.65,1078554
2006-12-04,30.1325,31.9,29.9,31.5,625401
2006-12-05,29.9125,30.795,29.615,30.25,945684
2006-12-06,29.59,30.7425,29.3125,30.1225,784331
2006-12-07,29.995,30.3475,29.3025,29.75,827189
2006-12-08,29.1525,30.2375,28.9075,30.22,438401
2006-12-11,28.0425,29.3275,26.5675,29.3275,528699
2006-12-12,26.77,28.3925,25.2525,28.0025,586208
2006-12-13,26.58,27.495,25.4,27.2,410244
2006-12-14,27.1375,27.47,26.75,27.065,220211
2006-12-15,28.885,29.15,27.325,27.45,667825
2006-12-18,28.2775,29.2,27.35,29.2,651818
2006-12-19,28.0875,28.3875,27.5125,28,277289
2006-12-20,28.885,29.595,27.8525,28.3375,521029
2006-12-21,29.4375,30.225,28.0775,28.65,716818
2006-12-22,29.7825,30.9,29.4,29.4,639080
2006-12-26,29.67,30.6375,29.535,29.9875,266382
2006-12-27,29.42,30.25,29.2525,29.95,175074
2006-12-28,28.6025,29.72,28.325,29.715,192980
2006-12-29,29.0175,29.335,28.74,29.165,165940
2007-01-02,29.49,29.75,28.85,29.105,125064
2007-01-03,30.8025,31.49,29.64,29.64,1313494
2007-01-04,32.98,34.09,30.915,31,3009330
2007-01-05,34.3875,35.085,32.935,33.075,1871500
2007-01-08,36.18,36.745,34.25,35.005,1756991
2007-01-09,34.115,37.5,33.75,36.8,1285839
2007-01-10,33.965,34.4525,32.925,33.9,724086
2007-01-11,34.9175,35,33.63,34.2,492882
2007-01-12,33.845,35,33.565,35,239916
2007-01-15,33.805,34.35,33.605,34.14,184178
2007-01-16,34.7925,36.1,33.6725,34,507549
2007-01-17,34.56,35.185,34.355,35,279563
2007-01-18,34.825,35.99,34.6,34.85,406875
2007-01-19,34.27,35.2,33.85,35.195,218035
2007-01-22,35.0825,35.55,33.85,34.4975,159391
2007-01-23,35.5275,36.2475,35.25,35.385,328998
2007-01-24,36.36,36.7,35.425,35.845,260188
2007-01-25,36.66,37.75,36.2125,36.725,405158
2007-01-29,37.105,37.75,35.75,36.835,209270
2007-01-31,34.805,38,34.4,37.9,183711
2007-02-01,34.2075,35.2125,34.1,35.2125,98956
2007-02-02,36.5525,36.95,34.3,34.6,323417
2007-02-05,36.0425,36.6,35.8,36.5,115061
2007-02-06,36.175,36.9,36,36.1,140271
2007-02-07,35.13,36.8,34.7575,36.8,46094
2007-02-08,36.995,37.245,35.215,35.4,214717
2007-02-09,35.1075,37.37,34.55,37.3,85430
2007-02-12,32.615,35.25,31.75,35.25,74220
2007-02-13,32.2375,33.9,31.8075,32.75,74563
2007-02-14,31.7625,32.3,30.53,31.14,41235
2007-02-15,32.775,33.4,32.22,32.22,81788
