Date,Close,High,Low,Open,Volume
1996-04-08,2.49831,2.49831,2.49831,2.49831,500
1996-04-18,2.74554,2.74554,2.74554,2.74554,100
1996-05-02,2.4853,2.4853,2.4853,2.4853,1000
1996-05-06,2.29012,2.29012,2.29012,2.29012,100
1996-05-07,2.49831,2.49831,2.49831,2.49831,500
1996-05-13,2.55036,2.55036,2.55036,2.55036,500
1996-05-14,2.29012,2.29012,2.29012,2.29012,100
1996-05-17,2.51913,2.51913,2.51133,2.51133,100
1996-05-22,2.39422,2.39422,2.39422,2.39422,1000
1996-05-23,2.29012,2.29012,2.29012,2.29012,300
1996-05-24,2.39422,2.39422,2.39422,2.39422,300
1996-05-27,2.55036,2.55036,2.39422,2.39422,250
1996-05-28,2.31875,2.70651,2.31615,2.55036,350
1996-05-29,2.33176,2.56337,2.24068,2.31875,3950
1996-05-30,2.39422,2.39422,2.39422,2.33176,150
1996-05-31,2.31615,2.31615,2.31615,2.31615,500
1996-06-03,2.34217,2.34477,2.31615,2.34217,1600
1996-06-04,2.32916,2.32916,2.18603,2.18603,350
1996-06-05,2.23807,2.25109,2.23807,2.25109,150
1996-06-06,2.08193,2.08193,2.08193,2.08193,100
1996-06-07,2.18082,2.18342,2.16,2.18342,700
1996-06-10,2.13398,2.13398,2.12357,2.12357,500
1996-06-11,2.13918,2.29012,2.02988,2.29012,2450
1996-06-12,2.13398,2.16,2.13398,2.14699,1600
1996-06-13,2.16,2.16,2.13398,2.13398,1000
1996-06-14,2.23807,2.23807,2.18603,2.18603,700
1996-06-18,2.21205,2.21205,2.21205,2.21205,500
1996-06-19,2.00386,2.10795,2.00386,2.10795,200
1996-06-21,1.82169,1.82169,1.82169,1.82169,50
1996-06-25,1.96482,1.96482,1.96482,1.96482,50
1996-06-27,1.95181,1.95181,1.95181,1.95181,50
1996-06-28,1.88675,1.97783,1.88675,1.97783,150
1996-07-01,1.92578,1.92578,1.92578,1.92578,200
1996-07-02,1.99084,1.99084,1.92578,1.92578,750
1996-07-03,1.97783,1.97783,1.97783,1.97783,500
1996-07-04,1.92578,1.92578,1.92578,1.92578,500
1996-07-08,1.85031,1.97783,1.82169,1.92578,2400
1996-07-09,1.76964,1.76964,1.76964,1.76964,50
1996-07-10,1.82169,1.91798,1.79566,1.82169,3600
1996-07-11,2.00386,2.00386,1.8347,1.95181,1300
1996-07-12,1.97003,1.97783,1.92578,1.97783,3050
1996-07-16,1.76964,1.99084,1.76964,1.99084,100
1996-07-17,1.87374,1.89976,1.87374,1.89976,150
1996-07-18,1.87374,1.87374,1.87374,1.87374,600
1996-07-23,1.87374,1.87374,1.80607,1.80607,600
1996-07-24,1.92578,1.92578,1.92578,1.92578,100
1996-07-25,1.84771,1.84771,1.84771,1.84771,200
1996-07-26,1.76964,1.76964,1.71759,1.71759,250
1996-07-30,1.67335,1.67856,1.67335,1.67856,150
1996-07-31,1.82169,1.82169,1.69157,1.82169,1150
1996-08-02,1.91798,1.92578,1.82169,1.82169,1000
1996-08-05,1.92839,2.08193,1.89976,1.92578,1250
1996-08-06,1.82169,1.82689,1.82169,1.82689,450
1996-08-07,1.89976,1.89976,1.66554,1.66554,400
