Date,Close,High,Low,Open,Volume
1995-05-17,142,142,142,142,100
1995-05-18,145,145,140,140,400
1995-06-01,140,140,140,140,100
1995-06-02,137,138.95,137,138.95,300
1995-06-05,140,140,137.55,137.55,300
1995-06-06,137.5,137.5,136.1,136.1,300
1995-06-08,136,136,136,136,100
1995-06-09,137,137,137,137,100
1995-06-20,128,128,128,128,100
1995-06-22,116.05,116.05,116.05,116.05,200
1995-06-23,115,115,115,115,200
1995-06-30,103.5,103.5,103.5,103.5,100
1995-07-07,90,93,90,93,200
1995-07-10,92,92,92,92,100
1995-07-11,97,97,97,97,100
1995-07-12,92,92,92,92,100
1995-07-14,105.1,105.1,105.1,105.1,200
1995-07-17,115.5,115.5,115.5,115.5,100
1995-07-18,140,140,130,130,200
1995-07-19,138,140,138,140,400
1995-07-20,137.95,138,135,135,400
1995-07-21,124,124,124,124,100
1995-07-24,120.5,122,120.5,122,200
1995-07-25,130,130,121,121,800
1995-07-26,129,129,121,121,200
1995-07-27,125,125,125,125,100
1995-07-28,120,120,120,120,700
1995-07-31,122,125,120,120,400
1995-08-01,122,123,120,120,700
1995-08-02,127,127,127,127,100
1995-08-03,121.9,125,121.5,125,700
1995-08-04,117.05,117.05,117.05,117.05,100
1995-08-07,121.25,125,121.25,125,300
1995-08-14,119.95,119.95,119.95,119.95,100
1995-08-16,121.05,121.05,121.05,121.05,300
1995-08-18,125,125,125,125,100
1995-08-22,122,122,122,122,100
1995-08-23,124,124,124,124,100
1995-08-25,124,124,124,124,100
1995-08-28,121.5,121.5,121.45,121.45,200
1995-08-30,122.75,122.75,122.75,122.75,100
1995-08-31,120,120,119.95,120,300
1995-09-01,115,115,115,115,200
1995-09-05,106,110,106,110,800
1995-09-07,107,107,107,107,100
1995-09-08,97,97,97,97,100
1995-09-11,106.5,106.5,106.5,106.5,100
1995-09-12,105,105,103,103,400
1995-09-13,105,105,105,105,200
1995-09-14,105.5,106,105,106,200
1995-09-15,105,105,105,105,100
1995-09-19,105,105,105,105,100
1995-09-20,105,105,105,105,100
1995-09-25,109,109,109,109,100
1995-09-26,108,109,108,109,200
1995-09-27,112,112,110,110,500
1995-09-28,112,112,112,112,100
1995-09-29,112,112,112,112,100
1995-10-05,113,113,113,113,200
1995-10-06,113,113,113,113,200
1995-10-09,112,113,110,110,800
1995-10-10,115.25,115.25,115.25,112,100
1995-10-19,106,106,105,115.25,200
1995-10-20,100,104,100,106,300
1995-10-27,100,105,100,105,200
1995-10-30,95,95,95,95,200
1995-10-31,99,99,94,94,200
1995-11-02,95,95,95,95,200
1995-11-03,95,95,95,95,200
1995-11-07,96,96,95,95,700
1995-11-08,97.5,98,95,97,400
1995-11-09,93.65,96.5,92,96.5,700
1995-11-10,90,91,89,89,500
1995-11-13,87,88,87,88,400
1995-11-14,83,85,81,84,1000
1995-11-15,83,85,81,85,1100
1995-11-16,91,91,87.1,89,900
1995-11-17,90.5,91,89.9,90,600
1995-11-20,89,90.05,89,89,500
1995-11-21,88.25,89,87,89,800
1995-11-22,85,85,80,81.05,3100
1995-11-23,84.5,85.5,84.5,85,1100
1995-11-24,83,85,81,85,1900
1995-11-27,84.2,85,80.5,85,1800
1995-11-28,84,85,81.5,83.5,2400
1995-11-29,82.25,82.5,80,80.5,1200
1995-11-30,85,85,80,81.9,1500
1995-12-01,85,85,85,85,300
1995-12-04,88.5,88.5,86,86,200
1995-12-05,89.5,90,83.75,85,900
1995-12-06,90,90,86,90,500
1995-12-07,89.75,90,87,88.5,800
1995-12-08,92,92,89,91,400
1995-12-11,91.75,91.9,91,91.9,400
1995-12-12,88.05,91.5,88.05,91.5,1100
1995-12-13,90,91.75,89.95,88.05,1100
1995-12-14,90.25,92,90,92,1400
1995-12-15,91,91,90,91,1100
1995-12-18,90.25,92.5,90,91,1200
1995-12-19,88,90,88,90.25,500
1995-12-20,91.9,93.25,90,88,700
1995-12-21,90,92,90,91.9,400
1995-12-22,90,90,90,90,100
1995-12-26,97.75,98.5,92.5,92.5,600
1995-12-27,97,97,97,97.75,100
1995-12-28,97.25,97.25,96.5,97,300
1995-12-29,97.5,97.5,96,96,300
1996-01-01,95.5,95.5,94.5,95,400
1996-01-02,95.5,95.5,94,94,800
1996-01-03,93,93,93,93,200
1996-01-04,92.6,93,91.5,92,2500
1996-01-05,92,93,92,93,200
1996-01-08,89,91,86,91,2300
1996-01-09,83,87,83,85,1600
1996-01-10,84,85,82,82,900
1996-01-11,83.95,83.95,83.75,83.75,200
1996-01-12,81.5,83,81.5,83,200
1996-01-15,82,82,82,82,100
1996-01-16,81.5,81.5,79,79,500
1996-01-17,78.5,81,76,81,200
1996-01-18,76.7,80,76,76,900
1996-01-19,81.5,84,73,76,1100
1996-01-22,82.5,82.95,81,82.2,800
1996-01-23,74.5,80,74.5,80,800
1996-01-24,64.9,65,63,74.5,1300
1996-01-25,59,59.5,59,59,800
1996-01-30,63,63,59,59,300
1996-01-31,62,63,61,62,400
1996-02-01,66,66,65,65,200
1996-02-02,71,71,70,70,300
1996-02-05,73.5,75,69,75,800
1996-02-06,70.25,72,70.25,72,600
1996-02-07,70,70,70,70,100
1996-02-08,70,70,70,70,200
1996-02-09,71,71,68,70,800
1996-02-12,70,73,70,72.5,300
1996-02-14,71,71,70,70,200
1996-02-15,71.95,71.95,71,71.5,600
1996-02-16,76.2,78,73,73,1700
1996-02-19,74,78,74,76.2,200
1996-02-20,72,74.95,72,74.95,300
1996-02-22,74,74,72,73,900
1996-02-23,72,72,72,72,200
1996-02-26,72,74.45,72,72,800
1996-02-27,68,71,67,72,700
1996-02-28,67,70.1,67,68,700
1996-02-29,65,67,65,67,700
1996-03-01,63,63,63,63,100
1996-03-04,63,63,63,63,100
1996-03-06,63,63,61,61,500
1996-03-07,63,63,62,63,300
1996-03-08,62.5,62.5,60,61.5,500
1996-03-11,61,62,61,61.5,600
1996-03-12,61,61,60.05,60.9,600
1996-03-13,61.45,61.45,60.75,60.75,300
1996-03-14,61.5,62,61,61,400
1996-03-15,62.5,62.5,62,62,200
1996-03-18,62,62.5,60.95,60.95,700
1996-03-19,55.8,60,55.8,60,400
1996-03-21,59.5,59.5,58,58,300
1996-03-22,59.25,59.25,59.25,59.25,200
1996-03-25,59,59,57.5,58,700
1996-03-26,57,58.5,56.3,58.5,600
1996-03-27,58,60,58,57,800
1996-03-28,59.25,59.95,58,58,1300
1996-03-29,60.25,65,58.5,59.25,2300
1996-04-01,58,61.95,58,60.25,600
1996-04-02,60,62.9,58.5,58,900
1996-04-03,60.55,63,60.5,63,700
1996-04-04,56.05,59.95,54.75,59.95,700
1996-04-08,60,60,58.5,60,400
1996-04-09,61.9,64.5,59.1,61,1700
1996-04-10,64,64,63,61.9,200
1996-04-11,59.25,61,59.25,64,1100
1996-04-12,60.3,61.5,59.15,59.25,1000
1996-04-15,60.5,60.5,60,60,300
1996-04-16,60,60,58.5,58.5,1300
1996-04-17,60,60,60,60,400
1996-04-18,61,62,60.25,62,400
1996-04-19,61.5,62.25,61.25,62,900
1996-04-22,60.2,61.5,60,60,1200
1996-04-23,59.85,61,56.05,58.5,1300
1996-04-24,61,61,60,59.85,500
1996-04-25,61.5,61.5,60.25,61,300
1996-04-26,60,60,60,60,100
1996-04-30,60,62,60,62,200
1996-05-01,61,61.5,60,60,600
1996-05-02,61.5,61.5,60,60.1,400
1996-05-03,61.4,61.75,59.75,61.75,1100
1996-05-06,58.3,58.5,57,57,400
1996-05-07,60.7,62,58.25,58.3,1400
1996-05-08,60.95,60.95,57.55,60.7,500
1996-05-09,59.95,59.95,59.95,60.95,200
1996-05-10,57.1,57.1,57.1,57.1,200
1996-05-13,56.25,57,56.25,57.1,300
1996-05-14,59.75,59.75,56.05,56.25,200
1996-05-15,59.95,59.95,56,59.75,400
1996-05-16,56.05,56.05,56.05,56.05,100
1996-05-17,54,55,54,56.05,600
1996-05-20,49,53,49,53,300
1996-05-21,49.55,51.75,46,48.5,3800
1996-05-22,50,54.5,50,54.5,500
1996-05-23,49,50,45,45,800
1996-05-24,50,53.9,50,53.9,300
1996-05-27,50,55,50,55,400
1996-05-28,49.5,49.5,48,50,300
1996-05-29,49,54.45,48,54.45,800
1996-05-30,48.5,53.9,48.5,49,200
1996-05-31,46.5,48,45,48.5,900
1996-06-03,49.95,49.95,43,43,400
1996-06-04,50.35,52.75,45.1,49.95,2400
1996-06-05,49.95,49.95,49.5,49.95,900
1996-06-06,53.95,54.8,49.1,54.8,1100
1996-06-07,51.85,52.9,49.5,52.9,1000
1996-06-10,54,57,51,57,2900
1996-06-11,54.85,59,51,59,2000
1996-06-12,53,60,53,60,400
1996-06-13,55.9,56.85,51.1,55.5,1600
1996-06-14,56.9,61,56.9,61,200
1996-06-17,59,62.55,58,62.55,1800
1996-06-18,61.95,64.65,53.25,64.5,3200
1996-06-19,67.4,68,64,67,6400
1996-06-20,68.5,74,66.25,73,5300
1996-06-21,67.85,72.9,66.1,72.9,5300
1996-06-24,66.6,72,62.25,72,2900
1996-06-25,66,69.9,65,69.9,5500
1996-06-26,64.6,66,64,65.7,3100
1996-06-27,63.95,66.95,61.5,66.5,3300
1996-06-28,64.95,65.9,63,65.9,3900
1996-07-01,64.3,70.5,63.3,70.5,2600
1996-07-02,64,65.95,63.1,65.95,1700
1996-07-03,63.3,68.95,62.15,68.95,4600
1996-07-04,62.7,67.4,60.75,67.4,2700
1996-07-05,63.6,65.95,62.6,65.95,3400
1996-07-08,62.85,62.85,62,62.5,2000
1996-07-09,62.8,64.9,61,64.9,2600
1996-07-10,62.2,69,61.05,62.75,3400
1996-07-11,62.75,62.95,60.25,62.95,3100
1996-07-12,62.25,63,60,60,4000
1996-07-15,61.8,64,60.8,64,2200
1996-07-16,55.65,63.95,55.55,63.95,7800
1996-07-17,59.2,59.9,58,59.75,8500
1996-07-18,63.95,64.6,61,63,8500
1996-07-19,66.35,67.8,63.9,63.9,7300
1996-07-22,69.55,69.55,68.5,68.5,1300
1996-07-23,62.9,67,62.25,64.1,10600
1996-07-24,59.3,59.35,57,57.55,1100
1996-07-25,59.5,59.95,55.5,55.5,1600
1996-07-26,58.8,59.95,53.55,53.55,12800
1996-07-29,59.9,61.6,58.5,61.6,900
1996-07-30,60.8,61.4,57.25,59,3100
1996-07-31,58.8,62,55,62,300
1996-08-01,59,61,59,61,300
1996-08-02,57.95,61.25,55,61.25,700
1996-08-05,54,58.75,52.5,58.75,500
1996-08-06,51.5,56,51.5,52.1,600
1996-08-07,53.45,53.45,52,52,500
1996-08-08,54.95,54.95,52,54,1400
1996-08-09,53.25,55.9,53.25,55.9,300
1996-08-12,52.7,52.7,52,52,500
1996-08-13,50.25,53.4,50,53.25,1000
1996-08-14,51.8,55,50,55,500
1996-08-16,50,54.8,50,54.8,300
1996-08-20,54,54,54,54,200
1996-08-21,53.35,58,52,58,600
1996-08-22,53.2,53.2,53.2,53.2,100
1996-08-23,48.85,51.9,48,51.9,600
1996-08-26,51.9,51.9,51.9,51.9,100
1996-08-27,50.95,50.95,50.95,50.95,100
1996-08-28,50.5,51,48,49,700
1996-08-29,52.5,54.9,49,50,1400
1996-08-30,53.7,53.7,51.1,51.1,400
1996-09-02,53.45,54.9,52,52,500
1996-09-03,50.8,56,50,56,2100
1996-09-04,51.15,54.95,50,52.25,2100
1996-09-05,52.95,56.5,50.55,56.5,300
1996-09-06,52.95,52.95,52,52,400
1996-09-09,53.25,54,52.1,54,600
1996-09-10,51.65,54,50,54,800
1996-09-11,52.9,52.9,52.9,52.9,100
1996-09-12,56,56,56,56,100
1996-09-13,54.7,58,52.5,58,400
1996-09-16,51.9,58,51.9,58,200
1996-09-17,50.15,55,48.5,55,1700
1996-09-18,51.05,53.5,47,53.5,1600
1996-09-19,51.55,54,50,53,1700
1996-09-20,50.9,50.9,50.5,50.5,200
1996-09-23,49.75,49.95,49.05,49.75,500
1996-09-24,49.45,49.45,46.5,48.3,1900
1996-09-25,47.45,52,46,52,300
1996-09-26,46.5,46.5,45,45,800
1996-09-27,45.95,45.95,44.05,44.05,1100
1996-09-30,45.7,45.7,43.35,43.9,700
1996-10-01,47.2,48,44,48,1300
1996-10-03,46.35,50,44,50,1900
1996-10-04,45.95,47.45,43.5,47.45,500
1996-10-08,46.5,46.5,46.5,46.5,100
1996-10-09,49,49,49,49,100
1996-10-10,52,52,52,52,100
1996-10-16,51.95,51.95,51.95,51.95,100
1996-10-24,48.4,49.45,48.4,49.45,200
1996-10-28,46,46,46,46,100
1996-10-29,43,43,43,43,200
1996-10-31,40.4,42,40.2,42,400
1996-11-01,41.95,41.95,39.2,40,300
1996-11-04,40.95,40.95,39.1,39.1,200
1996-11-06,38.9,38.9,38.9,38.9,100
1996-11-07,39.05,40.2,39.05,40.2,200
1996-11-08,38.5,38.5,38.5,38.5,100
1996-11-11,38.5,38.5,38.5,38.5,200
1996-11-14,38,38,38,38,100
1996-11-15,37,37,37,37,100
1996-11-19,35,35,35,35,100
1996-11-20,35.9,35.9,35.05,35.5,400
1996-11-22,36.25,36.25,35.5,35.5,200
1996-11-25,36,36,35.85,35.85,200
1996-11-26,36,37,36,37,600
1996-11-28,35.05,35.05,35.05,35.05,100
1996-12-02,35,35,35,35,200
1996-12-03,37.25,37.25,37,37,200
1996-12-04,39.25,39.25,39,39,200
1996-12-10,36.5,36.5,36.5,36.5,100
1996-12-11,35.95,37,33.95,36,500
1996-12-12,35,35,35,35,200
1996-12-16,34.95,35,34,35,700
1996-12-17,37,37,37,37,100
1996-12-18,34.5,35,34.5,34.5,300
1996-12-19,33,33,33,33,200
1996-12-20,34.95,34.95,34.95,34.95,100
1996-12-23,35,36.95,35,36.95,300
1996-12-24,34.5,34.75,34.5,34.75,500
1996-12-26,34,36.5,34,35,2800
1996-12-31,34,35.7,34,35,800
1997-01-01,34.7,35,34.5,35,2900
1997-01-02,35.7,36,34.5,35.25,4300
1997-01-03,36.15,36.25,36,36,3000
1997-01-06,35,37,35,37,2000
1997-01-07,34.5,36.5,34,36.5,1700
1997-01-08,35,36.25,35,35,7600
1997-01-09,36.05,36.5,35.5,35.5,3800
1997-01-10,38.6,38.6,37.6,37.7,1800
1997-01-13,41.2,41.25,39,39,4500
1997-01-14,39.95,41.3,39.85,41.25,2200
1997-01-15,40.15,42.65,39.6,40,6700
1997-01-16,40.3,42.9,40,42.9,5000
1997-01-17,38,40,38,39,800
1997-01-20,38,38,38,38,100
1997-01-21,35.4,35.4,35.4,35.4,100
1997-01-22,36.3,37.45,36.25,37.25,500
1997-01-27,36.5,37.25,36.5,36.5,600
1997-01-28,36,36.25,35.4,36.25,500
1997-01-29,36.85,36.85,35,35.5,500
1997-01-30,34.8,35,34.8,35,300
1997-01-31,34,34,34,34,100
1997-02-03,33.75,33.75,33.75,33.75,100
1997-02-04,34,34,33.5,33.75,800
1997-02-05,34.25,34.25,34.25,34.25,100
1997-02-06,34,34.25,34,34.25,400
1997-02-07,34.45,34.45,34,34,500
1997-02-10,34,34,33.05,33.05,400
1997-02-11,34,34.25,34,34,700
1997-02-12,34,34.05,34,34,700
1997-02-13,34.5,34.5,33.55,33.55,200
1997-02-14,34,34,34,34,100
1997-02-17,33.75,33.75,33.6,33.6,700
1997-02-18,34,34,32.55,33,600
1997-02-19,34,34,34,34,5000
1997-02-20,32.55,33.75,32.5,33.5,1300
1997-02-21,32.55,32.75,32.5,32.55,700
1997-02-25,30.65,30.75,30.5,30.75,400
1997-02-26,30.5,31,30.5,30.6,500
1997-02-27,31.05,31.7,31,31.7,600
1997-03-03,33.5,34.8,33.5,34.8,2500
1997-03-04,32.25,34,32.25,33.5,1500
1997-03-05,33.95,33.95,33,33,200
1997-03-06,33,33,33,33,100
1997-03-10,31.75,32,31.5,32,1100
1997-03-11,32,32,31.5,31.9,400
1997-03-12,32,33,32,33,300
1997-03-14,32,32,30.05,30.05,1000
1997-03-17,30.7,32,30.7,32,300
1997-03-18,30.25,30.5,30.25,30.25,400
1997-03-19,30,30,30,30,400
1997-03-20,30.5,30.5,30,30,500
1997-03-21,32.45,32.45,30.25,30.25,400
1997-03-25,31.8,32.5,31.8,32,29800
1997-03-26,32.5,32.5,32,32.25,800
1997-03-27,31,34.5,31,34.5,1400
1997-03-31,29.35,29.35,29.35,29.35,100
1997-04-01,30,31.8,28,31.8,1900
1997-04-02,30.5,31.35,30.3,30.75,2000
1997-04-03,30.25,32.25,30,31,2800
1997-04-04,30,30.45,30,30.05,800
1997-04-07,29.3,31.35,29,29.25,1800
1997-04-09,29.75,30,29.05,29.3,1400
