Date,Close,High,Low,Open,Volume
2008-03-03,128.782,129.199,123.682,129.199,1760
2008-03-04,122.343,130.669,122.343,130.669,628
2008-03-05,120.406,121.277,116.226,118.99,553
2008-03-07,114.5,122.502,114.385,122.502,751
2008-03-10,116.326,118.967,103.263,103.263,1286
2008-03-11,127.959,127.959,116.96,119.469,1086
2008-03-12,140.755,140.755,140.754,140.754,389
2008-03-13,126.679,150.496,126.679,150.496,3524
2008-03-14,137.695,139.348,116.727,127.169,3246
2008-03-17,123.948,132.407,123.926,127.052,1414
2008-03-18,120.496,130.669,116.552,128.324,1691
2008-03-19,111.112,130.786,109.435,128.102,1173
2008-03-24,103.633,116.61,100.218,116.552,1421
2008-03-25,110.193,112.002,94.5027,94.5027,1450
2008-03-26,108.814,114.324,106.402,114.324,830
2008-03-27,110.933,112.585,105.002,105.935,763
2008-03-28,120.017,122.026,105.002,111.069,930
2008-03-31,120.925,132.019,120.169,122.026,3033
2008-04-01,127.652,132.991,121.219,125.36,2053
2008-04-02,126.174,138.836,124.964,134.169,1094
2008-04-03,120.8,126.06,119.002,126.06,781
2008-04-04,118.862,131.836,117.835,124.719,1899
2008-04-07,130.748,130.748,121.919,123.552,5010
2008-04-08,143.823,143.823,136.491,141.052,1903
2008-04-09,158.206,158.206,158.206,158.206,1798
2008-04-10,158.206,158.206,158.206,158.206,7351
2008-04-11,166.117,166.117,166.117,166.117,5136
2008-04-15,157.811,174.422,157.811,174.422,67243
2008-04-16,149.922,152.222,149.922,150.556,30098
2008-04-17,144.767,157.422,143.889,151.111,60471
2008-04-21,145.628,150,144.222,148.556,14594
2008-04-22,139.517,146.111,138.706,146.111,13549
2008-04-23,134.606,140.633,133.222,139.444,14600
2008-04-24,136.289,140.444,133.556,137.778,8432
2008-04-25,143.106,143.106,132.222,140,16260
2008-04-28,150.261,150.261,146.667,150.261,6816
2008-04-29,149.606,157.778,147.222,157.778,55005
2008-04-30,157.089,157.089,151.333,151.333,21273
2008-05-02,164.944,164.944,164.944,164.944,4058
2008-05-05,169.922,173.194,162.222,173.194,137895
2008-05-06,164.072,172.222,162.789,172.222,46658
2008-05-07,157.656,167.222,156.75,166.667,23606
2008-05-08,165.539,165.539,151.111,157.211,26476
2008-05-09,160.217,173.817,158.889,170.978,68137
2008-05-12,164.639,168.222,153.9,160,39226
2008-05-13,162.072,171.667,160.556,167.622,32938
2008-05-14,165.267,167.778,161.111,161.111,32846
2008-05-15,165.172,166.667,160.189,165.556,28423
2008-05-16,160.961,166.667,159.222,166.556,24046
2008-05-20,156.189,166,154.667,162.222,52427
2008-05-21,164,164,158.333,159.633,162618
2008-05-22,170.683,172.2,164.667,172.2,239390
2008-05-23,162.15,171.45,162.15,171.45,107311
2008-05-26,154.05,159.667,154.05,159.667,26046
2008-05-27,146.35,154.983,146.35,147.367,58190
2008-05-28,142.817,146.667,139.417,145.467,48565
2008-05-29,143.4,146.633,141.7,145,29049
2008-05-30,137.767,146,136.667,146,16558
2008-06-02,130.883,141,130.883,139.667,25420
2008-06-03,126.533,129,124.35,124.667,26122
2008-06-04,120.217,128,120.217,125.333,14355
2008-06-05,119.85,121.583,115.417,117.333,19016
2008-06-06,124.417,125.85,119.667,119.667,22093
2008-06-09,126.583,129.867,118.2,119.333,29509
2008-06-10,126,131.333,122.433,127,25639
2008-06-11,126.983,130,125.667,128,19623
2008-06-12,127.3,129.8,122.167,125.967,12921
2008-06-13,125.067,130.633,122.333,127.667,17726
2008-06-16,126.45,128.833,125.417,127.667,11265
2008-06-17,125.917,127.483,123.333,123.333,4516
2008-06-18,126.85,129.667,121.667,125,12862
2008-06-19,124.05,126.667,123.433,126.667,4559
2008-06-20,117.867,123.967,117.867,122.667,13717
2008-06-23,111.983,116.333,111.983,113.333,11766
2008-06-24,106.383,113.333,106.383,112.033,22129
2008-06-25,101.983,104.6,101.067,101.083,38459
2008-06-26,100.7,106.333,100,103.667,26554
2008-06-27,95.6667,100,95.6667,96.6667,31514
2008-06-30,90.8833,95.6667,90.8833,95.6667,15549
2008-07-01,86.35,90,86.35,90,15557
2008-07-02,85.2833,87.1667,82.0333,83.3333,36665
2008-07-03,81.0333,87.3333,81.0333,87.3333,7135
2008-07-04,76.9833,81.6667,76.9833,77.0333,11095
2008-07-07,73.1333,76.3333,73.1333,73.1333,52380
2008-07-08,76.8,76.8,69.4833,69.4833,93078
2008-07-09,80.65,80.65,80.65,80.65,2489
2008-07-10,83.9,84.6833,80.6667,84.6833,101558
2008-07-11,80.4667,88,79.7167,88,85415
2008-07-14,83.6333,84.5,78.3333,78.6833,143320
2008-07-15,79.45,82.6667,79.45,82.6167,41801
2008-07-16,75.4833,81.6667,75.4833,78.3333,24541
2008-07-17,72.9333,79,72.0167,78.3333,46004
2008-07-18,76.5833,76.5833,72.2,73.3333,83244
2008-07-21,74.4,80.4167,72.7667,80.4167,45116
2008-07-22,78.0667,78.1333,74.0167,75.6,47620
2008-07-23,81.9833,81.9833,81.9833,81.9833,7353
2008-07-24,86.0833,86.0833,84,86.0833,92144
2008-07-25,90.4,90.4,82.3333,86.3333,134758
2008-07-28,94.9333,94.9333,89.9333,89.9333,38178
2008-07-29,99.6833,99.6833,93.3667,97.4667,212201
2008-07-30,104.667,104.667,103.233,104.667,4548
2008-07-31,109.9,109.9,109.9,109.9,7915
2008-08-01,115.4,115.4,110.567,114.467,182659
2008-08-04,120.983,120.983,120.783,120.783,18159
2008-08-05,120.7,127.033,116.667,127.033,364334
2008-08-06,114.667,125,114.667,123.333,123848
2008-08-07,109.15,114,108.933,108.933,73919
2008-08-08,114.617,114.617,104.033,106.667,138939
2008-08-11,120.35,120.35,114.683,120.35,137711
2008-08-12,119.983,126.367,116.033,126.367,189710
2008-08-13,119.7,124.133,116.667,118.333,190399
2008-08-14,117.333,121.933,116.667,120,71507
2008-08-18,115.483,120.667,114.333,116.667,64459
2008-08-19,110.983,121.267,110,121.267,73746
2008-08-20,116.533,116.533,111.667,111.667,253534
2008-08-21,110.95,117.333,110.717,115.717,76586
2008-08-22,108.867,111,107.717,110.667,40526
2008-08-25,104.583,113.667,103.667,111.667,51130
2008-08-26,102.633,105.6,100.417,104,49470
2008-08-27,101.15,103.933,100.4,100.4,55251
2008-08-28,96.5,101.617,96.1,100.4,40856
2008-08-29,101.333,101.333,97.3333,98.3167,53650
2008-09-01,103.617,105.283,101.333,101.333,101382
2008-09-02,104.017,106.4,102.833,104,46715
2008-09-04,104.45,108.35,103,104.333,58463
2008-09-05,99.45,104,99.2333,101,45589
2008-09-08,98.8167,103.667,97.65,102.667,48531
2008-09-09,99.4,101.283,97.0167,98.65,33390
2008-09-10,94.8167,99.3333,90.0833,97.6833,83759
2008-09-11,94.1333,95.8167,92.7,95,84035
2008-09-12,93.0667,96.3333,91.6667,94,84702
2008-09-15,84.2667,91.7833,83.7667,91.7833,88620
2008-09-16,77.1667,84.2667,76.0167,83.3333,143941
2008-09-17,74.3167,83.3333,72.0333,78.15,135431
2008-09-18,68.8333,73.3333,66.9333,73.3333,141857
2008-09-19,72.2833,72.2833,71.3333,71.6667,30563
2008-09-22,75.9,75.9,74.0333,75.9,23810
2008-09-23,79.4167,79.7,76.6667,79.6667,97741
2008-09-24,79.3333,82.6,76.8333,81.6667,71227
2008-09-25,80.75,82.8333,78.7167,81.3333,92565
2008-09-26,77.8,80.65,76.7167,79.3667,55803
2008-09-29,73.9167,77,73.9167,77,54399
2008-09-30,71.8333,73.6667,70.2333,71.6667,61538
2008-10-01,73.5167,74.8,72.35,73.6667,42852
2008-10-03,72.0833,73.95,70.6667,71.6667,29506
2008-10-06,68.4833,70,68.4833,68.6833,23254
2008-10-07,65.2333,69.3333,65.0667,67.6667,43586
2008-10-08,63.4333,65.3333,61.9833,64.6667,40648
2008-10-10,61,61.6667,60.2667,61.6667,30783
2008-10-13,61.35,64,57.95,62,59522
2008-10-14,63.6833,64.3333,62,62,37859
2008-10-15,61.5,63.6667,60.5,61.6667,25528
2008-10-16,61.3333,61.6667,58.5,58.5,77818
2008-10-17,58.3333,63.3333,58.2667,61.6667,19833
2008-10-20,56.5167,61.25,55.6667,60.5,47068
2008-10-21,57.6833,59,57,59,11753
