Date,Close,High,Low,Open,Volume
2010-10-20,282.9,299,271.1,271.1,41372576
2010-10-21,298.75,304.9,275.8,281.7,8078620
2010-10-22,295,301.5,288.5,300,2887285
2010-10-25,302.15,306.35,292.7,295.55,2361102
2010-10-26,285.2,302.15,283.15,302.15,815185
2010-10-27,290.15,293,280,287,692403
2010-10-28,289.15,294,285.05,292.8,305955
2010-10-29,279.05,290,275,290,437923
2010-11-01,275.8,283.8,274.1,280,340688
2010-11-02,276.5,282,275,276,228621
2010-11-03,281.5,283.8,276.5,277,237572
2010-11-04,284.95,291.8,279,283.5,288647
2010-11-05,284.9,289,282.5,286,32943
2010-11-08,289.6,294.4,283.1,285,265486
2010-11-09,289.15,291.5,272.4,284,206968
2010-11-10,286.75,292.3,285.1,289,140632
2010-11-11,283.85,290,281,286,200646
2010-11-12,280.2,285,265.05,283,350592
2010-11-15,275.9,280.2,270.25,270.25,63023
2010-11-16,270.25,283.4,268.05,283.4,88376
2010-11-18,266,274.65,260.55,272,104928
2010-11-19,262.35,268,256.8,263,100220
2010-11-22,276.4,279.7,263.2,263.2,135986
2010-11-23,271.2,274.9,265.55,274.9,77655
2010-11-24,262.4,273.5,257.05,269.95,161468
2010-11-25,262.85,271,216,255.4,1320525
2010-11-26,266.85,288.7,256.1,262.5,1179763
2010-11-29,271.25,275,265.5,267,116967
2010-11-30,269.6,276,265.6,265.6,490785
2010-12-01,275.25,277,267,271.9,98396
2010-12-02,276.95,279,274.1,277.1,48849
2010-12-03,276.75,280,273.2,273.4,175573
2010-12-06,277,279.5,274.35,278,26200
2010-12-07,273.2,276.35,270.5,272.35,116304
2010-12-08,272.35,276,269,272,49474
2010-12-09,265.1,273,255.6,255.6,298546
2010-12-10,265.1,267,260,265,63568
2010-12-13,265.55,271.5,219.9,268,463195
2010-12-14,267.95,270,264.7,266.5,971836
2010-12-15,261.8,269.65,260,261.1,134851
2010-12-16,260.65,264.9,260,264.75,54018
2010-12-20,261.2,264.85,260,260,26611
2010-12-21,264.55,272,262,262,28707
2010-12-22,264.5,267.45,261.9,265,144817
2010-12-23,264.1,266,262,264.65,4309
2010-12-24,261.45,265,260.1,262.05,15428
2010-12-27,261.85,265.9,260.45,261.45,9504
2010-12-28,263.55,265.2,260.1,262,76628
2010-12-29,261.6,264.5,258,262.1,460498
2010-12-30,262.05,265,258.5,264,224660
2010-12-31,255.65,264.4,254,263.7,24629
2011-01-03,257.9,264,256.1,259,17565
2011-01-04,252.95,261.45,251.1,261,14316
2011-01-05,260,262,252,252.95,529011
2011-01-06,253.95,261.3,252.15,261.3,4848
2011-01-07,246.5,254.25,245.05,254.25,20863
2011-01-10,245.05,248,242,242,11673
2011-01-11,241.9,247.95,240.05,247.95,10576
2011-01-12,245.5,247,239,239,61808
2011-01-13,248.5,255,245,246.8,9693
2011-01-14,245.1,249.5,234,234,49750
2011-01-17,245.05,246.85,245,245.5,5193
2011-01-18,245,246.5,245,245,9717
2011-01-19,249,256,245,256,11474
2011-01-20,246.5,250,244.5,249.1,66509
2011-01-21,248.25,249.65,246.05,247,7027
2011-01-24,248.25,253,245.1,253,16118
2011-01-25,247,251.95,246,248.25,32602
2011-01-27,248.1,250.95,246.25,249.2,15299
2011-01-28,245.75,251.95,240.55,240.55,95161
2011-01-31,247.55,250.95,245,247,27313
2011-02-01,246.4,251.9,244.8,247,45728
2011-02-02,238.5,250,233.1,250,321289
2011-02-03,243.7,249,222.05,237,113855
2011-02-04,239.7,244.85,233.25,241.15,11044
2011-02-07,232.65,241.45,230.55,236,10553
2011-02-08,230.2,237.95,225,229,72262
2011-02-09,227.4,237.1,211.4,230,25657
