Date,Close,High,Low,Open,Volume
2017-08-08,57.05,67.95,57,67.95,8159
2017-08-09,55.6,59.95,55,57,21845
2017-08-10,56.35,56.9,53,53,2520
2017-08-11,54,61,51.2,61,17926
2017-08-14,52.5,58.9,51.8,58.9,10739
2017-08-16,55,56.5,52.5,52.5,12426
2017-08-17,54.05,54.1,54.05,54.05,827
2017-08-18,54.5,54.5,54.05,54.5,1700
2017-08-21,54.7,56.95,51.7,56.95,1645
2017-08-22,53.8,55.65,53.1,55.65,1574
2017-08-23,53.5,55,53.5,55,4225
2017-08-24,55.4,55.4,52,52.05,638
2017-08-28,54,54,54,54,113
2017-08-29,53.1,53.1,53.1,53.1,21
2017-08-30,52.6,54.65,52.6,54.65,938
2017-08-31,53.8,53.8,52.05,52.15,1051
2017-09-01,55.25,55.95,53.8,53.8,3402
2017-09-04,52.5,55,52.45,55,300
2017-09-05,53.55,54.45,52.7,54.4,3495
2017-09-06,56.05,57.9,53.9,53.95,5750
2017-09-07,55.05,56.45,55.05,56,320
2017-09-08,55.3,59.3,54,55.05,14810
2017-09-11,57.05,58.15,53.05,53.05,9344
2017-09-12,54.75,56.35,53.6,55,5495
2017-09-13,54,56.5,54,56.5,203
2017-09-14,53.45,55,53,53.1,825
2017-09-15,49.3,53.5,48.15,50.15,136594
2017-09-18,50,52.15,50,50,9344
2017-09-19,52.3,52.95,50.3,50.3,7753
2017-09-20,51.25,53,51,53,2659
2017-09-21,49.7,54.8,47.75,54.8,2256
2017-09-22,49.9,51.85,46.2,48.5,17744
2017-09-25,48.5,50.5,46.8,50,14136
2017-09-26,47.6,50.95,47.1,50.95,3252
2017-09-27,47.55,51,46,51,9583
2017-09-28,47.5,51.95,46.55,51.95,4166
2017-09-29,47,49.95,47,49.95,1713
2017-10-03,46.55,49,45.35,47.25,5271
2017-10-04,46.2,49.95,45.4,49.95,5903
2017-10-05,46,49.4,45.3,45.5,2729
2017-10-06,43.05,47.9,41.4,47.9,10681
2017-10-09,44.85,48.9,43.55,48.9,4305
2017-10-10,43,46,40,46,9228
2017-10-11,42.5,45,41,45,2054
2017-10-12,41.15,45,38,45,3708
2017-10-13,39.95,42.25,39.3,42,9662
2017-10-16,47.9,47.9,36.4,39,47089
2017-10-17,57.45,57.45,52.6,54,158088
2017-10-18,68.9,68.9,60.75,60.75,252291
2017-10-19,74.75,75.75,73.25,75.75,114143
2017-10-23,69.85,79.6,67.7,75.5,109389
2017-10-24,72.55,75,66.3,68.5,104712
2017-10-25,72.2,77,70.05,75,25218
2017-10-26,65.7,71.5,65,71.3,36447
2017-10-27,63.75,68,62.95,67,10509
2017-10-30,65.05,68,62.7,64,27338
2017-10-31,64.75,65.75,61.3,65.55,20215
2017-11-01,71.2,71.2,65.1,65.5,133123
2017-11-02,73.2,76,69,72.7,117241
2017-11-03,73.65,75.05,72,74,37765
2017-11-06,73.65,74.6,73.5,74,40309
2017-11-07,72.25,74.8,70.35,74,27638
2017-11-08,71.3,75,69.9,73,33907
2017-11-09,76.25,78.4,71.5,72.5,56646
2017-11-10,80.35,83.85,77.5,78.2,224455
2017-11-13,75.9,81.7,74,80.9,52274
2017-11-14,75.9,77.8,72.15,75.9,17992
2017-11-15,73.8,77,72.2,76,4734
2017-11-16,77.45,77.45,73.6,74.5,16299
2017-11-17,79.4,80.9,74.2,78.8,73844
2017-11-20,83.35,83.35,80.15,80.25,49748
2017-11-21,83.3,87.5,81.6,84.25,26705
2017-11-22,82.55,85,81.1,85,10731
2017-11-23,84.2,86.5,83,84,13405
2017-11-24,80.55,84.2,80,84.2,13741
2017-11-27,79.65,82,79.4,82,3974
2017-11-28,77.35,81,77,80,13027
2017-11-29,80.15,81.2,78,79,8310
2017-11-30,79.5,81.15,79,81.1,3290
2017-12-01,78.15,83.45,77,80.8,3212
2017-12-04,79.95,81.15,78,81.15,2841
2017-12-05,79,81,76,80.95,2905
2017-12-06,78.9,80.5,78.85,80.5,2460
2017-12-07,82.8,82.8,81,81,41817
2017-12-08,86.9,86.9,85,85,33593
2017-12-11,91.2,91.2,91.2,91.2,5283
2017-12-12,95.75,95.75,95.75,95.75,13386
2017-12-13,100.5,100.5,100.5,100.5,111117
2017-12-14,101.7,105.4,99,105.4,86132
2017-12-15,106.2,106.75,102.3,103.2,25203
2017-12-18,111.5,111.5,104,107,71017
2017-12-19,117.05,117.05,112.5,113,36874
2017-12-20,122.9,122.9,118,120.9,32626
2017-12-21,128.55,129,123.25,128.85,71378
2017-12-22,134.95,134.95,125.25,126.05,65551
2017-12-26,141.65,141.65,131.95,131.95,16862
2017-12-27,148.7,148.7,148.7,148.7,20368
2017-12-28,156.1,156.1,156.1,156.1,29143
2017-12-29,163.9,163.9,163.9,163.9,185749
2018-01-01,172.05,172.05,169,170.95,103101
2018-01-02,180.65,180.65,176,179,84948
2018-01-03,189.65,189.65,185,185,112785
2018-01-04,199.1,199.1,196.05,198.85,38649
2018-01-05,209.05,209.05,209.05,209.05,14452
2018-01-08,219.5,219.5,219.45,219.5,375642
2018-01-09,230.45,230.45,221.15,221.2,122711
2018-01-10,241.95,241.95,238.95,241.95,173849
2018-01-11,253.85,254,246,247.15,271302
2018-01-12,266.45,266.5,263.5,264.75,217789
2018-01-15,279.75,279.75,274.8,278,141727
2018-01-16,265.8,288.9,265.8,281.2,57810
2018-01-17,252.55,252.55,252.55,252.55,4517
2018-01-18,265.15,265.15,239.95,239.95,189616
