Date,Close,High,Low,Open,Volume
2007-03-16,271.8,339,261.1,329,5111102
2007-03-19,268.5,282.8,264.2,281.7,1768371
2007-03-20,259.25,276,256.9,272,636655
2007-03-21,248.45,262,245.8,260.1,469142
2007-03-22,244.8,254,242.15,251.6,427544
2007-03-23,293.8,293.8,240,244.1,1516769
2007-03-26,300.4,338,296.5,310,3240966
2007-03-28,298.2,311.95,273.1,298.9,2079439
2007-03-29,302.4,314.8,295,295.1,1716241
2007-03-30,296.6,309.3,294.05,308,578000
2007-04-02,284.85,292,275,290,266950
2007-04-03,290,300,286.55,289,435174
2007-04-04,284.35,297.8,283,293.5,163908
2007-04-05,282.05,296.65,279.1,280,238839
2007-04-09,338.5,338.5,283.2,284.5,867976
2007-04-10,331.5,390,327.4,350,2676428
2007-04-11,333.45,347.4,322.05,333.4,1002426
2007-04-12,326.55,339,322.1,330,607119
2007-04-13,328.4,342.5,325.35,330,434044
2007-04-16,365,389.9,331.15,332.1,2064244
2007-04-17,339.55,368,335.1,362,1085785
2007-04-18,366.05,392.9,340.05,343.5,2491657
2007-04-19,361.05,370.9,345,355,960337
2007-04-20,361.8,377.8,357.35,365.9,718160
2007-04-23,356.35,374.3,353,369,434168
2007-04-24,349.65,362,347.1,352,271669
2007-04-25,354.5,364,350,350,285461
2007-04-26,349,363.9,345,361,196140
2007-04-27,334.45,354.75,332,354.75,181611
2007-04-30,336.95,343,330.1,339.75,118238
2007-05-03,344.45,355.6,341.25,342,190321
2007-05-04,340.1,349.85,334.5,345,108187
2007-05-07,346.95,361,345.05,347.5,290333
2007-05-08,346.3,355.4,345,353.8,123273
2007-05-09,367.7,384,346,349.9,1747879
2007-05-10,422.95,441.25,362.1,371,3303107
2007-05-11,468,488.9,400,400,7354033
2007-05-14,461.5,477.4,385,432.25,1983062
2007-05-15,434.65,462,428.5,462,1034366
2007-05-16,431.95,447.4,421.25,421.25,376949
2007-05-17,434.5,457,428.15,449.9,407508
2007-05-18,412.8,424,412.8,420.1,40207
2007-05-21,392.2,412,392.2,412,16628
2007-05-22,408.85,411.3,372.6,377,41301
2007-05-23,399.4,404.8,388.45,392.15,22260
2007-05-24,382.45,404,380,380,8279
2007-05-25,378.85,387,365.35,367,14661
2007-05-28,372.25,383.95,365.1,383.95,9137
2007-05-29,373.05,375,366,375,9339
2007-05-30,380.1,383,367,371,15724
2007-05-31,395.25,399.15,372,372,13856
2007-06-01,395.7,408,390,400,9043
2007-06-04,387.35,399,385,385,2004
2007-06-05,381.4,384.05,377.15,383.55,2031
2007-06-06,367.85,386.95,364.05,386.95,3577
2007-06-07,360.35,377.7,358,359.2,3909
2007-06-08,363.55,375,358,361.2,4612
