Date,Close,High,Low,Open,Volume
2021-11-18,1560.8,1955,1560,1950,23955434
2021-11-22,1359.6,1519,1271,1509,25114710
2021-11-23,1494.7,1525,1360,1360,12954174
2021-11-24,1752.45,1785,1502.95,1503,21541020
2021-11-25,1798.75,1873.7,1711.1,1766.7,13018344
2021-11-26,1782.6,1832,1663,1760,6527364
2021-11-29,1736.45,1810,1700,1700,4564112
2021-11-30,1699.6,1770,1678.2,1729.95,2200149
2021-12-01,1636.7,1725,1629.15,1715,1294466
2021-12-02,1600.85,1671.65,1592,1642,1089716
2021-12-03,1648.35,1698,1601,1615,1322036
2021-12-06,1604.45,1680.05,1598.7,1658,632800
2021-12-07,1577.5,1635,1571,1623.35,631249
2021-12-08,1553.4,1610,1546.25,1590.25,726491
2021-12-09,1593.95,1644.7,1525.1,1550,2849040
2021-12-10,1567.55,1609,1563,1605,845711
2021-12-13,1555.05,1578.75,1546.1,1578,740610
2021-12-14,1496.05,1555.05,1490.75,1547,1386088
2021-12-15,1379.95,1429.95,1296,1421.3,13139593
2021-12-16,1399.35,1435,1390.55,1435,2323522
2021-12-17,1321,1411,1307,1411,2503637
2021-12-20,1304,1327.6,1290,1321,1740923
2021-12-21,1311.45,1348.95,1306,1306,995207
2021-12-22,1342.2,1350,1330.55,1348.1,966463
2021-12-23,1348.8,1385,1344,1358.45,1268283
2021-12-24,1369.55,1381,1331.15,1348.7,1340599
2021-12-27,1344.95,1365.35,1335.3,1365,717268
2021-12-28,1353.5,1364.2,1345,1350,1112292
2021-12-29,1341.55,1379.15,1340,1353.5,1096725
2021-12-30,1327.95,1350,1325.1,1330,806752
2021-12-31,1334.55,1347.8,1330.05,1336,407521
2022-01-03,1339.8,1346.85,1335,1335,502075
2022-01-04,1317.75,1350,1313,1350,1588242
2022-01-05,1288.35,1325.7,1285.35,1323.5,1731917
2022-01-06,1254.05,1287,1251,1287,1765486
2022-01-07,1231.6,1265,1230,1265,1807539
2022-01-10,1158.05,1230,1152.05,1230,4560745
2022-01-11,1119.65,1215,1113.65,1165,6462743
2022-01-12,1082.7,1133.85,1075,1124,6400253
2022-01-13,1031.8,1087.9,1025,1085,5750658
2022-01-14,1118.6,1128,1000,1025,16212066
2022-01-17,1105.3,1145.9,1092,1127.7,5521603
2022-01-18,1041.65,1118.45,1030,1105.5,4933836
2022-01-19,997.35,1051.9,990,1044.85,7289774
2022-01-20,995.35,1036.1,990,1013,4846568
2022-01-21,960.3,999.3,952.3,995.05,4328259
2022-01-24,917.45,960.3,881.05,960.3,7942445
2022-01-25,914.8,938,875,900,6091452
2022-01-27,893.7,913,881,904,2459507
2022-01-28,903.05,923.9,900,900.4,2209828
2022-01-31,916.85,932,911,920,1609589
2022-02-01,965.6,977,921.2,925,5469324
2022-02-02,957.1,994,950.1,975,2672904
2022-02-03,944.5,959,940.05,959,1410694
2022-02-04,953.3,961.9,946.05,950.35,1272194
2022-02-07,957.55,984.5,881.3,941,3854849
2022-02-08,937.95,976.75,931.75,965.75,1760398
2022-02-09,941.5,955,936.2,948.75,833193
2022-02-10,938.35,958.75,935.75,958.75,1036415
2022-02-11,906.5,934.45,903,933,1272179
2022-02-14,863.5,895.95,860,895.95,1866242
2022-02-15,851.5,884.45,840,874,2446406
2022-02-16,861.35,883.3,856,865,2793265
2022-02-17,849.95,869.8,845.25,865,1362229
2022-02-18,833.4,848,831,844.8,1325802
2022-02-21,807.7,834,805,832.5,1975577
2022-02-22,815.9,834.65,785,800,3701578
2022-02-23,821.95,837.05,815.25,823,1575013
2022-02-24,777.75,802.85,771.15,790,1917591
2022-02-25,789.35,806.7,785.8,801.1,1460303
2022-02-28,798.1,806.9,772.4,785.8,1334742
2022-03-02,797.2,806.65,783.55,789,1697859
2022-03-03,796.3,817.45,791.75,805.45,1254749
2022-03-04,784.85,798.55,782.25,787,1020058
2022-03-07,753.45,778,751,774.85,1157890
2022-03-08,737.75,764.95,728.05,753,1808389
2022-03-09,749.85,759.8,742.1,750,1399649
2022-03-10,775.6,795.8,761,766.5,2236562
2022-03-11,775.05,781,766.6,771,919363
2022-03-14,674.8,719,661.5,675,15156116
2022-03-15,592.45,703.35,584.55,695.05,23922506
2022-03-16,634.05,648.65,572,597,33733480
2022-03-17,597.05,637,590,633,16758410
2022-03-21,565.7,595,560.1,595,12853207
2022-03-22,544,590.45,540.35,565.75,26111440
2022-03-23,524.3,562,521,552,8888824
2022-03-24,574.35,595,521.1,522,24014616
2022-03-25,546,588,541.15,577.6,8790875
2022-03-28,535.55,554,532.8,552,3748018
2022-03-29,524.8,546.9,523.5,540,4147495
2022-03-30,541.3,549.05,529.05,530,5146752
2022-03-31,528.45,548.85,525.5,546.7,4345898
2022-04-01,571.3,582.45,530,532,15351166
2022-04-04,610.55,619.9,572.4,579,15909548
2022-04-05,609.05,629.25,603.1,613.75,8883858
