Date,Close,High,Low,Open,Volume
2021-11-15,1202.3,1248.9,1149,1150,36379064
2021-11-16,1341.9,1434,1210,1210,14456023
2021-11-17,1447.95,1470,1342,1350,7068789
2021-11-18,1332.35,1464.8,1302.55,1440,5505748
2021-11-22,1237.55,1332,1190.1,1332,3843305
2021-11-23,1214.85,1279,1210,1230,1275807
2021-11-24,1303.85,1328.4,1227,1228.8,2005083
2021-11-25,1260.65,1339,1245.2,1315,1623994
2021-11-26,1273.45,1308,1210,1254,1075975
2021-11-29,1229.8,1300,1212,1251,523928
2021-11-30,1215.6,1288,1210,1244.25,553534
2021-12-01,1214.25,1274,1206.3,1247,601108
2021-12-02,1213.8,1235.3,1210,1224,278094
2021-12-03,1210.6,1224.75,1210,1215,323950
2021-12-06,1146.75,1217.85,1121.3,1214.8,1131799
2021-12-07,1190.6,1198,1163,1163,1045117
2021-12-08,1187.65,1200,1170,1200,303568
2021-12-09,1131.25,1190.05,1126.1,1190,427828
2021-12-10,1134.75,1160,1120.85,1124.75,486075
2021-12-13,1153,1173.95,1075.65,1101,2879984
2021-12-14,1125.65,1164.6,1100,1153,1668073
2021-12-15,1119.55,1136.05,1096.25,1127,918448
2021-12-16,1101.85,1144,1093.2,1120,864396
2021-12-17,1083.75,1111.55,1068.1,1105,771974
2021-12-20,939.15,1074.55,885,1058,2343482
2021-12-21,955.7,1005,950,985,1536838
2021-12-22,980.15,994.25,968,985,791622
2021-12-23,979.6,991.95,973.3,991.95,327842
2021-12-24,983.05,990,975,985,433142
2021-12-27,977.35,981.9,955,975,366675
2021-12-28,969.8,998,931,987.1,545088
2021-12-29,961.45,980,952.35,961,466660
2021-12-30,929.05,965.2,925,959,457837
2021-12-31,950.3,970,942,942,519564
2022-01-03,952.3,965.55,940.85,957.9,160883
2022-01-04,965.05,972.05,955.05,958,359709
2022-01-05,942.7,968,933,968,401811
2022-01-06,890.6,946.8,885,942.65,964964
2022-01-07,894.2,900.7,885.1,894,351858
2022-01-10,899.75,906.7,885.35,900,280299
2022-01-11,860.55,929.4,856.85,929,1060408
2022-01-12,871.7,892,860.35,862,679115
2022-01-13,918.15,921,875,878,1119049
2022-01-14,941.4,951,898.35,900,896371
2022-01-17,1022.6,1052.95,942.15,945,1856173
2022-01-18,998.8,1027,980.1,1022.5,702679
