Date,Close,High,Low,Open,Volume
2020-03-30,714,714,680,680,29010
2020-03-31,749.7,749.7,749.7,749.7,15930
2020-04-01,787.15,787.15,787.15,787.15,25057
2020-04-03,790,817,781.1,798.8,141804
2020-04-07,790.65,818,781.1,795.1,39744
2020-04-08,790,808,788,802,9633
2020-04-09,800,807,790.05,807,14654
2020-04-13,799.6,805,790.05,800,25051
2020-04-15,793.1,804.9,791.1,800,29165
2020-04-16,788,798.9,786,791.5,76614
2020-04-17,792,800,787.25,788,214812
2020-04-20,793.1,807.9,790,793,30483
2020-04-21,788.05,803.95,786.05,803.95,74484
2020-04-22,793.35,800,784.1,784.1,21366
2020-04-23,800.05,803.9,792.05,792.05,18607
2020-04-24,802.85,803.9,796.1,796.85,6562
2020-04-27,802.05,808.9,799.05,803.9,5578
2020-04-28,805.65,807,801.1,806.8,10418
2020-04-29,809.1,811.9,800.1,803,6160
2020-04-30,801.45,815.1,800,813.95,36263
2020-05-04,790.95,808,790,805.9,255704
2020-05-05,794.7,798,790.95,790.95,33019
2020-05-06,795.5,798.9,789.05,789.05,21000
2020-05-07,795.15,799,790.25,792.35,202236
2020-05-08,798.15,806,793.6,794.95,16353
2020-05-11,803.75,806.85,800,800.05,6922
2020-05-12,806.05,809,801.55,806,22239
2020-05-13,811.15,812.95,804.3,810,24663
2020-05-14,817.1,833.35,805.65,808,8982
2020-05-15,818.4,828.85,811.5,818.25,35587
2020-05-18,819.95,832.95,815.5,832.95,9141
2020-05-19,818.8,829.95,805.5,829.95,7918
2020-05-20,817.1,820.05,814.25,818.95,4878
2020-05-21,812.65,820,811.75,818.05,3055
2020-05-22,813.85,816,810.05,812,15265
2020-05-26,816.2,822,811.1,816.8,2436
2020-05-27,825,826,813.55,816.25,14221
2020-05-28,824.95,829,809.25,815.1,35009
2020-05-29,817.25,824.65,815.1,815.1,91717
2020-06-01,824,857.65,817.2,817.2,29646
2020-06-02,831,839.05,828,834.9,72463
2020-06-03,837.2,839.9,831.5,831.5,18590
2020-06-04,836.4,842.35,835.15,840,38232
2020-06-05,836.3,839.9,835.1,837.2,38884
2020-06-08,838,840,835.3,840,22385
2020-06-09,839.25,839.95,837.5,837.6,19984
2020-06-10,838.15,841,836.15,841,22769
2020-06-11,839.55,844.8,837.55,838.25,14655
2020-06-12,838.55,841.85,836.1,836.2,16963
2020-06-15,839.5,842.6,835.05,835.05,17284
2020-06-16,839.35,848.9,837.55,837.55,3520
2020-06-17,837.9,844,836.5,840.5,8706
2020-06-18,837.7,843,836.35,842.85,16358
2020-06-19,836.5,844,835.05,836.2,32676
2020-06-22,838.65,843,836.5,841,26834
2020-06-23,842.65,845.95,838,841.5,17543
2020-06-24,841.9,847.3,840.25,844.85,7196
2020-06-25,841.65,846.75,841,841,11849
2020-06-26,840,846.95,838,846.95,43945
2020-06-29,841,844.85,837.3,837.3,11869
2020-06-30,840.25,843.85,840.05,842.8,8675
2020-07-01,840.1,844.6,838.05,841.8,8923
2020-07-02,840.2,844.95,839.2,844.9,21181
2020-07-03,842.95,845.45,842,843.25,12355
2020-07-06,849.75,869.9,843.1,845,40513
2020-07-07,851.5,855,849.5,853,11206
2020-07-08,841.05,859.95,837.05,847.05,259662
2020-07-09,844.15,848.5,840.05,844.2,116807
2020-07-10,846.6,849,844.45,846.45,9472
2020-07-13,850.05,855,847.25,854,49531
